,Date,Q,col1,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col2,col20,col21,col22,col23,col24,col25,col26,col27,col28,col29,col3,col30,col31,col32,col33,col34,col35,col36,col37,col38,col39,col4,col5,col6,col7,col8,col9
0,2014-06-12,0.00746968689199,3.0,1.0,2.0,2.0,2.0,-2.0,3.0,4.0,2.0,5.0,1.0,2.0,2.0,-1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1,Sell,3.0,3.0,2.0,2.0,3.0,2.0
1,2013-05-14,0.0208679579061,3.0,2.0,2.0,2.0,2.0,5.0,-1.0,-5.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,2.0,2.0,1,Sell,3.0,3.0,3.0,3.0,3.0,2.0
2,2012-10-24,0.0183197539346,2.0,2.0,2.0,1.0,2.0,-1.0,-2.0,-4.0,-1.0,3.0,-1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,0,Buy,2.0,3.0,3.0,3.0,3.0,1.0
3,2014-01-23,0.00959800975658,3.0,2.0,3.0,3.0,4.0,-5.0,1.0,-5.0,2.0,5.0,-1.0,3.0,1.0,2.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,0,Sell,4.0,5.0,3.0,3.0,3.0,2.0
4,2013-02-21,0.0211324243594,3.0,2.0,2.0,2.0,2.0,-5.0,3.0,-4.0,5.0,-5.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1,Buy,3.0,3.0,3.0,3.0,3.0,3.0
5,2014-08-19,0.0168525643558,2.0,2.0,1.0,1.0,1.0,3.0,-4.0,2.0,1.0,1.0,1.0,3.0,-1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0,Sell,2.0,2.0,2.0,3.0,3.0,1.0
6,2013-10-04,0.0130031072753,3.0,3.0,2.0,2.0,2.0,-1.0,5.0,3.0,-1.0,5.0,-1.0,4.0,1.0,-2.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,0,Sell,3.0,3.0,4.0,3.0,3.0,2.0
7,2013-05-28,0.0100940540488,3.0,2.0,4.0,3.0,2.0,5.0,4.0,2.0,4.0,1.0,2.0,3.0,2.0,3.0,0.0,3.0,5.0,5.0,3.0,1.0,1.0,1.0,5.0,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0,Buy,5.0,3.0,4.0,3.0,3.0,2.0
8,2013-08-15,0.00256854138404,2.0,2.0,2.0,2.0,2.0,-2.0,1.0,1.0,-2.0,-4.0,-1.0,2.0,-1.0,2.0,4.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,5.0,1.0,1.0,1.0,1,Sell,2.0,3.0,2.0,2.0,3.0,2.0
9,2013-10-01,0.00880799175433,3.0,2.0,2.0,4.0,3.0,-1.0,5.0,-1.0,5.0,-5.0,-1.0,4.0,1.0,-1.0,3.0,2.0,5.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1,Sell,5.0,5.0,4.0,3.0,3.0,2.0
10,2014-05-19,0.0160443139141,3.0,2.0,1.0,2.0,2.0,-1.0,-5.0,-2.0,-1.0,3.0,-1.0,3.0,-1.0,-3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1,Buy,2.0,2.0,3.0,3.0,3.0,2.0
11,2013-10-03,0.00745913492188,4.0,2.0,2.0,2.0,2.0,5.0,3.0,-1.0,5.0,-1.0,-1.0,3.0,1.0,-1.0,3.0,1.0,3.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1,Sell,3.0,3.0,4.0,3.0,3.0,3.0
12,2013-11-19,0.0156425996335,4.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,3.0,3.0,1.0,2.0,2.0,0,Sell,4.0,3.0,3.0,3.0,3.0,3.0
13,2013-03-18,0.00229616918517,5.0,2.0,2.0,2.0,2.0,1.0,5.0,-1.0,-1.0,2.0,1.0,3.0,1.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0,Sell,3.0,3.0,3.0,3.0,3.0,5.0
14,2013-03-26,-0.00874177791978,3.0,2.0,2.0,2.0,2.0,-4.0,2.0,-4.0,-4.0,-4.0,-1.0,3.0,-1.0,2.0,3.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,0.0,1.0,4.0,1.0,1.0,1.0,1,Buy,3.0,3.0,3.0,3.0,3.0,2.0
15,2013-02-26,0.0311997574311,4.0,2.0,3.0,3.0,2.0,-5.0,3.0,-2.0,-5.0,3.0,-1.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,0,Buy,3.0,3.0,3.0,3.0,3.0,3.0
16,2013-11-21,0.0120405541796,3.0,3.0,3.0,3.0,2.0,-3.0,2.0,2.0,4.0,1.0,3.0,4.0,2.0,3.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,0,Buy,3.0,3.0,3.0,3.0,3.0,2.0
17,2014-08-08,0.00696316229989,2.0,2.0,2.0,2.0,3.0,-5.0,3.0,-3.0,-2.0,-5.0,-2.0,3.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1,Sell,3.0,4.0,3.0,3.0,3.0,1.0
18,2014-06-19,0.0089965076805,3.0,1.0,1.0,2.0,1.0,4.0,5.0,1.0,1.0,-1.0,1.0,2.0,2.0,-1.0,1.0,2.0,1.0,5.0,3.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,3.0,0,Buy,2.0,2.0,2.0,2.0,3.0,2.0
19,2014-05-05,0.0114342652608,3.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,3.0,-1.0,1.0,2.0,-3.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,3.0,1.0,2.0,2.0,1.0,5.0,1.0,1.0,1.0,1,Sell,2.0,4.0,3.0,3.0,3.0,2.0
20,2014-09-04,0.00324567749239,3.0,1.0,1.0,1.0,1.0,-3.0,2.0,1.0,-1.0,-3.0,2.0,2.0,2.0,3.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,0,Sell,2.0,3.0,2.0,2.0,3.0,1.0
