Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,11.36,12.44,11.35,12.11,30645200,10.958511
2009-01-05,12.22,12.35,11.48,11.86,33195000,10.732283
2009-01-06,12.19,12.33,11.92,12.12,25350700,10.967561
2009-01-07,11.01,11.55,10.78,10.89,35320700,9.854517
2009-01-08,10.63,11.42,10.52,11.36,19990100,10.279826
2009-01-09,11.4,11.48,10.75,10.81,20296500,9.782124
2009-01-12,10.2,10.25,9.75,10.06,31415900,9.103438
2009-01-13,9.75,9.98,9.3,9.55,44918400,8.641931
2009-01-14,9.24,9.41,8.75,9.03,33401100,8.171376
2009-01-15,8.93,9.58,8.71,9.37,29644000,8.479047
2009-01-16,9.64,9.74,8.96,9.43,24256800,8.533342
2009-01-20,9.15,9.31,8.35,8.35,31321200,7.556034
2009-01-21,8.62,8.62,8.01,8.56,39788300,7.746066
2009-01-22,8.41,8.5,8.16,8.25,26118700,7.465543
2009-01-23,8.0,8.68,7.9,8.33,32878200,7.537936
2009-01-26,8.39,8.67,8.21,8.35,23149600,7.556034
2009-01-27,8.45,8.68,8.35,8.61,17330000,7.791311
2009-01-28,8.89,9.0,8.57,8.75,26047000,7.918
2009-01-29,8.54,8.56,8.2,8.44,23310100,7.637476
2009-01-30,8.48,8.5,7.74,7.79,26600900,7.049282
2009-02-02,7.77,7.95,7.53,7.69,19276400,6.958791
2009-02-03,7.89,8.09,7.76,8.04,20728400,7.275511
2009-02-04,8.07,8.25,7.76,7.82,23946000,7.229288
2009-02-05,7.79,8.23,7.56,8.06,25654700,7.451159
2009-02-06,8.24,8.6,8.16,8.4,22947300,7.765475
2009-02-09,8.52,8.9,8.36,8.5,23472700,7.857921
2009-02-10,8.57,8.85,7.57,7.65,44507300,7.072129
2009-02-11,7.9,7.94,7.53,7.7,25469200,7.118352
2009-02-12,7.75,7.83,7.21,7.51,40243400,6.942705
2009-02-13,7.6,7.65,7.35,7.48,22839700,6.914971
2009-02-17,7.16,7.3,6.75,6.75,32558400,6.240114
2009-02-18,6.82,6.89,6.39,6.49,31208700,5.999754
2009-02-19,6.7,6.82,6.35,6.35,19912000,5.870329
2009-02-20,6.15,6.37,5.99,6.29,27973800,5.814862
2009-02-23,6.42,6.43,5.8,5.81,29960200,5.37112
2009-02-24,5.91,6.42,5.7,6.39,29117500,5.907308
2009-02-25,6.46,6.67,6.08,6.47,33630300,5.981264
2009-02-26,6.68,7.15,6.47,6.51,29468100,6.018243
2009-02-27,6.25,6.54,6.01,6.23,25940600,5.759394
2009-03-02,6.05,6.13,5.43,5.49,35159700,5.075292
2009-03-03,5.85,5.98,5.45,5.53,28507600,5.112271
2009-03-04,5.88,6.4,5.81,6.24,40896400,5.768638
2009-03-05,6.02,6.03,5.12,5.26,46785200,4.862667
2009-03-06,5.41,5.55,4.97,5.22,35830200,4.825688
2009-03-09,5.2,5.63,5.16,5.39,28588400,4.982846
2009-03-10,5.71,6.19,5.68,6.12,34268700,5.657703
2009-03-11,6.16,6.2,5.68,5.76,31876700,5.324897
2009-03-12,5.73,6.0,5.51,5.98,31706000,5.528279
2009-03-13,5.95,5.96,5.64,5.73,26112400,5.297163
2009-03-16,5.92,6.4,5.78,6.12,34759700,5.657703
2009-03-17,5.41,5.72,5.33,5.59,83875300,5.167739
2009-03-18,5.5,5.65,5.22,5.48,84142400,5.066048
2009-03-19,5.81,6.74,5.73,6.4,242106500,5.916552
2009-03-20,6.51,6.64,6.12,6.54,106569400,6.045977
2009-03-23,6.8,7.4,6.64,7.4,79755400,6.841014
2009-03-24,7.17,7.54,7.04,7.32,61045400,6.767057
2009-03-25,7.63,8.0,7.35,7.72,70759500,7.136841
2009-03-26,7.95,8.2,7.81,8.12,48043000,7.506626
2009-03-27,7.8,7.96,7.65,7.8,34363900,7.210798
2009-03-30,7.35,7.37,6.6,6.69,55656200,6.184646
2009-03-31,7.25,7.55,6.96,7.34,83388100,6.785546
2009-04-01,7.14,7.73,7.03,7.6,37739200,7.025906
2009-04-02,8.12,8.49,8.02,8.18,63326600,7.562094
2009-04-03,8.17,8.25,7.78,8.17,49266100,7.552849
2009-04-06,7.97,8.0,7.6,7.91,40315500,7.312489
2009-04-07,7.55,7.91,7.45,7.79,52681900,7.201554
2009-04-08,8.07,8.16,7.5,8.06,75343100,7.451159
2009-04-09,8.59,8.85,8.45,8.85,49160000,8.181483
2009-04-13,8.72,9.39,8.55,9.15,45486000,8.458821
2009-04-14,9.13,9.37,8.75,8.83,40500600,8.162993
2009-04-15,8.71,9.12,8.58,9.05,38966000,8.366375
2009-04-16,9.24,9.25,8.85,9.15,30263300,8.458821
2009-04-17,9.14,9.34,9.04,9.26,26120500,8.560512
2009-04-20,8.89,9.0,8.34,8.36,35242600,7.728496
2009-04-21,8.12,8.75,8.1,8.69,36602500,8.033568
2009-04-22,8.55,9.01,8.42,8.64,27322700,7.987346
2009-04-23,8.67,8.95,8.53,8.9,30390200,8.227705
2009-04-24,9.03,9.28,8.92,9.14,28106600,8.449577
2009-04-27,8.76,9.03,8.7,8.79,22035900,8.126015
2009-04-28,8.6,8.72,8.47,8.52,21332400,7.876411
2009-04-29,8.71,8.92,8.6,8.8,22867700,8.13526
2009-04-30,9.08,9.32,8.96,9.07,27440900,8.384864
2009-05-01,9.09,9.93,9.07,9.69,36082700,8.95803
2009-05-04,10.01,10.48,9.95,10.36,48440800,9.577419
2009-05-05,10.38,10.39,10.01,10.13,29532400,9.364793
2009-05-06,10.45,10.66,10.3,10.5,29212500,9.735676
2009-05-07,10.94,10.98,9.5,9.85,56746200,9.132992
2009-05-08,10.18,10.3,9.87,10.01,40899400,9.281345
2009-05-11,9.75,9.81,9.31,9.59,28990000,8.891917
2009-05-12,9.76,9.89,9.22,9.46,24866500,8.77138
