Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,8.24,8.69,8.16,8.64,4888800,7.935376
2009-01-05,8.67,9.14,8.42,9.13,8997500,8.385415
2009-01-06,9.19,9.48,9.12,9.39,11239700,8.624211
2009-01-07,9.28,9.37,8.89,9.03,6976900,8.29357
2009-01-08,8.55,9.35,8.55,9.27,8120600,8.513998
2009-01-09,9.29,9.4,9.03,9.28,6569000,8.523181
2009-01-12,9.27,9.27,8.77,8.86,9114000,8.137434
2009-01-13,8.95,9.0,8.35,8.49,7272300,7.797609
2009-01-14,8.4,8.4,7.85,8.15,8978200,7.485337
2009-01-15,8.12,8.16,7.58,7.94,11479300,7.292464
2009-01-16,8.16,8.61,8.03,8.56,9378800,7.861901
2009-01-20,8.51,8.66,8.02,8.05,6001300,7.393493
2009-01-21,8.32,8.34,7.99,8.25,6321600,7.577182
2009-01-22,8.13,8.29,8.0,8.15,5600700,7.485337
2009-01-23,8.04,8.45,7.67,8.27,8043600,7.595551
2009-01-26,8.28,8.7,8.22,8.47,7104600,7.77924
2009-01-27,8.4,8.88,8.4,8.67,6964700,7.96293
2009-01-28,8.88,8.93,8.58,8.67,4469800,7.96293
2009-01-29,8.43,8.73,8.32,8.34,3375700,7.659842
2009-01-30,8.27,8.48,7.85,7.91,5300100,7.26491
2009-02-02,7.77,8.07,7.47,7.98,7927900,7.329202
2009-02-03,8.02,8.19,7.89,8.13,4547500,7.466969
2009-02-04,8.19,8.43,8.1,8.3,3687400,7.623104
2009-02-05,8.28,8.43,7.9,8.24,4968500,7.567997
2009-02-06,8.11,8.65,8.1,8.58,4496200,7.880269
2009-02-09,8.65,8.65,8.2,8.26,4377700,7.586367
2009-02-10,8.27,8.4,7.9,8.06,8339300,7.402678
2009-02-11,8.01,8.15,7.75,7.9,5026900,7.255726
2009-02-12,7.62,7.94,7.5,7.91,7101500,7.26491
2009-02-13,7.86,8.0,7.67,7.74,4212500,7.108774
2009-02-17,7.53,7.53,7.0,7.18,7875100,6.594444
2009-02-18,7.25,7.31,6.95,7.09,6179500,6.511784
2009-02-19,7.18,7.47,7.07,7.3,5488900,6.704658
2009-02-20,7.15,7.2,6.55,6.71,8250000,6.162775
2009-02-23,6.85,6.93,6.33,6.38,11160600,5.859688
