Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,46.349998,46.720001,45.0,46.279999,2511000,37.86454
2009-01-05,45.990002,46.57,45.0,45.66,2785100,37.357281
2009-01-06,46.029999,46.959999,45.07,45.650002,3297200,37.3491
2009-01-07,45.080002,45.360001,43.669998,44.040001,3609400,36.031859
2009-01-08,43.849998,45.32,43.610001,45.130001,2757000,36.923656
2009-01-09,45.220001,45.299999,43.310001,43.740002,3835200,35.786411
2009-01-12,43.509998,44.009998,40.860001,41.549999,5060600,33.994634
2009-01-13,41.0,42.279999,39.779999,40.169998,5698400,32.865569
2009-01-14,39.119999,39.470001,37.630001,38.299999,4546400,31.335607
2009-01-15,38.360001,40.080002,37.029999,38.650002,4850600,31.621966
2009-01-16,39.610001,41.5,38.759998,39.799999,5007900,32.56285
2009-01-20,39.259998,39.450001,33.509998,33.549999,8893500,27.449337
2009-01-21,34.970001,36.599998,34.68,36.27,8678200,29.674739
2009-01-22,32.209999,33.5,22.08,22.9,46333400,18.735911
2009-01-23,23.34,28.440001,23.040001,24.49,35529600,20.036789
2009-01-26,24.92,25.09,19.35,19.620001,26748200,16.052341
2009-01-27,20.549999,22.75,19.67,22.139999,24341500,18.114108
2009-01-28,25.190001,26.16,23.91,25.059999,20254600,20.503141
2009-01-29,23.92,24.629999,23.1,23.34,9604900,19.095903
2009-01-30,24.15,24.15,22.67,23.209999,7759200,18.989541
2009-02-02,22.82,23.68,21.91,23.030001,9557900,18.842273
2009-02-03,24.15,25.200001,21.68,22.629999,17973100,18.515007
2009-02-04,22.75,23.42,20.91,21.049999,13894100,17.222311
2009-02-05,21.110001,23.860001,20.66,23.110001,11320500,18.907726
2009-02-06,23.200001,23.75,20.280001,21.799999,22667200,17.835933
2009-02-09,22.66,24.02,22.33,23.690001,9964300,19.38226
2009-02-10,23.370001,24.17,22.02,22.129999,11507600,18.105926
2009-02-11,22.790001,23.0,21.889999,22.34,7340400,18.277741
2009-02-12,21.41,22.35,21.049999,22.09,8984700,18.073201
2009-02-13,22.120001,22.120001,20.200001,20.51,8745900,16.995934
2009-02-17,19.549999,19.969999,17.35,17.639999,15915600,14.617663
2009-02-18,18.200001,18.620001,17.52,18.17,10726800,15.056856
2009-02-19,18.620001,18.719999,16.059999,16.32,12273200,13.523825
2009-02-20,16.0,17.66,15.12,17.01,19888600,14.095604
2009-02-23,17.58,17.75,15.72,15.8,10996500,13.092919
2009-02-24,15.73,16.75,15.04,16.639999,19761900,13.788997
2009-02-25,16.629999,16.75,15.07,16.110001,13910500,13.349805
2009-02-26,18.030001,20.08,17.809999,18.959999,19578000,15.711502
2009-02-27,17.09,17.780001,16.23,16.76,17424400,13.888438
2009-03-02,15.71,16.52,15.57,16.01,11335200,13.266939
2009-03-03,16.65,16.65,13.95,14.18,17286900,11.75048
2009-03-04,15.27,15.48,13.66,14.99,11887500,12.421699
2009-03-05,14.5,14.54,13.14,13.63,15286200,11.294714
2009-03-06,14.11,14.18,12.65,13.44,13611500,11.137267
2009-03-09,11.14,12.49,10.83,11.49,19083400,9.521369
2009-03-10,11.79,13.23,11.33,13.22,15667200,10.954961
2009-03-11,13.43,13.82,12.82,13.62,11724800,11.286427
2009-03-12,13.61,15.13,12.57,14.92,13913400,12.363693
2009-03-13,15.19,15.92,13.5,14.58,14191500,12.081946
2009-03-16,15.13,16.559999,14.9,14.98,12011600,12.413412
2009-03-17,15.42,16.18,14.33,16.15,10809400,13.382951
2009-03-18,16.1,21.09,15.72,21.040001,22183000,17.435128
2009-03-19,21.33,21.85,19.620001,19.860001,17698000,16.457302
2009-03-20,20.110001,20.110001,18.040001,18.379999,11478700,15.230875
2009-03-23,19.49,21.700001,19.290001,21.690001,13480400,17.97376
2009-03-24,20.790001,22.92,20.299999,21.6,12581500,17.89918
2009-03-25,21.809999,22.200001,18.6,19.889999,15703500,16.482161
2009-03-26,20.219999,20.969999,19.610001,20.719999,10926900,17.169953
2009-03-27,20.1,20.57,19.700001,19.809999,9510700,16.415868
2009-03-30,18.719999,18.870001,17.5,17.6,9835000,14.584517
2009-03-31,18.23,19.5,18.0,19.360001,9423300,16.042969
2009-04-01,18.620001,19.040001,17.25,18.75,12124000,15.537483
2009-04-02,19.75,21.0,19.65,20.610001,11014400,17.078801
2009-04-03,20.59,21.129999,19.889999,21.049999,8732000,17.443413
