Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,11.97,12.1,11.44,11.64,1908400,9.429645
2009-01-05,11.67,11.98,11.17,11.4,2532000,9.235219
2009-01-06,11.86,12.89,11.33,12.7,3466100,10.288358
2009-01-07,12.37,12.66,11.75,11.87,2592800,9.615969
2009-01-08,11.6,12.11,11.33,11.91,2391700,9.648373
2009-01-09,11.93,12.59,11.7,12.08,3951400,9.786092
2009-01-12,11.97,11.99,10.4,10.53,2941500,8.530426
2009-01-13,10.31,10.63,10.01,10.34,3170300,8.376506
2009-01-14,10.07,10.11,9.57,9.71,3510700,7.866138
2009-01-15,9.63,10.56,9.0,9.97,4588200,8.076766
2009-01-16,10.28,10.8,9.53,10.54,3488400,8.538527
2009-01-20,10.43,10.49,8.59,8.66,5257300,7.015526
2009-01-21,9.02,10.01,8.7,9.97,5357900,8.076766
2009-01-22,9.1,9.92,8.96,9.31,4200400,7.542096
2009-01-23,9.01,9.93,8.8,9.84,3058600,7.971452
2009-01-26,9.94,10.21,9.48,9.81,3332100,7.947149
2009-01-27,10.01,10.21,9.42,9.71,2423700,7.866138
2009-01-28,10.21,10.5,9.8,10.45,4696000,8.465617
2009-01-29,10.1,10.25,9.38,9.47,5254600,7.671713
2009-01-30,9.59,9.76,8.75,8.89,3849300,7.201851
2009-02-02,8.63,9.08,8.61,8.94,4202300,7.242356
2009-02-03,8.51,9.11,8.51,8.92,3686300,7.226154
2009-02-04,8.8,9.34,8.64,8.66,3399500,7.015526
2009-02-05,8.53,8.53,7.63,7.73,5725800,6.262127
2009-02-06,9.17,9.17,6.3,7.25,9166500,5.873275
2009-02-09,7.3,7.36,7.01,7.34,3494500,5.946185
2009-02-10,7.24,7.34,6.26,6.37,6703600,5.160381
2009-02-11,6.42,6.65,6.2,6.52,4622800,5.281897
2009-02-12,6.44,6.52,5.9,6.47,5484300,5.241392
2009-02-13,6.39,6.5,5.86,5.87,4498100,4.755328
2009-02-17,5.71,5.71,5.26,5.32,5586900,4.309769
2009-02-18,5.6,5.6,5.15,5.43,5160200,4.398881
