Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,30.0,30.469999,28.75,30.24,1742500,26.061378
2009-01-05,29.940001,30.01,28.780001,29.77,1873300,25.656324
2009-01-06,30.040001,31.440001,29.360001,30.99,2029000,26.707742
2009-01-07,30.52,31.18,29.549999,29.91,2362800,25.776978
2009-01-08,29.5,30.950001,29.5,30.809999,1424100,26.552614
2009-01-09,30.940001,31.18,30.129999,30.15,1186900,25.983815
2009-01-12,30.25,31.379999,29.83,30.24,3155200,26.061378
2009-01-13,29.219999,30.860001,29.209999,30.299999,1664300,26.113087
2009-01-14,29.59,30.190001,27.83,28.09,1629600,24.20847
2009-01-15,27.969999,29.82,27.5,28.74,2210300,24.768651
2009-01-16,29.49,29.790001,28.030001,28.530001,2415900,24.58767
2009-01-20,27.99,28.219999,25.52,25.639999,3474800,22.097015
2009-01-21,26.549999,28.68,25.200001,28.469999,2255700,24.53596
2009-01-22,27.51,27.75,26.23,26.65,2316800,22.967451
2009-01-23,25.559999,27.07,25.290001,26.91,1673000,23.191524
2009-01-26,27.32,27.559999,25.65,26.540001,1487600,22.872653
2009-01-27,26.98,27.26,26.26,27.0,1488200,23.269088
2009-01-28,28.719999,29.299999,27.1,29.139999,2018500,25.113378
2009-01-29,28.34,28.73,26.620001,27.16,1582900,23.406979
2009-01-30,27.02,27.440001,26.27,26.4,2057300,22.751997
2009-02-02,25.98,27.23,25.41,26.85,885000,23.139816
2009-02-03,27.07,27.700001,26.51,27.15,1294600,23.39836
2009-02-04,27.450001,27.950001,25.99,26.15,1977000,22.536542
2009-02-05,24.620001,26.26,22.01,25.82,3652400,22.252142
2009-02-06,26.209999,26.48,24.110001,25.629999,3104400,22.088397
2009-02-09,25.780001,27.059999,25.25,26.52,2183500,22.855416
2009-02-10,26.01,26.52,24.219999,24.51,2687600,21.123161
2009-02-11,25.129999,27.58,24.440001,26.0,1667100,22.40727
2009-02-12,25.309999,25.790001,24.290001,25.620001,1838300,22.07978
2009-02-13,25.629999,26.129999,24.98,25.040001,1246300,21.579925
2009-02-17,21.370001,24.219999,21.370001,23.16,1860200,19.959706
2009-02-18,23.49,23.93,22.73,23.610001,1626200,20.347525
2009-02-19,23.82,23.85,21.879999,22.07,2196600,19.133782
2009-02-20,21.18,22.559999,20.77,21.620001,2735500,18.743651
2009-02-23,21.92,22.49,20.18,20.26,2087000,17.564587
2009-02-24,20.280001,22.690001,20.120001,22.6,2722100,19.59327
2009-02-25,22.559999,22.67,20.68,21.23,2186200,18.405536
2009-02-26,21.620001,22.4,21.43,21.73,2373800,18.839016
2009-02-27,20.58,20.950001,20.16,20.4,3037200,17.68596
2009-03-02,20.030001,20.379999,18.620001,18.76,2209400,16.264148
2009-03-03,19.27,19.33,17.9,18.139999,2812400,15.726633
2009-03-04,17.75,19.35,17.75,18.950001,2134200,16.428871
2009-03-05,18.34,18.620001,16.59,16.950001,1978400,14.694953
2009-03-06,17.48,17.639999,16.34,17.190001,2403900,14.903023
2009-03-09,16.780001,17.799999,16.459999,17.360001,2065200,15.050406
2009-03-10,17.370001,18.860001,17.370001,18.780001,2480200,16.281488
2009-03-11,19.02,19.23,18.15,18.83,2088200,16.324835
2009-03-12,18.74,20.450001,18.200001,20.26,2612900,17.564587
2009-03-13,20.35,20.98,19.540001,20.459999,1724800,17.737977
2009-03-16,20.860001,21.65,20.059999,20.26,1900300,17.564587
2009-03-17,20.17,21.700001,19.610001,21.68,2117200,18.795668
2009-03-18,21.52,23.27,20.870001,23.09,3136400,20.01808
2009-03-19,23.530001,23.74,21.610001,21.73,2383200,18.839016
2009-03-20,22.02,22.02,21.1,21.370001,1781500,18.526911
2009-03-23,22.129999,24.17,22.120001,24.17,2098300,20.954396
2009-03-24,22.879999,24.5,22.629999,23.120001,2000200,20.044089
2009-03-25,23.59,24.32,22.290001,23.639999,2170100,20.494907
2009-03-26,23.58,23.690001,22.709999,23.540001,1851300,20.408212
2009-03-27,22.940001,22.969999,21.879999,22.42,2462100,19.437218
2009-03-30,21.23,21.41,20.18,20.32,1984200,17.616604
2009-03-31,20.780001,21.9,20.58,21.780001,2307500,18.882364
2009-04-01,21.780001,22.629999,20.879999,22.52,1491700,19.523914
2009-04-02,22.85,23.65,22.700001,23.09,1978400,20.01808
2009-04-03,22.860001,23.790001,22.65,23.76,1835600,20.598943
2009-04-06,23.17,23.709999,22.93,23.540001,1223400,20.408212
2009-04-07,22.940001,23.48,22.540001,22.92,1057700,19.870697
2009-04-08,23.299999,24.190001,23.299999,24.08,1702200,20.876369
2009-04-09,24.98,26.040001,23.99,26.030001,2376800,22.56694
2009-04-13,25.4,26.620001,25.049999,26.370001,1503300,22.861706
2009-04-14,25.879999,26.26,24.950001,25.25,2060200,21.890711
2009-04-15,24.76,26.92,24.6,26.75,1201400,23.191149
2009-04-16,26.860001,28.1,26.08,27.790001,1566200,24.092787
2009-04-17,27.959999,28.0,26.940001,27.58,1601200,23.910725
2009-04-20,26.860001,27.32,25.27,25.34,1882400,21.968738
2009-04-21,24.6,27.610001,22.75,27.5,2136700,23.841369
2009-04-22,26.67,28.459999,26.02,27.92,3089500,24.205491
2009-04-23,28.08,29.59,27.65,29.459999,2540100,25.540607
2009-04-24,29.459999,29.6,27.98,28.18,2415300,24.430901
2009-04-27,27.700001,28.379999,27.43,27.559999,1843600,23.893386
2009-04-28,27.51,28.23,27.110001,27.360001,1946500,23.719995
2009-04-29,27.75,28.07,27.4,28.030001,2414600,24.300857
2009-04-30,27.0,27.860001,23.99,24.440001,6063800,21.188475
2009-05-01,25.1,25.1,23.219999,23.41,2194900,20.295507
2009-05-04,23.790001,23.790001,22.290001,23.209999,3940400,20.122114
2009-05-05,23.389999,25.120001,23.24,24.58,2901100,21.309849
2009-05-06,24.6,25.68,24.48,25.469999,2012300,22.081441
2009-05-07,25.82,26.389999,23.74,23.85,3061200,20.676969
2009-05-08,24.139999,25.84,24.139999,25.620001,2128000,22.211487
2009-05-11,23.51,25.1,23.5,23.58,2249200,20.44289
2009-05-12,23.5,23.940001,23.1,23.309999,2094900,20.20881
2009-05-13,22.440001,23.030001,22.01,22.139999,2173100,19.194469
2009-05-14,22.040001,23.48,22.030001,23.23,1538100,20.139454
2009-05-15,23.190001,23.24,22.34,22.58,1646100,19.575931
2009-05-18,23.18,23.84,22.83,23.73,1413500,20.572933
2009-05-19,23.700001,24.219999,23.24,23.51,999500,20.382203
2009-05-20,23.85,24.0,22.5,22.549999,1974800,19.549922
2009-05-21,22.27,22.4,21.65,22.0,2627600,19.200816
2009-05-22,22.049999,22.969999,21.9,22.549999,1407500,19.680835
2009-05-26,22.389999,23.67,22.26,23.57,1499100,20.571055
2009-05-27,23.690001,23.75,22.379999,22.4,1374400,19.549921
2009-05-28,22.639999,23.33,22.41,23.18,1450900,20.230678
2009-05-29,23.18,23.629999,22.809999,23.629999,1045100,20.623421
2009-06-01,23.969999,24.450001,23.5,23.74,1960100,20.719425
2009-06-02,23.67,24.209999,23.65,23.860001,1652100,20.824158
2009-06-03,23.709999,24.17,23.450001,24.059999,1978200,20.99871
2009-06-04,24.15,24.75,24.0,24.459999,1904900,21.347815
2009-06-05,24.469999,25.030001,24.469999,24.91,2608800,21.74056
2009-06-08,24.5,24.799999,24.200001,24.370001,1796000,21.269268
2009-06-09,24.549999,24.59,23.57,23.74,1719700,20.719425
2009-06-10,23.950001,25.110001,23.950001,25.09,3097500,21.897658
2009-06-11,25.200001,25.5,24.93,25.27,1687500,22.054755
2009-06-12,25.129999,25.15,24.209999,24.620001,945400,21.487459
2009-06-15,24.41,24.65,23.85,23.870001,1240000,20.832886
2009-06-16,23.93,24.209999,23.809999,23.809999,989300,20.780519
2009-06-17,23.73,23.9,23.280001,23.32,1115500,20.352864
2009-06-18,23.280001,23.639999,23.190001,23.379999,1333000,20.40523
2009-06-19,23.620001,24.34,23.559999,24.309999,1731200,21.216901
2009-06-22,23.620001,24.15,23.09,23.1,1296000,20.160857
