Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.85,17.219999,16.290001,17.1,9754000,15.663387
2009-01-05,17.389999,17.5,17.02,17.32,9170100,15.864904
2009-01-06,17.379999,17.709999,17.110001,17.49,8735600,16.020622
2009-01-07,17.25,17.26,16.690001,16.870001,9536200,15.452711
2009-01-08,16.889999,16.889999,16.129999,16.540001,10919400,15.150435
2009-01-09,16.610001,16.610001,15.74,15.8,9567400,14.472603
2009-01-12,15.84,15.86,14.79,15.0,11290300,13.739813
2009-01-13,15.05,15.65,14.92,15.41,9888000,14.115368
2009-01-14,15.1,15.4,14.9,15.09,7940600,13.822252
2009-01-15,15.1,15.83,15.0,15.64,8190900,14.326046
2009-01-16,15.88,16.209999,15.44,16.07,8416200,14.71992
2009-01-20,15.69,16.040001,14.99,15.01,8253100,13.748973
2009-01-21,15.25,15.41,14.45,15.26,9542200,13.97797
2009-01-22,15.04,15.31,14.65,15.01,6098500,13.748973
2009-01-23,14.78,16.1,14.78,15.84,8533700,14.509243
2009-01-26,15.74,16.440001,15.64,15.99,7117300,14.646641
2009-01-27,16.190001,17.08,16.17,16.65,10647900,15.251192
2009-01-28,17.25,17.33,16.17,16.33,18625800,14.958077
2009-01-29,16.200001,16.200001,15.52,15.7,9863300,14.381004
2009-01-30,15.87,15.93,15.19,15.38,8201000,14.087889
2009-02-02,15.39,16.0,15.08,15.7,8128400,14.381004
2009-02-03,15.59,16.049999,15.31,15.94,6685500,14.600841
2009-02-04,15.95,16.450001,15.67,15.89,11306300,14.555043
2009-02-05,15.51,16.950001,15.48,16.67,11942900,15.269513
2009-02-06,16.620001,17.030001,16.450001,16.799999,8721000,15.434885
2009-02-09,16.74,16.799999,16.15,16.4,8626000,15.067388
2009-02-10,16.24,16.620001,15.43,15.5,10021800,14.240519
2009-02-11,15.68,15.76,15.1,15.4,8010700,14.148645
2009-02-12,15.44,15.82,15.04,15.69,8106900,14.41508
2009-02-13,15.69,16.27,15.66,16.01,7058300,14.709079
2009-02-17,15.45,15.55,14.8,14.84,11145700,13.634149
2009-02-18,15.06,15.58,14.79,15.19,8208200,13.955709
2009-02-19,15.36,15.36,14.31,14.33,7829300,13.16559
2009-02-20,14.33,14.73,14.03,14.57,11300500,13.386088
2009-02-23,14.57,14.72,13.92,13.97,7665600,12.834843
2009-02-24,14.11,14.7,14.0,14.62,7346400,13.432025
2009-02-25,14.56,15.65,14.42,15.27,9470200,14.029209
2009-02-26,15.66,16.32,15.23,15.26,11450900,14.020021
2009-02-27,15.15,15.73,14.87,15.33,10482700,14.084333
2009-03-02,15.23,15.41,14.48,14.56,9254700,13.376901
2009-03-03,15.15,15.38,14.8,15.13,11481300,13.900585
2009-03-04,15.65,16.58,15.49,16.35,15233100,15.021452
2009-03-05,16.07,16.73,15.76,15.83,13280800,14.543705
2009-03-06,16.0,16.27,15.26,15.77,11260000,14.488581
2009-03-09,15.59,16.51,15.37,15.44,8929200,14.185395
2009-03-10,15.81,16.5,15.69,16.450001,9994400,15.113326
2009-03-11,16.540001,17.16,16.49,16.870001,12142100,15.499198
2009-03-12,16.950001,17.559999,16.799999,17.459999,9528600,16.041255
2009-03-13,17.4,17.540001,17.059999,17.5,8436000,16.078006
2009-03-16,17.6,17.629999,16.530001,16.620001,10307400,15.269513
2009-03-17,16.549999,17.52,16.280001,17.5,8056200,16.078006
2009-03-18,17.4,18.09,17.200001,17.809999,12021800,16.362816
2009-03-19,17.98,18.040001,17.17,17.440001,9443000,16.022882
2009-03-20,17.700001,17.780001,16.959999,17.24,9772200,15.839132
2009-03-23,17.73,18.0,17.32,18.0,8039900,16.537377
2009-03-24,17.639999,17.83,17.33,17.440001,6255300,16.022882
2009-03-25,17.469999,18.059999,17.139999,17.559999,9006700,16.13313
2009-03-26,17.91,18.41,17.73,18.4,7194800,16.904874
2009-03-27,18.0,18.27,17.82,17.98,5080200,16.519002
2009-03-30,17.790001,18.0,17.27,17.459999,5230300,16.041255
2009-03-31,17.700001,17.889999,17.42,17.549999,7617800,16.123942
2009-04-01,17.389999,17.52,16.84,17.469999,9153700,16.050443
2009-04-02,17.85,18.0,17.52,17.73,7677600,16.289316
2009-04-03,17.709999,17.950001,17.35,17.950001,6314000,16.491441
2009-04-06,17.639999,17.75,17.219999,17.540001,6976600,16.114756
2009-04-07,17.4,17.57,16.92,17.129999,7602800,15.73807
2009-04-08,17.389999,17.51,17.049999,17.41,5100100,15.995319
2009-04-09,17.799999,17.959999,17.610001,17.75,5428000,16.307692
2009-04-13,17.58,17.690001,17.1,17.450001,5808800,16.032069
2009-04-14,17.27,17.9,17.219999,17.67,7713700,16.234192
2009-04-15,17.440001,17.49,17.0,17.33,5732800,15.921819
2009-04-16,17.610001,18.129999,17.450001,18.08,7126300,16.610877
2009-04-17,18.09,18.09,17.719999,17.950001,5769700,16.491441
2009-04-20,17.67,17.82,17.32,17.379999,8827600,15.967756
2009-04-21,17.42,17.84,17.049999,17.530001,11711200,16.105569
2009-04-22,16.65,17.43,16.049999,16.74,18878300,15.379761
2009-04-23,16.6,16.690001,15.65,16.15,13405100,14.837702
2009-04-24,16.290001,16.41,15.59,16.290001,8490000,14.966327
2009-04-27,16.02,16.32,15.75,16.0,7301500,14.699891
2009-04-28,15.99,16.0,15.57,15.68,8420000,14.405894
2009-04-29,15.88,16.08,15.67,15.82,7946500,14.534517
2009-04-30,15.92,16.52,15.76,16.309999,9872100,14.984701
2009-05-01,16.219999,16.309999,15.9,16.15,7665900,14.837702
2009-05-04,16.27,16.6,16.18,16.51,8149400,15.16845
2009-05-05,16.48,16.719999,16.120001,16.66,9933900,15.306261
2009-05-06,16.57,17.030001,16.379999,16.799999,7929700,15.434885
2009-05-07,16.83,16.9,15.44,15.67,11558200,14.439681
2009-05-08,15.7,15.83,15.06,15.51,10485500,14.292244
2009-05-11,15.3,15.88,15.15,15.56,5296200,14.338318
2009-05-12,15.52,15.66,14.97,15.26,7829400,14.061872
2009-05-13,15.28,15.4,14.88,15.01,8449800,13.831501
2009-05-14,15.05,15.48,14.99,15.25,7223100,14.052657
2009-05-15,15.34,15.34,14.97,15.2,6925300,14.006583
2009-05-18,15.1,15.44,14.93,15.3,9121000,14.098732
2009-05-19,15.17,16.120001,15.07,15.85,11468800,14.605549
2009-05-20,15.85,16.35,15.69,15.75,8505700,14.5134
2009-05-21,15.6,15.77,15.22,15.46,5653000,14.246169
2009-05-22,15.54,15.84,15.38,15.68,5464200,14.448896
2009-05-26,15.57,16.469999,15.55,16.24,11607200,14.964928
2009-05-27,16.120001,16.85,16.1,16.389999,7510800,15.10315
2009-05-28,16.4,16.870001,16.18,16.780001,8812500,15.462531
2009-05-29,16.780001,17.049999,16.559999,17.02,8198900,15.683687
2009-06-01,17.24,17.75,17.190001,17.66,10717800,16.273438
2009-06-02,17.33,17.440001,16.6,16.709999,14256900,15.398026
2009-06-03,16.530001,16.809999,16.43,16.77,9732100,15.453316
2009-06-04,16.76,17.120001,15.42,16.82,7779000,15.49939
2009-06-05,16.98,17.0,16.4,16.66,7309100,15.351952
2009-06-08,16.639999,17.01,16.43,16.889999,6396900,15.563893
2009-06-09,17.4,17.620001,17.139999,17.440001,9539600,16.070711
2009-06-10,17.42,17.51,16.85,17.34,8756100,15.978563
2009-06-11,17.280001,17.549999,17.040001,17.379999,10807600,16.015421
2009-06-12,17.23,17.25,16.549999,16.75,11648900,15.434886
2009-06-15,16.5,16.639999,16.190001,16.5,8305000,15.204514
2009-06-16,16.5,16.690001,16.16,16.219999,8219400,14.946498
2009-06-17,16.360001,16.620001,16.1,16.5,7043400,15.204514
2009-06-18,16.59,16.59,16.030001,16.15,6355200,14.881994
