Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,25.09,26.74,25.09,26.49,5131800,26.412653
2009-01-05,25.51,26.040001,25.040001,25.530001,7048200,25.455457
2009-01-06,25.790001,26.42,25.549999,26.0,5107200,25.924084
2009-01-07,25.530001,25.790001,24.82,25.549999,5861700,25.475397
2009-01-08,25.0,26.73,24.9,26.719999,9981400,26.641981
2009-01-09,26.629999,26.68,25.610001,25.93,6137200,25.854289
2009-01-12,25.559999,26.299999,25.559999,25.73,6839700,25.654872
2009-01-13,25.73,26.059999,24.65,25.17,8000500,25.096507
2009-01-14,24.66,25.360001,24.52,25.0,8466600,24.927004
2009-01-15,24.99,26.5,24.77,25.85,11022600,25.774522
2009-01-16,26.190001,26.25,25.299999,25.940001,5395700,25.86426
2009-01-20,25.959999,26.01,25.219999,25.27,8042600,25.196216
2009-01-21,25.65,25.799999,24.35,25.25,9285000,25.176274
2009-01-22,24.629999,26.030001,24.6,25.549999,7056800,25.475397
2009-01-23,25.01,25.9,24.879999,25.530001,5635600,25.455457
2009-01-26,24.99,26.08,24.639999,25.07,8818200,24.996799
2009-01-27,25.110001,25.389999,24.08,24.42,8104500,24.348697
2009-01-28,24.98,25.950001,24.77,25.540001,6005900,25.465428
2009-01-29,25.129999,25.290001,24.27,24.360001,4959300,24.288873
2009-01-30,24.4,24.59,23.030001,23.23,6530900,23.162171
2009-02-02,22.799999,23.620001,21.91,22.530001,11630700,22.464216
2009-02-03,22.68,23.9,22.309999,23.84,6658000,23.770391
2009-02-04,23.52,23.9,22.950001,23.129999,6307200,23.062463
2009-02-05,22.91,23.9,22.85,23.700001,5111400,23.6308
2009-02-06,23.559999,24.52,23.5,24.0,5831100,23.929924
2009-02-09,23.940001,24.25,23.370001,24.09,4105700,24.019661
2009-02-10,23.959999,24.23,22.49,22.530001,7241900,22.464216
2009-02-11,23.190001,23.190001,22.200001,22.43,4526300,22.364508
2009-02-12,22.08,22.43,21.5,22.41,7782200,22.344566
2009-02-13,22.299999,22.52,21.879999,22.01,5201400,21.945734
2009-02-17,21.34,21.530001,21.110001,21.16,5494000,21.098216
2009-02-18,21.209999,21.76,21.01,21.290001,6377100,21.227837
2009-02-19,21.48,22.110001,21.26,21.26,5433200,21.197924
2009-02-20,21.15,21.34,20.549999,21.110001,7678400,21.048363
2009-02-23,20.98,21.309999,20.540001,20.610001,4651800,20.549822
2009-02-24,20.719999,21.629999,20.57,21.52,5921100,21.457165
2009-02-25,21.389999,21.870001,20.860001,21.389999,6019800,21.327544
2009-02-26,21.42,21.93,21.02,21.07,6132400,21.008478
2009-02-27,20.9,21.83,20.549999,21.299999,5286700,21.237806
2009-03-02,20.639999,21.4,20.43,20.459999,5275800,20.400259
2009-03-03,20.629999,20.99,19.74,19.93,7358800,19.871808
2009-03-04,20.08,20.93,19.9,20.67,4544500,20.609647
2009-03-05,20.27,20.530001,19.790001,20.08,5237000,20.021369
