Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,27.389999,27.719999,26.459999,26.73,7305000,21.134154
2009-01-05,26.5,26.5,25.309999,25.879999,8143600,20.462099
2009-01-06,26.440001,26.700001,25.0,25.68,9274400,20.303969
2009-01-07,24.68,25.0,23.1,23.290001,10070400,18.757614
2009-01-08,23.16,23.959999,23.030001,23.5,6699600,18.926746
2009-01-09,23.73,23.85,22.99,23.040001,7923000,18.556266
2009-01-12,22.99,23.139999,21.809999,22.17,8711600,17.855573
2009-01-13,22.1,23.190001,21.549999,22.35,9349400,18.000544
2009-01-14,21.66,22.0,21.23,21.780001,9658700,17.54147
2009-01-15,21.719999,21.790001,20.059999,20.99,13139200,16.905208
2009-01-16,21.52,21.969999,19.5,20.83,14634600,16.776346
2009-01-20,20.52,20.9,18.43,18.52,18355600,14.915887
2009-01-21,19.24,20.200001,18.700001,19.700001,20288700,15.866252
2009-01-22,21.5,22.299999,17.559999,19.65,25054000,15.825981
2009-01-23,18.67,20.41,18.5,20.040001,10815400,16.140086
2009-01-26,20.030001,21.360001,19.33,19.719999,10905700,15.882358
2009-01-27,20.16,20.65,19.75,20.549999,8968700,16.550835
2009-01-28,22.209999,23.15,21.77,22.549999,14342100,18.161622
2009-01-29,21.700001,22.469999,20.620001,20.68,10188600,16.655537
2009-01-30,20.99,21.27,19.52,19.790001,7516700,15.938737
2009-02-02,20.01,20.15,18.85,19.32,9144300,15.560201
2009-02-03,19.610001,19.790001,17.67,18.309999,14055400,14.746754
2009-02-04,18.42,19.549999,18.379999,18.73,11460200,15.085019
2009-02-05,18.25,18.57,16.530001,17.43,19882200,14.038008
2009-02-06,18.040001,19.280001,18.0,19.01,12607300,15.31053
2009-02-09,19.43,20.129999,18.889999,19.58,9266000,15.769604
2009-02-10,19.559999,19.58,16.690001,17.09,20666300,13.764174
2009-02-11,17.309999,18.200001,17.0,17.67,12901500,14.231302
2009-02-12,17.059999,17.35,15.56,16.559999,18934600,13.337315
2009-02-13,16.389999,16.469999,14.91,15.33,18109300,12.346682
2009-02-17,14.71,14.89,14.25,14.26,15452100,11.484911
2009-02-18,14.95,15.12,14.16,14.61,15124100,11.766798
2009-02-19,14.98,15.07,13.9,14.06,13079500,11.323832
2009-02-20,13.41,15.0,13.04,14.91,18595100,12.008416
2009-02-23,15.56,16.24,14.56,14.8,20071600,11.919823
2009-02-24,14.9,17.17,14.38,16.879999,21031000,13.595041
2009-02-25,16.610001,17.5,15.51,16.719999,15317900,13.466178
2009-02-26,17.52,19.110001,16.9,17.040001,17246200,13.723905
2009-02-27,16.34,17.040001,16.0,16.129999,12489100,12.990996
2009-03-02,15.53,16.139999,15.24,15.63,12328900,12.5883
2009-03-03,15.85,16.25,15.0,15.32,11891300,12.338628
2009-03-04,15.69,16.0,14.59,15.17,11495500,12.217819
2009-03-05,14.8,15.02,13.12,13.32,17438600,10.727841
2009-03-06,13.52,14.35,12.9,13.73,13328300,11.058052
2009-03-09,13.32,15.07,13.21,14.3,11182600,11.517127
2009-03-10,15.29,16.77,14.76,16.74,18214400,13.482286
2009-03-11,17.120001,18.0,16.610001,17.059999,16023500,13.740012
2009-03-12,16.969999,18.459999,16.65,18.43,12521700,14.843402
2009-03-13,18.5,18.5,16.4,17.280001,13711100,13.917199
2009-03-16,17.719999,18.290001,16.84,16.98,12734500,13.675581
2009-03-17,17.0,17.639999,16.709999,17.530001,15881700,14.118548
2009-03-18,17.139999,19.57,16.799999,19.23,19878400,15.487716
2009-03-19,19.299999,19.5,17.33,17.540001,14358200,14.126602
2009-03-20,18.030001,18.030001,17.0,17.35,11877200,13.973577
2009-03-23,17.940001,19.200001,16.65,19.059999,19652300,15.350799
2009-03-24,18.209999,19.040001,17.639999,18.049999,12423000,14.537351
2009-03-25,18.440001,19.200001,17.219999,18.76,16294200,15.109181
2009-03-26,19.0,19.0,17.66,18.59,12158800,14.972264
2009-03-27,18.4,18.83,17.700001,17.77,8960100,14.311842
2009-03-30,16.77,17.0,16.040001,16.27,15040000,13.103752
2009-03-31,16.52,17.08,16.18,16.92,11341100,13.627257
2009-04-01,16.58,17.41,16.280001,17.34,11933500,13.965523
2009-04-02,18.129999,18.389999,17.18,17.42,13118600,14.029954
2009-04-03,17.34,18.17,17.049999,18.16,8285900,14.625945
2009-04-06,17.51,17.67,16.879999,17.360001,10499200,13.981631
2009-04-07,16.639999,17.52,16.6,16.9,10326200,13.989908
2009-04-08,17.219999,17.290001,16.27,16.700001,8600200,13.824348
2009-04-09,17.790001,20.360001,17.67,20.309999,21907200,16.812724
2009-04-13,19.610001,21.18,18.719999,21.0,13891000,17.38391
2009-04-14,20.040001,21.450001,19.129999,19.33,13504600,16.001475
2009-04-15,19.190001,20.780001,18.65,20.549999,14233600,17.011397
2009-04-16,21.0,21.67,19.469999,21.07,15784200,17.441856
2009-04-17,22.0,24.75,20.5,23.42,36353300,19.387198
2009-04-20,21.559999,22.0,19.540001,19.790001,21975300,16.382266
2009-04-21,19.4,22.15,18.65,22.120001,15396000,18.311052
2009-04-22,21.23,24.049999,21.219999,21.370001,18267500,17.690198
2009-04-23,21.690001,22.24,20.700001,21.99,10550300,18.203437
2009-04-24,22.639999,24.0,21.82,23.42,15550700,19.387198
2009-04-27,22.6,23.26,22.290001,22.440001,9915900,18.57595
2009-04-28,21.84,23.129999,21.530001,22.370001,8859800,18.518003
2009-04-29,22.66,24.219999,22.540001,24.1,10726500,19.950106
2009-04-30,24.43,24.5,23.040001,23.34,9217900,19.320974
2009-05-01,23.67,24.0,22.559999,22.790001,7641200,18.865682
2009-05-04,23.389999,25.84,23.07,25.67,17068400,21.24976
2009-05-05,24.940001,25.65,24.59,24.610001,10711400,20.372287
2009-05-06,25.91,28.48,25.709999,27.700001,20671500,22.930205
2009-05-07,28.67,28.67,24.76,25.34,16691300,20.976584
2009-05-08,26.34,26.700001,24.219999,26.33,18911000,21.796111
2009-05-11,25.0,25.66,24.309999,24.34,17484500,20.148779
2009-05-12,24.629999,25.15,22.209999,22.5,24187600,18.625617
2009-05-13,20.32,22.18,20.23,21.5,85484000,17.797812
2009-05-14,21.940001,22.530001,21.27,22.299999,18538100,18.460056
2009-05-15,22.15,22.33,21.110001,21.629999,14027900,17.905426
2009-05-18,22.16,22.809999,21.68,22.620001,14047900,18.724955
2009-05-19,23.030001,23.5,22.5,22.5,11172600,18.625617
2009-05-20,23.110001,23.209999,21.360001,21.719999,15178200,17.979929
2009-05-21,21.25,21.440001,20.41,20.98,14182100,17.367353
2009-05-22,21.23,21.23,20.26,20.309999,7642300,16.812724
2009-05-26,20.33,21.799999,20.25,21.780001,11873600,18.029598
2009-05-27,21.99,22.51,21.18,21.190001,14016700,17.541193
2009-05-28,21.49,22.0,21.07,21.99,9382100,18.203437
2009-05-29,22.049999,22.5,21.51,22.42,12600400,18.559393
2009-06-01,22.620001,22.709999,21.67,22.23,10224200,18.40211
2009-06-02,22.190001,22.52,21.32,21.52,10894600,17.814369
2009-06-03,21.639999,22.16,21.27,21.65,8575100,17.921983
2009-06-04,21.85,22.309999,21.4,22.26,8434100,18.426944
2009-06-05,22.530001,22.620001,21.18,21.41,9860100,17.72331
2009-06-08,21.360001,22.129999,21.200001,21.93,7258500,18.153769
2009-06-09,22.16,22.75,21.950001,22.450001,10166700,18.584228
2009-06-10,22.700001,22.959999,22.0,22.209999,10535600,18.385553
2009-06-11,22.17,23.200001,22.17,22.559999,10662300,18.675285
2009-06-12,22.5,23.190001,22.450001,23.139999,6551600,19.155412
2009-06-15,22.99,23.1,22.450001,22.6,8657000,18.708398
2009-06-16,22.639999,22.799999,21.889999,22.23,11157100,18.40211
