Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,27.959999,29.16,27.83,29.02,5387700,23.572475
2009-01-05,29.51,30.5,29.379999,30.0,9102800,24.368513
2009-01-06,30.780001,31.73,30.51,31.25,9276600,25.383867
2009-01-07,30.77,30.92,29.290001,29.549999,7594200,24.002984
2009-01-08,28.559999,30.16,28.559999,29.65,7996100,24.084213
2009-01-09,29.76,29.950001,27.82,28.08,10109900,22.808928
2009-01-12,27.719999,28.690001,27.32,27.559999,7604700,22.38654
2009-01-13,27.030001,27.780001,26.5,27.030001,6989900,21.95603
2009-01-14,26.129999,26.5,25.620001,26.120001,9706800,21.216852
2009-01-15,26.0,27.799999,25.559999,27.139999,9646000,22.045381
2009-01-16,27.530001,30.0,27.040001,29.34,20779200,23.832405
2009-01-20,28.889999,29.219999,26.879999,27.23,14217300,22.118486
2009-01-21,27.549999,27.549999,26.309999,27.309999,10407100,22.183469
2009-01-22,27.360001,27.83,26.370001,27.24,10865100,22.126609
2009-01-23,26.58,28.26,26.58,27.65,8324400,22.459645
2009-01-26,27.74,28.889999,27.4,28.219999,7427600,22.922647
2009-01-27,28.389999,29.43,28.0,28.26,8544200,22.955139
2009-01-28,29.35,30.67,29.049999,30.26,12147000,24.579707
2009-01-29,29.879999,30.379999,29.049999,29.16,6724400,23.686194
2009-01-30,29.27,29.33,27.799999,28.02,6308500,22.760191
2009-02-02,27.280001,28.01,26.799999,27.290001,8259000,22.167224
2009-02-03,27.290001,28.93,27.129999,28.559999,7914800,23.198824
2009-02-04,28.24,29.17,27.709999,28.01,8472700,22.752068
2009-02-05,27.940001,29.83,27.75,29.35,10680300,23.840528
2009-02-06,29.25,30.07,29.25,29.84,6626300,24.238547
2009-02-09,29.780001,30.299999,28.879999,30.139999,5747000,24.482232
2009-02-10,29.9,30.76,28.48,28.700001,7190600,23.312544
2009-02-11,29.360001,29.65,28.690001,29.190001,7337400,23.710563
2009-02-12,28.59,30.35,28.58,30.23,12734800,24.555338
2009-02-13,30.129999,30.889999,30.0,30.35,8519500,24.652812
2009-02-17,29.200001,29.469999,27.9,28.17,13078500,22.882033
2009-02-18,28.65,28.76,27.5,27.719999,9324600,22.516505
2009-02-19,28.77,29.4,27.709999,27.889999,9845000,22.654593
2009-02-20,27.59,28.15,27.0,27.9,12133700,22.662716
2009-02-23,28.290001,29.280001,27.379999,27.58,10057900,22.402786
2009-02-24,27.52,28.120001,26.84,27.879999,16270000,22.64647
2009-02-25,27.76,29.0,27.370001,28.200001,10745800,22.906402
2009-02-26,28.6,29.43,28.4,28.76,10459400,23.361281
2009-02-27,28.049999,29.65,28.049999,28.82,11115500,23.410018
2009-03-02,28.290001,28.440001,26.65,26.82,12475400,21.78545
2009-03-03,27.25,28.16,26.49,26.940001,15290400,21.882925
2009-03-04,27.4,28.040001,26.66,27.639999,10940500,22.451522
2009-03-05,27.219999,28.24,25.65,26.02,12059900,21.135624
2009-03-06,25.969999,26.25,23.969999,24.709999,14203300,20.071531
2009-03-09,25.49,25.49,24.6,24.73,11225100,20.087777
2009-03-10,25.299999,28.440001,25.09,28.07,16197600,22.800805
