Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,14.3,14.94,14.3,14.53,2992300,13.996706
2009-01-05,14.56,15.51,14.22,15.22,3177500,14.661382
2009-01-06,15.48,15.59,15.13,15.38,2551900,14.815509
2009-01-07,15.3,15.41,14.85,15.16,2226000,14.603583
2009-01-08,15.04,15.15,14.37,14.94,1993700,14.391658
2009-01-09,14.94,14.94,13.97,14.1,2448900,13.582489
2009-01-12,13.85,14.34,13.54,13.8,2643200,13.2935
2009-01-13,13.78,14.29,13.56,14.01,2139500,13.495792
2009-01-14,13.65,13.65,12.93,13.33,2439200,12.84075
2009-01-15,13.28,14.84,13.0,14.3,3701600,13.775148
2009-01-16,14.57,14.75,13.92,14.59,1986300,14.054504
2009-01-20,14.65,14.73,13.64,13.7,1898300,13.19717
2009-01-21,13.72,14.13,13.55,14.13,2734700,13.611388
2009-01-22,14.02,14.33,13.37,14.11,2409400,13.592121
2009-01-23,13.72,14.34,13.53,14.05,945000,13.534324
2009-01-26,14.14,14.72,13.68,13.95,1422000,13.437994
2009-01-27,14.0,14.06,13.33,13.48,2061100,12.985244
2009-01-28,13.75,14.39,13.67,14.05,1652000,13.534324
2009-01-29,13.85,14.16,13.41,13.44,1005900,12.946712
2009-01-30,13.6,13.83,13.22,13.45,2949400,12.956345
2009-02-02,13.24,13.6,12.62,12.99,4127900,12.513229
2009-02-03,13.07,14.18,13.0,13.96,4094900,13.447627
2009-02-04,13.95,13.95,13.19,13.57,3558800,13.071941
2009-02-05,13.6,14.37,13.34,13.74,3773800,13.235702
2009-02-06,13.95,14.42,13.9,14.25,2119600,13.726983
2009-02-09,14.62,15.36,14.42,15.21,2728500,14.651748
2009-02-10,15.07,15.76,14.94,15.23,4649100,14.671014
2009-02-11,15.5,15.56,14.86,15.32,2446300,14.757711
2009-02-12,15.3,15.39,14.75,15.33,2415900,14.767344
2009-02-13,15.24,15.34,14.55,14.7,1888000,14.160467
2009-02-17,14.4,14.6,13.81,14.32,2254600,13.794414
2009-02-18,14.42,14.51,13.98,14.16,2152500,13.640286
2009-02-19,14.35,14.85,14.17,14.47,2122200,13.938909
2009-02-20,14.17,14.59,13.72,14.14,2956700,13.621021
2009-02-23,14.3,14.55,13.73,13.8,1297300,13.2935
2009-02-24,13.93,14.76,13.85,14.62,3235000,14.083403
2009-02-25,14.34,15.45,14.34,15.18,4691400,14.62285
2009-02-26,15.17,15.6,15.01,15.05,2066400,14.497621
2009-02-27,14.8,15.78,14.58,15.51,2510300,14.940738
2009-03-02,15.39,15.72,14.71,14.75,2608100,14.208632
2009-03-03,14.97,15.05,13.83,14.54,4235700,14.006339
2009-03-04,16.719999,17.77,16.41,17.15,10112200,16.520544
2009-03-05,17.120001,18.1,16.799999,17.040001,5586900,16.414583
2009-03-06,17.43,17.700001,17.040001,17.51,4819100,16.867332
2009-03-09,17.6,18.84,17.0,17.709999,5338400,17.05999
2009-03-10,17.99,19.049999,17.77,18.58,6828100,17.898059
2009-03-11,19.780001,20.940001,19.48,19.809999,7138300,19.082914
2009-03-12,19.65,20.15,19.59,20.059999,4740000,19.323739
2009-03-13,20.0,20.620001,19.799999,20.129999,4042200,19.391169
2009-03-16,20.370001,20.59,19.450001,19.610001,3863400,18.890256
2009-03-17,19.6,20.49,19.51,20.48,2925600,19.728324
2009-03-18,20.26,21.200001,19.9,20.9,3301600,20.132908
2009-03-19,20.83,21.0,20.34,20.58,3120600,19.824654
2009-03-20,20.57,20.57,19.290001,19.68,3085000,18.957687
2009-03-23,20.209999,20.959999,19.73,20.950001,2727800,20.181074
2009-03-24,20.690001,20.969999,20.32,20.58,2708700,19.824654
2009-03-25,20.799999,21.629999,20.34,21.02,2653200,20.248505
2009-03-26,21.280001,22.459999,21.1,22.120001,3272400,21.308132
2009-03-27,21.67,22.1,21.43,21.620001,1156400,20.826483
2009-03-30,21.059999,21.200001,20.549999,21.17,1223800,20.392999
2009-03-31,21.209999,21.360001,20.34,20.780001,1554300,20.017314
2009-04-01,20.379999,21.16,20.1,21.059999,2118300,20.287036
2009-04-02,21.52,22.83,21.440001,22.110001,2495900,21.298499
2009-04-03,21.799999,22.530001,21.76,22.35,2313800,21.52969
2009-04-06,22.219999,22.25,21.360001,21.790001,1927500,20.990244
2009-04-07,21.549999,21.73,21.08,21.370001,1318700,20.585659
2009-04-08,21.440001,22.9,21.440001,22.83,2685800,21.992072
2009-04-09,23.25,24.309999,22.76,24.200001,3318000,23.31179
2009-04-13,23.719999,24.299999,23.209999,24.02,2996300,23.138396
2009-04-14,23.969999,24.82,23.26,24.07,3393500,23.18656
2009-04-15,23.969999,24.610001,23.77,24.41,2752100,23.514081
2009-04-16,24.549999,25.83,24.549999,25.530001,2366000,24.592975
2009-04-17,25.57,26.030001,25.4,25.92,1576700,24.96866
2009-04-20,25.84,26.52,25.290001,25.530001,3120300,24.592975
2009-04-21,25.469999,26.030001,25.0,25.969999,2083400,25.016824
2009-04-22,25.48,27.41,25.290001,26.450001,2389700,25.479208
2009-04-23,26.700001,27.200001,25.25,25.92,4033400,24.96866
2009-04-24,26.02,27.01,26.01,26.809999,2492900,25.825994
2009-04-27,26.629999,27.129999,26.0,26.549999,2471400,25.575536
2009-04-28,26.299999,27.299999,26.299999,26.85,2598900,25.864527
2009-04-29,27.059999,27.4,26.440001,26.68,3311400,25.700766
2009-04-30,27.040001,28.360001,26.799999,27.639999,2670100,26.62553
2009-05-01,27.780001,27.98,26.91,27.09,1446400,26.095718
2009-05-04,27.780001,28.5,27.35,28.35,1919800,27.309472
2009-05-05,27.870001,28.469999,27.35,27.6,2163000,26.586999
2009-05-06,27.879999,27.940001,26.530001,27.0,1951600,26.009021
2009-05-07,26.950001,27.93,25.030001,25.57,3876800,24.631506
2009-05-08,25.52,26.23,24.67,25.5,2129600,24.564075
2009-05-11,24.950001,26.190001,24.549999,25.629999,1959900,24.689303
2009-05-12,25.52,26.120001,24.299999,24.68,2111900,23.774172
2009-05-13,24.25,24.51,23.879999,23.99,1940200,23.109496
2009-05-14,24.030001,24.77,23.84,24.08,1907100,23.196193
2009-05-15,24.02,24.77,23.85,24.280001,1716100,23.388853
2009-05-18,24.5,24.690001,24.1,24.65,1558700,23.745272
2009-05-19,24.5,25.15,24.33,24.639999,1375800,23.735639
2009-05-20,24.870001,25.75,24.59,24.75,2175100,23.841602
2009-05-21,24.67,24.889999,23.9,24.139999,1327100,23.253991
2009-05-22,24.27,24.48,23.559999,23.98,1633200,23.099863
2009-05-26,23.73,25.530001,23.309999,25.280001,2770600,24.352151
2009-05-27,23.639999,24.17,23.26,23.65,6384800,22.781975
2009-05-28,24.870001,24.870001,22.23,22.290001,6276800,21.471893
2009-05-29,23.09,23.1,22.030001,23.01,4163400,22.165466
2009-06-01,23.299999,24.1,23.129999,23.77,2329600,22.897572
2009-06-02,23.98,24.34,23.51,24.059999,2644200,23.176927
2009-06-03,23.93,24.209999,23.450001,24.040001,1943700,23.157662
2009-06-04,24.049999,24.129999,22.959999,23.620001,2501900,22.753078
2009-06-05,23.83,24.030001,23.280001,23.719999,2460800,22.849406
2009-06-08,23.639999,24.370001,23.309999,24.1,2389100,23.21546
2009-06-09,24.25,24.639999,23.959999,24.23,2421300,23.340688
2009-06-10,24.700001,25.0,23.309999,23.809999,2641800,22.936103
2009-06-11,23.799999,23.92,22.73,22.790001,2862800,21.953541
2009-06-12,22.799999,22.799999,22.139999,22.68,1492000,21.847578
2009-06-15,22.450001,22.6,22.120001,22.52,1615900,21.69345
2009-06-16,22.469999,22.530001,21.83,21.879999,2302600,21.076939
2009-06-17,21.790001,21.790001,20.809999,21.41,3225600,20.62419
2009-06-18,21.5,21.5,20.67,20.75,2864800,19.988414
2009-06-19,20.889999,21.1,20.139999,20.24,4371600,19.497132
2009-06-22,20.299999,20.85,19.950001,20.57,2927300,19.81502
2009-06-23,20.66,20.66,19.92,20.110001,3072800,19.371905
2009-06-24,20.280001,20.610001,19.870001,20.030001,2982900,19.294841
2009-06-25,20.52,21.15,20.17,20.93,3848600,20.161808
2009-06-26,20.809999,21.35,20.74,21.16,3480000,20.383366
2009-06-29,21.280001,21.4,20.870001,21.139999,1937100,20.364099
2009-06-30,21.1,21.379999,20.83,21.030001,1913400,20.258138
2009-07-01,21.309999,21.440001,20.98,21.059999,1773900,20.287036
2009-07-02,20.83,20.950001,20.309999,20.32,1749100,19.574196
2009-07-06,20.24,20.469999,19.6,20.0,2204100,19.265941
2009-07-07,19.959999,20.01,19.77,19.790001,2089600,19.06365
2009-07-08,20.15,20.450001,19.950001,20.42,2702500,19.670526
2009-07-09,20.700001,20.700001,19.83,19.99,2095700,19.256308
2009-07-10,19.860001,20.17,19.49,19.76,1453500,19.03475
2009-07-13,19.92,20.52,19.530001,20.440001,2896100,19.689793
2009-07-14,20.299999,20.790001,20.07,20.73,1799800,19.969148
2009-07-15,20.889999,21.1,20.549999,20.889999,1349800,20.123275
2009-07-16,20.780001,21.200001,20.59,21.129999,919800,20.354466
2009-07-17,21.049999,21.790001,21.0,21.6,1740600,20.807217
2009-07-20,21.6,22.08,21.52,22.049999,1507700,21.2407
2009-07-21,22.09,22.09,21.360001,21.59,2247500,20.797584
2009-07-22,21.5,22.26,21.43,22.09,1931100,21.279232
2009-07-23,22.209999,23.280001,21.84,23.110001,2619100,22.261796
2009-07-24,22.969999,23.08,22.4,22.82,1556900,21.982439
2009-07-27,22.73,22.790001,22.299999,22.790001,1526900,21.953541
2009-07-28,22.690001,23.049999,22.66,23.02,1183700,22.175099
2009-07-29,22.85,23.4,22.709999,23.07,1449200,22.223263
2009-07-30,23.440001,23.58,22.959999,23.0,1774700,22.155833
2009-07-31,23.0,23.32,22.84,23.040001,2241200,22.194365
2009-08-03,23.08,23.139999,22.84,23.07,2081200,22.223263
2009-08-04,22.870001,23.299999,22.799999,23.0,1831700,22.155833
2009-08-05,22.950001,23.700001,22.950001,23.629999,2757400,22.762709
2009-08-06,23.629999,24.690001,23.51,23.889999,3089900,23.013166
