Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,24.059999,24.799999,23.77,24.629999,940600,19.759297
2009-01-05,24.59,25.07,24.17,24.93,1863200,19.999972
2009-01-06,25.26,26.27,25.17,26.030001,2333300,20.882442
2009-01-07,25.9,26.27,25.59,25.67,1537400,20.593633
2009-01-08,23.440001,24.940001,23.440001,24.33,3326300,19.518624
2009-01-09,24.110001,24.74,23.52,23.610001,1274400,18.941008
2009-01-12,23.4,23.719999,22.99,23.18,908800,18.596043
2009-01-13,23.290001,23.559999,22.82,23.209999,1617400,18.620109
2009-01-14,22.530001,22.98,22.15,22.309999,996200,17.898089
2009-01-15,22.25,23.389999,22.07,23.1,1650600,18.531863
2009-01-16,23.23,23.440001,22.73,23.34,1324500,18.724402
2009-01-20,23.139999,23.33,22.049999,22.1,1690000,17.729618
2009-01-21,22.32,23.120001,22.1,23.1,1293700,18.531863
2009-01-22,22.709999,23.49,22.559999,23.059999,1415600,18.499773
2009-01-23,22.58,23.48,22.4,23.120001,1187500,18.547908
2009-01-26,23.209999,23.59,22.809999,23.1,945700,18.531863
2009-01-27,22.860001,23.51,22.42,23.0,1220400,18.451638
2009-01-28,23.16,23.5,23.049999,23.34,1182800,18.724402
2009-01-29,22.950001,23.360001,22.83,23.139999,1162700,18.563952
2009-01-30,23.17,23.34,22.450001,22.57,1446400,18.106673
2009-02-02,22.18,22.299999,21.809999,22.059999,1522200,17.697527
2009-02-03,22.34,22.889999,22.01,22.76,1120100,18.2591
2009-02-04,22.799999,23.030001,22.4,22.51,697400,18.058538
2009-02-05,22.450001,22.690001,22.02,22.42,1487400,17.986336
2009-02-06,22.43,23.17,22.4,23.01,1170100,18.459661
2009-02-09,22.959999,23.200001,22.67,22.9,857600,18.371413
2009-02-10,22.66,22.9,21.610001,21.74,1100600,17.440809
2009-02-11,21.809999,21.889999,21.26,21.49,833000,17.420543
2009-02-12,21.129999,21.530001,20.799999,21.48,1018300,17.412436
2009-02-13,21.48,21.49,20.879999,20.879999,894000,16.926055
2009-02-17,20.219999,20.57,19.610001,20.219999,1270600,16.391036
2009-02-18,20.389999,20.49,19.85,20.01,918000,16.220804
2009-02-19,20.24,20.370001,19.209999,19.290001,1415400,15.637147
2009-02-20,19.049999,19.440001,18.870001,19.139999,1344700,15.515551
2009-02-23,19.360001,19.459999,18.27,18.290001,1444700,14.826512
2009-02-24,18.440001,19.33,17.98,19.23,1710600,15.588508
2009-02-25,19.25,19.25,18.610001,18.709999,1205000,15.166977
2009-02-26,18.75,19.34,18.73,18.92,1290600,15.337211
2009-02-27,18.58,19.09,18.5,18.57,1255400,15.053489
2009-03-02,18.200001,18.469999,17.620001,17.73,1073700,14.372556
2009-03-03,17.959999,18.09,17.23,17.309999,1015500,14.032089
2009-03-04,17.559999,18.120001,17.5,17.860001,1228000,14.477939
2009-03-05,17.540001,17.639999,17.059999,17.209999,1078400,13.951025
2009-03-06,17.540001,17.620001,16.85,17.23,1158200,13.967238
2009-03-09,17.02,17.309999,16.969999,17.09,1102200,13.85375
2009-03-10,17.4,17.940001,17.1,17.889999,1172000,14.502257
2009-03-11,18.040001,18.440001,17.9,18.27,1084700,14.810299
2009-03-12,18.280001,18.99,17.92,18.9,1115200,15.320998
