Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,7.72,7.95,7.51,7.88,10787500,7.88
2009-01-05,7.83,7.94,7.52,7.56,13811200,7.56
2009-01-06,7.59,8.1,7.59,7.99,13188800,7.99
2009-01-07,7.84,8.1,7.7,7.76,14419500,7.76
2009-01-08,7.83,7.91,7.52,7.8,12974600,7.8
2009-01-09,7.95,7.97,7.64,7.65,9792800,7.65
2009-01-12,7.65,7.67,7.26,7.35,10912600,7.35
2009-01-13,7.34,7.57,7.06,7.43,10342400,7.43
2009-01-14,7.23,7.43,7.12,7.4,12320500,7.4
2009-01-15,7.42,7.67,7.17,7.6,25982200,7.6
2009-01-16,7.72,7.95,7.66,7.87,21386700,7.87
2009-01-20,7.9,7.95,7.44,7.52,14536900,7.52
2009-01-21,7.63,7.95,7.53,7.88,12708800,7.88
2009-01-22,7.69,8.0,7.65,7.94,10083700,7.94
2009-01-23,7.76,7.81,7.54,7.73,12172000,7.73
2009-01-26,7.93,8.12,7.67,7.96,11254200,7.96
2009-01-27,8.03,8.67,8.0,8.5,23673600,8.5
2009-01-28,8.72,8.82,8.5,8.5,22691100,8.5
2009-01-29,8.6,9.63,8.55,8.76,34715900,8.76
2009-01-30,9.1,9.2,8.8,8.87,15498800,8.87
2009-02-02,8.73,8.86,8.59,8.78,8822200,8.78
2009-02-03,8.91,8.91,8.64,8.77,13589700,8.77
2009-02-04,8.82,9.43,8.66,9.11,13710500,9.11
2009-02-05,9.13,9.43,8.88,9.31,12745000,9.31
2009-02-06,9.33,9.56,9.2,9.41,8063400,9.41
2009-02-09,9.38,9.49,9.07,9.18,9997300,9.18
2009-02-10,9.11,9.18,8.53,8.59,14331500,8.59
2009-02-11,8.96,9.36,8.5,8.8,8066900,8.8
2009-02-12,8.65,8.87,8.54,8.8,11082000,8.8
2009-02-13,8.75,9.0,8.63,8.66,13612200,8.66
2009-02-17,8.97,8.97,8.45,8.55,14328200,8.55
2009-02-18,8.65,8.65,8.31,8.46,12806300,8.46
2009-02-19,8.5,8.77,8.45,8.69,12797200,8.69
2009-02-20,8.36,8.67,7.98,8.18,19590500,8.18
2009-02-23,8.35,8.35,8.04,8.06,13663700,8.06
2009-02-24,8.15,8.39,8.04,8.3,15055300,8.3
2009-02-25,8.26,8.3,7.92,8.05,12574100,8.05
2009-02-26,8.15,8.29,7.43,7.44,18558100,7.44
2009-02-27,7.22,7.29,6.8,7.02,19092400,7.02
2009-03-02,6.87,6.98,6.59,6.64,12581800,6.64
2009-03-03,6.73,6.94,6.6,6.78,15741100,6.78
2009-03-04,6.89,7.17,6.61,7.05,16091600,7.05
2009-03-05,6.86,6.97,6.4,6.46,15788000,6.46
2009-03-06,6.51,6.67,6.08,6.33,16196200,6.33
2009-03-09,6.33,6.44,6.08,6.14,11026600,6.14
2009-03-10,6.26,6.85,6.17,6.7,18457700,6.7
2009-03-11,6.77,6.99,6.56,6.79,14508600,6.79
2009-03-12,6.76,7.24,6.59,7.19,15973300,7.19
2009-03-13,7.24,7.54,7.16,7.42,22499900,7.42
2009-03-16,7.52,7.85,7.52,7.6,13961300,7.6
2009-03-17,7.58,7.63,7.41,7.63,8338100,7.63
2009-03-18,7.43,8.31,7.43,8.19,22332800,8.19
2009-03-19,8.19,8.3,7.65,7.77,13559600,7.77
2009-03-20,7.75,7.92,7.37,7.56,18070800,7.56
2009-03-23,7.62,8.06,7.55,8.05,10578100,8.05
2009-03-24,7.95,8.58,7.82,8.19,17445000,8.19
2009-03-25,8.25,8.43,7.72,8.06,15504200,8.06
2009-03-26,8.23,8.58,8.16,8.57,13895300,8.57
2009-03-27,8.46,8.51,7.95,8.2,20354400,8.2
2009-03-30,8.02,8.12,7.83,7.96,11148600,7.96
2009-03-31,8.1,8.15,7.85,7.95,10539500,7.95
2009-04-01,7.75,8.28,7.65,8.23,12335600,8.23
2009-04-02,8.44,8.6,8.27,8.5,17711800,8.5
2009-04-03,8.6,8.69,8.24,8.39,15511800,8.39
2009-04-06,8.31,8.51,8.31,8.46,12199600,8.46
2009-04-07,8.32,8.54,8.25,8.35,8506500,8.35
2009-04-08,8.37,8.68,8.31,8.66,13138200,8.66
2009-04-09,8.86,9.0,8.71,9.0,10315500,9.0
2009-04-13,8.87,9.04,8.67,8.98,8908200,8.98
2009-04-14,9.08,9.08,8.8,8.92,8366100,8.92
2009-04-15,8.86,9.09,8.78,9.08,9866900,9.08
2009-04-16,9.01,9.2,8.86,9.05,11267000,9.05
2009-04-17,9.06,9.17,8.82,9.02,16756100,9.02
2009-04-20,8.85,8.96,8.6,8.69,11949900,8.69
2009-04-21,8.9,8.97,8.22,8.45,23897000,8.45
2009-04-22,8.35,8.82,8.31,8.66,17059900,8.66
2009-04-23,8.63,8.63,8.14,8.3,12955700,8.3
2009-04-24,8.36,8.62,8.28,8.39,13955000,8.39
2009-04-27,8.34,8.5,8.16,8.23,11951300,8.23
2009-04-28,8.21,8.21,7.97,8.05,10568300,8.05
2009-04-29,8.11,8.41,8.11,8.32,9165600,8.32
2009-04-30,8.45,8.64,8.33,8.41,10582800,8.41
2009-05-01,8.37,8.43,8.16,8.32,6205400,8.32
2009-05-04,8.49,8.7,8.42,8.67,9315100,8.67
2009-05-05,8.65,8.85,8.44,8.62,11398700,8.62
2009-05-06,8.72,8.75,8.37,8.5,11926300,8.5
2009-05-07,8.45,8.96,8.44,8.79,12567700,8.79
2009-05-08,8.88,9.4,8.8,9.31,14549300,9.31
2009-05-11,9.16,9.3,9.05,9.07,7642800,9.07
2009-05-12,9.28,9.36,8.86,9.01,17994500,9.01
2009-05-13,8.84,9.0,8.63,8.67,10922000,8.67
2009-05-14,9.29,9.43,8.72,8.82,20732500,8.82
2009-05-15,8.8,8.94,8.68,8.76,8230000,8.76
2009-05-18,8.84,8.86,8.54,8.83,14494100,8.83
2009-05-19,8.79,9.1,8.66,8.93,12935400,8.93
2009-05-20,8.99,9.12,8.85,8.87,7407100,8.87
2009-05-21,8.8,9.07,8.7,8.8,8031300,8.8
2009-05-22,8.81,9.0,8.75,8.8,6172600,8.8
2009-05-26,8.79,9.16,8.74,9.01,17505400,9.01
2009-05-27,9.07,9.21,8.93,8.98,17649800,8.98
2009-05-28,9.09,9.15,8.91,9.1,11958100,9.1
2009-05-29,9.09,9.43,9.0,9.4,15029700,9.4
2009-06-01,9.5,9.73,9.46,9.55,9785100,9.55
2009-06-02,9.55,10.08,9.55,10.03,18363300,10.03
2009-06-03,10.07,10.08,9.59,9.71,15901400,9.71
2009-06-04,9.76,9.8,9.32,9.4,15023300,9.4
2009-06-05,9.5,9.59,9.3,9.54,9490300,9.54
2009-06-08,9.5,9.51,9.24,9.41,10817000,9.41
2009-06-09,9.5,9.61,9.31,9.4,8604500,9.4
2009-06-10,9.49,9.65,9.27,9.41,6154700,9.41
2009-06-11,9.44,9.6,9.33,9.35,9940100,9.35
2009-06-12,9.45,9.5,9.17,9.37,7202200,9.37
2009-06-15,9.24,9.4,8.94,9.0,8489600,9.0
2009-06-16,9.02,9.23,8.92,9.01,11531300,9.01
