Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,6.87,7.16,6.75,7.14,10470700,70.593968
2009-01-05,7.12,7.5,7.03,7.08,12818400,70.000743
2009-01-06,7.29,7.59,7.28,7.46,11249800,73.75784
2009-01-07,7.22,7.44,7.08,7.15,10528700,70.692838
2009-01-08,7.1,7.34,6.98,7.16,10532500,70.791707
2009-01-09,7.27,7.29,6.66,6.75,14024800,66.737993
2009-01-12,6.54,6.55,5.37,5.6,29449600,55.367817
2009-01-13,5.18,5.96,5.06,5.9,27389700,58.33395
2009-01-14,5.02,5.2,4.44,4.53,51309100,44.788608
2009-01-15,4.64,4.64,3.36,3.83,63453400,37.867631
2009-01-16,4.22,4.48,3.44,3.5,42653100,34.604885
2009-01-20,3.45,3.58,2.8,2.8,38431100,27.683908
2009-01-21,3.12,3.67,2.97,3.67,31235300,36.285695
2009-01-22,3.42,3.52,3.01,3.11,29362700,30.748913
2009-01-23,3.0,3.58,2.98,3.47,26644600,34.308273
2009-01-26,3.67,3.75,3.3,3.33,21284600,32.924076
2009-01-27,3.49,3.64,3.33,3.55,17714200,35.099241
2009-01-28,4.29,4.33,4.04,4.21,37601000,41.624732
2009-01-29,3.99,4.09,3.9,3.9,16636000,38.651539
2009-01-30,3.99,3.99,3.55,3.55,19739800,35.182811
2009-02-02,3.39,3.72,3.32,3.65,17009300,36.173876
2009-02-03,3.85,3.85,3.12,3.46,16658200,34.290851
2009-02-04,3.55,3.82,3.45,3.49,18493500,34.588173
2009-02-05,3.46,3.72,3.2,3.53,21841400,34.984597
2009-02-06,3.18,4.07,3.18,3.91,26148300,38.750644
2009-02-09,4.06,4.1,3.87,3.95,17448200,39.147071
2009-02-10,4.01,4.03,3.26,3.35,29657600,33.200681
2009-02-11,3.57,3.69,3.38,3.69,15698200,36.570304
2009-02-12,3.51,3.66,3.41,3.61,13235700,35.777449
2009-02-13,3.52,3.72,3.49,3.49,13606700,34.588173
2009-02-17,3.25,3.31,3.06,3.06,19249800,30.326592
2009-02-18,3.18,3.2,2.85,2.91,18635600,28.839995
2009-02-19,3.0,3.01,2.5,2.51,23114100,24.875734
2009-02-20,2.2,2.33,1.61,1.95,61771000,19.325769
2009-02-23,2.36,2.48,2.06,2.14,38826800,21.208793
2009-02-24,2.28,2.6,2.06,2.6,36277100,25.767693
2009-02-25,2.69,2.95,2.16,2.52,43757800,24.974841
2009-02-26,2.73,2.83,2.35,2.46,26164000,24.380202
2009-02-27,1.56,1.93,1.4,1.5,186820900,14.865976
2009-03-02,1.5,1.6,1.15,1.2,107799600,11.892781
2009-03-03,1.32,1.39,1.21,1.22,51618500,12.090994
2009-03-04,1.3,1.31,1.11,1.13,48175500,11.199036
2009-03-05,1.1,1.11,0.97,1.02,57908500,10.108864
2009-03-06,1.06,1.08,1.0,1.03,41521800,10.207971
2009-03-09,1.02,1.07,0.99,1.05,24061700,10.406184
2009-03-10,1.24,1.45,1.05,1.45,111511600,14.370444
2009-03-11,1.67,1.72,1.46,1.54,86438900,15.262402
2009-03-12,1.54,1.67,1.48,1.67,51990900,16.550788
2009-03-13,1.83,1.89,1.64,1.78,72675800,17.640958
2009-03-16,1.96,2.68,1.92,2.33,147367800,23.091816
2009-03-17,2.58,2.66,2.31,2.51,69616400,24.875734
2009-03-18,2.6,3.36,2.52,3.08,129964700,30.524804
2009-03-19,3.61,3.89,2.6,2.6,124562500,25.767693
2009-03-20,2.81,2.82,2.4,2.62,60747100,25.965906
2009-03-23,3.31,3.35,2.83,3.13,81343800,31.020337
2009-03-24,3.05,3.13,2.86,3.01,52271100,29.83106
2009-03-25,3.08,3.16,2.67,2.95,64079800,29.23642
2009-03-26,3.03,3.09,2.75,2.81,43143200,27.84893
2009-03-27,2.64,2.73,2.54,2.62,43150400,25.965906
2009-03-30,2.37,2.43,2.25,2.31,44857300,22.893604
2009-03-31,2.55,2.57,2.44,2.53,30679100,25.073946
2009-04-01,2.48,2.75,2.43,2.68,38512100,26.560544
2009-04-02,2.97,2.99,2.68,2.74,52594600,27.155183
2009-04-03,2.75,2.85,2.64,2.85,27997300,28.245355
2009-04-06,2.79,2.81,2.66,2.72,19565400,26.956971
2009-04-07,2.62,2.89,2.61,2.76,36332000,27.353397
2009-04-08,2.83,2.84,2.67,2.7,22628300,26.758758
2009-04-09,3.02,3.08,2.89,3.04,54495400,30.128379
2009-04-13,3.16,3.8,3.12,3.8,83474200,37.660474
2009-04-14,4.22,4.48,3.85,4.01,122225400,39.741709
2009-04-15,3.93,3.98,3.51,3.97,74633200,39.345285
2009-04-16,4.19,4.2,3.97,4.01,73522300,39.741709
2009-04-17,4.15,4.16,3.55,3.65,111530400,36.173876
2009-04-20,3.41,3.43,2.8,2.94,83212100,29.137314
2009-04-21,2.7,3.28,2.61,3.24,70991300,32.110511
2009-04-22,3.2,3.37,3.06,3.25,48982800,32.209616
2009-04-23,3.29,3.29,3.09,3.2,36173500,31.714083
2009-04-24,3.23,3.26,3.09,3.19,32964000,31.614976
2009-04-27,3.05,3.17,3.02,3.07,19385000,30.425699
2009-04-28,2.9,2.98,2.85,2.89,32919800,28.641781
2009-04-29,3.06,3.15,3.0,3.12,22935100,30.921232
2009-04-30,3.26,3.28,3.05,3.05,26594800,30.227486
2009-05-01,3.11,3.14,2.96,2.97,25310700,29.434634
2009-05-04,3.07,3.24,3.05,3.2,31985300,31.714083
2009-05-05,3.29,3.47,3.26,3.31,43485800,32.804253
2009-05-06,3.51,3.98,3.45,3.86,86731300,38.255111
2009-05-07,4.38,4.41,3.5,3.81,103236300,37.759579
2009-05-08,4.19,4.25,3.93,4.02,76724800,39.840818
2009-05-11,3.97,4.03,3.79,3.86,49317200,38.255111
2009-05-12,3.99,3.99,3.66,3.66,48135400,36.272981
2009-05-13,3.57,3.64,3.41,3.41,39301500,33.795318
2009-05-14,3.36,3.64,3.34,3.55,40135000,35.182811
2009-05-15,3.64,3.66,3.45,3.48,23552800,34.489065
2009-05-18,3.64,3.72,3.58,3.64,31057300,36.074771
2009-05-19,3.8,3.87,3.66,3.77,31807300,37.363155
2009-05-20,3.9,4.05,3.62,3.69,38251100,36.570304
2009-05-21,3.67,3.74,3.6,3.72,17093800,36.867622
2009-05-22,3.78,3.79,3.67,3.67,13459800,36.37209
2009-05-26,3.68,3.82,3.68,3.77,18545400,37.363155
2009-05-27,3.82,3.83,3.7,3.7,17682400,36.669409
2009-05-28,3.76,3.76,3.65,3.67,15697000,36.37209
2009-05-29,3.74,3.78,3.68,3.72,14770600,36.867622
2009-06-01,3.76,3.77,3.66,3.69,23989200,36.570304
2009-06-02,3.61,3.63,3.46,3.51,28698400,34.786383
2009-06-03,3.45,3.46,3.32,3.39,21652700,33.597108
2009-06-04,3.43,3.65,3.39,3.57,23279100,35.381025
2009-06-05,3.66,3.67,3.46,3.46,18788600,34.290851
2009-06-08,3.38,3.61,3.37,3.42,28826200,33.894427
2009-06-09,3.42,3.46,3.38,3.41,20904200,33.795318
2009-06-10,3.52,3.62,3.46,3.48,31512100,34.489065
2009-06-11,3.5,3.55,3.46,3.48,16970900,34.489065
2009-06-12,3.47,3.55,3.44,3.47,13907900,34.38996
2009-06-15,3.45,3.47,3.35,3.37,13993300,33.398895
2009-06-16,3.39,3.39,3.25,3.25,18616800,32.209616
2009-06-17,3.22,3.29,3.0,3.08,33844600,30.524804
2009-06-18,3.1,3.16,3.0,3.13,22568500,31.020337
2009-06-19,3.21,3.22,3.13,3.17,20640700,31.416764
2009-06-22,3.14,3.15,2.98,3.0,20456600,29.731953
2009-06-23,3.03,3.06,2.9,3.01,24194400,29.83106
2009-06-24,3.05,3.09,3.0,3.04,13120500,30.128379
2009-06-25,3.05,3.06,2.99,3.03,15376200,30.029272
2009-06-26,3.04,3.05,2.98,3.03,10314600,30.029272
2009-06-29,3.02,3.03,2.99,3.02,10486100,29.930167
2009-06-30,3.01,3.02,2.93,2.97,10893900,29.434634
2009-07-01,3.0,3.07,2.96,2.97,8579200,29.434634
2009-07-02,2.94,2.94,2.88,2.88,11834400,28.542674
2009-07-06,2.86,2.87,2.73,2.79,18996300,27.650716
2009-07-07,2.81,2.81,2.66,2.69,15369700,26.659651
2009-07-08,2.71,2.71,2.55,2.62,21018300,25.965906
2009-07-09,2.67,2.69,2.63,2.69,11436300,26.659651
2009-07-10,2.68,2.68,2.56,2.59,15029100,25.668586
2009-07-13,2.66,2.78,2.61,2.78,22319800,27.551609
2009-07-14,2.9,2.93,2.83,2.92,21927200,28.939102
2009-07-15,3.02,3.21,2.98,3.17,38800900,31.416764
2009-07-16,3.17,3.2,3.01,3.03,33323300,30.029272
2009-07-17,3.18,3.2,2.97,3.02,44758600,29.930167
2009-07-20,3.02,3.04,2.74,2.79,39246600,27.650716
2009-07-21,2.8,2.82,2.63,2.65,36507900,26.263225
2009-07-22,2.67,2.84,2.62,2.8,28412200,27.749823
2009-07-23,2.82,2.88,2.76,2.77,22006000,27.452504
2009-07-24,2.8,2.81,2.67,2.73,17814200,27.056076
2009-07-27,2.72,2.86,2.56,2.69,61937100,26.659651
2009-07-28,2.7,3.05,2.67,2.97,103746800,29.434634
2009-07-29,3.0,3.22,2.95,3.22,107645900,31.912297
2009-07-30,3.3,3.37,3.02,3.14,103950200,31.119444
2009-07-31,3.06,3.18,2.99,3.17,110797800,31.416764
2009-08-03,3.29,3.3,3.14,3.18,64248500,31.515869
2009-08-04,3.14,3.25,3.11,3.25,83574000,32.209616
2009-08-05,3.32,3.61,3.29,3.58,267446300,35.48013
2009-08-06,3.81,3.81,3.59,3.8,128777900,37.660474
2009-08-07,3.98,4.24,3.83,3.85,189881400,38.156006
2009-08-10,4.0,4.11,3.91,3.94,95516100,39.047966
2009-08-11,3.93,3.96,3.57,3.69,91585900,36.570304
2009-08-12,3.77,3.99,3.73,3.98,98883000,39.44439
2009-08-13,4.09,4.14,3.98,4.06,75554200,40.237242
2009-08-14,4.16,4.53,3.91,4.04,112162900,40.039032
2009-08-17,3.87,4.03,3.8,4.0,75873800,39.642604
2009-08-18,4.07,4.15,4.02,4.14,56583600,41.030097
2009-08-19,4.08,4.19,4.05,4.13,59364800,40.930988
2009-08-20,4.19,4.51,4.16,4.48,105945000,44.399716
2009-08-21,4.63,4.86,4.58,4.7,136681800,46.58006
2009-08-24,4.95,5.0,4.76,4.82,120227400,47.769339
2009-08-25,4.88,4.9,4.67,4.75,97316500,47.075592
2009-08-26,4.74,4.75,4.58,4.63,72132900,45.886313
2009-08-27,4.73,5.1,4.66,5.05,121601400,50.048788
2009-08-28,5.29,5.43,5.05,5.23,135999600,51.832704
2009-08-31,5.03,5.11,4.84,5.0,95323100,49.553255
2009-09-01,4.92,5.02,4.52,4.54,126786500,44.994357
2009-09-02,4.42,4.67,4.3,4.56,99545100,45.192567
2009-09-03,4.76,4.82,4.65,4.77,59180800,47.273806
2009-09-04,4.87,4.93,4.8,4.85,57542000,48.066657
2009-09-08,4.98,4.99,4.63,4.68,90059200,46.381846
2009-09-09,4.71,4.76,4.56,4.66,79811100,46.183632
2009-09-10,4.6,4.75,4.53,4.75,116711100,47.075592
2009-09-11,4.74,4.75,4.61,4.61,48006300,45.6881
2009-09-14,4.54,4.57,4.36,4.52,73800800,44.796143
2009-09-15,4.44,4.51,4.11,4.12,131885900,40.831883
2009-09-16,4.27,4.31,4.15,4.2,130674900,41.624734
2009-09-17,4.36,4.56,4.29,4.42,115493400,43.805078
2009-09-18,4.46,4.48,4.26,4.26,125072600,42.219372
2009-09-21,4.24,4.46,4.14,4.43,47905800,43.904183
2009-09-22,4.56,4.68,4.54,4.65,67838100,46.084527
2009-09-23,4.71,4.74,4.52,4.52,59869900,44.796143
2009-09-24,4.62,4.64,4.31,4.43,66450300,43.904183
2009-09-25,4.41,4.51,4.36,4.38,46116500,43.408651
2009-09-28,4.46,4.57,4.44,4.57,31530700,45.291676
2009-09-29,4.76,4.79,4.66,4.7,50099300,46.58006
2009-09-30,4.75,4.84,4.51,4.84,82481600,47.967552
2009-10-01,4.75,4.75,4.52,4.53,48521000,44.895248
2009-10-02,4.4,4.59,4.31,4.52,58853900,44.796143
2009-10-05,4.58,4.68,4.55,4.67,30414200,46.282741
2009-10-06,4.76,4.8,4.64,4.67,47709400,46.282741
2009-10-07,4.64,4.7,4.56,4.64,36917400,45.985422
2009-10-08,4.71,4.72,4.63,4.65,34461800,46.084527
2009-10-09,4.63,4.67,4.59,4.63,28835200,45.886313
2009-10-12,4.67,4.8,4.64,4.77,36251900,47.273806
2009-10-13,4.8,4.88,4.74,4.83,45533900,47.868444
2009-10-14,4.98,5.0,4.9,5.0,58527200,49.553255
2009-10-15,4.8,4.83,4.64,4.75,83405000,47.075592
2009-10-16,4.68,4.69,4.42,4.59,41099000,45.48989
2009-10-19,4.66,4.66,4.51,4.54,30462400,44.994357
2009-10-20,4.59,4.63,4.41,4.43,52459300,43.904183
2009-10-21,4.42,4.56,4.41,4.42,39240200,43.805078
2009-10-22,4.43,4.48,4.39,4.46,30679800,44.201502
2009-10-23,4.54,4.6,4.46,4.46,33523000,44.201502
2009-10-26,4.51,4.53,4.24,4.27,64038500,42.318481
2009-10-27,4.3,4.33,4.23,4.27,33277300,42.318481
2009-10-28,4.23,4.25,4.0,4.08,64507300,40.435455
2009-10-29,4.19,4.35,4.17,4.31,44074000,42.714904
2009-10-30,4.28,4.3,4.02,4.09,53583200,40.534564
2009-11-02,4.1,4.11,3.81,3.99,69051600,39.543499
2009-11-03,3.88,4.05,3.84,4.04,50739000,40.039032
2009-11-04,4.11,4.17,3.96,3.97,48146600,39.345285
2009-11-05,4.05,4.08,4.0,4.06,26644900,40.237242
2009-11-06,3.99,4.06,3.96,4.06,25344400,40.237242
2009-11-09,4.14,4.19,4.1,4.19,23410100,41.525629
2009-11-10,4.15,4.26,4.14,4.18,24568500,41.42652
2009-11-11,4.25,4.28,4.14,4.16,31834100,41.228307
2009-11-12,4.14,4.17,4.05,4.06,20783300,40.237242
2009-11-13,4.1,4.14,4.03,4.05,19618100,40.138137
2009-11-16,4.22,4.25,4.18,4.18,36003600,41.42652
2009-11-17,4.17,4.25,4.16,4.24,20027700,42.021162
2009-11-18,4.24,4.31,4.23,4.29,30598000,42.516694
