Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.870001,18.98,17.870001,18.9,3871600,15.708674
2009-01-05,18.709999,18.709999,18.360001,18.65,5146600,15.500887
2009-01-06,19.040001,19.18,18.690001,18.809999,5373900,15.63387
2009-01-07,18.469999,18.83,17.889999,18.09,5597800,15.035445
2009-01-08,18.059999,18.35,17.67,18.139999,4027600,15.077002
2009-01-09,18.370001,18.65,17.709999,18.42,7267500,15.309724
2009-01-12,18.75,18.75,18.139999,18.280001,4328900,15.193364
2009-01-13,18.25,18.75,18.190001,18.620001,6014300,15.475954
2009-01-14,18.24,18.450001,17.73,17.98,6213700,14.944019
2009-01-15,18.02,18.23,17.440001,17.950001,5366200,14.919085
2009-01-16,18.139999,18.4,17.5,18.0,5588300,14.960642
2009-01-20,18.299999,18.42,17.209999,17.209999,5528900,14.304035
2009-01-21,17.309999,17.82,17.059999,17.540001,6596700,14.578315
2009-01-22,17.209999,17.549999,17.09,17.26,6704000,14.345594
2009-01-23,16.98,17.6,16.91,17.440001,5304900,14.4952
2009-01-26,17.33,17.790001,17.16,17.41,5031600,14.470265
2009-01-27,17.16,17.709999,17.1,17.41,7069600,14.470265
2009-01-28,17.85,18.209999,17.6,17.889999,6475800,14.869215
2009-01-29,17.889999,18.059999,17.200001,17.530001,5392800,14.570004
2009-01-30,17.799999,18.52,17.799999,17.99,10435300,14.95233
2009-02-02,17.969999,18.120001,17.540001,18.01,7757300,14.968954
2009-02-03,17.98,18.360001,17.540001,18.290001,5319900,15.201675
2009-02-04,18.389999,18.709999,18.049999,18.09,5251800,15.035445
2009-02-05,17.610001,18.459999,17.610001,18.290001,7709800,15.201675
2009-02-06,18.43,18.629999,18.15,18.559999,6862900,15.426084
2009-02-09,18.48,18.74,18.34,18.74,4842200,15.57569
2009-02-10,18.559999,18.74,17.82,17.969999,8234700,14.935707
2009-02-11,18.02,18.59,17.950001,18.450001,6998800,15.334659
2009-02-12,18.08,18.700001,17.83,18.68,6902100,15.559555
2009-02-13,18.66,18.790001,18.52,18.65,4695900,15.534566
2009-02-17,17.799999,18.27,17.68,17.84,6241300,14.859875
2009-02-18,17.9,18.1,17.549999,17.58,5855200,14.643307
2009-02-19,17.59,17.66,17.1,17.120001,7526300,14.26015
2009-02-20,17.09,17.559999,16.85,17.459999,9251500,14.543352
2009-02-23,17.17,17.559999,16.76,16.84,6400300,14.026922
2009-02-24,17.049999,17.17,16.17,17.110001,8867400,14.25182
2009-02-25,17.049999,17.280001,16.68,17.040001,6010900,14.193513
2009-02-26,17.02,17.059999,16.33,16.34,6589500,13.610446
2009-02-27,16.43,17.120001,16.219999,16.950001,9375100,14.118548
2009-03-02,16.6,17.1,16.49,16.85,10773300,14.035252
2009-03-03,16.85,17.01,16.370001,16.4,7940100,13.660423
2009-03-04,16.67,16.67,16.24,16.290001,5930700,13.568799
2009-03-05,16.17,16.389999,15.39,15.4,8358900,12.82747
2009-03-06,15.31,16.01,15.13,16.01,10231100,13.335572
2009-03-09,15.96,16.360001,15.56,15.62,5735700,13.01072
2009-03-10,15.67,16.49,15.67,16.49,6565100,13.735388
2009-03-11,16.700001,16.809999,16.35,16.639999,6092800,13.860331
2009-03-12,16.59,17.219999,16.42,17.209999,4352100,14.335114
2009-03-13,17.290001,17.290001,16.709999,16.9,5049100,14.076899
2009-03-16,17.43,17.43,16.690001,16.969999,5994000,14.135205
2009-03-17,16.1,16.530001,15.87,16.530001,9407400,13.768707
2009-03-18,16.49,16.68,16.059999,16.540001,6719500,13.777037
2009-03-19,17.27,17.27,16.540001,16.6,6466900,13.827014
2009-03-20,16.309999,16.67,15.69,15.95,11269600,13.285594
2009-03-23,16.73,17.43,16.059999,17.43,11328700,14.518364
2009-03-24,17.389999,17.43,16.83,16.940001,5693500,14.110218
2009-03-25,16.84,17.35,16.67,17.1,5991600,14.24349
2009-03-26,17.1,17.879999,17.09,17.879999,6559400,14.893192
2009-03-27,17.360001,17.459999,17.120001,17.209999,5002200,14.335114
2009-03-30,17.17,17.32,16.83,17.24,7463300,14.360103
2009-03-31,17.4,17.83,17.200001,17.610001,6404900,14.668296
2009-04-01,17.25,17.91,17.110001,17.799999,5785400,14.826556
2009-04-02,17.959999,18.48,17.73,18.07,8118100,15.051454
2009-04-03,17.790001,18.24,17.74,18.17,6140100,15.134749
2009-04-06,17.200001,17.75,17.18,17.629999,7395800,14.684954
2009-04-07,17.280001,17.780001,17.18,17.280001,7186800,14.393422
2009-04-08,17.389999,17.719999,17.190001,17.68,4729200,14.726603
2009-04-09,17.91,18.08,17.67,18.08,5028900,15.059783
2009-04-13,17.9,18.120001,17.68,17.889999,3237900,14.901522
2009-04-14,17.83,17.870001,17.5,17.68,4264700,14.726603
2009-04-15,17.48,17.629999,16.940001,17.26,7199800,14.376762
2009-04-16,17.5,17.99,17.290001,17.889999,6127600,14.901522
2009-04-17,17.59,18.030001,17.530001,17.950001,4763700,14.9515
2009-04-20,17.08,17.4,16.66,16.93,8110200,14.101888
2009-04-21,16.93,17.379999,16.719999,17.370001,6213200,14.468388
