Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,12.0,12.49,11.93,12.36,2218400,5.223918
2009-01-05,12.26,12.89,12.26,12.86,3964300,5.435241
2009-01-06,12.97,13.47,12.52,12.63,4312600,5.338032
2009-01-07,12.49,12.7,12.11,12.24,2716200,5.1732
2009-01-08,12.23,12.54,12.0,12.54,3156900,5.299994
2009-01-09,12.45,12.68,12.06,12.2,3016200,5.156294
2009-01-12,12.28,12.28,11.67,11.77,3295700,4.974556
2009-01-13,11.79,12.03,11.71,11.9,2625200,5.0295
2009-01-14,11.68,11.68,11.08,11.29,2658000,4.771685
2009-01-15,11.28,11.47,10.95,11.43,3481300,4.830856
2009-01-16,11.59,11.79,11.42,11.66,3633000,4.928065
2009-01-20,11.67,11.72,11.03,11.07,3478900,4.678703
2009-01-21,11.09,11.53,11.0,11.5,3000500,4.860441
2009-01-22,11.3,11.74,11.17,11.65,2999800,4.923838
2009-01-23,11.46,11.68,11.22,11.58,1890700,4.894253
2009-01-26,11.65,12.26,11.55,12.02,2564200,5.080218
2009-01-27,12.07,12.58,12.04,12.2,2550300,5.156294
2009-01-28,12.37,12.58,12.07,12.33,2406400,5.211238
2009-01-29,12.34,12.35,12.0,12.06,1883500,5.097124
2009-01-30,12.14,12.21,11.14,11.23,4119700,4.746326
2009-02-02,11.23,11.4,10.9,11.33,3400700,4.788591
2009-02-03,11.35,11.8,11.22,11.71,2430600,4.949197
2009-02-04,11.85,12.11,11.69,11.86,3305500,5.012594
2009-02-05,11.8,12.15,11.66,12.05,3473000,5.092897
2009-02-06,12.18,12.66,12.13,12.62,2772200,5.333806
2009-02-09,12.59,12.67,12.23,12.41,2868100,5.24505
2009-02-10,12.4,12.55,11.85,11.95,3430000,5.050632
2009-02-11,12.43,13.35,12.37,13.1,6592700,5.536677
2009-02-12,13.12,13.48,12.59,12.98,6059800,5.485959
2009-02-13,13.07,13.57,12.96,13.4,5350900,5.66347
2009-02-17,13.11,13.22,12.75,12.85,5005400,5.431015
2009-02-18,12.76,12.87,12.2,12.46,4840800,5.266182
2009-02-19,12.73,12.89,12.45,12.51,3417300,5.287315
2009-02-20,12.36,12.57,12.0,12.3,4627300,5.198559
2009-02-23,12.39,12.48,11.93,11.98,2987300,5.063312
2009-02-24,12.07,12.34,11.88,12.27,3686600,5.18588
2009-02-25,12.12,12.34,11.95,12.15,3931100,5.135162
2009-02-26,12.32,12.68,11.73,11.8,5914100,4.987235
2009-02-27,11.56,11.77,11.47,11.48,6230900,4.851988
2009-03-02,11.32,11.37,10.66,10.69,4487000,4.518097
2009-03-03,10.8,11.11,10.41,10.53,6085700,4.450473
2009-03-04,10.7,10.91,10.54,10.7,5381800,4.522323
2009-03-05,10.51,10.52,9.91,10.01,4048900,4.230697
2009-03-06,10.13,10.37,9.7,10.0,5253500,4.226471
2009-03-09,9.89,10.23,9.8,9.86,3829100,4.1673
2009-03-10,10.07,10.47,9.92,10.42,5609300,4.403982
2009-03-11,10.51,10.67,10.36,10.48,2839100,4.459298
2009-03-12,10.36,11.31,10.36,11.27,4826900,4.795448
2009-03-13,11.25,11.48,11.05,11.25,4418900,4.786937
2009-03-16,11.55,12.07,11.53,11.57,5193900,4.923099
2009-03-17,11.69,11.95,11.51,11.87,3574900,5.050751
2009-03-18,11.87,12.1,11.67,11.94,3340500,5.080536
2009-03-19,12.08,12.19,11.62,11.73,2954700,4.99118
2009-03-20,11.78,11.93,11.6,11.83,4363600,5.033731
2009-03-23,11.88,12.34,11.88,12.34,5319200,5.250739
2009-03-24,12.24,12.48,11.88,12.29,4481200,5.229463
2009-03-25,12.39,12.7,12.24,12.43,5375600,5.289034
2009-03-26,12.71,13.35,12.61,13.27,4354100,5.646459
2009-03-27,13.03,13.35,12.99,13.23,4272100,5.629438
2009-03-30,13.01,13.19,12.98,13.09,5696100,5.569868
2009-03-31,13.38,13.48,13.0,13.19,5297600,5.612418
2009-04-01,13.02,13.58,12.79,13.49,3179500,5.74007
2009-04-02,13.56,14.55,13.56,14.22,6792900,6.050689
2009-04-03,14.26,14.4,13.95,14.09,4213500,5.995373
2009-04-06,13.95,14.2,13.88,14.0,4031700,5.957078
2009-04-07,13.78,14.07,13.59,13.73,3340700,5.842191
2009-04-08,13.71,14.24,13.63,14.22,3257500,6.050689
2009-04-09,14.72,15.0,14.27,14.55,3533900,6.191106
2009-04-13,14.53,14.6,14.35,14.48,2655500,6.16132
2009-04-14,14.38,14.44,13.99,14.09,3904500,5.995373
2009-04-15,14.0,14.51,13.96,14.37,3116300,6.114515
2009-04-16,14.43,15.18,14.37,15.04,6058800,6.399603
2009-04-17,15.12,15.28,14.58,14.89,5020600,6.335778
2009-04-20,15.46,16.02,15.02,15.27,7795800,6.49747
2009-04-21,15.27,15.67,14.42,14.77,6130200,6.284717
2009-04-22,14.82,15.45,14.78,15.2,4838900,6.467684
2009-04-23,15.25,15.44,14.99,15.4,4188600,6.552785
2009-04-24,15.55,15.85,15.18,15.42,4377800,6.561296
2009-04-27,15.21,15.64,15.05,15.13,5279000,6.437899
2009-04-28,16.030001,16.24,15.66,15.9,8217800,6.765538
2009-04-29,16.32,17.01,16.209999,16.860001,7296300,7.174024
2009-04-30,17.030001,17.219999,16.73,17.059999,7077300,7.259124
2009-05-01,17.02,17.190001,16.82,17.0,3545200,7.233594
2009-05-04,17.110001,17.389999,16.459999,17.33,4933100,7.374011
2009-05-05,17.26,17.360001,16.969999,17.0,4862800,7.233594
2009-05-06,17.290001,17.32,16.889999,17.139999,6354200,7.293165
2009-05-07,17.219999,17.52,17.110001,17.32,6098700,7.369756
2009-05-08,17.559999,17.559999,17.23,17.4,6369700,7.403796
2009-05-11,17.24,17.459999,17.219999,17.34,4339400,7.378266
2009-05-12,17.42,17.719999,17.219999,17.57,4027600,7.476132
2009-05-13,17.389999,17.57,16.790001,16.85,4548700,7.169769
2009-05-14,16.959999,17.440001,16.83,16.93,5674700,7.203809
2009-05-15,16.450001,17.129999,16.450001,16.73,4142100,7.118708
2009-05-18,16.879999,17.200001,16.52,17.200001,2652300,7.318696
2009-05-19,17.16,17.469999,16.91,17.34,4266700,7.378266
2009-05-20,17.469999,17.709999,17.139999,17.200001,3966300,7.318696
2009-05-21,16.98,17.040001,16.629999,16.82,6740300,7.157003
2009-05-22,16.879999,16.969999,16.629999,16.65,2990200,7.084667
2009-05-26,16.530001,17.02,16.42,16.969999,3880600,7.220829
2009-05-27,16.940001,17.139999,16.68,16.68,4657500,7.097433
2009-05-28,16.799999,16.879999,16.450001,16.709999,4621500,7.110197
2009-05-29,16.83,16.889999,16.549999,16.66,7475000,7.088922
2009-06-01,16.92,17.25,16.9,17.1,6526200,7.276145
2009-06-02,17.1,17.809999,17.040001,17.620001,6353200,7.497408
2009-06-03,17.51,17.67,17.1,17.290001,3106100,7.356991
2009-06-04,17.32,17.66,17.16,17.58,3603800,7.480388
2009-06-05,17.700001,17.83,17.32,17.43,3194100,7.416562
2009-06-08,17.33,17.610001,17.24,17.469999,2957000,7.433582
2009-06-09,17.549999,17.549999,17.209999,17.389999,2737000,7.399541
2009-06-10,17.48,17.59,17.17,17.34,4136800,7.408086
2009-06-11,17.33,17.639999,17.33,17.450001,4165600,7.455081
2009-06-12,17.32,17.4,17.07,17.18,2736200,7.33973
2009-06-15,17.09,17.16,16.76,17.040001,4044100,7.279919
2009-06-16,17.129999,17.48,17.129999,17.379999,5449900,7.425175
2009-06-17,17.34,17.440001,17.040001,17.23,3690700,7.361091
