Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,24.18,25.639999,24.18,25.549999,3442300,21.521843
2009-01-05,25.08,25.34,24.34,25.08,5064900,21.125942
2009-01-06,25.52,25.76,25.040001,25.219999,4524100,21.24387
2009-01-07,24.5,24.790001,23.82,24.209999,3478800,20.393104
2009-01-08,24.030001,24.18,23.32,24.129999,3263100,20.325717
2009-01-09,24.709999,24.860001,23.209999,23.610001,4282800,19.8877
2009-01-12,23.42,23.48,22.280001,22.49,3326600,18.944276
2009-01-13,22.09,22.85,22.049999,22.700001,5321500,19.121169
2009-01-14,22.219999,22.27,21.34,21.719999,5528100,18.295672
2009-01-15,21.049999,21.469999,20.110001,20.950001,7470300,17.64707
2009-01-16,21.26,21.549999,20.299999,21.110001,5485300,17.781844
2009-01-20,20.389999,20.74,19.09,19.110001,6941300,16.09716
2009-01-21,19.610001,19.959999,18.92,19.879999,7317600,16.745762
2009-01-22,19.26,19.860001,18.98,19.440001,8031100,16.375133
2009-01-23,18.85,19.59,18.6,19.379999,7018400,16.324591
2009-01-26,19.190001,19.879999,18.799999,19.040001,6224100,16.038196
2009-01-27,19.34,19.889999,19.24,19.58,3246100,16.49306
2009-01-28,20.120001,20.32,19.15,19.969999,8958800,16.821573
2009-01-29,19.25,19.459999,18.48,18.6,11436800,15.667565
2009-01-30,18.950001,19.1,18.139999,18.190001,9391600,15.322205
2009-02-02,17.799999,18.16,17.59,18.01,4926200,15.170583
2009-02-03,18.43,19.09,17.84,18.889999,6135300,15.911844
2009-02-04,19.07,19.559999,18.41,18.48,5248700,15.566483
2009-02-05,18.92,19.559999,18.51,19.33,5781600,16.282475
2009-02-06,19.709999,21.09,19.52,20.700001,6675000,17.436484
2009-02-09,20.59,21.629999,20.24,21.450001,7033200,18.068241
2009-02-10,20.84,21.67,20.790001,21.209999,12068600,17.866077
2009-02-11,21.200001,21.99,21.110001,21.639999,8124200,18.228285
2009-02-12,21.129999,21.299999,20.200001,21.200001,7185000,17.857655
2009-02-13,21.07,21.540001,20.83,20.870001,6051500,17.579682
2009-02-17,20.0,20.34,19.639999,20.02,6397900,16.863691
2009-02-18,20.0,20.030001,19.370001,19.719999,6303100,16.610988
2009-02-19,19.91,20.129999,19.27,19.389999,4502000,16.333015
2009-02-20,18.99,19.719999,18.83,19.4,6825700,16.341438
2009-02-23,19.790001,19.82,18.51,18.57,7044400,15.642294
2009-02-24,19.120001,20.709999,18.9,20.25,9739400,17.05743
2009-02-25,20.629999,20.629999,19.5,19.790001,9629600,16.669953
2009-02-26,20.68,20.969999,19.92,19.99,7844700,16.83842
2009-02-27,20.09,20.1,19.209999,19.559999,12694600,16.476213
2009-03-02,19.16,19.33,18.040001,18.209999,9484600,15.339051
2009-03-03,18.6,18.68,17.66,18.1,10059400,15.246394
