Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,10.18,10.51,10.12,10.45,2204200,7.855724
2009-01-05,10.43,10.78,10.38,10.71,2918300,8.051178
2009-01-06,10.79,11.19,10.73,11.05,4885800,8.306771
2009-01-07,10.88,11.19,10.84,10.87,4517700,8.171457
2009-01-08,10.88,11.29,10.78,11.18,5293800,8.404498
2009-01-09,11.2,11.37,10.99,11.18,4087500,8.404498
2009-01-12,10.79,11.24,10.76,10.99,3880600,8.261666
2009-01-13,11.0,11.1,10.66,10.75,7856200,8.081248
2009-01-14,10.57,10.89,10.4,10.85,6858200,8.156422
2009-01-15,10.89,11.22,10.73,11.15,6025400,8.381945
2009-01-16,11.27,11.36,11.03,11.26,4408200,8.464637
2009-01-20,11.26,11.68,11.17,11.32,6829600,8.509742
2009-01-21,11.54,11.68,11.31,11.63,5429700,8.742782
2009-01-22,11.5,11.79,11.43,11.66,3687000,8.765335
2009-01-23,11.4,12.07,11.33,12.02,6362600,9.035963
2009-01-26,12.1,12.26,12.0,12.12,5615000,9.111137
2009-01-27,12.17,12.2,11.66,11.88,4754600,8.930718
2009-01-28,12.04,12.04,11.69,11.96,3837200,8.990858
2009-01-29,11.9,12.11,11.73,11.81,2677100,8.878097
2009-01-30,11.75,12.1,11.68,11.75,4584000,8.832992
2009-02-02,11.76,12.02,11.65,11.96,2760900,8.990858
2009-02-03,11.9,12.0,11.71,11.81,3420100,8.878097
2009-02-04,11.79,11.8,11.43,11.58,4198300,8.798318
2009-02-05,11.5,11.92,11.43,11.87,3583200,9.018656
2009-02-06,11.88,12.13,11.77,12.09,3922000,9.185809
2009-02-09,12.15,12.15,11.82,11.97,1948400,9.094635
2009-02-10,13.05,13.05,11.49,11.55,3839500,8.775525
2009-02-11,11.58,11.63,11.28,11.42,2721000,8.676753
2009-02-12,11.2,11.6,11.17,11.57,3866500,8.79072
2009-02-13,11.51,11.6,11.36,11.46,2332600,8.707144
2009-02-17,11.24,11.31,10.81,10.81,5553000,8.213284
2009-02-18,10.84,10.87,10.64,10.69,4224500,8.122109
2009-02-19,10.7,10.86,10.47,10.53,3122400,8.000543
2009-02-20,10.36,10.5,10.08,10.41,4363600,7.909369
2009-02-23,10.5,10.64,10.02,10.09,3782800,7.666238
2009-02-24,10.1,10.74,10.1,10.63,6826200,8.076522
2009-02-25,11.36,11.36,9.98,10.75,11978700,8.167696
2009-02-26,10.84,11.14,10.81,11.0,5508900,8.357643
2009-02-27,10.9,11.35,10.76,11.06,6348700,8.40323
2009-03-02,10.84,11.36,10.82,10.99,5624700,8.350045
2009-03-03,11.2,11.21,10.61,10.73,4991100,8.1525
2009-03-04,10.78,11.07,10.75,10.88,4400400,8.266469
2009-03-05,10.61,10.71,10.4,10.57,4849900,8.030935
2009-03-06,10.65,11.01,10.56,10.87,5385300,8.258871
2009-03-09,10.74,11.03,10.58,10.67,5374500,8.106914
2009-03-10,10.84,10.91,10.62,10.69,6345800,8.122109
2009-03-11,10.74,11.01,10.69,10.79,7040800,8.198088
2009-03-12,10.77,11.12,10.64,11.08,8253500,8.418426
2009-03-13,11.2,11.32,11.05,11.28,4673700,8.570383
2009-03-16,11.39,11.63,11.24,11.45,5347300,8.699546
2009-03-17,11.41,11.83,11.24,11.83,4136200,8.988265
2009-03-18,11.71,12.18,11.61,11.89,6545300,9.033852
2009-03-19,12.06,12.06,11.53,11.94,6456800,9.071841
2009-03-20,11.99,12.11,11.8,11.82,3240600,8.980667
2009-03-23,11.95,12.21,11.85,12.2,4298500,9.269386
2009-03-24,12.09,12.17,11.77,12.03,5743200,9.140222
2009-03-25,12.09,12.22,11.66,11.92,3878500,9.056646
2009-03-26,11.96,12.1,11.78,12.05,3880300,9.155418
2009-03-27,11.83,12.02,11.81,11.9,2681700,9.04145
2009-03-30,11.7,11.84,11.61,11.77,2609700,8.942678
2009-03-31,11.84,12.11,11.74,11.84,6714700,8.995863
2009-04-01,11.72,12.0,11.54,11.95,5137700,9.079439
2009-04-02,12.15,12.32,11.88,12.1,7093100,9.193407
2009-04-03,12.1,12.32,12.07,12.2,3704000,9.269386
2009-04-06,12.07,12.27,11.91,12.0,3296100,9.117429
2009-04-07,11.85,12.03,11.76,11.92,3176200,9.056646
2009-04-08,11.91,12.17,11.9,12.11,2163500,9.201005
2009-04-09,12.3,12.3,12.08,12.22,2486000,9.284582
2009-04-13,12.19,12.27,12.0,12.07,2869500,9.170613
2009-04-14,12.05,12.06,11.8,11.8,4031900,8.965472
2009-04-15,12.25,12.25,11.77,11.82,4468200,8.980667
2009-04-16,11.84,12.08,11.81,11.99,2844300,9.109831
2009-04-17,12.05,12.12,11.93,11.94,2205900,9.071841
2009-04-20,11.81,11.97,11.73,11.75,8323400,8.927482
2009-04-21,11.71,11.94,11.71,11.82,3502600,8.980667
2009-04-22,11.74,12.11,11.63,11.9,6770500,9.04145
2009-04-23,11.9,11.92,11.58,11.61,3679700,8.821112
2009-04-24,11.66,11.77,11.5,11.59,4258500,8.805917
2009-04-27,11.4,11.97,11.4,11.75,4713400,8.927482
2009-04-28,11.67,12.02,11.62,11.87,3937800,9.018656
2009-04-29,11.98,12.24,11.9,12.06,4393300,9.163016
2009-04-30,12.07,12.24,11.78,12.02,6135300,9.132625
2009-05-01,12.05,12.21,11.89,12.0,6005200,9.117429
2009-05-04,12.1,12.22,11.96,12.2,4713800,9.269386
2009-05-05,12.16,12.31,12.16,12.2,7262500,9.269386
2009-05-06,12.16,12.19,11.95,12.05,4501800,9.250194
2009-05-07,12.11,12.13,11.82,11.87,6055400,9.112017
2009-05-08,11.89,12.06,11.83,11.91,3996100,9.142723
2009-05-11,11.79,12.08,11.78,11.93,2887000,9.158076
2009-05-12,12.0,12.06,11.89,11.99,4242100,9.204135
2009-05-13,11.99,12.13,11.63,11.67,5457500,8.958487
2009-05-14,11.74,11.82,11.45,11.55,3861500,8.866369
2009-05-15,11.49,11.52,11.21,11.24,2395300,8.628397
2009-05-18,11.32,11.4,11.03,11.2,3222700,8.597691
2009-05-19,11.23,11.54,11.15,11.39,2193200,8.743545
2009-05-20,11.54,11.57,11.17,11.17,3065500,8.574661
2009-05-21,11.1,11.16,10.98,10.99,3039300,8.436484
2009-05-22,10.98,11.1,10.89,11.0,2254000,8.444161
2009-05-26,11.02,11.43,10.94,11.31,2681100,8.682133
2009-05-27,11.34,11.37,10.98,10.98,3608400,8.428807
2009-05-28,10.99,11.17,10.92,11.13,3615400,8.543955
2009-05-29,11.16,11.43,11.0,11.34,3599100,8.705162
2009-06-01,11.45,11.9,11.44,11.87,3688300,9.112017
2009-06-02,11.88,11.96,11.76,11.85,2486600,9.096664
2009-06-03,11.79,11.87,11.56,11.7,3030200,8.981516
2009-06-04,11.75,11.78,11.66,11.73,1889800,9.004545
2009-06-05,11.78,11.9,11.63,11.78,2368900,9.042928
2009-06-08,11.68,11.81,11.61,11.71,3421000,8.989193
2009-06-09,11.42,11.67,11.32,11.57,8309500,8.881721
2009-06-10,11.63,11.76,11.47,11.71,6442900,8.989193
2009-06-11,11.76,12.15,11.74,12.05,8869800,9.250194
2009-06-12,11.99,12.37,11.9,12.3,5085000,9.442107
2009-06-15,12.28,12.33,11.97,12.11,2807700,9.296253
2009-06-16,12.17,12.18,11.82,11.97,4422800,9.188782
2009-06-17,11.96,12.15,11.9,12.06,4199300,9.257871
2009-06-18,12.05,12.24,12.05,12.22,2399900,9.380695
2009-06-19,12.32,12.32,11.96,12.05,3310400,9.250194
2009-06-22,11.95,12.09,11.9,11.97,2602200,9.188782
2009-06-23,11.92,11.99,11.72,11.75,3587500,9.019899
2009-06-24,11.83,12.01,11.74,11.85,2838300,9.096664
2009-06-25,11.8,12.11,11.69,12.06,5832000,9.257871
2009-06-26,12.05,12.14,11.89,11.98,1545400,9.196458
2009-06-29,12.1,12.23,11.92,12.2,1666100,9.365342
2009-06-30,12.19,12.25,11.89,12.08,2643400,9.273224
2009-07-01,12.16,12.36,12.14,12.34,1526300,9.472813
2009-07-02,12.18,12.32,12.05,12.07,2953800,9.265547
2009-07-06,11.99,12.22,11.99,12.12,2159700,9.30393
2009-07-07,12.11,12.18,11.85,11.88,2604700,9.119694
2009-07-08,12.11,12.16,11.68,11.78,2359000,9.042928
2009-07-09,11.84,11.87,11.58,11.81,2488500,9.065958
2009-07-10,11.73,11.9,11.64,11.87,2731900,9.112017
2009-07-13,11.89,12.12,11.78,12.12,3552600,9.30393
2009-07-14,12.12,12.19,11.95,12.15,2683200,9.326959
2009-07-15,12.22,12.4,12.14,12.4,2787500,9.518872
2009-07-16,12.39,12.4,12.17,12.33,2838600,9.465136
2009-07-17,12.33,12.36,12.22,12.29,2049500,9.43443
2009-07-20,12.33,12.41,12.08,12.16,2776900,9.334636
2009-07-21,12.31,12.43,12.2,12.43,2106300,9.541902
2009-07-22,12.37,12.48,12.25,12.33,1967800,9.465136
2009-07-23,12.33,12.73,12.26,12.69,2209400,9.74149
2009-07-24,12.7,12.89,12.59,12.87,2107200,9.879668
2009-07-27,12.83,12.92,12.69,12.78,2675500,9.810579
2009-07-28,12.75,12.75,12.57,12.63,1421800,9.695432
2009-07-29,12.5,12.79,12.5,12.65,2701800,9.710784
2009-07-30,12.71,13.04,12.68,13.03,3545000,10.002492
2009-07-31,12.99,13.07,12.83,12.94,4313500,9.933403
2009-08-03,12.98,13.02,12.78,12.84,3804100,9.856638
2009-08-04,12.87,12.95,12.73,12.92,3382000,9.91805
2009-08-05,12.92,13.02,12.75,12.96,1970000,9.948756
2009-08-06,12.93,13.0,12.7,12.76,1968400,9.890622
2009-08-07,12.85,13.0,12.73,12.91,1524200,10.006891
2009-08-10,12.86,12.94,12.81,12.93,1523100,10.022394
2009-08-11,12.91,13.04,12.85,12.98,2123500,10.06115
2009-08-12,12.9,13.2,12.89,13.07,3144800,10.130911
2009-08-13,13.12,13.23,12.95,13.23,2119200,10.254931
2009-08-14,13.25,13.28,13.07,13.21,2290100,10.239429
2009-08-17,13.08,13.22,13.01,13.13,2170400,10.177419
2009-08-18,13.12,13.18,12.98,13.05,2999900,10.115409
2009-08-19,13.01,13.23,12.98,13.22,2210900,10.247181
2009-08-20,13.24,13.38,13.15,13.36,2249500,10.355698
2009-08-21,13.52,13.69,13.39,13.57,3273600,10.518475
2009-08-24,13.64,13.68,13.43,13.58,3946200,10.526226
2009-08-25,13.65,13.69,13.49,13.53,2816700,10.48747
2009-08-26,13.53,13.6,13.39,13.52,3430200,10.479719
2009-08-27,13.48,13.73,13.41,13.6,3101500,10.541729
2009-08-28,13.73,13.73,13.53,13.64,1841600,10.572734
2009-08-31,13.58,13.63,13.38,13.41,2904900,10.394454
2009-09-01,13.48,13.51,13.2,13.21,5947300,10.239429
2009-09-02,13.19,13.21,12.98,13.02,4984100,10.092155
2009-09-03,13.06,13.11,12.79,12.96,2854700,10.045647
2009-09-04,12.93,13.05,12.82,12.99,1802000,10.068901
2009-09-08,13.0,13.15,12.91,13.15,2947000,10.192921
2009-09-09,13.15,13.2,12.93,12.94,3287700,10.030145
2009-09-10,12.96,13.07,12.92,13.03,1819300,10.099906
2009-09-11,13.03,13.12,12.97,12.99,2664000,10.068901
2009-09-14,12.93,13.23,12.93,13.22,2201600,10.247181
2009-09-15,13.18,13.21,13.04,13.05,5754900,10.115409
2009-09-16,13.04,13.24,13.0,13.16,10001600,10.200673
2009-09-17,13.17,13.35,13.08,13.27,3632800,10.285937
2009-09-18,13.31,13.52,13.29,13.43,3982000,10.409957
2009-09-21,13.44,13.48,13.27,13.44,2828600,10.417708
2009-09-22,13.45,13.56,13.33,13.38,2154100,10.371201
2009-09-23,13.42,13.64,13.35,13.38,3456400,10.371201
2009-09-24,13.41,13.54,13.32,13.35,1947600,10.347947
2009-09-25,13.33,13.47,13.25,13.35,1790000,10.347947
2009-09-28,13.36,13.6,13.33,13.51,1220800,10.471967
2009-09-29,13.56,13.64,13.48,13.51,2381700,10.471967
2009-09-30,13.53,13.53,13.3,13.4,3044100,10.386703
2009-10-01,13.39,13.42,13.21,13.21,2937100,10.239429
2009-10-02,13.14,13.29,13.05,13.21,2695700,10.239429
2009-10-05,13.23,13.35,13.09,13.3,2203000,10.309191
2009-10-06,13.31,13.43,13.24,13.35,2227000,10.347947
2009-10-07,13.31,13.38,13.23,13.3,1948000,10.309191
2009-10-08,13.36,13.38,13.24,13.25,5165900,10.270434
2009-10-09,13.3,13.56,13.23,13.47,2325900,10.440962
2009-10-12,13.47,13.69,13.47,13.59,3121900,10.533978
2009-10-13,13.58,13.65,13.44,13.63,3816100,10.564983
2009-10-14,13.7,13.76,13.62,13.76,4758400,10.665749
2009-10-15,13.72,13.88,13.65,13.75,2878900,10.657998
2009-10-16,13.68,13.82,13.56,13.75,1480500,10.657998
2009-10-19,13.73,13.9,13.62,13.88,2510100,10.758764
2009-10-20,13.88,13.98,13.69,13.92,4245600,10.789769
2009-10-21,13.91,14.13,13.79,13.88,3825400,10.758764
2009-10-22,13.87,13.92,13.75,13.81,2302300,10.704506
2009-10-23,13.81,13.98,13.54,13.59,3580400,10.533978
2009-10-26,13.63,13.96,13.5,13.53,5070100,10.48747
2009-10-27,13.56,13.65,13.43,13.52,3288800,10.479719
2009-10-28,13.52,13.59,13.37,13.4,3925400,10.386703
2009-10-29,13.42,13.78,13.32,13.74,7638200,10.650246
2009-10-30,13.3,13.75,13.25,13.3,7015300,10.309191
