Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,32.099998,34.200001,31.65,34.02,4069200,8.505
2009-01-05,33.529999,34.34,33.009998,33.349998,7444800,8.3375
2009-01-06,34.130001,35.23,33.139999,34.599998,5938800,8.65
2009-01-07,33.75,33.950001,31.74,32.0,5647600,8.0
2009-01-08,32.290001,33.0,31.450001,32.91,4781200,8.2275
2009-01-09,32.639999,32.790001,30.719999,31.530001,6386000,7.8825
2009-01-12,31.4,31.49,30.469999,30.85,3714000,7.7125
2009-01-13,30.24,31.219999,28.98,29.629999,11997600,7.4075
2009-01-14,29.370001,29.370001,27.290001,27.860001,11250400,6.965
2009-01-15,28.139999,28.74,27.07,27.690001,11600000,6.9225
2009-01-16,28.389999,28.43,26.280001,28.129999,13016800,7.0325
2009-01-20,27.879999,28.360001,25.9,26.07,11439200,6.5175
2009-01-21,27.09,27.67,25.83,27.57,9241200,6.8925
2009-01-22,26.85,26.93,26.030001,26.48,7372400,6.62
2009-01-23,25.91,27.57,25.91,27.09,6079200,6.7725
2009-01-26,27.200001,28.559999,26.93,27.5,9273600,6.875
2009-01-27,27.52,27.85,26.700001,27.4,7326000,6.85
2009-01-28,28.110001,29.93,28.1,29.389999,12048000,7.3475
2009-01-29,29.139999,29.139999,27.43,27.6,8058400,6.9
2009-01-30,27.84,28.08,26.5,26.610001,6169200,6.6525
2009-02-02,26.5,26.860001,25.950001,26.639999,9271200,6.66
2009-02-03,27.190001,30.200001,27.190001,30.0,18879200,7.5
2009-02-04,30.02,30.33,28.93,29.33,9054800,7.3325
2009-02-05,28.790001,31.139999,28.52,30.719999,10538000,7.68
2009-02-06,29.93,30.0,27.66,29.040001,29706400,7.26
2009-02-09,28.799999,29.959999,28.75,28.92,9272400,7.23
2009-02-10,28.91,29.09,26.49,26.85,21502000,6.7125
2009-02-11,27.17,28.0,26.51,27.23,13372000,6.8075
2009-02-12,26.92,27.139999,26.23,27.08,9430000,6.77
2009-02-13,27.01,27.32,26.51,26.860001,11282400,6.715
2009-02-17,26.59,26.59,25.639999,25.940001,10872000,6.485
2009-02-18,26.379999,26.379999,25.709999,25.77,12310800,6.4425
2009-02-19,26.290001,26.48,25.68,25.93,14269200,6.4825
2009-02-20,25.549999,26.18,25.190001,26.049999,16829200,6.5125
2009-02-23,26.549999,26.610001,25.51,26.0,16053600,6.5
2009-02-24,25.73,27.780001,25.440001,27.469999,14177600,6.8675
2009-02-25,27.469999,28.219999,27.120001,28.1,28096000,7.025
2009-02-26,28.200001,28.68,26.1,28.549999,32952800,7.1375
2009-02-27,27.950001,29.32,27.59,28.0,15602000,7.0
2009-03-02,27.52,27.959999,27.030001,27.32,9213600,6.83
2009-03-03,27.549999,28.700001,27.4,28.16,10670800,7.04
2009-03-04,28.73,30.610001,28.629999,30.02,12776800,7.505
