Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,6.39,6.88,6.33,6.86,654000,6.491989
2009-01-05,6.82,7.25,6.72,7.06,926800,6.68126
2009-01-06,7.13,7.78,7.12,7.73,1675100,7.315317
2009-01-07,7.68,7.71,7.16,7.27,1031100,6.879994
2009-01-08,7.25,7.56,7.17,7.49,781600,7.088192
2009-01-09,7.48,7.53,7.2,7.34,1086900,6.946239
2009-01-12,7.33,7.43,7.23,7.3,910900,6.908385
2009-01-13,7.26,7.47,7.17,7.28,1285700,6.889458
2009-01-14,7.17,7.29,6.9,7.01,1263100,6.633942
2009-01-15,7.03,7.19,6.74,7.08,1526300,6.700187
2009-01-16,7.16,7.29,6.98,7.24,943400,6.851603
2009-01-20,6.65,7.23,6.56,6.73,1720200,6.368963
2009-01-21,6.77,7.11,6.75,7.1,1547500,6.719114
2009-01-22,6.97,7.4,6.83,6.99,1850800,6.615015
2009-01-23,6.84,7.11,6.64,6.96,1868800,6.586625
2009-01-26,6.97,7.25,6.35,7.07,2147200,6.690724
2009-01-27,7.1,9.05,7.1,8.39,4947100,7.939911
2009-01-28,8.46,8.63,8.1,8.32,1937800,7.873666
2009-01-29,8.25,8.46,8.13,8.16,1111300,7.722249
2009-01-30,8.05,8.26,7.47,7.53,1535300,7.126047
2009-02-02,7.46,7.89,7.25,7.81,1171700,7.391025
2009-02-03,7.95,7.95,7.55,7.68,919900,7.267999
2009-02-04,7.68,7.88,7.56,7.72,724200,7.305853
2009-02-05,7.54,8.44,7.54,8.2,1500000,7.760103
2009-02-06,8.24,8.47,8.09,8.22,1142000,7.779031
2009-02-09,8.35,8.35,7.92,8.02,870500,7.58976
2009-02-10,7.98,8.13,7.59,7.63,890000,7.220682
2009-02-11,7.66,7.8,7.47,7.73,656600,7.315317
2009-02-12,7.61,7.79,7.41,7.76,863000,7.343708
2009-02-13,7.8,7.89,7.54,7.59,585700,7.182828
2009-02-17,7.26,7.29,6.67,6.88,990300,6.510916
2009-02-18,7.01,7.02,6.67,6.78,846600,6.416281
2009-02-19,6.83,6.98,6.63,6.73,945400,6.368963
2009-02-20,6.58,6.75,6.39,6.58,776300,6.22701
2009-02-23,6.74,6.75,6.26,6.28,715800,5.943104
2009-02-24,6.31,6.8,6.21,6.72,945700,6.359499
2009-02-25,6.68,6.68,6.22,6.42,1396400,6.075593
2009-02-26,6.45,6.62,6.31,6.32,647200,5.980958
2009-02-27,6.26,6.63,6.15,6.45,943400,6.103984
2009-03-02,6.34,6.49,6.12,6.18,1161500,5.848468
