Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,77.400002,78.010002,76.330002,77.809998,340500,68.022463
2009-01-05,77.75,78.199997,76.349998,77.870003,443000,68.074921
2009-01-06,77.779999,78.650002,76.669998,77.169998,420000,67.462968
2009-01-07,75.290001,76.809998,75.269997,75.660004,547800,66.142912
2009-01-08,75.43,77.150002,74.809998,76.779999,354700,67.122026
2009-01-09,76.779999,76.910004,74.830002,75.139999,359000,65.688318
2009-01-12,74.830002,75.129997,74.0,74.580002,351100,65.198761
2009-01-13,74.650002,74.980003,73.339996,74.019997,498700,64.709198
2009-01-14,72.93,73.309998,71.139999,72.129997,411500,63.056937
2009-01-15,71.980003,73.040001,70.519997,73.040001,529000,63.852473
2009-01-16,75.669998,75.669998,72.779999,74.0,505000,64.691716
2009-01-20,74.260002,74.989998,73.139999,73.139999,648400,63.939893
2009-01-21,73.410004,75.139999,72.129997,75.139999,657400,65.688318
2009-01-22,73.730003,74.720001,73.029999,73.82,491300,64.534358
2009-01-23,72.029999,73.260002,71.669998,71.980003,499900,62.92581
2009-01-26,72.209999,73.849998,71.959999,72.849998,403200,63.686371
2009-01-27,72.900002,74.0,72.699997,73.790001,378900,64.508133
2009-01-28,74.160004,74.879997,72.449997,73.720001,499500,64.446938
2009-01-29,73.0,75.019997,72.559998,74.910004,807400,65.487253
2009-01-30,75.209999,78.389999,75.209999,76.0,964000,66.440141
2009-02-02,75.669998,78.470001,75.32,78.150002,603900,68.319699
2009-02-03,78.080002,80.0,77.870003,79.589996,782600,69.57856
2009-02-04,79.769997,80.440002,78.720001,79.559998,685300,69.552335
2009-02-05,79.0,80.650002,78.800003,80.389999,476900,70.277933
2009-02-06,80.269997,81.529999,79.889999,81.400002,461400,71.160889
2009-02-09,81.0,81.489998,79.989998,81.209999,311200,70.994787
2009-02-10,80.449997,81.209999,78.010002,78.489998,620800,68.616928
2009-02-11,76.5,78.989998,76.5,78.32,457700,68.468314
2009-02-12,77.309998,78.639999,76.209999,78.559998,446400,68.678123
2009-02-13,77.860001,78.830002,77.510002,77.709999,498300,67.935044
2009-02-17,78.480003,79.379997,74.169998,75.43,726700,65.94184
2009-02-18,75.720001,76.410004,75.010002,75.410004,443700,65.924359
2009-02-19,75.839996,76.419998,74.480003,74.610001,441000,65.224987
2009-02-20,72.07,74.720001,71.150002,73.82,755100,64.534358
2009-02-23,74.489998,74.870003,72.220001,72.809998,690700,63.651402
2009-02-24,72.980003,74.18,71.75,73.980003,697900,64.674235
2009-02-25,73.760002,74.900002,72.910004,73.809998,610700,64.525614
2009-02-26,73.879997,74.330002,72.290001,73.370003,845600,64.140965
2009-02-27,72.919998,75.339996,72.589996,73.970001,656600,64.665491
2009-03-02,72.900002,74.279999,71.239998,71.550003,690400,62.549899
2009-03-03,72.300003,72.559998,71.309998,71.720001,1211100,62.698513
2009-03-04,71.709999,73.519997,71.629997,72.57,921700,63.743781
2009-03-05,71.800003,72.110001,70.209999,70.620003,758300,62.03095
2009-03-06,70.949997,71.830002,70.18,71.760002,1025200,63.032298
2009-03-09,71.010002,71.849998,69.489998,69.800003,708100,61.310681
2009-03-10,70.610001,71.110001,68.970001,71.059998,871300,62.417431
2009-03-11,71.510002,72.589996,70.480003,71.93,847400,63.181621
2009-03-12,71.940002,74.059998,71.370003,74.040001,585200,65.034996
