Date,Open,High,Low,Close,Volume,Adj Close
2012-10-03,20.0,20.75,18.549999,19.299999,3182500,19.299999
2012-10-04,19.299999,19.299999,18.66,19.23,2296700,19.23
2012-10-05,19.42,19.42,18.25,18.719999,1008100,18.719999
2012-10-08,18.629999,18.66,18.34,18.5,459500,18.5
2012-10-09,18.49,18.49,18.200001,18.25,678700,18.25
2012-10-10,18.0,18.040001,17.0,17.35,3911800,17.35
2012-10-11,17.5,17.780001,17.26,17.389999,1925000,17.389999
2012-10-12,17.17,18.43,17.17,18.01,1349400,18.01
2012-10-15,18.02,18.870001,18.02,18.73,927800,18.73
2012-10-16,18.549999,19.290001,18.49,18.959999,1102000,18.959999
2012-10-17,18.9,19.25,18.629999,18.709999,490000,18.709999
2012-10-18,18.700001,19.35,18.65,19.35,1395000,19.35
2012-10-19,19.35,19.530001,18.76,18.950001,2793600,18.950001
2012-10-22,18.9,18.950001,18.41,18.469999,981600,18.469999
2012-10-23,18.469999,18.540001,17.950001,18.4,804800,18.4
2012-10-24,18.35,18.66,18.1,18.65,829000,18.65
2012-10-25,18.99,18.99,18.5,18.870001,161200,18.870001
2012-10-26,18.9,18.950001,18.25,18.6,736000,18.6
2012-10-31,18.25,18.92,18.23,18.700001,668700,18.700001
2012-11-01,19.23,19.23,18.5,18.610001,237700,18.610001
2012-11-02,18.799999,18.799999,18.290001,18.32,254100,18.32
2012-11-05,18.4,18.4,18.1,18.32,192700,18.32
2012-11-06,18.5,18.950001,18.299999,18.440001,576000,18.440001
2012-11-07,18.469999,18.469999,17.83,18.0,846800,18.0
2012-11-08,17.75,18.110001,17.75,18.0,121900,18.0
2012-11-09,17.91,18.49,17.91,18.209999,185800,18.209999
2012-11-12,18.1,18.16,18.0,18.040001,93400,18.040001
2012-11-13,17.85,18.24,17.85,18.059999,232500,18.059999
2012-11-14,18.5,18.639999,18.27,18.290001,410100,18.290001
2012-11-15,18.379999,18.52,17.91,18.040001,402900,18.040001
2012-11-16,18.01,18.059999,17.73,18.049999,145900,18.049999
2012-11-19,17.91,18.120001,17.91,17.959999,209000,17.959999
2012-11-20,17.870001,18.16,17.860001,18.040001,226300,18.040001
2012-11-21,17.950001,18.059999,17.889999,17.969999,117700,17.969999
2012-11-23,17.950001,18.120001,17.870001,18.07,50800,18.07
2012-11-26,18.139999,18.559999,18.09,18.43,312300,18.43
2012-11-27,18.33,18.780001,18.26,18.57,124600,18.57
2012-11-28,18.65,18.73,18.389999,18.51,249300,18.51
2012-11-29,18.35,18.690001,18.35,18.57,637100,18.57
2012-11-30,18.540001,18.540001,18.209999,18.5,329300,18.5
2012-12-03,18.35,18.42,18.219999,18.27,89200,18.27
2012-12-04,18.4,18.4,18.120001,18.23,147800,18.23
2012-12-05,18.200001,18.32,18.200001,18.23,181000,18.23
2012-12-06,18.35,18.360001,18.09,18.23,141200,18.23
2012-12-07,18.35,18.75,18.18,18.5,277300,18.5
2012-12-10,18.5,18.629999,18.43,18.530001,173600,18.530001
2012-12-11,18.370001,18.719999,18.32,18.719999,263200,18.719999
2012-12-12,18.75,18.77,18.5,18.77,121900,18.77
2012-12-13,18.68,18.75,18.59,18.73,147700,18.73
2012-12-14,18.75,18.93,18.709999,18.92,244300,18.92
2012-12-17,18.9,19.02,18.76,18.84,172300,18.84
2012-12-18,18.84,18.91,18.65,18.790001,83300,18.790001
2012-12-19,18.75,18.75,18.450001,18.540001,183200,18.540001
2012-12-20,18.65,18.84,18.639999,18.639999,117600,18.639999
2012-12-21,18.469999,19.01,18.469999,19.01,586400,19.01
2012-12-24,19.030001,19.15,18.940001,18.98,140400,18.98
2012-12-26,18.950001,19.040001,18.83,19.030001,188500,19.030001
2012-12-27,19.059999,19.360001,18.959999,19.200001,195900,19.200001
2012-12-28,19.200001,19.200001,18.99,19.139999,207300,19.139999
