Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,31.51,32.830002,31.09,32.650002,2971400,15.18833
2009-01-05,32.009998,32.27,30.67,31.08,4459400,14.457987
2009-01-06,31.309999,31.700001,30.389999,31.18,5353600,14.504506
2009-01-07,30.52,31.01,30.459999,30.91,6067400,14.378906
2009-01-08,30.709999,31.129999,30.290001,31.129999,6049400,14.481246
2009-01-09,31.200001,31.440001,30.450001,30.57,6694000,14.220742
2009-01-12,30.58,30.58,29.120001,29.51,3920600,13.727645
2009-01-13,29.48,29.809999,28.459999,28.73,4975200,13.3648
2009-01-14,28.33,28.780001,27.82,28.360001,3311800,13.192681
2009-01-15,27.93,29.540001,27.790001,29.030001,5938600,13.504356
2009-01-16,25.65,26.49,24.5,26.110001,25330200,12.146012
2009-01-20,25.49,27.030001,24.75,26.120001,9216800,12.150664
2009-01-21,26.139999,26.42,25.690001,26.26,6570000,12.21579
2009-01-22,25.790001,26.68,25.540001,26.57,6867400,12.359997
2009-01-23,26.030001,26.09,25.049999,25.299999,5699800,11.769211
2009-01-26,25.59,25.950001,25.33,25.639999,3099000,11.927374
2009-01-27,25.540001,26.030001,25.450001,25.809999,3625200,12.006456
2009-01-28,26.25,27.059999,26.049999,26.9,4476800,12.513509
2009-01-29,26.9,27.07,26.6,26.790001,4510400,12.462339
2009-01-30,26.959999,27.0,26.129999,26.25,3766600,12.211138
2009-02-02,26.129999,26.129999,25.5,25.870001,4954000,12.034368
2009-02-03,25.950001,26.370001,25.889999,26.18,5822600,12.178575
2009-02-04,25.75,26.4,25.65,26.190001,6070200,12.183227
2009-02-05,25.889999,27.1,24.76,26.82,12135600,12.476294
2009-02-06,26.700001,28.639999,26.219999,28.120001,7858600,13.081037
2009-02-09,28.15,28.9,28.15,28.73,4539000,13.3648
2009-02-10,28.530001,28.73,26.549999,26.780001,5549600,12.457687
2009-02-11,27.129999,27.290001,26.620001,26.83,5400800,12.480946
2009-02-12,26.51,27.379999,26.200001,27.379999,3939800,12.736798
2009-02-13,27.440001,27.5,26.85,26.889999,3240200,12.508857
2009-02-17,25.0,26.559999,25.0,25.76,4482400,11.983197
2009-02-18,25.68,25.74,25.139999,25.48,4283000,11.852944
2009-02-19,25.709999,25.959999,25.07,25.200001,3480200,11.722693
2009-02-20,24.98,25.26,24.469999,24.73,5613600,11.504055
2009-02-23,24.99,24.99,23.290001,23.309999,7988000,10.84349
2009-02-24,23.469999,23.809999,23.129999,23.51,5774800,10.936528
2009-02-25,23.41,23.68,22.93,23.280001,3666200,10.829535
2009-02-26,23.48,23.610001,22.82,22.879999,4158800,10.64346
2009-02-27,22.6,23.129999,22.41,22.65,3273200,10.536467
2009-03-02,22.26,22.5,21.1,21.110001,5656400,9.820081
2009-03-03,21.780001,21.870001,20.950001,20.969999,7489400,9.754954
2009-03-04,21.23,22.129999,21.02,21.74,6323200,10.113148
2009-03-05,21.610001,21.610001,20.4,20.58,5695000,9.573532
2009-03-06,20.51,21.1,20.25,20.66,8800400,9.610747
2009-03-09,20.32,20.540001,19.809999,19.950001,4750000,9.280465
2009-03-10,20.219999,21.02,20.15,21.02,4767200,9.778214
2009-03-11,21.17,21.48,20.75,21.1,3639200,9.815429
2009-03-12,21.01,21.700001,20.690001,21.6,3994800,10.048022
2009-03-13,21.690001,22.200001,21.48,22.139999,3006600,10.299222
2009-03-16,22.540001,22.83,22.280001,22.280001,3073800,10.364349
2009-03-17,22.48,23.059999,22.32,23.059999,3987200,10.727194
2009-03-18,22.98,24.110001,22.82,23.690001,6033600,11.020262
2009-03-19,23.58,24.07,23.51,23.6,4397200,10.978395
2009-03-20,23.65,23.879999,23.17,23.209999,3436400,10.796971
2009-03-23,23.379999,24.799999,23.379999,24.799999,3075800,11.536618
2009-03-24,24.57,25.41,24.559999,25.049999,3907800,11.652914
2009-03-25,25.17,25.85,24.700001,25.25,3544800,11.745952
2009-03-26,25.469999,26.02,24.98,26.0,4079600,12.094841
2009-03-27,25.82,25.870001,25.16,25.719999,3146400,11.964589
2009-03-30,25.24,25.52,24.27,24.639999,3694800,11.462188
2009-03-31,24.709999,25.219999,24.280001,24.65,3903200,11.46684
2009-04-01,24.309999,25.290001,24.030001,25.129999,2659400,11.690129
2009-04-02,25.719999,27.16,25.450001,26.790001,5549800,12.462339
2009-04-03,26.860001,26.91,26.209999,26.68,2748400,12.411168
2009-04-06,26.59,26.83,26.23,26.83,4120400,12.480946
2009-04-07,25.299999,25.49,24.42,24.98,5777400,11.620351
2009-04-08,24.969999,25.74,24.83,25.74,4096600,11.973893
2009-04-09,26.540001,26.82,25.959999,26.700001,3871200,12.420472
2009-04-13,26.75,27.08,26.309999,26.969999,3329800,12.546072
2009-04-14,26.870001,26.870001,26.129999,26.370001,4877200,12.266961
2009-04-15,26.26,26.49,25.92,26.24,2440600,12.206486
2009-04-16,26.280001,27.0,26.01,26.879999,3080000,12.504205
2009-04-17,26.9,28.08,26.9,27.98,4408200,13.01591
2009-04-20,27.52,27.639999,26.41,26.43,2550600,12.294872
2009-04-21,26.290001,27.440001,26.290001,27.360001,3043800,12.727495
2009-04-22,26.85,28.24,26.530001,27.9,5858600,12.978695
2009-04-23,27.950001,28.040001,27.51,27.969999,4319000,13.011258
2009-04-24,28.139999,29.33,28.049999,29.280001,4178200,13.620653
2009-04-27,28.610001,28.870001,28.08,28.200001,5452600,13.118251
2009-04-28,27.92,28.620001,27.68,28.4,4726200,13.211288
2009-04-29,28.85,29.09,28.17,28.620001,4916000,13.31363
2009-04-30,29.15,30.540001,28.91,29.9,5048400,13.909067
2009-05-01,29.549999,31.690001,29.549999,31.129999,7604800,14.481246
2009-05-04,32.889999,37.0,32.57,36.880001,22871600,17.156068
2009-05-05,36.439999,36.5,34.369999,34.560001,12604200,16.076836
2009-05-06,34.810001,35.009998,32.990002,33.560001,9408200,15.61165
2009-05-07,34.099998,34.52,33.41,33.639999,3726200,15.648864
2009-05-08,34.09,34.540001,33.799999,33.900002,3971800,15.769813
2009-05-11,33.790001,34.169998,33.16,33.849998,3659000,15.746552
2009-05-12,33.889999,33.93,32.790001,33.220001,4011400,15.453486
2009-05-13,32.439999,32.73,31.99,32.0,4981400,14.885959
2009-05-14,32.150002,32.720001,32.040001,32.189999,4342400,14.974343
2009-05-15,32.09,32.830002,32.0,32.080002,4218200,14.923174
2009-05-18,32.25,33.450001,32.150002,33.360001,4388200,15.518612
2009-05-19,33.220001,33.52,32.889999,33.080002,2632000,15.388361
2009-05-20,33.43,34.279999,33.060001,33.16,3830400,15.425575
2009-05-21,32.84,32.900002,31.700001,32.040001,3986400,14.904567
2009-05-22,32.07,32.880001,31.940001,32.400002,3145400,15.072034
2009-05-26,32.220001,33.41,32.119999,33.27,3316600,15.476745
2009-05-27,33.189999,33.529999,32.509998,32.619999,1861800,15.174374
2009-05-28,32.939999,33.259998,31.76,32.43,2093400,15.085989
2009-05-29,32.470001,33.080002,32.200001,33.080002,3257000,15.388361
2009-06-01,33.459999,34.5,33.459999,34.369999,2310400,15.988449
2009-06-02,34.16,34.68,34.080002,34.41,2542600,16.007057
2009-06-03,34.23,34.549999,33.490002,33.810001,2652600,15.727946
2009-06-04,33.91,34.330002,33.209999,33.959999,2280600,15.797723
2009-06-05,34.290001,34.599998,33.549999,33.720001,1564800,15.68608
2009-06-08,33.630001,33.889999,33.209999,33.599998,1406200,15.630256
2009-06-09,33.77,34.060001,33.380001,33.709999,2006200,15.681427
2009-06-10,33.93,34.240002,32.959999,33.650002,2600000,15.653517
2009-06-11,33.740002,34.630001,33.740002,34.150002,3676000,15.88611
2009-06-12,34.07,34.220001,33.459999,33.93,1874800,15.783768
2009-06-15,33.529999,33.669998,32.400002,32.68,3166200,15.202285
2009-06-16,32.740002,32.810001,31.209999,31.27,4151200,14.546373
2009-06-17,31.18,31.52,30.98,31.120001,2941400,14.476595
2009-06-18,31.200001,31.379999,30.77,31.370001,2427600,14.592892
2009-06-19,31.65,31.9,31.32,31.440001,2061400,14.625455
2009-06-22,31.040001,31.17,30.57,30.59,2088200,14.230046
2009-06-23,31.48,32.07,31.209999,31.610001,3067000,14.704536
2009-06-24,31.620001,33.0,31.620001,32.43,3294000,15.085989
2009-06-25,32.380001,33.439999,32.220001,33.380001,3254600,15.527916
2009-06-26,33.23,33.490002,32.669998,32.82,3582000,15.267411
2009-06-29,32.82,33.360001,32.630001,33.18,1260800,15.434879
2009-06-30,33.240002,33.240002,32.240002,32.669998,2487000,15.197633
2009-07-01,32.66,33.650002,32.57,33.5,2438200,15.583738
2009-07-02,33.16,33.16,32.389999,32.43,1752600,15.085989
2009-07-06,32.220001,32.799999,32.029999,32.5,1631800,15.118552
2009-07-07,32.32,32.5,31.309999,31.49,4048600,14.648714
2009-07-08,31.75,31.75,30.879999,31.17,4028600,14.499854
2009-07-09,31.219999,31.26,30.440001,30.559999,3261000,14.21609
2009-07-10,30.24,30.719999,30.0,30.27,2125400,14.081187
2009-07-13,30.280001,31.4,30.15,31.370001,3137600,14.592892
2009-07-14,31.389999,31.870001,30.969999,31.780001,2833800,14.783618
2009-07-15,32.080002,33.029999,32.029999,33.029999,2575000,15.3651
2009-07-16,32.75,33.549999,32.75,33.389999,1704200,15.532567
2009-07-17,33.299999,33.470001,33.040001,33.209999,1705000,15.448834
2009-07-20,33.549999,34.040001,33.18,34.040001,1746200,15.834939
2009-07-21,34.34,34.59,33.5,33.939999,2062200,15.788419
2009-07-22,33.790001,34.189999,33.77,34.080002,1884600,15.853547
2009-07-23,34.119999,35.709999,33.959999,35.560001,2365200,16.542022
2009-07-24,35.439999,35.669998,34.799999,35.619999,2149400,16.569932
2009-07-27,35.720001,35.779999,34.849998,35.490002,1566400,16.509459
2009-07-28,35.220001,35.889999,35.0,35.75,2394800,16.630407
2009-07-29,35.599998,36.279999,35.299999,35.75,2921600,16.630407
2009-07-30,36.040001,37.209999,35.98,36.509998,4169000,16.983948
2009-07-31,36.610001,36.939999,36.299999,36.439999,2095000,16.951385
2009-08-03,36.599998,36.84,36.029999,36.619999,3583800,17.035118
2009-08-04,36.450001,36.950001,36.150002,36.689999,2196000,17.067681
2009-08-05,36.619999,36.73,35.860001,36.360001,1910200,16.914171
2009-08-06,36.32,36.689999,35.98,36.189999,2212800,16.835088
2009-08-07,36.59,37.860001,36.360001,37.209999,3428600,17.309578
2009-08-10,37.139999,37.41,36.830002,37.310001,3314200,17.356098
2009-08-11,37.200001,37.529999,36.779999,36.98,2189800,17.202586
2009-08-12,36.939999,38.209999,36.91,37.639999,4366400,17.509609
2009-08-13,36.599998,38.0,36.529999,37.799999,5414000,17.584038
2009-08-14,37.389999,37.57,35.82,36.080002,5554800,16.783919
2009-08-17,35.599998,35.630001,34.900002,35.0,5614000,16.281517
2009-08-18,35.07,35.25,34.66,34.84,4781200,16.207088
2009-08-19,34.630001,35.110001,34.529999,35.0,3113200,16.281517
2009-08-20,34.939999,35.48,34.16,35.380001,4688400,16.458289
2009-08-21,35.560001,36.080002,35.189999,35.84,3046200,16.672274
2009-08-24,35.830002,36.16,35.490002,35.610001,1502400,16.565281
2009-08-25,35.720001,36.279999,35.529999,35.939999,1736600,16.718792
2009-08-26,35.860001,36.110001,35.700001,35.900002,2023800,16.700186
2009-08-27,35.98,36.349998,35.650002,36.25,1580000,16.863
2009-08-28,37.0,37.169998,36.310001,36.57,3224000,17.01186
2009-08-31,36.27,36.400002,35.73,35.849998,1701600,16.676925
2009-09-01,35.59,36.16,34.639999,34.700001,2838800,16.141962
2009-09-02,34.720001,34.720001,33.689999,34.0,4965600,15.816331
2009-09-03,33.990002,34.16,33.139999,33.68,3589400,15.667472
2009-09-04,33.73,34.619999,33.66,34.580002,2149600,16.08614
2009-09-08,34.639999,34.990002,34.490002,34.669998,2239400,16.128005
2009-09-09,34.529999,35.25,33.82,34.290001,4222800,15.951236
2009-09-10,34.240002,34.700001,34.16,34.48,4610200,16.03962
2009-09-11,34.52,34.630001,34.110001,34.25,3303800,15.932628
2009-09-14,34.029999,34.68,33.889999,34.619999,2260800,16.104746
2009-09-15,34.509998,35.130001,34.459999,34.91,3127800,16.23965
2009-09-16,34.91,35.529999,34.810001,35.490002,2414200,16.509459
2009-09-17,35.48,36.060001,35.27,35.419998,2534000,16.476895
2009-09-18,35.779999,37.169998,35.57,36.790001,6334800,17.114201
2009-09-21,36.400002,36.889999,36.240002,36.759998,3663200,17.100244
2009-09-22,36.849998,37.509998,36.5,37.32,4366800,17.360749
2009-09-23,37.450001,37.91,36.900002,36.98,3808400,17.202586
2009-09-24,37.279999,37.349998,36.040001,36.139999,3020000,16.811829
2009-09-25,36.09,36.630001,35.799999,35.830002,1738400,16.667623
2009-09-28,36.02,36.880001,35.93,36.360001,1510800,16.914171
2009-09-29,36.549999,37.110001,36.490002,36.709999,1883400,17.076985
