Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,10.34,10.9,10.2,10.86,14849200,10.326519
2009-01-05,10.73,11.0,10.58,10.7,25037100,10.174379
2009-01-06,10.82,11.54,10.72,11.33,31762500,10.773431
2009-01-07,11.12,11.45,10.98,11.18,21739800,10.6308
2009-01-08,11.74,12.05,11.45,11.89,46849900,11.305922
2009-01-09,11.9,11.98,11.55,11.75,19055000,11.172799
2009-01-12,11.73,11.73,11.41,11.57,18514400,11.001641
2009-01-13,11.42,11.65,11.16,11.28,28428400,10.725887
2009-01-14,11.0,11.49,10.96,11.21,26660000,10.659326
2009-01-15,11.16,11.46,10.93,11.23,31182200,10.678343
2009-01-16,11.5,11.6,10.92,11.27,28327000,10.716379
2009-01-20,11.05,11.22,10.43,10.51,28825900,9.993713
2009-01-21,10.68,10.98,10.48,10.96,20309400,10.421607
2009-01-22,10.69,11.05,10.69,10.9,26518900,10.364554
2009-01-23,10.66,11.31,10.56,11.16,23157800,10.611782
2009-01-26,11.39,11.62,10.87,10.99,31311500,10.450133
2009-01-27,10.65,11.13,10.56,10.69,46889900,10.16487
2009-01-28,10.91,11.67,10.82,11.6,32690300,11.030168
2009-01-29,11.44,11.5,11.19,11.43,19675700,10.868519
2009-01-30,11.51,11.52,11.0,11.04,19817700,10.497677
2009-02-02,10.94,11.42,10.91,11.26,23069800,10.70687
2009-02-03,11.38,11.43,11.0,11.38,23301100,10.820975
2009-02-04,10.63,11.7,10.63,11.32,21796800,10.763922
2009-02-05,11.18,11.87,11.1,11.77,25753800,11.191817
2009-02-06,11.64,12.1,11.64,11.95,26657100,11.362974
2009-02-09,11.93,12.59,11.77,12.51,34338900,11.895466
2009-02-10,12.36,12.52,11.8,11.92,28067300,11.334448
2009-02-11,11.96,12.31,11.89,12.05,29267800,11.458062
2009-02-12,11.89,12.0,11.5,11.95,50909300,11.362974
2009-02-13,11.89,12.22,11.83,12.06,28288400,11.467571
2009-02-17,11.8,11.95,11.66,11.71,27496800,11.134764
2009-02-18,11.76,11.97,11.67,11.86,29720200,11.277395
2009-02-19,11.94,12.0,11.15,11.19,38275900,10.640308
2009-02-20,10.99,11.31,10.8,11.01,32417000,10.469151
2009-02-23,11.15,11.19,10.6,10.65,27003800,10.126835
2009-02-24,10.72,10.95,10.52,10.82,24078900,10.288484
2009-02-25,10.74,11.31,10.63,11.07,29593400,10.526203
2009-02-26,11.17,11.26,10.78,10.8,23862800,10.269467
2009-02-27,10.59,10.79,10.5,10.5,23034900,9.984204
2009-03-02,10.31,10.58,10.01,10.14,26876300,9.641888
2009-03-03,10.1,10.44,10.05,10.15,26355300,9.651396
2009-03-04,10.28,10.85,9.94,10.6,33585800,10.079292
2009-03-05,10.32,10.6,10.0,10.05,28976800,9.556309
2009-03-06,10.12,10.28,9.68,9.93,25280200,9.442204
2009-03-09,9.61,10.0,9.61,9.85,25705600,9.366134
2009-03-10,10.1,10.73,9.98,10.66,33522800,10.136344
2009-03-11,10.72,10.76,10.31,10.63,33935500,10.107818
2009-03-12,10.58,11.02,10.38,10.96,31110800,10.421607
2009-03-13,10.7,10.88,10.6,10.68,32822500,10.155362
2009-03-16,10.74,10.88,10.5,10.61,20321500,10.0888
2009-03-17,10.7,10.98,10.5,10.98,21406900,10.440624
2009-03-18,10.81,11.63,10.71,11.34,44368100,10.78294
2009-03-19,11.46,11.66,11.18,11.48,36818900,10.916062
2009-03-20,11.5,11.92,11.21,11.29,31285300,10.735396
2009-03-23,11.52,11.87,11.36,11.87,33671400,11.286904
2009-03-24,11.71,11.99,11.58,11.85,24567200,11.267887
2009-03-25,11.93,12.06,11.32,11.54,36261000,10.973115
2009-03-26,11.66,12.05,11.55,12.01,35320000,11.420027
2009-03-27,11.86,11.93,11.57,11.57,20071100,11.001641
2009-03-30,11.26,11.41,11.05,11.21,25160900,10.659326
2009-03-31,11.36,11.72,11.26,11.4,26237700,10.839992
2009-04-01,11.2,11.91,10.91,11.67,38014600,11.096729
2009-04-02,11.98,12.43,11.91,12.12,32032800,11.524623
2009-04-03,12.15,12.63,12.0,12.49,23468600,11.876448
2009-04-06,12.37,12.4,12.01,12.37,23247900,11.762343
2009-04-07,12.17,12.36,11.88,11.88,26603100,11.296413
2009-04-08,12.43,12.91,12.3,12.61,37628300,11.990553
2009-04-09,12.57,13.4,12.21,13.25,44989500,12.599114
2009-04-13,12.9,13.1,12.7,12.71,36650700,12.085641
2009-04-14,12.79,13.02,12.6,12.75,22406800,12.123676
2009-04-15,12.65,12.84,12.25,12.5,23628600,11.885957
2009-04-16,12.74,12.93,12.55,12.86,24282700,12.228272
2009-04-17,12.87,12.93,12.7,12.81,24693600,12.180729
2009-04-20,12.42,12.6,12.26,12.47,18847400,11.857431
2009-04-21,12.14,12.5,12.07,12.47,26306700,11.857431
2009-04-22,12.44,12.95,12.26,12.7,28792200,12.076132
2009-04-23,12.24,12.59,11.93,12.17,47657700,11.572167
2009-04-24,12.23,12.23,11.51,11.96,50125400,11.372483
2009-04-27,11.65,12.23,11.55,11.8,32848800,11.220343
2009-04-28,11.66,12.16,11.63,12.03,20136200,11.439044
2009-04-29,12.11,12.5,11.75,12.28,28508600,11.676764
2009-04-30,12.36,12.7,12.31,12.53,22781400,11.914483
2009-05-01,12.54,12.6,12.15,12.45,18868000,11.838413
2009-05-04,12.41,12.84,12.26,12.84,20926300,12.209255
2009-05-05,12.77,12.92,12.63,12.8,18523700,12.17122
2009-05-06,12.9,13.0,12.54,12.78,27054800,12.152202
2009-05-07,12.9,12.9,12.17,12.33,34382900,11.724308
2009-05-08,12.45,12.75,12.3,12.64,30782500,12.01908
2009-05-11,12.47,12.73,12.31,12.34,20602800,11.733817
2009-05-12,12.49,12.49,12.05,12.12,16656400,11.524623
2009-05-13,12.05,12.05,11.65,11.77,22543900,11.191817
2009-05-14,11.79,12.0,11.58,11.88,27338800,11.296413
2009-05-15,11.93,12.1,11.85,11.94,18765000,11.353465
2009-05-18,12.02,12.09,11.79,12.03,19811900,11.439044
2009-05-19,11.97,12.39,11.92,12.19,25978500,11.591185
2009-05-20,12.3,12.3,11.78,11.83,27745300,11.248869
2009-05-21,11.73,11.81,11.52,11.78,25502600,11.201325
2009-05-22,11.78,11.89,11.56,11.61,19517500,11.039676
2009-05-26,11.51,12.08,11.51,12.02,25353200,11.429536
2009-05-27,12.06,12.39,11.98,12.08,28600000,11.486588
2009-05-28,12.16,12.24,11.61,11.76,38352200,11.182308
2009-05-29,11.85,11.85,11.57,11.75,25087100,11.172799
2009-06-01,11.82,12.46,11.82,12.42,37303200,11.809887
2009-06-02,12.21,12.95,12.19,12.85,54292700,12.218764
2009-06-03,12.51,12.86,12.29,12.48,23858500,11.866939
2009-06-04,12.52,12.86,12.5,12.84,24137200,12.209255
2009-06-05,12.94,12.99,12.6,12.88,21577200,12.24729
2009-06-08,12.64,12.94,12.55,12.83,14530500,12.199746
2009-06-09,12.8,13.1,12.77,12.86,19958800,12.228272
2009-06-10,12.83,12.96,12.63,12.88,16629500,12.24729
2009-06-11,12.83,13.23,12.8,13.08,20073300,12.437465
2009-06-12,13.01,13.28,12.74,13.26,21410100,12.608623
2009-06-15,13.09,13.27,12.86,12.98,19295200,12.342377
2009-06-16,13.13,13.13,12.62,12.62,18554300,12.000062
2009-06-17,12.72,12.8,12.45,12.68,15961600,12.057115
2009-06-18,12.71,13.01,12.55,12.88,19649900,12.24729
2009-06-19,12.93,13.24,12.89,13.1,24378300,12.456483
2009-06-22,12.94,12.97,12.56,12.63,23138100,12.009571
2009-06-23,12.67,12.69,12.43,12.58,21131700,11.962027
2009-06-24,12.91,13.24,12.85,13.0,34334100,12.361395
2009-06-25,13.1,13.5,12.89,13.49,24121900,12.827324
2009-06-26,13.4,13.74,13.28,13.51,32601700,12.846342
2009-06-29,13.52,13.71,13.3,13.44,23334900,12.77978
2009-06-30,13.33,13.45,13.0,13.1,30560300,12.456483
2009-07-01,12.96,13.43,12.9,13.14,19389400,12.494518
2009-07-02,12.97,13.14,12.73,12.78,19447400,12.152202
2009-07-06,12.71,12.98,12.7,12.89,22765000,12.256799
2009-07-07,12.7,12.94,12.47,12.49,27697000,11.876448
2009-07-08,12.53,12.65,12.31,12.52,21447200,11.904975
2009-07-09,12.61,12.88,12.53,12.76,24007200,12.133185
2009-07-10,12.65,12.98,12.65,12.8,14386900,12.17122
2009-07-13,12.8,13.02,12.59,13.02,18818800,12.380413
2009-07-14,13.01,13.09,12.8,12.88,17309500,12.24729
2009-07-15,13.09,13.39,13.05,13.36,28358300,12.70371
2009-07-16,13.4,13.81,13.31,13.74,21489400,13.065043
2009-07-17,13.74,13.92,13.59,13.92,19345700,13.236201
2009-07-20,13.98,14.18,13.73,14.16,27195600,13.464412
