Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,29.870001,29.870001,28.049999,28.23,3956500,19.295087
2009-01-05,27.940001,28.389999,26.950001,27.290001,4817700,18.652602
2009-01-06,27.57,28.219999,26.690001,27.940001,6549700,19.096874
2009-01-07,27.389999,28.17,27.0,27.219999,4039000,18.604756
2009-01-08,27.01,27.290001,26.4,26.92,4434200,18.399708
2009-01-09,27.129999,27.200001,25.610001,25.82,5056600,17.647862
2009-01-12,25.879999,25.9,24.01,24.35,5852500,16.643123
2009-01-13,24.25,26.17,24.059999,25.690001,6397700,17.559008
2009-01-14,24.84,25.48,24.469999,24.969999,7298800,17.06689
2009-01-15,24.91,27.24,24.309999,26.219999,7516500,17.92126
2009-01-16,27.01,27.450001,25.26,27.27,8853600,18.638931
2009-01-20,26.99,27.27,24.0,24.18,9891500,16.526929
2009-01-21,24.65,26.34,23.4,26.190001,9158200,17.900756
2009-01-22,24.77,25.59,23.75,24.379999,8357000,16.663628
2009-01-23,23.51,25.32,23.42,25.129999,5988300,17.176249
2009-01-26,25.540001,25.540001,24.309999,24.709999,4876400,16.889181
2009-01-27,24.99,25.469999,24.51,25.02,4719400,17.101066
2009-01-28,26.219999,27.52,25.32,27.360001,8995500,18.700446
2009-01-29,26.530001,26.68,24.780001,24.98,8511800,17.073725
2009-01-30,25.6,25.809999,23.389999,23.93,8420700,16.356055
2009-02-02,23.360001,24.26,22.93,24.190001,5949700,16.533764
2009-02-03,24.549999,24.549999,23.540001,23.75,6045100,16.233026
2009-02-04,24.0,24.790001,23.32,23.42,6421300,16.007472
2009-02-05,23.17,23.17,20.790001,21.389999,10376200,14.619975
2009-02-06,21.780001,23.27,21.23,23.07,7683300,15.768248
2009-02-09,23.15,23.530001,22.49,23.459999,4736100,16.034811
2009-02-10,22.690001,23.459999,20.85,21.049999,9892600,14.387586
2009-02-11,21.200001,22.450001,20.66,22.290001,7852600,15.235122
