Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,8.81,8.87,8.54,8.81,2192900,4.284989
2009-01-05,8.85,8.85,8.51,8.6,2142600,4.18285
2009-01-06,8.69,8.73,8.41,8.56,2633300,4.163394
2009-01-07,8.5,8.58,8.4,8.47,2344300,4.11962
2009-01-08,8.58,8.66,8.38,8.64,2419300,4.202305
2009-01-09,8.62,8.8,8.36,8.4,1613900,4.085574
2009-01-12,8.42,8.53,8.11,8.16,2007000,3.968843
2009-01-13,8.15,8.16,7.93,8.05,3927900,3.915342
2009-01-14,8.0,8.08,7.72,7.88,4333900,3.832657
2009-01-15,7.81,7.9,7.52,7.77,5693700,3.779156
2009-01-16,7.9,7.97,7.74,7.81,4914800,3.798611
2009-01-20,7.83,7.99,7.6,7.61,5265400,3.701335
2009-01-21,7.78,8.01,7.64,8.0,3549100,3.891023
2009-01-22,7.83,8.21,7.81,8.11,4593800,3.944524
2009-01-23,8.01,8.37,7.9,8.34,2944900,4.056391
2009-01-26,8.42,8.58,8.29,8.47,2902500,4.11962
2009-01-27,8.44,8.59,8.27,8.55,2181600,4.158531
2009-01-28,8.63,8.64,8.4,8.57,3007400,4.168258
2009-01-29,8.5,8.58,8.18,8.2,2104500,3.988298
2009-01-30,8.24,8.33,8.09,8.11,1989300,3.944524
2009-02-02,8.09,8.32,8.0,8.23,2289200,4.002889
2009-02-03,8.34,8.41,8.16,8.35,2689400,4.061255
2009-02-04,8.42,8.46,8.23,8.26,1750900,4.017481
2009-02-05,8.24,8.48,8.24,8.36,3933100,4.066119
2009-02-06,8.47,8.58,8.31,8.53,2715200,4.148803
2009-02-09,8.63,8.63,8.35,8.53,1939600,4.148803
2009-02-10,8.47,8.53,8.02,8.08,2792300,3.929933
2009-02-11,8.11,8.3,8.11,8.21,2109900,3.993162
2009-02-12,8.26,8.27,7.98,8.25,1978300,4.012617
2009-02-13,8.3,8.39,8.06,8.15,2651600,3.963979
2009-02-17,8.05,8.08,7.52,7.58,2893200,3.686744
2009-02-18,7.73,7.73,7.3,7.4,3827200,3.599196
2009-02-19,7.5,7.62,7.36,7.38,2897200,3.589468
2009-02-20,7.28,7.6,7.18,7.54,2966800,3.667289
2009-02-23,7.6,7.65,7.1,7.19,2844700,3.497057
2009-02-24,7.24,7.69,7.11,7.64,3607900,3.715927
2009-02-25,7.36,7.52,6.81,7.34,7022700,3.570013
2009-02-26,7.43,7.52,7.05,7.25,4756200,3.526239
2009-02-27,7.1,7.37,7.1,7.2,4386100,3.50192
2009-03-02,7.05,7.14,6.91,6.94,4593400,3.375462
2009-03-03,6.95,7.02,6.24,6.3,4818800,3.06418
2009-03-04,6.44,7.04,6.41,6.86,4762300,3.336552
2009-03-05,6.57,6.63,5.85,5.95,8545700,3.003402
2009-03-06,6.0,6.23,5.71,5.86,5982300,2.957972
2009-03-09,5.75,5.82,5.32,5.39,6492500,2.720728
2009-03-10,5.48,5.95,5.4,5.85,5438000,2.952924
2009-03-11,5.9,6.04,5.86,5.94,2820600,2.998354
2009-03-12,5.92,6.18,5.88,6.16,2579900,3.109404
2009-03-13,6.2,6.37,6.13,6.33,2623000,3.195215
2009-03-16,6.44,6.55,6.38,6.41,2414900,3.235597
2009-03-17,6.4,6.61,6.32,6.61,2202600,3.336552
2009-03-18,6.64,6.85,6.47,6.83,2599000,3.447602
2009-03-19,6.92,6.98,6.48,6.52,2726200,3.291122
2009-03-20,6.6,6.72,6.44,6.61,3990400,3.336552
2009-03-23,6.76,6.92,6.68,6.92,2856700,3.493032
2009-03-24,6.83,6.99,6.8,6.88,1615900,3.472841
2009-03-25,6.95,7.05,6.73,6.94,1789000,3.503127
2009-03-26,6.99,7.08,6.83,6.95,2803100,3.508175
2009-03-27,6.85,7.02,6.71,6.98,2793400,3.523318
2009-03-30,6.85,7.08,6.7,7.04,3080300,3.553605
2009-03-31,7.11,7.32,7.03,7.18,2685000,3.624273
2009-04-01,7.1,7.4,7.1,7.37,2371000,3.72018
2009-04-02,7.53,7.86,7.49,7.7,3001400,3.886755
2009-04-03,7.77,7.77,7.58,7.65,2479500,3.861516
2009-04-06,7.41,7.67,7.41,7.61,2460200,3.841325
2009-04-07,7.5,7.6,7.35,7.39,1750200,3.730275
2009-04-08,7.39,7.44,7.29,7.37,1549900,3.72018
2009-04-09,7.45,7.69,7.38,7.68,2129400,3.876659
2009-04-13,7.63,7.67,7.44,7.61,2094300,3.841325
2009-04-14,7.55,7.62,7.21,7.22,3768000,3.644464
2009-04-15,7.18,7.33,7.17,7.31,2048700,3.689893
2009-04-16,7.4,7.4,7.15,7.23,2157300,3.649512
2009-04-17,7.26,7.29,7.12,7.18,5521700,3.624273
2009-04-20,7.15,7.15,6.68,6.73,3174900,3.397125
2009-04-21,6.7,7.04,6.7,7.03,3682300,3.548557
2009-04-22,7.03,7.19,6.93,7.03,3067100,3.548557
2009-04-23,7.04,7.11,6.95,7.08,2993100,3.573795
2009-04-24,7.14,7.22,7.07,7.17,1795700,3.619225
