Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,57.759998,59.869999,57.189999,59.759998,1649100,49.416505
2009-01-05,59.380001,60.18,58.889999,59.740002,1467200,49.399969
2009-01-06,61.459999,61.459999,59.740002,61.23,2256400,50.632072
2009-01-07,60.669998,60.669998,58.360001,58.830002,1751200,48.647476
2009-01-08,58.470001,59.27,57.650002,59.209999,1929400,48.961701
2009-01-09,57.720001,58.950001,57.330002,57.919998,1761400,47.894979
2009-01-12,57.919998,58.41,57.279999,57.68,1806900,47.696521
2009-01-13,57.610001,57.610001,54.75,55.099998,4161200,45.563076
2009-01-14,54.48,55.310001,53.889999,54.470001,4076200,45.330061
2009-01-15,54.610001,55.18,51.490002,53.060001,3953200,44.156656
2009-01-16,53.650002,54.990002,53.209999,54.59,2954400,45.429925
2009-01-20,54.25,54.73,52.060001,52.200001,4021700,43.440961
2009-01-21,52.639999,54.209999,51.919998,54.009998,2481900,44.947246
2009-01-22,53.549999,54.369999,52.68,53.880001,2827300,44.839062
2009-01-23,52.93,53.990002,51.950001,53.32,2162700,44.373027
2009-01-26,52.970001,54.84,52.790001,54.599998,3338600,45.438245
2009-01-27,54.990002,56.529999,54.799999,55.720001,2636400,46.370314
2009-01-28,59.32,61.380001,58.560001,60.009998,5319200,49.94046
2009-01-29,58.84,59.139999,57.110001,58.240002,5189100,48.467464
2009-01-30,58.5,58.880001,56.18,56.73,2683800,47.210837
2009-02-02,55.990002,56.0,54.529999,55.290001,2578100,46.012467
2009-02-03,55.790001,55.970001,54.130001,55.299999,3514100,46.020787
2009-02-04,55.349998,56.389999,54.799999,55.049999,2466600,45.812737
2009-02-05,54.560001,56.82,54.560001,56.23,2357900,46.794736
2009-02-06,56.009998,57.439999,55.959999,57.209999,3254000,47.610294
2009-02-09,56.959999,57.540001,56.349998,56.75,2447200,47.227481
2009-02-10,56.110001,56.75,54.080002,54.439999,2631700,45.305093
2009-02-11,54.830002,55.099998,53.360001,53.889999,2834900,44.847382
2009-02-12,53.049999,53.900002,52.009998,53.830002,3510000,44.797452
2009-02-13,53.799999,55.369999,53.639999,54.490002,2037100,45.346706
2009-02-17,53.66,53.66,51.860001,52.880001,3103700,44.006859
2009-02-18,53.110001,53.110001,51.900002,51.959999,2690900,43.241232
2009-02-19,52.290001,52.93,51.73,51.869999,3040100,43.166333
2009-02-20,51.220001,51.639999,49.919998,50.82,4080700,42.292521
2009-02-23,51.209999,51.209999,48.810001,48.939999,2218900,40.72798
2009-02-24,49.240002,49.470001,47.849998,49.02,3933900,40.794558
2009-02-25,48.869999,48.869999,46.310001,46.540001,5078500,38.730697
2009-02-26,47.09,47.200001,45.389999,45.68,2867600,38.015002
2009-02-27,44.959999,45.130001,43.759998,43.82,3566000,36.467105
2009-03-02,42.939999,42.939999,40.939999,41.049999,5063400,34.161904
2009-03-03,41.470001,41.779999,39.759998,39.830002,4875200,33.14662
2009-03-04,40.310001,40.610001,39.560001,40.220001,7107100,33.471178
2009-03-05,37.5,39.41,36.98,37.380001,10657700,31.107723
2009-03-06,36.990002,38.0,35.279999,36.490002,7498500,30.367064
2009-03-09,36.060001,36.650002,35.810001,36.310001,5291800,30.217267
2009-03-10,36.849998,37.73,36.130001,37.599998,4291700,31.290806
