Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,9.6,10.12,9.33,10.05,14075400,8.652756
2009-01-05,10.15,10.8,9.98,10.58,21091700,9.10907
2009-01-06,10.69,11.59,10.69,11.55,23122400,9.944212
2009-01-07,11.34,11.5,10.97,11.14,17402200,9.591214
2009-01-08,10.89,11.16,10.62,11.12,13298600,9.573994
2009-01-09,11.14,11.16,10.59,10.7,13517800,9.212387
2009-01-12,10.8,10.8,9.86,9.96,15753100,8.575269
2009-01-13,9.5,9.73,9.26,9.64,21177400,8.299758
2009-01-14,9.28,9.54,9.06,9.19,21531600,7.912321
2009-01-15,9.18,9.77,9.09,9.62,15634800,8.282538
2009-01-16,9.85,9.99,9.28,9.7,12645400,8.351416
2009-01-20,9.65,9.8,9.13,9.13,12786000,7.860663
2009-01-21,9.36,9.52,8.97,9.52,19860100,8.196442
2009-01-22,9.32,9.65,9.12,9.5,13149400,8.179222
2009-01-23,9.2,10.15,9.16,10.0,16921900,8.609707
2009-01-26,9.98,10.0,9.68,9.95,17952600,8.566659
2009-01-27,9.33,10.21,9.25,9.99,33189300,8.601097
2009-01-28,10.16,10.9,10.15,10.87,20509800,9.358752
2009-01-29,10.75,10.84,10.25,10.48,14913800,9.022973
2009-01-30,10.56,10.56,10.0,10.11,14661800,8.704414
2009-02-02,9.93,10.39,9.89,10.25,14186200,8.82495
2009-02-03,10.42,10.42,9.96,10.32,10218500,8.885218
2009-02-04,10.4,11.3,10.4,10.75,20233600,9.255435
2009-02-05,10.57,11.1,10.31,10.97,19798200,9.444849
2009-02-06,11.15,11.86,11.15,11.73,27864800,10.099186
2009-02-09,11.93,12.3,11.67,11.91,19471300,10.254161
2009-02-10,11.68,12.0,11.05,11.18,19234900,9.625653
2009-02-11,11.27,11.32,10.93,11.17,10652300,9.617043
2009-02-12,10.8,11.4,10.71,11.36,15781500,9.780627
2009-02-13,11.31,11.76,11.28,11.56,14141300,9.952822
2009-02-17,11.25,11.26,10.77,10.79,14401400,9.289874
2009-02-18,10.86,11.03,10.63,10.75,14556800,9.255435
2009-02-19,10.84,10.98,10.11,10.18,13852000,8.764682
2009-02-20,9.67,10.03,9.55,9.81,19599400,8.446123
2009-02-23,9.8,9.91,9.37,9.46,17028400,8.144783
2009-02-24,9.53,10.24,9.53,10.14,17013200,8.730244
2009-02-25,10.07,10.68,9.76,10.41,18096900,8.962705
2009-02-26,10.55,11.1,10.43,10.47,20195000,9.05787
2009-02-27,10.28,10.88,10.13,10.55,20626700,9.12708
2009-03-02,10.33,10.6,9.42,9.46,28795300,8.184092
2009-03-03,9.54,9.99,9.54,9.74,21756800,8.426327
2009-03-04,9.16,10.88,9.16,10.48,21250100,9.06652
2009-03-05,10.25,10.52,10.0,10.09,18348200,8.729122
2009-03-06,10.17,10.65,9.86,10.14,17004900,8.772378
2009-03-09,10.02,10.7,9.92,9.99,14323500,8.642609
2009-03-10,10.21,11.25,10.15,11.2,21005100,9.689411
2009-03-11,11.22,11.49,11.13,11.39,15495200,9.853786
2009-03-12,11.34,11.88,11.2,11.85,17951500,10.251744
2009-03-13,11.93,11.98,11.23,11.71,19270600,10.130626
2009-03-16,11.79,11.96,11.34,11.37,11036100,9.836483
2009-03-17,11.36,12.41,11.24,12.41,22257100,10.736214
2009-03-18,12.3,12.7,11.91,12.5,15700100,10.814075
2009-03-19,13.25,13.25,12.07,12.94,26431600,11.19473
2009-03-20,13.0,13.19,12.32,12.43,28981200,10.753517
2009-03-23,12.94,13.16,12.71,12.98,41042900,11.229335
2009-03-24,13.02,13.5,12.9,13.17,22985400,11.39371
2009-03-25,13.35,13.89,13.06,13.52,24631300,11.696504
2009-03-26,13.68,14.44,13.68,14.23,24976600,12.310743
2009-03-27,14.02,14.08,13.44,13.56,18774500,11.731109
2009-03-30,13.23,13.25,12.56,12.87,17239000,11.134172
2009-03-31,13.03,13.57,12.99,13.27,16174100,11.480223
2009-04-01,13.26,14.52,13.2,14.15,40172500,12.241533
2009-04-02,14.53,15.39,14.41,15.24,42221400,13.18452
2009-04-03,15.2,16.0,14.85,15.96,27142900,13.807411
2009-04-06,15.81,15.85,15.37,15.72,26746500,13.599781
2009-04-07,15.05,15.05,14.41,14.44,26196100,12.492419
2009-04-08,14.7,15.02,14.5,14.92,14201400,12.90768
2009-04-09,15.45,15.5,15.02,15.1,19336600,13.063403
2009-04-13,14.78,14.92,14.58,14.79,13936200,12.795214
2009-04-14,14.85,14.87,14.52,14.59,12707100,12.622189
2009-04-15,14.63,14.73,14.25,14.7,9658900,12.717352
2009-04-16,14.82,15.2,14.6,15.06,11936000,13.028798
2009-04-17,15.2,15.36,14.85,15.27,18028700,13.210475
2009-04-20,15.03,15.17,14.5,14.59,9704700,12.622189
2009-04-21,14.39,15.36,14.28,15.08,13739500,13.0461
2009-04-22,14.93,15.19,14.65,14.75,16291800,12.760609
2009-04-23,14.95,15.15,14.5,15.12,15610400,13.080705
2009-04-24,15.2,15.43,14.7,15.33,21473300,13.262382
2009-04-27,15.69,16.360001,15.52,15.84,33573000,13.703596
2009-04-28,15.49,15.49,14.59,14.69,26994300,12.708701
2009-04-29,14.85,15.1,14.76,14.85,18883600,12.847122
2009-04-30,15.29,15.37,14.5,14.62,22775400,12.648142
2009-05-01,14.92,14.92,13.74,14.29,23268000,12.362651
2009-05-04,14.53,14.95,14.29,14.9,15412500,12.890377
2009-05-05,14.81,15.35,14.8,15.3,16198100,13.236428
2009-05-06,15.54,15.85,15.4,15.71,18988300,13.59113
2009-05-07,15.81,15.87,14.5,14.66,20435600,12.682747
2009-05-08,14.82,15.08,14.37,14.57,16887500,12.604886
2009-05-11,14.37,14.47,14.02,14.07,11991900,12.172323
2009-05-12,14.25,14.32,13.69,13.91,20577400,12.033903
2009-05-13,13.69,13.83,13.3,13.46,15564900,11.644596
2009-05-14,13.47,14.21,13.47,14.08,13172200,12.180974
2009-05-15,14.17,14.35,13.74,13.88,16464900,12.007949
2009-05-18,14.01,14.33,13.8,14.15,15569700,12.241533
2009-05-19,14.27,14.4,13.92,14.23,12893200,12.310743
2009-05-20,14.5,15.26,14.47,14.55,22090900,12.587584
2009-05-21,14.39,14.43,13.88,14.06,10208100,12.163672
2009-05-22,14.21,14.38,13.96,14.24,11232400,12.319394
2009-05-26,14.1,14.9,13.98,14.78,14793900,12.786562
2009-05-27,14.78,15.08,14.57,14.62,12458400,12.648142
2009-05-28,14.99,14.99,13.88,14.18,23060300,12.309585
2009-05-29,14.3,14.72,14.2,14.7,15418000,12.760994
2009-06-01,14.94,15.88,14.84,15.62,17473300,13.559642
2009-06-02,15.61,15.64,15.23,15.51,14917500,13.464152
2009-06-03,15.39,15.46,14.95,15.25,11700600,13.238447
2009-06-04,15.29,15.68,15.24,15.63,11633300,13.568323
2009-06-05,15.95,16.0,15.44,15.58,15422000,13.524918
2009-06-08,15.53,15.69,15.19,15.53,10846200,13.481513
2009-06-09,15.65,16.389999,15.63,16.120001,16525500,13.99369
2009-06-10,16.42,16.43,15.85,16.09,17377500,13.967646
2009-06-11,16.110001,16.26,15.91,15.96,15064000,13.854794
2009-06-12,15.82,15.9,15.41,15.89,10949200,13.794028
2009-06-15,15.56,15.78,15.49,15.74,9848700,13.663813
2009-06-16,15.79,16.0,15.34,15.45,13964800,13.412065
2009-06-17,15.49,15.61,15.16,15.28,10760300,13.264489
2009-06-18,15.33,15.53,14.95,15.36,8911800,13.333937
2009-06-19,15.4,15.45,15.13,15.3,12561800,13.281852
2009-06-22,15.2,15.37,15.08,15.16,9938300,13.160318
2009-06-23,15.23,15.4,15.01,15.33,8784000,13.307894
2009-06-24,15.3,15.73,15.29,15.42,10761900,13.386023
2009-06-25,15.3,16.139999,15.3,16.129999,14741100,14.002369
2009-06-26,16.059999,16.530001,15.96,16.370001,17242500,14.210714
2009-06-29,16.530001,16.540001,16.120001,16.27,7697500,14.123904
2009-06-30,16.4,16.48,15.86,16.059999,14656500,13.941603
2009-07-01,16.190001,16.299999,15.52,15.58,22487700,13.524918
2009-07-02,15.35,15.5,15.02,15.14,15515600,13.142957
2009-07-06,15.21,15.54,14.94,15.19,14582200,13.186361
2009-07-07,15.19,15.25,14.33,14.37,15812400,12.474523
2009-07-08,14.37,14.58,13.98,14.22,18988300,12.344309
2009-07-09,14.25,14.56,14.17,14.44,18541800,12.535289
2009-07-10,14.53,14.92,14.41,14.76,13606000,12.81308
2009-07-13,14.83,15.07,14.38,15.07,11092900,13.082189
