Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,6.04,6.6,6.04,6.51,4991500,6.34982
2009-01-05,6.59,6.99,6.28,6.97,6334400,6.798501
2009-01-06,7.19,7.59,6.92,7.51,6681500,7.325215
2009-01-07,7.31,8.09,7.2,7.95,10370200,7.754388
2009-01-08,7.71,7.98,7.35,7.91,5762400,7.715372
2009-01-09,7.92,8.0,7.51,7.63,3628200,7.442262
2009-01-12,7.59,7.73,6.53,6.74,6300400,6.57416
2009-01-13,6.89,6.89,6.01,6.21,6876800,6.057201
2009-01-14,6.05,6.14,5.54,6.06,9415300,5.910892
2009-01-15,6.06,6.38,5.71,6.19,7785100,6.037693
2009-01-16,6.53,7.02,6.1,6.71,8847400,6.544899
2009-01-20,6.65,6.76,5.67,5.73,6531800,5.589012
2009-01-21,6.01,6.09,5.55,6.03,6571500,5.88163
2009-01-22,5.95,6.26,5.7,6.01,5389500,5.862123
2009-01-23,5.8,6.72,5.76,6.49,5916400,6.330312
2009-01-26,6.53,6.6,5.91,6.13,6385400,5.97917
2009-01-27,6.21,6.39,6.08,6.15,4977900,5.998678
2009-01-28,6.42,6.9,6.24,6.8,7083400,6.632684
2009-01-29,6.68,6.77,6.28,6.33,3797300,6.174249
2009-01-30,6.26,6.45,6.08,6.17,4568600,6.018186
2009-02-02,6.09,6.1,5.86,5.97,4137400,5.823106
2009-02-03,6.0,6.21,5.63,6.12,5366500,5.969416
2009-02-04,6.16,6.82,5.93,6.4,8377600,6.242526
2009-02-05,6.39,7.02,6.24,6.93,6312000,6.759485
2009-02-06,6.83,7.44,6.83,7.17,6749800,6.99358
2009-02-09,7.15,7.38,6.96,7.24,3784700,7.061858
2009-02-10,7.15,7.29,6.57,6.78,4677300,6.613176
2009-02-11,6.86,7.07,6.67,6.89,3318500,6.72047
2009-02-12,6.75,6.98,6.56,6.95,3146800,6.778993
2009-02-13,6.81,7.09,6.75,6.92,3121500,6.749732
2009-02-17,6.51,6.6,5.94,6.02,7909200,5.871876
2009-02-18,5.85,6.47,5.51,6.38,7180900,6.223018
2009-02-19,6.36,6.74,6.09,6.13,5089600,5.97917
2009-02-20,5.68,6.09,5.5,5.97,7024600,5.823106
2009-02-23,5.61,6.01,5.24,5.24,6210400,5.111068
2009-02-24,5.25,5.61,4.82,5.52,8671500,5.384179
2009-02-25,5.55,5.55,4.94,4.97,7911400,4.847712
2009-02-26,5.06,5.1,4.58,4.81,5388400,4.691649
2009-02-27,4.74,4.79,4.32,4.44,8163300,4.330753
2009-03-02,4.31,4.36,3.94,3.94,8279700,3.843055
2009-03-03,4.1,4.2,3.69,3.74,6162000,3.647976
2009-03-04,4.02,4.05,3.84,3.9,5932800,3.80404
2009-03-05,3.88,3.9,3.49,3.56,5613300,3.472405
2009-03-06,3.61,3.73,3.17,3.51,11037100,3.423635
2009-03-09,3.76,4.03,3.5,3.9,5343700,3.80404
2009-03-10,4.11,4.61,4.11,4.5,7098000,4.389276
2009-03-11,4.57,4.84,4.46,4.81,5046300,4.691649
2009-03-12,4.71,5.15,4.61,5.12,3817800,4.994021
2009-03-13,5.25,5.57,4.95,5.24,5602800,5.111068
2009-03-16,5.4,5.59,5.17,5.2,3400400,5.072052
2009-03-17,5.18,5.51,5.02,5.51,2620900,5.374425
2009-03-18,5.46,6.13,5.22,6.09,4921600,5.940154
2009-03-19,6.14,6.48,6.02,6.17,5216500,6.018186
2009-03-20,6.36,6.49,5.58,5.84,4890300,5.696305
2009-03-23,6.07,6.61,5.95,6.61,4061000,6.447359
2009-03-24,6.49,6.74,6.34,6.55,2929100,6.388836
2009-03-25,6.63,7.02,6.24,6.55,4387500,6.388836
2009-03-26,6.83,7.14,6.64,7.07,6282500,6.896041
2009-03-27,6.92,7.01,6.7,6.85,3514500,6.681454
2009-03-30,6.46,6.59,5.9,6.19,6404800,6.037693
2009-03-31,6.45,6.45,5.92,6.26,5048300,6.105971
2009-04-01,6.14,6.54,6.0,6.49,4849400,6.330312
2009-04-02,6.74,7.54,6.74,7.06,7558400,6.886287
2009-04-03,7.06,7.4,6.93,7.4,4837300,7.217921
2009-04-06,7.2,7.63,7.12,7.57,4010600,7.383738
2009-04-07,7.35,7.42,6.95,7.02,3497400,6.847271
2009-04-08,7.65,7.99,7.45,7.69,5808500,7.500785
2009-04-09,7.99,8.66,7.85,8.5,8961400,8.290855
2009-04-13,8.4,8.92,8.1,8.79,5141900,8.57372
2009-04-14,8.65,9.16,8.41,8.61,4582600,8.398148
2009-04-15,8.54,9.08,8.54,8.96,5446500,8.739537
2009-04-16,9.03,9.78,8.93,9.68,7148800,9.441821
2009-04-17,9.73,10.3,9.73,10.21,10167600,9.95878
2009-04-20,9.81,9.98,8.8,9.04,8534500,8.817568
2009-04-21,8.82,9.67,8.75,9.48,6539700,9.246742
2009-04-22,9.35,10.3,9.25,9.92,7427800,9.675916
2009-04-23,9.94,10.15,9.61,9.87,6438900,9.627146
2009-04-24,9.99,11.18,9.98,10.87,10100300,10.602541
2009-04-27,10.75,11.0,10.07,10.42,5911700,10.163613
2009-04-28,10.15,10.8,9.63,10.47,7560500,10.212383
2009-04-29,10.09,12.0,10.06,11.59,11338800,11.304825
2009-04-30,11.83,11.94,10.88,10.99,12483400,10.719588
2009-05-01,11.02,11.41,10.97,11.41,5875500,11.129254
2009-05-04,11.39,12.63,11.39,12.63,9455600,12.319235
2009-05-05,12.55,12.87,11.75,12.26,6711400,11.95834
2009-05-06,12.46,14.11,12.46,13.51,15150300,13.177583
2009-05-07,13.99,14.26,12.02,12.16,9828500,11.8608
2009-05-08,12.52,13.41,12.36,13.3,6226500,12.97275
2009-05-11,12.97,13.0,12.36,12.42,5062500,12.114403
2009-05-12,12.61,12.8,11.64,12.09,5410400,11.792522
2009-05-13,11.64,11.88,10.34,10.73,8653300,10.465985
2009-05-14,10.65,11.95,10.59,11.43,6786600,11.148762
2009-05-15,11.44,11.93,11.02,11.24,4779700,10.963436
2009-05-18,11.35,11.9,11.35,11.88,4241600,11.587689
2009-05-19,11.93,12.55,11.7,12.3,5293700,11.997355
2009-05-20,12.23,12.87,11.72,11.8,6136800,11.509658
2009-05-21,11.57,11.73,10.95,11.42,4293900,11.139008
2009-05-22,11.48,11.77,11.11,11.45,2744500,11.168269
2009-05-26,11.42,12.29,11.17,12.28,3998000,11.977847
2009-05-27,12.24,12.3,10.86,11.06,7923800,10.787866
2009-05-28,11.27,11.64,10.91,11.34,5149400,11.060976
2009-05-29,11.41,11.58,11.2,11.45,3620300,11.168269
2009-06-01,11.65,12.59,11.6,12.28,4106000,11.977847
2009-06-02,11.96,12.33,11.5,12.08,5358700,11.782768
2009-06-03,11.87,11.9,11.36,11.81,4369800,11.519412
2009-06-04,11.61,12.35,11.61,12.21,3730300,11.90957
2009-06-05,12.39,13.33,12.39,12.94,8412700,12.621607
2009-06-08,12.85,12.85,12.26,12.71,4716400,12.397267
2009-06-09,12.76,13.63,12.42,13.5,6651900,13.167829
2009-06-10,13.71,13.87,12.71,13.05,5702000,12.728901
2009-06-11,13.05,13.45,12.99,13.08,4951200,12.758163
2009-06-12,12.97,13.05,12.17,12.41,5454300,12.104648
2009-06-15,12.14,12.26,11.7,11.87,5511900,11.577935
2009-06-16,11.97,12.21,11.5,11.87,5936700,11.577935
2009-06-17,11.71,12.13,11.3,11.85,5386400,11.558428
2009-06-18,11.85,12.25,11.5,12.08,5609400,11.782768
2009-06-19,12.28,12.57,12.16,12.23,4704700,11.929077
2009-06-22,12.06,12.17,11.24,11.31,5187400,11.031715
2009-06-23,11.35,11.43,10.59,11.08,6734400,10.807373
2009-06-24,11.23,11.88,11.12,11.26,5433100,10.982945
2009-06-25,11.12,11.51,11.0,11.26,6061000,10.982945
2009-06-26,11.24,11.65,11.08,11.22,5243500,10.943929
