Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,18.18,19.690001,18.110001,19.450001,13066100,17.634121
2009-01-05,19.389999,20.32,19.08,19.67,19636900,17.833581
2009-01-06,20.309999,21.15,20.25,20.91,30437000,18.957812
2009-01-07,20.299999,21.469999,20.1,20.690001,26625200,18.758352
2009-01-08,20.32,21.200001,20.209999,21.16,20061000,19.184472
2009-01-09,20.67,21.18,18.84,19.01,23996700,17.235199
2009-01-12,18.51,18.92,17.709999,17.93,16604000,16.25603
2009-01-13,18.01,18.540001,17.559999,18.299999,17903300,16.591485
2009-01-14,18.0,18.02,17.0,17.200001,15326800,15.594184
2009-01-15,17.08,17.559999,16.379999,17.42,16680100,15.793644
2009-01-16,17.790001,17.969999,17.190001,17.74,17909100,16.083768
2009-01-20,17.360001,18.129999,16.389999,16.610001,14065000,15.059267
2009-01-21,17.1,17.809999,16.66,17.719999,14681800,16.065635
2009-01-22,17.049999,17.59,16.440001,16.85,15329200,15.27686
2009-01-23,16.370001,18.66,16.16,18.25,20606500,16.546154
2009-01-26,18.700001,19.75,18.43,18.870001,17161400,17.10827
2009-01-27,18.860001,19.42,18.09,18.57,15225100,16.836278
2009-01-28,18.82,19.700001,18.66,19.469999,13803800,17.652252
2009-01-29,19.09,19.139999,17.870001,18.02,17334300,16.337627
2009-01-30,18.49,18.629999,17.120001,17.25,15442700,15.639515
2009-02-02,16.889999,17.549999,16.690001,17.139999,11230500,15.539784
2009-02-03,17.27,17.65,16.98,17.389999,14625100,15.766444
2009-02-04,17.48,18.76,17.48,18.459999,16721100,16.736547
2009-02-05,18.299999,19.25,17.77,19.139999,17300200,17.353062
2009-02-06,18.92,19.98,18.629999,19.709999,13095000,17.869845
2009-02-09,20.0,20.51,19.35,19.68,10854600,17.842647
2009-02-10,19.629999,20.0,18.120001,18.33,16191500,16.618685
2009-02-11,18.74,19.02,17.799999,18.379999,15592300,16.664016
2009-02-12,17.969999,18.16,17.15,18.15,14901500,16.45549
2009-02-13,18.129999,18.76,17.940001,18.290001,11004800,16.58242
2009-02-17,17.49,17.639999,16.33,16.360001,13926800,14.832607
2009-02-18,16.5,17.24,16.389999,17.01,17276400,15.421922
2009-02-19,17.450001,17.6,16.9,17.0,12424700,15.412856
2009-02-20,16.629999,17.41,16.309999,17.07,19235500,15.47632
2009-02-23,17.32,17.559999,15.89,15.97,15389800,14.479018
2009-02-24,16.27,17.1,15.99,17.030001,14977000,15.440055
2009-02-25,17.190001,17.41,16.23,16.57,19301300,15.023001
2009-02-26,16.889999,17.67,16.67,16.700001,15069900,15.140865
2009-02-27,16.23,16.950001,15.91,16.309999,18614200,14.867397
2009-03-02,15.85,16.120001,14.71,14.78,14749000,13.472724
2009-03-03,15.11,15.55,14.8,14.92,15940700,13.600342
2009-03-04,15.82,16.969999,15.56,16.34,20643200,14.894744
2009-03-05,15.84,16.26,15.12,15.38,16098200,14.019655
2009-03-06,15.52,16.030001,14.68,15.12,23403600,13.782652
2009-03-09,15.37,16.450001,15.11,15.72,22552100,14.329583
2009-03-10,16.08,16.65,16.02,16.35,19364300,14.90386
2009-03-11,16.49,16.49,15.35,15.77,16923000,14.375161
2009-03-12,15.98,16.32,15.25,16.26,16671500,14.82182
2009-03-13,16.709999,16.85,15.9,16.110001,14863900,14.685088
2009-03-16,16.16,16.99,16.0,16.459999,12638400,15.00413
2009-03-17,16.4,17.42,16.120001,17.309999,14292900,15.778948
2009-03-18,17.18,17.610001,16.48,17.41,20147100,15.870104
2009-03-19,18.0,18.68,17.690001,17.809999,20816800,16.234724
2009-03-20,17.98,18.26,16.74,16.84,21730300,15.35052
2009-03-23,17.379999,18.08,17.24,18.059999,19371900,16.462612
2009-03-24,17.870001,18.5,17.59,18.290001,13294100,16.67227
2009-03-25,18.299999,18.299999,16.76,17.43,22892200,15.888335
2009-03-26,17.6,17.950001,17.110001,17.26,21389500,15.733371
2009-03-27,16.93,17.09,16.450001,16.67,14803500,15.195556
2009-03-30,16.209999,16.299999,15.49,15.82,14647800,14.420737
2009-03-31,16.040001,16.18,15.32,15.47,16601200,14.101695
2009-04-01,15.03,15.84,14.82,15.55,18141700,14.174619
2009-04-02,16.379999,16.68,15.94,16.32,20819100,14.876513
2009-04-03,16.32,17.48,16.299999,17.33,24008100,15.79718
2009-04-06,17.09,17.139999,16.549999,16.99,12571800,15.487252
2009-04-07,16.6,16.700001,16.139999,16.27,11828500,14.830936
2009-04-08,16.370001,16.77,15.75,16.530001,14342100,15.06794
2009-04-09,17.059999,17.25,16.700001,17.120001,11163800,15.605755
2009-04-13,16.700001,17.17,16.4,16.969999,13175700,15.469021
2009-04-14,16.74,17.85,16.65,17.65,20801700,16.088876
2009-04-15,17.559999,18.0,17.360001,17.860001,17574100,16.280302
2009-04-16,18.07,18.77,17.690001,18.57,20019100,16.927503
2009-04-17,18.469999,19.0,18.27,18.780001,17890800,17.11893
2009-04-20,18.07,19.450001,18.02,18.790001,29943300,17.128045
2009-04-21,18.209999,20.24,18.209999,19.959999,30151700,18.194558
2009-04-22,18.91,20.41,18.85,19.870001,23123600,18.11252
2009-04-23,20.049999,20.120001,19.120001,19.790001,18551800,18.039596
2009-04-24,20.299999,20.83,20.18,20.620001,17552600,18.796184
2009-04-27,19.940001,20.24,19.5,20.01,14829300,18.240137
2009-04-28,19.370001,19.92,19.370001,19.639999,15078100,17.902862
2009-04-29,19.84,20.790001,19.76,20.48,13406400,18.668565
2009-04-30,20.68,20.98,19.719999,20.219999,18149200,18.431562
2009-05-01,20.24,21.17,20.110001,20.860001,12659300,19.014956
2009-05-04,21.200001,22.34,21.200001,22.290001,15584500,20.318474
2009-05-05,22.780001,22.85,21.549999,22.16,14976300,20.199971
2009-05-06,22.719999,23.299999,22.6,23.129999,16107800,21.084175
2009-05-07,24.24,24.24,22.16,22.540001,15875100,20.546362
2009-05-08,22.940001,23.59,22.700001,23.33,17567200,21.266486
2009-05-11,23.040001,23.040001,22.200001,22.27,14459200,20.300242
2009-05-12,22.52,23.32,22.030001,22.959999,21248500,20.929211
2009-05-13,22.459999,22.540001,21.559999,21.9,17812800,19.962968
2009-05-14,21.719999,22.110001,21.25,21.790001,15746500,19.862698
2009-05-15,21.559999,22.049999,20.950001,21.17,13535600,19.297536
2009-05-18,21.549999,22.190001,21.540001,22.110001,12807000,20.154394
2009-05-19,22.309999,22.52,21.690001,21.940001,15852100,19.999431
2009-05-20,22.27,23.290001,22.120001,22.24,19638100,20.272895
2009-05-21,21.73,21.799999,21.040001,21.34,13786100,19.4525
2009-05-22,21.68,21.879999,21.25,21.299999,9494000,19.416037
2009-05-26,21.0,22.17,20.82,22.17,14075300,20.209087
2009-05-27,22.4,22.6,22.01,22.059999,15264700,20.108816
2009-05-28,22.129999,23.049999,21.809999,22.77,15516700,20.841045
2009-05-29,23.1,23.25,22.700001,22.93,15659600,20.987491
2009-06-01,23.65,24.280001,23.65,23.92,17526000,21.893623
2009-06-02,23.709999,24.0,23.32,23.65,13016100,21.646495
2009-06-03,23.26,23.440001,22.09,22.57,15394700,20.657987
2009-06-04,22.940001,23.280001,22.700001,22.83,16517800,20.895962
2009-06-05,23.440001,23.440001,22.23,22.82,17394600,20.886809
2009-06-08,22.51,23.01,22.32,22.799999,12237600,20.868503
2009-06-09,23.27,23.450001,22.83,22.940001,13479200,20.996644
2009-06-10,23.49,23.75,22.93,23.360001,13199700,21.381064
2009-06-11,23.51,24.76,23.459999,24.33,18609300,22.26889
2009-06-12,23.75,24.129999,23.6,23.99,15072300,21.957692
2009-06-15,23.51,23.629999,22.9,23.15,11008400,21.188853
2009-06-16,23.620001,23.9,22.41,22.51,13640300,20.603071
2009-06-17,22.290001,22.34,21.42,21.83,19832400,19.980676
2009-06-18,21.74,22.34,21.450001,21.52,18433100,19.696939
2009-06-19,21.75,21.77,21.15,21.379999,14913200,19.568797
2009-06-22,20.84,20.870001,20.0,20.1,17904500,18.397233
2009-06-23,20.27,20.9,20.120001,20.57,15005000,18.827417
2009-06-24,20.809999,21.17,20.4,20.57,11567700,18.827417
2009-06-25,20.200001,20.809999,20.120001,20.639999,19328700,18.891487
2009-06-26,20.51,21.09,20.5,20.9,21731300,19.129461
2009-06-29,21.299999,21.4,20.809999,20.940001,10218700,19.166073
2009-06-30,20.959999,21.280001,20.469999,20.700001,15382300,18.946405
2009-07-01,21.049999,21.370001,20.620001,20.700001,12535900,18.946405
2009-07-02,20.34,20.34,19.27,19.379999,19653800,17.738227
2009-07-06,18.879999,19.389999,18.65,19.35,16901400,17.71077
2009-07-07,19.34,19.35,18.700001,18.780001,13739400,17.189057
2009-07-08,18.719999,19.219999,18.110001,18.719999,21845000,17.134139
2009-07-09,19.139999,19.450001,18.75,18.940001,15650600,17.335503
2009-07-10,18.58,19.059999,18.219999,18.93,11878000,17.32635
2009-07-13,18.91,19.549999,18.389999,19.48,16478000,17.829756
2009-07-14,19.82,20.0,19.57,19.82,11606500,18.140953
2009-07-15,20.32,20.889999,20.18,20.780001,16740000,19.019628
2009-07-16,20.58,21.66,20.58,21.530001,18497100,19.706092
2009-07-17,21.469999,21.68,21.219999,21.379999,13599600,19.568797
2009-07-20,22.120001,22.440001,21.4,22.33,21288200,20.438319
2009-07-21,22.26,22.440001,21.74,22.389999,16732100,20.493236
2009-07-22,21.76,22.389999,21.65,22.129999,11718900,20.255261
2009-07-23,21.959999,23.16,21.879999,23.01,13846900,21.060713
2009-07-24,22.889999,23.540001,22.68,23.48,12897100,21.490897
2009-07-27,23.51,23.58,22.65,22.99,17465000,21.042407
2009-07-28,22.65,22.65,21.66,22.0,22109300,20.136275
2009-07-29,21.67,21.780001,21.120001,21.6,19895400,19.770161
2009-07-30,22.129999,22.27,21.780001,22.02,17787000,20.154581
2009-07-31,21.83,22.27,21.610001,22.09,12988400,20.218651
2009-08-03,22.690001,23.370001,22.530001,23.1,14487800,21.143089
2009-08-04,22.84,22.959999,22.34,22.74,12327400,20.813586
2009-08-05,22.610001,22.73,21.98,22.1,18091700,20.227804
2009-08-06,22.18,22.35,21.690001,21.93,11824700,20.072205
2009-08-07,22.190001,22.360001,21.719999,22.110001,11707600,20.236957
2009-08-10,21.98,22.83,21.98,22.780001,15289200,20.850198
2009-08-11,22.700001,22.860001,22.48,22.700001,14546800,20.776975
2009-08-12,22.629999,23.5,22.469999,23.290001,19681700,21.316994
2009-08-13,23.530001,24.32,23.24,23.950001,22168300,21.921082
2009-08-14,24.0,24.059999,23.1,23.5,13730700,21.509203
2009-08-17,22.9,22.93,22.290001,22.66,13297300,20.740363
2009-08-18,22.719999,23.17,22.389999,23.1,11852400,21.143089
2009-08-19,22.799999,23.73,22.540001,23.629999,18603200,21.628189
2009-08-20,23.76,24.42,23.610001,24.34,17487800,22.278043
2009-08-21,24.68,25.18,24.6,25.049999,23835700,22.927894
2009-08-24,25.450001,25.58,25.08,25.280001,15146000,23.138411
2009-08-25,25.610001,25.709999,24.34,24.52,15246600,22.442794
2009-08-26,24.23,24.780001,24.219999,24.719999,12974100,22.62585
2009-08-27,24.51,24.57,23.73,24.4,12344200,22.332959
2009-08-28,24.65,24.82,23.77,24.129999,14588100,22.085832
2009-08-31,23.77,23.860001,23.200001,23.709999,16087700,21.782657
2009-09-01,23.620001,24.450001,23.450001,23.51,14711700,21.598916
2009-09-02,23.200001,23.73,23.200001,23.34,10021000,21.442735
2009-09-03,23.549999,24.01,23.469999,23.98,10295300,22.03071
2009-09-04,23.790001,24.66,23.780001,24.540001,10877600,22.545189
2009-09-08,25.02,25.49,24.75,25.059999,14104900,23.022918
2009-09-09,25.25,25.35,24.700001,24.940001,11747000,22.912674
2009-09-10,24.98,25.76,24.719999,25.65,14137800,23.564958
2009-09-11,25.790001,26.450001,25.790001,26.1,15463200,23.978379
2009-09-14,25.379999,26.190001,25.120001,26.16,11405300,24.033502
2009-09-15,26.129999,26.99,25.82,26.940001,16485200,24.750097
2009-09-16,27.18,28.360001,27.110001,28.030001,23670700,25.751494
2009-09-17,28.200001,28.5,27.549999,27.870001,15929200,25.6045
2009-09-18,28.030001,28.43,27.41,28.15,16610000,25.861738
2009-09-21,27.33,27.870001,27.190001,27.450001,9507600,25.218641
2009-09-22,27.889999,28.35,27.629999,28.32,9051900,26.017919
2009-09-23,28.459999,28.58,27.33,27.35,11050600,25.126769
2009-09-24,27.43,27.49,26.57,26.77,11678000,24.593916
2009-09-25,26.51,26.98,26.190001,26.74,11249300,24.566354
2009-09-28,26.84,27.379999,26.629999,27.290001,7820100,25.071647
2009-09-29,27.16,27.549999,26.889999,27.309999,9063900,25.09002
2009-09-30,27.469999,27.51,26.610001,27.120001,11958200,24.915466
2009-10-01,27.120001,27.25,26.34,26.4,16933300,24.253992
2009-10-02,25.57,26.059999,25.5,25.74,12538500,23.647643
2009-10-05,25.67,26.65,25.639999,26.48,9980600,24.327489
2009-10-06,26.93,27.440001,26.65,26.860001,13489800,24.676601
2009-10-07,26.85,28.08,26.84,28.02,16701900,25.742306
2009-10-08,28.32,28.889999,28.030001,28.799999,18292500,26.4589
2009-10-09,28.639999,28.790001,28.0,28.219999,10918500,25.926048
2009-10-12,28.6,28.99,28.450001,28.969999,13900300,26.615081
2009-10-13,29.0,29.08,28.15,28.469999,13717400,26.155725
2009-10-14,28.99,29.26,28.719999,29.190001,12233400,26.817199
2009-10-15,28.940001,30.0,28.940001,29.85,30539600,27.423549
2009-10-16,30.129999,31.27,29.940001,30.4,31173800,27.92884
2009-10-19,30.9,31.209999,30.57,31.049999,20795800,28.526002
2009-10-20,31.25,31.65,30.23,30.799999,17876500,28.296324
2009-10-21,30.559999,31.950001,30.4,31.0,18480300,28.480067
2009-10-22,30.860001,31.6,30.379999,31.41,11587000,28.856739
2009-10-23,31.51,31.51,29.860001,30.209999,16938400,27.754284
2009-10-26,30.299999,31.049999,29.469999,29.700001,14781600,27.285742
2009-10-27,29.74,30.379999,29.33,30.040001,16422200,27.598105
2009-10-28,29.73,29.9,28.780001,28.940001,22046200,26.587521
2009-10-29,29.25,30.379999,29.1,30.33,18399500,27.86453
2009-10-30,30.17,30.33,29.01,29.209999,19304200,26.835572
2009-11-02,29.299999,30.030001,28.559999,29.26,17954100,26.881509
2009-11-03,28.74,30.5,28.629999,30.309999,18394100,27.846155
2009-11-04,30.459999,31.0,30.15,30.23,18697900,27.772659
2009-11-05,30.450001,30.780001,30.27,30.549999,12851400,28.066646
