Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.85,18.35,16.629999,18.200001,707400,17.077774
2009-01-05,18.01,19.35,17.719999,19.139999,1110200,17.959811
2009-01-06,19.360001,20.700001,19.16,20.530001,1112400,19.264104
2009-01-07,20.370001,20.719999,19.66,20.459999,1054600,19.198419
2009-01-08,20.389999,21.08,19.98,21.040001,503400,19.742657
2009-01-09,21.129999,21.190001,19.99,20.51,1071700,19.245337
2009-01-12,20.25,20.43,19.76,20.049999,1146700,18.8137
2009-01-13,18.959999,20.440001,18.93,19.98,830200,18.748016
2009-01-14,19.16,19.5,18.549999,18.66,1291500,17.509409
2009-01-15,18.620001,19.530001,18.18,19.370001,1165400,18.175631
2009-01-16,19.85,19.85,18.110001,18.65,1333600,17.500025
2009-01-20,18.629999,18.92,17.23,17.360001,1627500,16.289569
2009-01-21,17.5,17.84,16.33,17.370001,1513000,16.298952
2009-01-22,16.889999,17.27,16.24,16.74,1373400,15.707798
2009-01-23,16.35,17.389999,16.040001,17.129999,1025200,16.073749
2009-01-26,17.17,17.93,16.629999,17.1,781900,16.0456
2009-01-27,17.23,17.809999,17.07,17.110001,928100,16.054984
2009-01-28,17.110001,17.940001,16.75,17.719999,1613100,16.62737
2009-01-29,17.84,17.84,17.139999,17.379999,1400500,16.308334
2009-01-30,17.5,17.5,15.96,16.09,1302100,15.097877
2009-02-02,15.91,16.66,15.71,16.43,1026600,15.416913
2009-02-03,15.7,16.0,15.13,15.65,1725500,14.685008
2009-02-04,15.48,15.94,14.97,14.99,1651000,14.065704
2009-02-05,11.51,13.85,11.5,12.94,4873600,12.142109
2009-02-06,13.17,13.96,12.97,13.86,2411000,13.005381
2009-02-09,13.89,14.05,13.56,13.82,1436400,12.967847
2009-02-10,12.3,13.82,12.3,12.77,1601100,11.982592
2009-02-11,12.97,12.97,12.13,12.37,1239200,11.619083
2009-02-12,12.15,12.85,11.98,12.74,1244800,11.966623
2009-02-13,12.75,12.75,11.96,12.0,1029600,11.271544
2009-02-17,11.4,11.76,11.22,11.25,1220700,10.567073
2009-02-18,11.33,11.45,10.62,10.82,1985300,10.163175
2009-02-19,10.94,10.98,10.35,10.4,1393300,9.768671
2009-02-20,10.2,10.76,9.99,10.53,1640300,9.89078
2009-02-23,10.77,10.8,10.28,10.31,1891400,9.684135
2009-02-24,10.23,11.04,10.22,10.8,1273100,10.14439
2009-02-25,10.66,11.05,10.18,10.73,1702400,10.078639
2009-02-26,10.85,10.91,10.51,10.53,1284600,9.89078
2009-02-27,10.26,10.84,10.19,10.62,1481800,9.975317
2009-03-02,10.33,10.66,10.2,10.35,1958500,9.721707
2009-03-03,10.5,10.65,9.91,9.96,1357300,9.355382
2009-03-04,10.11,10.36,9.74,10.19,1179600,9.571419
2009-03-05,9.86,9.93,9.3,9.48,1856700,8.90452
2009-03-06,9.71,9.76,9.17,9.47,1443700,8.895127
2009-03-09,9.37,9.71,9.23,9.41,960600,8.838769
2009-03-10,9.81,10.57,9.5,10.53,1265800,9.89078
2009-03-11,10.53,11.11,10.46,10.94,937100,10.275891
2009-03-12,10.79,11.83,10.63,11.75,961400,11.03672
2009-03-13,11.79,11.88,11.31,11.65,1064800,10.94279
2009-03-16,11.85,12.0,11.04,11.07,946700,10.397999
2009-03-17,11.16,11.53,10.98,11.5,1037000,10.801897
2009-03-18,11.59,12.13,11.28,11.9,993800,11.177614
2009-03-19,11.94,12.09,11.69,11.8,899200,11.083685
2009-03-20,11.87,11.87,11.2,11.41,1296200,10.71736
2009-03-23,11.68,12.56,11.48,12.52,1690900,11.759978
2009-03-24,12.39,13.34,12.3,13.12,1956300,12.323555
2009-03-25,13.26,14.36,13.01,13.48,1626500,12.661701
2009-03-26,13.66,14.6,13.57,14.56,1581900,13.676141
2009-03-27,14.5,14.58,14.03,14.14,1021000,13.281637
2009-03-30,13.06,13.66,12.8,13.24,1209300,12.43627
2009-03-31,13.47,13.7,12.95,13.53,859800,12.708666
2009-04-01,13.27,14.09,13.03,14.05,857400,13.1971
2009-04-02,14.43,15.74,14.15,15.26,1451800,14.333647
2009-04-03,15.26,15.62,14.76,15.62,1265800,14.671793
2009-04-06,15.39,15.39,14.92,15.0,1415700,14.08943
2009-04-07,14.82,15.0,14.36,14.78,1979700,13.882785
2009-04-08,14.99,15.71,14.92,15.66,1256300,14.709365
2009-04-09,15.97,17.389999,15.97,17.389999,1452100,16.334346
2009-04-13,16.82,17.75,16.780001,17.549999,1193700,16.484633
2009-04-14,17.24,17.459999,16.42,16.48,1038600,15.479587
2009-04-15,16.469999,17.17,16.280001,16.93,844600,15.902271
2009-04-16,17.0,17.52,16.92,17.26,1271500,16.212238
2009-04-17,17.35,18.190001,17.120001,17.940001,926900,16.850959
2009-04-20,17.559999,17.91,15.93,16.17,1094300,15.188406
2009-04-21,16.15,17.030001,15.9,17.030001,1240100,15.9962
2009-04-22,16.690001,18.02,16.6,17.389999,1407800,16.334346
2009-04-23,17.08,17.940001,17.01,17.709999,1344800,16.63492
2009-04-24,17.9,19.860001,17.85,19.709999,1090300,18.513511
2009-04-27,19.049999,19.49,18.799999,19.030001,1208200,17.874791
2009-04-28,18.75,19.6,18.6,19.290001,1055900,18.119008
2009-04-29,19.370001,20.33,19.059999,19.190001,1639700,18.025078
2009-04-30,18.23,19.59,18.01,18.190001,2118700,17.085783
2009-05-01,18.34,19.950001,18.290001,19.530001,1009400,18.344439
2009-05-04,19.610001,21.6,19.34,21.559999,1359700,20.251207
2009-05-05,21.629999,21.9,21.01,21.25,1352900,19.960026
2009-05-06,21.41,21.91,20.32,20.77,1070900,19.509165
2009-05-07,21.01,21.4,19.52,19.85,1083400,18.645013
2009-05-08,20.540001,21.26,20.120001,20.75,1626100,19.490379
2009-05-11,20.76,20.76,19.719999,20.190001,927100,18.964374
2009-05-12,20.42,20.42,18.4,18.76,1566800,17.621181
2009-05-13,18.4,18.549999,16.700001,16.77,2116500,15.751983
2009-05-14,17.030001,17.129999,16.1,16.6,2191600,15.592303
2009-05-15,16.68,17.309999,16.290001,16.51,996500,15.507766
2009-05-18,16.68,17.290001,16.379999,17.139999,1216700,16.099522
2009-05-19,17.07,17.74,17.040001,17.5,1143000,16.437669
2009-05-20,17.700001,18.379999,17.59,17.66,1847400,16.587956
2009-05-21,17.32,17.379999,16.73,17.08,931700,16.043165
2009-05-22,17.32,17.450001,16.780001,16.889999,903700,15.864698
2009-05-26,16.719999,18.18,16.59,18.129999,1050200,17.029424
2009-05-27,17.76,19.02,17.76,18.09,1287200,16.991853
2009-05-28,18.23,18.57,16.969999,17.629999,1055900,16.559776
2009-05-29,17.700001,18.809999,17.700001,18.639999,813900,17.508465
2009-06-01,18.9,20.16,18.9,20.040001,907200,18.82348
2009-06-02,19.92,20.469999,19.639999,20.23,975600,19.001945
2009-06-03,20.02,20.110001,19.34,19.67,667400,18.47594
2009-06-04,19.639999,19.98,19.08,19.940001,1173200,18.72955
