Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.68,17.299999,15.76,17.09,9003400,15.088105
2009-01-05,16.809999,18.120001,16.219999,17.23,12579500,15.211705
2009-01-06,17.559999,19.91,17.51,19.68,17587400,17.374717
2009-01-07,19.15,19.290001,17.780001,17.91,11795800,15.812051
2009-01-08,17.68,18.950001,17.25,18.48,11435000,16.315282
2009-01-09,18.57,18.879999,17.91,18.16,8626300,16.032767
2009-01-12,18.09,18.110001,14.5,14.78,18149100,13.048694
2009-01-13,14.45,15.92,13.63,15.44,15062400,13.631383
2009-01-14,14.8,14.88,13.51,13.79,13678600,12.174662
2009-01-15,13.81,14.1,12.07,13.2,17956100,11.653773
2009-01-16,14.17,14.6,12.6,13.8,12116900,12.18349
2009-01-20,13.38,14.0,11.51,11.51,14465400,10.161737
2009-01-21,12.15,13.65,11.81,13.49,16416300,11.909803
2009-01-22,12.65,12.97,11.75,12.18,14277300,10.753255
2009-01-23,11.48,14.22,11.0,14.1,16793400,12.448349
2009-01-26,14.18,15.65,13.93,14.05,15126300,12.404206
2009-01-27,14.44,14.99,13.98,14.59,9195400,12.880951
2009-01-28,15.8,18.17,15.7,17.709999,20180100,15.635478
2009-01-29,16.549999,16.950001,15.2,15.4,15296300,13.596069
2009-01-30,15.65,15.96,12.83,13.16,22196800,11.618459
2009-02-02,14.34,15.75,13.16,15.12,27199400,13.348868
2009-02-03,15.51,15.84,14.29,14.61,15557800,12.898608
2009-02-04,14.99,15.49,14.44,14.57,13966000,12.863293
2009-02-05,14.77,16.07,14.0,15.09,24125900,13.322382
2009-02-06,12.0,13.0,10.66,12.68,70381700,11.194686
2009-02-09,14.56,15.87,14.24,15.03,31552900,13.26941
2009-02-10,13.87,15.03,12.9,13.05,25050300,11.521344
2009-02-11,13.49,13.98,12.95,13.58,14719300,11.989261
2009-02-12,12.81,12.87,11.89,12.54,23399100,11.071085
2009-02-13,12.75,12.96,12.31,12.46,14470800,11.000456
2009-02-17,11.52,11.69,9.85,9.98,25833700,8.810959
2009-02-18,10.27,10.68,9.3,10.24,22764200,9.040503
2009-02-19,10.6,10.67,7.38,7.73,41933500,6.82452
2009-02-20,6.86,7.49,5.75,6.79,46853300,5.99463
2009-02-23,8.15,8.25,6.45,6.68,30807100,5.897515
2009-02-24,6.89,8.59,6.1,8.01,41236900,7.071722
2009-02-25,7.9,7.9,6.62,7.04,36412000,6.215346
2009-02-26,7.56,7.83,7.01,7.16,23730700,6.366506
2009-02-27,6.42,6.48,5.75,6.1,35357800,5.423979
2009-03-02,5.86,5.9,4.98,5.11,27345100,4.543694
2009-03-03,5.47,5.52,4.36,4.63,25750700,4.116889
2009-03-04,5.41,5.6,4.07,5.14,49111800,4.570369
2009-03-05,4.87,4.97,3.68,4.13,39873900,3.6723
2009-03-06,4.3,4.37,3.33,3.62,30924400,3.21882
2009-03-09,3.48,4.57,3.39,4.1,27966000,3.645625
