Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.25,18.57,16.98,18.4,3592500,16.081163
2009-01-05,18.73,19.209999,17.9,18.93,4268700,16.544371
2009-01-06,19.559999,20.01,18.82,19.799999,4158700,17.30473
2009-01-07,19.280001,19.35,17.139999,17.35,7191400,15.163489
2009-01-08,17.15,17.610001,16.879999,17.58,3185600,15.364503
2009-01-09,17.049999,17.440001,15.65,16.0,7582600,13.983621
2009-01-12,14.96,15.32,14.0,14.13,9253900,12.349285
2009-01-13,14.25,14.54,13.6,13.97,5898900,12.209449
2009-01-14,13.81,13.82,12.76,13.43,6482900,11.737502
2009-01-15,13.38,14.2,12.8,13.95,7523700,12.191969
2009-01-16,14.24,14.37,12.89,13.7,7985800,11.973475
2009-01-20,13.54,13.82,11.96,12.02,8439500,10.505195
2009-01-21,12.97,13.61,12.1,13.56,8839100,11.851119
2009-01-22,13.26,13.37,12.0,12.4,8477100,10.837306
2009-01-23,11.0,12.17,10.07,11.5,16484900,10.050727
2009-01-26,12.04,12.5,10.9,11.54,8264200,10.085686
2009-01-27,11.99,12.35,11.69,12.15,7210900,10.618812
2009-01-28,12.59,13.2,12.47,12.9,8090000,11.274294
2009-01-29,12.68,13.01,12.14,12.87,8282300,11.248075
2009-01-30,12.86,12.86,12.14,12.18,9358100,10.645031
2009-02-02,12.08,12.2,11.64,11.86,6701900,10.365359
2009-02-03,12.03,14.55,11.91,13.73,20309300,11.999694
2009-02-04,13.43,13.58,12.63,12.7,8536300,11.099499
2009-02-05,12.66,13.35,12.35,13.08,6359000,11.43161
2009-02-06,13.12,14.46,13.12,14.42,7890000,12.602738
2009-02-09,14.2,14.74,13.91,14.3,4827000,12.497861
2009-02-10,14.21,14.59,12.67,13.14,7034700,11.484049
2009-02-11,13.27,13.83,13.02,13.41,4585200,11.720022
2009-02-12,13.16,13.17,11.75,12.3,13583500,10.749909
2009-02-13,12.22,12.68,12.2,12.3,6105800,10.749909
2009-02-17,11.98,12.1,11.6,11.86,6763800,10.365359
2009-02-18,11.95,12.17,11.09,11.35,7704200,9.919631
2009-02-19,11.75,11.9,10.65,10.77,6703100,9.412725
