Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,19.27,21.219999,19.26,20.799999,11300700,17.962942
2009-01-05,20.68,21.52,19.959999,21.24,6727400,18.342927
2009-01-06,21.27,23.780001,21.209999,23.09,8873100,19.940593
2009-01-07,22.66,22.780001,20.85,21.42,6674900,18.498376
2009-01-08,21.32,21.85,20.59,21.5,4069900,18.567464
2009-01-09,21.5,21.889999,21.049999,21.42,4038000,18.498376
2009-01-12,21.07,21.309999,18.799999,19.049999,6787100,16.451636
2009-01-13,18.940001,19.469999,17.719999,18.43,7180400,15.916203
2009-01-14,18.35,18.35,16.66,16.870001,5933200,14.568983
2009-01-15,16.870001,17.77,15.15,16.83,9027100,14.534438
2009-01-16,17.639999,17.76,17.0,17.34,5860700,14.974876
2009-01-20,17.35,17.540001,15.68,15.97,4903100,13.79174
2009-01-21,16.290001,17.35,16.040001,17.200001,4091400,14.853972
2009-01-22,16.559999,17.110001,15.81,16.27,5059800,14.050821
2009-01-23,15.69,16.67,15.12,16.17,3420300,13.964461
2009-01-26,16.33,17.07,15.9,16.34,3013500,14.111273
2009-01-27,16.41,16.75,15.5,16.0,4807400,13.817648
2009-01-28,16.49,17.780001,16.48,17.41,7613700,15.035328
2009-01-29,16.709999,18.309999,16.299999,16.4,6398000,14.163089
2009-01-30,15.69,16.040001,14.68,15.12,5892900,13.057677
2009-02-02,14.68,15.3,14.5,14.87,5324900,12.841776
2009-02-03,15.24,15.35,14.5,15.21,5433400,13.135402
2009-02-04,15.28,15.91,14.62,14.74,7484100,12.729508
2009-02-05,14.7,15.21,14.03,14.85,5911700,12.824505
2009-02-06,14.95,15.51,14.89,15.31,5657900,13.221762
2009-02-09,15.32,15.6,14.55,14.99,5247300,12.945409
2009-02-10,14.68,15.07,13.68,13.86,6289900,11.969537
2009-02-11,14.08,14.44,13.44,13.65,6843700,11.788181
2009-02-12,12.97,13.39,12.68,13.3,8414600,11.48592
2009-02-13,13.37,13.56,12.59,12.63,5713900,10.907306
2009-02-17,12.58,12.83,11.77,12.25,7797400,10.579137
2009-02-18,12.25,12.39,11.64,11.8,7896900,10.190516
2009-02-19,12.03,12.15,11.43,11.52,6103900,9.948707
2009-02-20,11.39,11.82,11.09,11.57,6171500,9.991886
2009-02-23,11.76,12.0,11.0,11.03,7045400,9.525541
2009-02-24,11.03,12.27,11.03,12.1,6907900,10.449597
2009-02-25,12.03,12.21,11.04,11.42,5985600,9.862346
2009-02-26,11.65,11.93,11.28,11.42,5827500,9.862346
2009-02-27,11.16,11.92,10.85,11.59,9310200,10.009159
2009-03-02,11.2,11.34,10.0,10.14,6714600,8.756935
2009-03-03,10.4,10.61,9.67,9.89,7312300,8.541034
2009-03-04,10.0,10.78,9.89,10.52,7020600,9.085104
2009-03-05,10.15,10.4,9.68,9.83,7121500,8.489217
2009-03-06,9.9,10.0,9.11,9.52,6020900,8.221501
2009-03-09,9.07,10.25,8.99,9.76,5684900,8.428765
2009-03-10,9.97,11.5,9.97,11.33,5908000,9.784622
2009-03-11,11.39,12.03,11.21,11.74,5979500,10.138699
2009-03-12,11.72,12.9,11.13,12.77,4480000,11.028211
2009-03-13,12.56,13.32,12.06,12.27,5643600,10.596409
2009-03-16,12.47,13.06,12.03,12.07,5837700,10.423688
2009-03-17,12.08,12.49,11.98,12.39,4083700,10.700041
2009-03-18,12.24,13.33,11.94,13.06,6834400,11.278655
2009-03-19,13.32,13.39,12.65,12.94,4368500,11.175022
2009-03-20,12.36,12.6,11.34,11.64,6306700,10.052339
2009-03-23,11.79,13.24,11.73,13.22,6082400,11.416832
2009-03-24,12.93,14.05,12.66,13.5,6105500,11.65864
2009-03-25,13.82,14.46,13.19,13.76,5781200,11.883177
2009-03-26,13.97,14.88,13.81,14.71,4442000,12.7036
2009-03-27,14.31,14.43,13.84,13.91,3616600,12.012718
2009-03-30,13.41,13.46,12.47,12.63,5458100,10.907306
2009-03-31,12.84,13.12,12.4,12.7,5245100,10.967758
2009-04-01,12.44,13.24,12.12,13.08,6615400,11.295927
2009-04-02,13.64,15.13,13.57,14.86,6400300,12.83314
2009-04-03,14.88,16.360001,14.88,16.08,8267200,13.886736
2009-04-06,15.84,16.1,15.39,15.64,4172300,13.506751
2009-04-07,15.25,15.37,14.06,14.43,6966700,12.461791
2009-04-08,14.72,14.81,13.97,14.38,5054900,12.418611
2009-04-09,15.11,15.64,14.78,15.32,5855800,13.230398
2009-04-13,15.13,15.99,14.74,15.77,4793700,13.61902
2009-04-14,15.51,16.52,15.21,15.76,7007600,13.610383
2009-04-15,15.64,15.86,15.06,15.81,3837700,13.653564
2009-04-16,15.97,17.290001,15.59,16.93,5730300,14.620799
2009-04-17,17.01,18.190001,16.540001,17.969999,6618700,15.518945
2009-04-20,17.549999,17.549999,15.93,16.139999,4913300,13.938552
2009-04-21,15.99,17.440001,15.82,17.27,4780700,14.914424
2009-04-22,16.09,18.6,16.09,17.959999,7026200,15.510309
2009-04-23,18.5,20.65,18.450001,19.940001,12060100,17.220244
2009-04-24,19.9,21.15,19.34,20.82,8060900,17.980214
2009-04-27,19.77,19.9,18.200001,18.549999,10873800,16.019835
2009-04-28,18.16,19.57,18.0,18.24,8785600,15.752118
2009-04-29,18.51,20.91,18.5,20.700001,12029400,17.876583
2009-04-30,20.41,22.0,20.190001,20.860001,10038200,18.014759
2009-05-01,20.940001,20.99,19.35,19.6,8171500,16.926619
2009-05-04,19.93,20.82,19.469999,20.77,6024500,17.937035
2009-05-05,20.629999,20.879999,20.4,20.65,5319400,17.833402
2009-05-06,20.969999,21.5,20.530001,21.200001,5077500,18.308384
2009-05-07,21.49,21.709999,20.16,20.32,5798900,17.548413
2009-05-08,20.68,22.299999,20.23,22.08,7238300,19.068354
2009-05-11,22.360001,22.77,21.66,21.92,6410500,18.930178
2009-05-12,22.040001,22.440001,20.23,21.129999,6236600,18.247931
2009-05-13,20.709999,20.99,19.58,19.719999,6837100,17.03025
2009-05-14,19.73,20.58,19.379999,19.950001,6230300,17.22888
2009-05-15,20.02,20.76,19.58,19.85,3654900,17.14252
2009-05-18,20.030001,21.450001,20.030001,21.379999,5089000,18.463831
2009-05-19,21.43,21.860001,21.01,21.41,3893800,18.48974
2009-05-20,21.73,22.389999,21.120001,21.299999,4183400,18.394743
2009-05-21,20.83,21.85,20.83,21.35,4842900,18.437924
2009-05-22,21.389999,21.99,20.450001,21.610001,4018000,18.662461
2009-05-26,21.700001,23.74,21.200001,23.549999,6187800,20.33785
2009-05-27,23.6,23.959999,22.26,22.379999,5649300,19.327434
2009-05-28,23.280001,23.68,22.5,23.49,6640600,20.286034
2009-05-29,23.719999,24.5,23.360001,24.469999,5239100,21.132365
2009-06-01,24.940001,26.68,24.77,26.1,6554200,22.540039
2009-06-02,25.58,25.93,25.15,25.379999,5529600,21.918243
2009-06-03,24.92,25.360001,24.200001,24.59,4049200,21.235998
2009-06-04,24.610001,25.09,24.1,24.98,3456200,21.572802
2009-06-05,25.35,25.790001,24.610001,25.139999,3904000,21.710979
2009-06-08,24.93,25.780001,24.5,25.620001,4230300,22.125509
2009-06-09,25.709999,26.25,25.33,25.780001,4653500,22.263686
2009-06-10,26.18,26.25,24.58,25.280001,5528600,21.831884
2009-06-11,25.290001,25.84,24.809999,24.9,6178000,21.503714
2009-06-12,24.709999,24.77,24.120001,24.42,4297200,21.089185
2009-06-15,24.18,24.26,23.299999,23.33,4368300,20.147858
2009-06-16,23.26,23.92,22.379999,22.610001,4545100,19.526064
2009-06-17,22.6,23.290001,21.629999,22.93,6346200,19.802417
2009-06-18,23.049999,23.32,22.379999,22.620001,3588900,19.5347
2009-06-19,22.99,23.280001,22.51,22.65,3969100,19.560608
2009-06-22,22.110001,22.360001,21.0,21.24,4774000,18.342927
2009-06-23,20.98,21.82,20.57,21.23,3586000,18.334291
2009-06-24,21.389999,22.459999,21.360001,22.02,4103400,19.016538
2009-06-25,21.74,22.83,21.620001,22.809999,3152400,19.698784
2009-06-26,22.709999,22.709999,22.08,22.59,4753600,19.508792
2009-06-29,22.700001,22.83,22.030001,22.639999,2104600,19.551971
2009-06-30,22.15,22.629999,21.629999,22.200001,5361900,19.171987
2009-07-01,21.389999,21.83,21.08,21.309999,5611900,18.403379
2009-07-02,20.969999,21.33,20.780001,20.9,6257400,18.049302
2009-07-06,20.65,20.65,19.73,20.190001,5879600,17.436145
2009-07-07,20.09,20.32,19.860001,19.959999,7978900,17.237515
2009-07-08,19.209999,19.6,18.49,18.92,14873300,16.339369
2009-07-09,19.34,20.4,19.32,20.190001,9024100,17.436145
2009-07-10,19.879999,20.23,19.52,19.75,5505100,17.056159
2009-07-13,19.84,20.5,19.389999,20.440001,4415800,17.652046
2009-07-14,20.51,20.879999,20.190001,20.74,3601300,17.911126
2009-07-15,21.209999,21.92,20.950001,21.74,5620900,18.774729
2009-07-16,20.99,21.32,19.860001,21.129999,7687900,18.247931
2009-07-17,20.950001,21.15,20.450001,20.65,4273300,17.833402
2009-07-20,20.870001,21.870001,20.780001,21.73,5279700,18.766093
2009-07-21,21.83,21.99,20.969999,21.360001,3628500,18.446561
2009-07-22,21.200001,21.540001,20.73,21.280001,6951700,18.377472
2009-07-23,21.25,23.700001,20.950001,22.83,9776200,19.716056
2009-07-24,22.309999,23.139999,22.15,22.92,4506500,19.793781
2009-07-27,23.049999,23.120001,22.370001,22.91,3611400,19.785145
2009-07-28,22.629999,22.91,22.24,22.83,3279200,19.716056
2009-07-29,22.549999,22.75,22.190001,22.370001,4232100,19.3188
2009-07-30,22.83,23.620001,22.59,23.27,4215900,20.096042
2009-07-31,23.139999,23.77,23.1,23.610001,3078100,20.389667
2009-08-03,23.969999,24.870001,23.780001,24.870001,4207500,21.477807
2009-08-04,24.209999,27.9,24.15,26.83,9940400,23.170468
2009-08-05,26.870001,27.58,26.84,26.969999,6015700,23.291372
2009-08-06,27.24,27.57,25.950001,26.129999,5272600,22.565946
2009-08-07,26.65,29.889999,26.540001,29.68,8515800,25.631737
2009-08-10,30.030001,30.32,27.549999,27.780001,8203200,23.990892
2009-08-11,27.860001,28.18,26.690001,27.809999,5200100,24.016799
2009-08-12,27.59,29.370001,27.59,29.030001,6300800,25.070396
2009-08-13,29.139999,29.76,28.360001,29.280001,4436300,25.286296
2009-08-14,29.209999,29.48,28.07,28.440001,4017600,24.56087
2009-08-17,27.940001,28.049999,26.84,27.27,4659900,23.550454
2009-08-18,27.360001,28.67,27.139999,28.58,3520500,24.681774
2009-08-19,28.1,28.6,27.68,28.57,3566300,24.673137
2009-08-20,28.540001,30.0,28.299999,29.93,4540500,25.847638
2009-08-21,30.280001,30.83,30.059999,30.35,3239200,26.210351
2009-08-24,30.690001,31.23,30.0,30.16,2647100,26.046266
2009-08-25,30.43,30.9,30.059999,30.33,2897000,26.193079
2009-08-26,30.049999,30.940001,29.860001,30.370001,2577300,26.227624
2009-08-27,30.360001,30.559999,29.370001,30.26,2598800,26.132627
2009-08-28,30.68,30.870001,30.23,30.57,2034400,26.400343
2009-08-31,30.26,30.26,29.5,29.780001,2757900,25.718098
2009-09-01,29.4,29.73,27.6,27.709999,5340900,23.930438
2009-09-02,27.639999,28.24,27.15,27.65,3549900,23.878623
2009-09-03,27.950001,28.34,27.440001,28.309999,2070000,24.4486
2009-09-04,28.290001,28.620001,27.450001,28.57,2368100,24.673137
2009-09-08,29.0,29.440001,28.360001,28.48,3838800,24.595413
2009-09-09,28.48,29.49,28.1,29.309999,3667400,25.312203
2009-09-10,29.299999,30.309999,28.790001,30.27,2841700,26.141263
2009-09-11,30.32,30.99,30.24,30.85,3525000,26.642153
2009-09-14,30.549999,31.290001,30.139999,31.23,2220900,26.970321
2009-09-15,31.25,32.689999,31.15,32.599998,5416500,28.153456
2009-09-16,32.98,34.400002,32.799999,33.16,6058700,28.637075
2009-09-17,32.91,34.779999,32.91,34.18,5993700,29.517951
2009-09-18,34.400002,34.549999,33.619999,34.09,5610900,29.440226
2009-09-21,33.16,33.57,32.610001,32.849998,3917000,28.369357
2009-09-22,33.060001,34.369999,33.060001,34.060001,2863800,29.414319
2009-09-23,34.310001,34.459999,32.779999,32.830002,3908500,28.352088
2009-09-24,32.919998,33.490002,31.959999,32.09,4358900,27.71302
2009-09-25,31.950001,32.290001,31.309999,31.48,3134800,27.186222
2009-09-28,31.75,32.02,31.389999,31.77,3487900,27.436668
2009-09-29,31.83,33.279999,31.83,32.66,3051000,28.205274
2009-09-30,32.59,33.419998,31.709999,33.029999,3269600,28.524806
2009-10-01,32.82,33.0,30.74,30.780001,5089000,26.581701
2009-10-02,30.26,30.4,29.41,29.700001,7012100,25.64901
2009-10-05,29.879999,31.09,29.879999,30.98,3774100,26.75442
2009-10-06,31.209999,32.849998,31.200001,32.689999,5110600,28.231181
2009-10-07,32.610001,33.029999,32.130001,32.889999,2672300,28.403902
2009-10-08,32.759998,33.610001,32.080002,33.41,4229500,28.852976
2009-10-09,32.52,33.490002,32.52,33.259998,2933400,28.723434
2009-10-12,33.560001,34.09,32.950001,33.09,2309600,28.576623
2009-10-13,33.169998,34.139999,32.889999,33.970001,3250100,29.336595
2009-10-14,34.349998,36.259998,33.950001,35.279999,7460300,30.467913
2009-10-15,35.259998,35.279999,34.34,34.66,4011000,29.93248
2009-10-16,34.25,35.439999,33.880001,35.380001,4038900,30.554275
2009-10-19,35.509998,36.450001,35.110001,36.060001,3052900,31.141525
2009-10-20,36.09,36.09,34.740002,34.84,4066300,30.087929
2009-10-21,34.799999,35.959999,34.049999,34.200001,4390300,29.535223
2009-10-22,33.779999,34.0,32.360001,33.630001,5891800,29.04297
2009-10-23,34.080002,34.41,32.880001,33.0,3845400,28.498899
2009-10-26,33.130001,34.5,32.880001,32.990002,3119400,28.490264
2009-10-27,32.98,32.98,31.24,31.25,4730700,26.987594
2009-10-28,31.040001,31.25,29.32,29.5,6501900,25.476288
2009-10-29,30.09,30.84,30.07,30.43,4394100,26.279439
2009-10-30,30.219999,30.639999,28.780001,29.059999,5995000,25.096303
2009-11-02,28.629999,29.43,27.66,28.459999,7499900,24.57814
2009-11-03,28.09,29.43,27.75,29.25,5644300,25.260388
2009-11-04,29.469999,30.51,29.219999,29.74,6563300,25.683553
2009-11-05,30.23,31.389999,29.959999,31.25,4037800,26.987594
2009-11-06,30.76,31.42,30.459999,31.09,2802200,26.849417
2009-11-09,31.59,33.389999,31.459999,33.130001,4595000,28.611168
2009-11-10,33.009998,33.380001,32.650002,33.099998,3777300,28.585258
2009-11-11,33.77,34.279999,33.200001,33.82,3431200,29.207053
2009-11-12,33.669998,34.110001,33.18,33.389999,3150600,28.835704
2009-11-13,33.490002,34.169998,33.389999,33.580002,2102500,28.99979
2009-11-16,33.93,34.709999,33.779999,34.41,2287500,29.716579
2009-11-17,34.470001,34.490002,33.439999,33.990002,3377800,29.353867
2009-11-18,33.68,33.889999,33.18,33.490002,1537900,28.922066
2009-11-19,33.029999,33.040001,31.91,32.450001,2604600,28.023918
2009-11-20,32.299999,32.43,31.52,32.049999,2916300,27.678475
2009-11-23,32.509998,33.119999,31.98,32.119999,1742000,27.738927
2009-11-24,32.18,32.380001,31.379999,31.639999,2402900,27.324398
2009-11-25,31.530001,32.470001,31.530001,32.360001,1602800,27.946193
2009-11-27,31.09,32.07,30.719999,31.6,1243500,27.289855
2009-11-30,31.68,32.060001,31.25,32.02,2377000,27.652568
2009-12-01,32.299999,32.57,31.799999,32.139999,2060100,27.7562
2009-12-02,32.119999,32.599998,31.959999,32.220001,1921400,27.82529
2009-12-03,32.470001,32.73,31.59,31.68,3782000,27.358943
2009-12-04,32.41,33.970001,32.380001,33.439999,4885200,28.878883
2009-12-07,33.529999,33.779999,33.099998,33.220001,2334000,28.688893
2009-12-08,32.849998,33.700001,32.5,33.630001,3381300,29.04297
2009-12-09,33.720001,33.849998,33.110001,33.459999,1933500,28.896155
2009-12-10,33.759998,34.099998,33.57,33.880001,2399300,29.25887
2009-12-11,34.099998,34.23,33.810001,34.0,2020900,29.362502
2009-12-14,34.349998,35.650002,34.130001,35.630001,3073700,30.770176
2009-12-15,36.259998,36.919998,35.68,36.369999,4872100,31.40924
2009-12-16,36.669998,37.060001,36.200001,36.900002,4108200,31.866952
2009-12-17,36.830002,37.040001,36.450001,36.490002,2166400,31.512875
2009-12-18,36.639999,36.75,35.98,36.549999,3184300,31.564689
2009-12-21,36.57,37.0,36.450001,36.73,1989500,31.720138
2009-12-22,36.68,36.869999,36.310001,36.459999,1813200,31.486964
2009-12-23,36.610001,36.900002,36.09,36.860001,1507100,31.832407
2009-12-24,37.0,37.200001,36.57,36.91,547000,31.875586
2009-12-28,37.029999,37.549999,36.91,37.139999,1771500,32.074215
