Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,7.850003,7.870004,7.509997,7.729997,9386300,6.415465
2009-01-05,7.620002,7.739997,7.339999,7.400001,12572400,6.141587
2009-01-06,7.519997,8.220001,7.440003,8.100005,15475000,6.722551
2009-01-07,7.899995,7.899995,7.410002,7.479995,13466300,6.207978
2009-01-08,7.460004,7.880004,7.050005,7.640003,11523600,6.340775
2009-01-09,7.640003,7.699995,7.16,7.220003,11461500,5.992199
2009-01-12,7.230003,7.38,6.550001,6.699998,13704800,5.560624
2009-01-13,6.830005,6.840005,6.410005,6.590003,16181400,5.469334
2009-01-14,6.400004,6.410005,6.089999,6.180004,13319700,5.129058
2009-01-15,6.079999,6.550001,5.839997,6.340001,16811100,5.261847
2009-01-16,6.630005,6.800003,6.380003,6.770001,16891600,5.618723
2009-01-20,6.52,6.659996,5.550003,5.580005,22547500,4.631092
2009-01-21,5.849998,6.400004,5.370005,6.289999,20537700,5.220347
2009-01-22,5.889999,6.239996,5.710001,5.740003,18519000,4.763882
2009-01-23,5.439998,5.960003,5.239999,5.889999,18337100,4.88837
2009-01-26,5.629997,6.1,5.629997,5.960003,13660200,4.946469
2009-01-27,6.079999,6.249997,5.780004,5.879999,12162000,4.880071
2009-01-28,5.889999,6.350002,5.730002,6.239996,21013400,5.178848
2009-01-29,5.950002,6.190004,5.740003,5.760004,15559000,4.780481
2009-01-30,5.839997,5.930002,5.229998,5.379995,17234700,4.465095
2009-02-02,5.199997,5.530003,5.120003,5.469999,15616600,4.539794
2009-02-03,5.560004,5.560004,5.320003,5.459999,13729300,4.531494
2009-02-04,5.510002,5.720001,5.120003,5.140004,14145100,4.265916
2009-02-05,5.090002,5.280001,4.870001,5.090002,14160700,4.224417
2009-02-06,5.189996,5.530003,5.160005,5.490001,16076000,4.556394
2009-02-09,5.340004,5.589995,5.249999,5.570005,11998800,4.622793
2009-02-10,5.490001,5.570005,4.809998,4.829999,20797100,4.00863
2009-02-11,4.870001,5.019998,4.369997,4.690003,23979000,3.89244
2009-02-12,4.240001,4.730004,4.240001,4.730004,19432800,3.925639
2009-02-13,4.599998,4.759996,4.250002,4.379998,18704500,3.635153
2009-02-17,4.240001,4.440001,4.109995,4.199999,21792800,3.485765
2009-02-18,4.149997,4.440001,3.929997,4.109995,17295300,3.411066
2009-02-19,4.890002,4.890002,3.759999,3.860003,20118900,3.203587
2009-02-20,3.719997,4.199999,3.470005,4.149997,18263200,3.444266
2009-02-23,4.250002,4.290004,3.810001,3.830002,19276300,3.178687
2009-02-24,3.870004,4.329996,3.719997,4.280003,19979800,3.552163
