Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,82.209999,85.0,79.589996,84.57,1347500,81.668036
2009-01-05,80.419998,81.0,72.660004,73.0,3787300,70.495054
2009-01-06,70.949997,71.019997,61.049999,62.59,9781500,60.442266
2009-01-07,61.220001,65.900002,59.540001,64.080002,4396900,61.881139
2009-01-08,63.23,65.739998,62.52,64.800003,2477800,62.576434
2009-01-09,64.75,65.019997,62.91,63.880001,2151400,61.688001
2009-01-12,63.509998,63.889999,60.52,61.25,1968500,59.148247
2009-01-13,60.5,62.970001,59.130001,61.830002,1710700,59.708346
2009-01-14,59.82,60.98,56.799999,58.990002,3095600,56.965799
2009-01-15,59.139999,60.310001,54.799999,57.41,3728000,55.440014
2009-01-16,59.25,60.970001,56.689999,57.66,3174100,55.681435
2009-01-20,57.630001,57.630001,50.919998,50.919998,3763600,49.172712
2009-01-21,52.009998,55.68,51.060001,55.439999,3418800,53.537612
2009-01-22,53.700001,55.459999,51.299999,53.130001,2279300,51.30688
2009-01-23,52.0,56.990002,50.099998,56.630001,2814700,54.68678
2009-01-26,57.299999,58.970001,54.220001,55.779999,1814200,53.865945
2009-01-27,56.5,58.849998,55.25,58.16,2100700,56.164278
2009-01-28,60.700001,62.450001,59.060001,61.82,2815700,59.698688
2009-01-29,60.060001,60.650002,57.169998,57.959999,2587600,55.97114
2009-01-30,59.049999,59.830002,56.110001,56.93,2368300,54.976485
2009-02-02,55.57,55.830002,53.34,54.950001,2227400,53.064428
2009-02-03,55.57,59.98,55.540001,58.91,2602500,56.888542
2009-02-04,59.490002,61.080002,58.310001,59.18,1627100,57.149278
2009-02-05,58.150002,62.650002,57.919998,61.419998,1813100,59.312412
2009-02-06,61.860001,65.779999,61.130001,63.470001,2392900,61.29207
2009-02-09,62.91,64.470001,61.029999,62.259998,2939200,60.123588
2009-02-10,59.610001,67.010002,59.540001,61.439999,4090500,59.331726
2009-02-11,62.599998,63.700001,60.540001,62.860001,2609000,60.703002
2009-02-12,60.93,62.380001,59.0,61.98,2166200,59.853197
2009-02-13,61.16,64.589996,61.049999,63.119999,1929500,60.954078
2009-02-17,60.360001,60.52,58.040001,58.330002,2157100,56.328447
2009-02-18,59.400002,60.080002,56.43,58.139999,1574400,56.144964
2009-02-19,59.16,59.880001,56.169998,56.48,2130300,54.541926
2009-02-20,55.220001,58.830002,54.25,58.040001,2462200,56.048397
2009-02-23,59.310001,59.310001,53.779999,53.779999,1693800,51.934574
2009-02-24,54.41,57.0,52.59,56.66,1918100,54.71575
2009-02-25,56.279999,61.189999,55.259998,58.810001,2333700,56.791975
2009-02-26,60.200001,61.77,58.0,59.0,2004300,56.975454
2009-02-27,57.77,60.0,56.52,56.77,1673000,54.821976
2009-03-02,55.990002,57.16,52.740002,52.810001,1857700,50.997861
2009-03-03,53.959999,56.400002,53.27,54.610001,1739400,52.736095
2009-03-04,56.259998,58.580002,55.299999,57.369999,1914800,55.401386
2009-03-05,58.52,60.220001,56.540001,58.009998,2435700,56.019424
2009-03-06,58.869999,60.450001,56.299999,60.389999,2380900,58.317757
2009-03-09,60.32,63.880001,60.049999,61.080002,2267300,58.984082
2009-03-10,63.130001,63.130001,59.540001,60.52,3091100,58.443297
2009-03-11,61.310001,64.019997,59.060001,62.689999,2128700,60.538833
2009-03-12,62.380001,67.230003,61.200001,66.739998,2215200,64.449859
2009-03-13,66.739998,68.900002,65.010002,68.43,2569100,66.08187
2009-03-16,69.610001,71.510002,68.279999,68.699997,2704200,66.342602
2009-03-17,68.75,72.209999,67.220001,72.199997,2091200,69.722502
2009-03-18,71.019997,78.379997,70.230003,77.760002,3960100,75.091719
2009-03-19,79.160004,79.5,73.650002,73.949997,3125300,71.412452
2009-03-20,74.540001,75.360001,71.629997,71.650002,1817600,69.191379
2009-03-23,74.519997,79.550003,74.059998,79.550003,2343000,76.820298
2009-03-24,76.809998,79.57,76.010002,76.620003,2225800,73.990838
2009-03-25,75.830002,79.190002,72.370003,76.339996,2452300,73.72044
2009-03-26,77.379997,81.449997,76.040001,80.900002,2359600,78.123972
2009-03-27,79.260002,80.730003,78.199997,78.610001,1367900,75.912551
2009-03-30,75.410004,76.110001,72.879997,73.07,2211500,70.562651
2009-03-31,74.330002,75.410004,72.779999,74.470001,2006000,71.914613
2009-04-01,73.0,75.220001,72.059998,73.650002,2138000,71.122751
2009-04-02,75.120003,79.970001,75.120003,78.199997,2871000,75.516616
2009-04-03,80.290001,85.269997,79.760002,85.269997,3804800,82.344013
2009-04-06,82.949997,83.559998,81.519997,82.419998,2359600,79.591811
2009-04-07,81.589996,88.589996,81.300003,84.470001,3654000,81.571469
2009-04-08,85.370003,87.669998,83.089996,87.230003,2495600,84.236764
2009-04-09,87.510002,89.120003,86.010002,89.120003,2456600,86.061909
2009-04-13,88.739998,91.43,86.879997,91.169998,1743700,88.04156
2009-04-14,90.0,90.279999,85.639999,85.82,2179000,82.875144
2009-04-15,86.040001,87.309998,84.300003,86.800003,2081700,83.821519
2009-04-16,87.709999,87.720001,82.599998,85.169998,2308400,82.247446
2009-04-17,84.760002,87.739998,83.010002,86.589996,1988500,83.618718
2009-04-20,84.949997,88.0,82.580002,84.169998,2580100,81.281761
2009-04-21,83.989998,89.0,83.160004,88.739998,2019200,85.694944
2009-04-22,87.050003,89.779999,81.849998,82.709999,2717200,79.871861
2009-04-23,84.519997,84.989998,81.260002,84.669998,2903700,81.764604
2009-04-24,84.050003,85.32,82.300003,84.389999,1839300,81.494213
2009-04-27,84.300003,89.269997,83.199997,87.699997,2301700,84.69063
2009-04-28,85.510002,88.0,83.800003,83.800003,1973200,80.924462
2009-04-29,84.900002,87.75,84.139999,87.110001,1680500,84.120879
2009-04-30,88.370003,90.230003,86.910004,87.599998,1508000,84.594063
2009-05-01,87.18,88.919998,84.559998,85.150002,1380100,82.228136
2009-05-04,87.489998,90.550003,87.019997,90.43,2925900,87.326955
2009-05-05,89.32,104.599998,89.32,102.0,5549700,98.499938
2009-05-06,101.050003,101.639999,94.760002,97.779999,3644900,94.424743
2009-05-07,98.0,98.5,94.400002,95.160004,2445700,91.894651
2009-05-08,96.730003,98.389999,95.5,97.279999,2096200,93.9419
2009-05-11,95.0,96.269997,92.0,92.279999,1636200,89.113472
2009-05-12,93.370003,97.970001,91.68,96.5,2843800,93.188667
2009-05-13,94.57,101.5,93.220001,96.589996,5356800,93.275575
2009-05-14,98.349998,103.32,98.209999,100.760002,4545600,97.30249
2009-05-15,99.449997,100.0,96.580002,96.919998,2269700,93.594253
2009-05-18,97.800003,103.989998,97.139999,103.610001,2318200,100.054692
2009-05-19,102.489998,108.690002,100.309998,104.080002,3462700,100.508566
2009-05-20,104.510002,106.010002,97.75,98.309998,3302200,94.936555
2009-05-21,98.370003,100.900002,96.099998,98.660004,2243800,95.274551
2009-05-22,102.25,102.25,98.660004,99.5,1767100,96.085724
2009-05-26,99.82,102.690002,98.169998,102.080002,2220400,98.577195
2009-05-27,102.919998,105.970001,101.370003,102.480003,2173600,98.96347
2009-05-28,102.949997,108.110001,102.900002,107.699997,1894100,104.004343
2009-05-29,108.019997,108.379997,104.900002,107.790001,1634200,104.091259
2009-06-01,108.0,112.139999,107.669998,110.029999,1968400,106.254393
2009-06-02,110.550003,116.580002,109.519997,115.150002,2677800,111.198706
2009-06-03,114.449997,114.739998,111.629997,112.5,1589300,108.639637
2009-06-04,113.949997,120.0,112.25,119.739998,2443300,115.6312
2009-06-05,121.93,121.93,113.760002,114.860001,2566300,110.918656
2009-06-08,113.970001,119.389999,111.5,118.110001,1925000,114.057135
2009-06-09,119.760002,121.650002,117.230003,117.839996,2232800,113.796395
2009-06-10,120.25,120.339996,112.559998,114.739998,2140200,110.802771
2009-06-11,115.099998,118.239998,113.209999,116.610001,1418700,112.608606
2009-06-12,114.32,116.379997,112.900002,116.099998,1091600,112.116104
2009-06-15,114.800003,114.989998,111.080002,113.080002,1165500,109.199737
