Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.719994,18.909995,17.380001,18.820001,4220900,13.354761
2009-01-05,18.750002,19.199995,18.400005,18.879997,4008400,13.397334
2009-01-06,19.029999,19.319999,18.449997,18.96,7551600,13.454105
2009-01-07,19.019996,19.790001,18.900004,19.409994,7571300,13.773422
2009-01-08,19.120006,20.190002,19.010005,19.93,5828100,14.142421
2009-01-09,20.010003,20.200005,19.25,20.020006,6198100,14.20629
2009-01-12,19.519994,19.879994,18.299995,18.419999,8640800,13.070917
2009-01-13,18.280001,18.699997,17.939995,18.210002,6295600,12.921902
2009-01-14,17.960002,18.150006,17.310001,17.500005,5664500,12.418085
2009-01-15,17.439997,18.140002,16.880003,17.920001,8335600,12.716116
2009-01-16,18.290005,18.360004,17.310001,18.000003,5419200,12.772887
2009-01-20,18.000003,18.000003,17.149996,17.219995,6027800,12.219389
2009-01-21,17.549997,17.549997,16.759998,17.049998,9613300,12.098759
2009-01-22,16.780005,17.100003,16.12,16.619999,7295400,11.793629
2009-01-23,16.109997,16.969996,16.060005,16.679996,7577600,11.836203
2009-01-26,16.679996,17.179994,16.279994,16.609996,5145900,11.786531
2009-01-27,16.719997,17.200001,16.539997,16.890006,6448400,11.985227
2009-01-28,17.250005,18.250003,17.170003,17.780002,8990400,12.616772
2009-01-29,17.409999,17.579995,16.55,16.73,6004900,11.871686
2009-01-30,16.890006,16.979999,16.12,16.209994,6279600,11.502688
2009-02-02,16.079999,16.249996,15.700004,15.919993,5376900,11.296901
2009-02-03,16.109997,16.230001,15.779995,16.090003,5404200,11.417541
2009-02-04,16.340002,16.850005,16.12,16.189999,7708400,11.488499
2009-02-05,16.050002,16.350005,15.300004,16.099993,7821600,11.42463
2009-02-06,16.099993,16.700002,16.029994,16.439999,8927800,11.6659
2009-02-09,16.459994,17.060002,16.37,16.990002,5759900,12.056185
2009-02-10,16.780005,17.079996,15.340005,15.590004,7769400,11.062739
2009-02-11,17.170003,17.930004,16.609996,17.549997,12392900,12.599027
2009-02-12,17.409999,17.430006,16.259999,16.990002,6682000,12.19701
2009-02-13,16.8,17.920001,16.8,17.390004,6823700,12.484169
2009-02-17,16.639994,16.909999,16.240004,16.3,8038400,11.701662
2009-02-18,16.480001,16.979999,16.219997,16.590001,8250900,11.909852
2009-02-19,16.810003,17.079996,15.919993,16.050002,6328900,11.52219
2009-02-20,15.700004,16.170006,15.349995,15.83,9429000,11.364252
2009-02-23,16.01,16.099993,14.669997,14.709998,6202600,10.56021
2009-02-24,14.840005,15.639996,14.639998,15.539999,6388000,11.156062
2009-02-25,15.239994,15.529995,14.730005,14.870004,6642800,10.675077
2009-02-26,15.120003,15.440001,14.599997,14.639998,5108200,10.509958
2009-02-27,14.260004,14.769994,14.159995,14.180002,7287800,10.179729
2009-03-02,13.940005,14.000001,12.960003,12.99,6906000,9.325435
2009-03-03,13.24,13.500003,12.259997,12.659999,11148400,9.088529
2009-03-04,13.149994,13.530001,12.899994,13.309999,7949100,9.55516
2009-03-05,12.829994,13.299996,12.030005,12.159999,8001100,8.729583
2009-03-06,12.280003,12.640004,11.459994,11.840001,8695800,8.499858
2009-03-09,11.649997,12.589999,11.560003,12.179994,9778700,8.743937
2009-03-10,12.490002,13.409997,12.399996,13.400005,7128600,9.619775
2009-03-11,13.710001,14.169998,13.400005,13.989998,8632200,10.043327
2009-03-12,13.989998,13.989998,13.409997,13.930002,7261400,10.000256
2009-03-13,14.049994,14.180002,13.589997,13.869994,4573100,9.957177
2009-03-16,14.110002,14.290002,13.849999,13.930002,6001400,10.000256
2009-03-17,13.979995,14.099999,13.229996,14.089995,9129500,10.115115
2009-03-18,14.159995,14.790001,13.580006,14.620004,6975000,10.495604
2009-03-19,14.849997,14.999999,14.400003,14.779997,5613700,10.610462
2009-03-20,14.889998,14.970001,13.869994,13.909995,9037300,9.985893
2009-03-23,14.309997,15.270006,14.309997,15.270006,6569800,10.962236
