Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,14.5,15.0,13.92,15.0,2633200,12.321012
2009-01-05,14.74,14.99,14.02,14.11,4049400,11.589965
2009-01-06,14.33,15.0,14.24,14.7,3675100,12.074592
2009-01-07,14.23,14.52,13.71,13.81,3569000,11.343546
2009-01-08,13.64,13.93,13.13,13.6,3361900,11.171051
2009-01-09,13.63,14.05,13.27,13.56,3615700,11.138195
2009-01-12,13.5,13.75,12.88,13.1,3873800,10.760351
2009-01-13,12.86,13.39,12.65,13.22,3770900,10.858919
2009-01-14,12.66,13.01,11.88,12.31,4460500,10.111444
2009-01-15,12.17,13.28,11.7,12.4,5524200,10.18537
2009-01-16,12.76,13.16,11.79,12.36,4654400,10.152514
2009-01-20,11.72,12.71,11.0,11.11,4563600,9.125763
2009-01-21,11.5,11.81,10.65,11.54,6601600,9.478965
2009-01-22,11.11,11.93,10.74,11.17,4084700,9.175047
2009-01-23,10.85,12.03,10.41,11.9,3736600,9.774669
2009-01-26,12.33,12.45,11.14,11.48,3854000,9.429681
2009-01-27,11.73,11.79,11.3,11.5,3213000,9.446109
2009-01-28,13.29,13.29,11.6,13.04,5161500,10.711067
2009-01-29,12.41,12.69,11.41,11.53,5574100,9.470751
2009-01-30,11.65,12.32,11.21,11.79,5108200,9.684316
2009-02-02,11.42,12.6,11.2,12.49,4182900,10.259296
2009-02-03,12.41,12.57,11.97,12.33,3298400,10.127872
2009-02-04,12.44,13.1,12.32,12.54,2348900,10.300366
2009-02-05,12.4,14.13,12.14,13.7,5711500,11.253191
2009-02-06,13.97,14.28,13.57,14.21,5227800,11.672106
2009-02-09,14.48,14.48,13.64,13.95,2682700,11.458541
2009-02-10,13.65,14.15,12.6,12.79,6859600,10.505716
2009-02-11,13.14,13.53,12.75,13.46,2851300,11.056055
2009-02-12,13.02,13.54,12.12,13.4,4406500,11.006771
2009-02-13,13.34,13.62,12.94,13.31,4686600,10.932845
2009-02-17,11.42,12.9,11.42,12.59,5404800,10.341436
2009-02-18,12.8,13.0,12.27,12.81,4411600,10.522145
2009-02-19,12.79,13.15,12.26,12.29,5182800,10.095016
2009-02-20,11.35,12.95,11.35,12.45,5413200,10.22644
2009-02-23,12.38,12.58,11.07,11.09,5852000,9.183095
2009-02-24,11.08,12.69,11.08,12.66,6616900,10.483136
2009-02-25,12.49,12.81,11.75,12.15,4842100,10.060829
2009-02-26,12.39,12.66,11.83,12.25,5113400,10.143635
2009-02-27,11.49,12.22,11.36,11.43,5697400,9.464632
2009-03-02,11.18,11.58,10.35,10.5,6523900,8.694544
2009-03-03,10.76,10.76,9.73,9.91,8005200,8.205993
2009-03-04,9.56,10.81,9.56,10.48,6996700,8.677983
2009-03-05,10.07,10.5,9.44,9.65,5117800,7.9907
2009-03-06,9.99,10.11,9.37,9.83,7811100,8.139749
2009-03-09,9.91,10.05,9.33,9.51,3965800,7.874773
2009-03-10,9.37,11.15,9.34,11.15,6524800,9.232777
2009-03-11,11.32,11.85,10.68,11.54,5320100,9.555718
2009-03-12,10.94,12.61,10.94,12.6,7276600,10.433453
2009-03-13,12.67,12.7,11.84,12.29,5354700,10.176757
2009-03-16,12.69,12.77,11.58,11.65,5019900,9.646803
2009-03-17,11.71,12.49,11.49,12.49,4417400,10.342367
2009-03-18,12.21,13.23,11.71,13.23,6894100,10.955125
2009-03-19,13.52,13.52,11.97,11.97,5859800,9.91178
2009-03-20,12.23,12.5,11.8,12.35,8542600,10.22644
2009-03-23,12.69,14.36,12.45,14.36,9334600,11.890824
2009-03-24,13.11,14.44,13.11,13.69,7665000,11.336029
2009-03-25,13.65,14.19,12.82,13.72,5686100,11.360871
2009-03-26,14.08,14.88,13.34,14.65,6773200,12.130959
2009-03-27,14.28,15.27,14.15,14.79,7658900,12.246886
2009-03-30,14.22,14.22,12.99,13.04,6461300,10.797796
2009-03-31,13.16,14.18,13.1,13.86,6523000,11.476798
2009-04-01,13.58,14.67,13.45,14.57,5103400,12.064715
2009-04-02,14.64,15.95,14.64,15.81,9647300,13.091499
