Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,6.71,7.14,6.64,7.09,1781900,6.177322
2009-01-05,6.99,7.43,6.98,7.27,2194400,6.334151
2009-01-06,7.35,7.66,7.32,7.59,1741800,6.612958
2009-01-07,7.43,7.46,7.21,7.32,1861900,6.377715
2009-01-08,7.32,7.32,6.87,7.0,2749100,6.098908
2009-01-09,6.99,7.08,6.7,6.98,1697200,6.081482
2009-01-12,7.0,7.0,6.51,6.63,1970500,5.776537
2009-01-13,6.6,6.63,6.37,6.56,2640500,5.715548
2009-01-14,6.34,6.49,5.98,6.07,2891000,5.288624
2009-01-15,6.1,6.2,5.79,6.11,3213100,5.323475
2009-01-16,6.27,6.27,5.64,5.92,3901700,5.157933
2009-01-20,5.84,5.93,5.41,5.46,3168600,4.757148
2009-01-21,5.99,6.39,5.85,6.37,4213500,5.550006
2009-01-22,6.09,6.24,5.92,6.06,2509500,5.279911
2009-01-23,5.94,6.24,5.8,6.1,2504700,5.314762
2009-01-26,6.01,6.13,5.68,5.78,3510700,5.035955
2009-01-27,5.89,6.15,5.83,6.12,1687400,5.332188
2009-01-28,6.25,6.45,6.0,6.36,1620800,5.541293
2009-01-29,6.26,6.26,6.02,6.09,1408400,5.30605
2009-01-30,5.98,6.13,5.76,5.82,1670100,5.070806
2009-02-02,5.73,5.94,5.59,5.91,2184200,5.14922
2009-02-03,5.85,6.18,5.72,5.95,2526900,5.184071
2009-02-04,5.84,6.25,5.84,6.06,1982400,5.279911
2009-02-05,5.94,6.25,5.77,6.13,2597700,5.340901
2009-02-06,6.13,6.6,6.06,6.5,2335900,5.663271
2009-02-09,6.62,6.62,6.3,6.45,1566300,5.619707
2009-02-10,6.36,6.45,5.83,5.91,2219300,5.14922
2009-02-11,5.97,6.13,5.85,6.03,1661000,5.253773
2009-02-12,5.9,5.98,5.68,5.96,2076000,5.253773
2009-02-13,5.91,6.25,5.9,6.1,1857300,5.377184
2009-02-17,5.81,5.98,5.65,5.71,2298700,5.033397
2009-02-18,5.72,5.75,5.51,5.63,2213700,4.962876
2009-02-19,5.6,6.15,5.33,5.35,1648500,4.716055
