Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,13.95,14.07,13.17,13.85,2773100,12.552404
2009-01-05,13.89,14.98,13.49,14.7,3852700,13.322768
2009-01-06,14.89,15.45,14.8,15.29,5797300,13.857491
2009-01-07,14.9,15.15,14.02,14.22,3867700,12.887739
2009-01-08,14.06,14.68,13.78,14.57,4746800,13.204947
2009-01-09,14.55,14.87,12.55,14.17,10822100,12.842423
2009-01-12,14.14,14.4,12.92,13.19,4356100,11.954238
2009-01-13,13.03,13.98,12.87,13.77,5378500,12.479899
2009-01-14,13.2,13.58,12.5,12.72,3825200,11.528273
2009-01-15,12.57,13.14,11.79,12.39,7220600,11.22919
2009-01-16,12.56,13.25,11.96,12.91,6657300,11.700471
2009-01-20,12.99,13.32,11.72,11.79,6338100,10.685404
2009-01-21,12.03,12.13,10.7,11.79,6118800,10.685404
2009-01-22,11.4,11.85,10.91,11.25,6368800,10.195996
2009-01-23,10.87,11.63,10.61,11.42,5726300,10.350069
2009-01-26,11.41,12.17,11.14,11.52,5428600,10.4407
2009-01-27,11.66,11.87,10.91,10.95,4641100,9.924102
2009-01-28,11.21,12.65,11.18,12.42,6398800,11.256379
2009-01-29,12.26,12.49,11.14,11.26,5611400,10.205059
2009-01-30,11.28,11.44,10.58,10.67,4365100,9.670336
2009-02-02,10.68,11.58,10.4,11.17,5639100,10.123491
2009-02-03,11.5,12.49,11.22,12.28,6992300,11.192624
2009-02-04,12.45,12.69,11.84,11.98,4306000,10.919188
2009-02-05,11.99,12.66,11.75,12.32,5456400,11.229082
2009-02-06,12.12,14.58,12.12,13.99,9053600,12.751206
2009-02-09,13.53,13.95,12.96,13.5,4015700,12.304595
2009-02-10,13.12,13.87,11.87,12.07,6093700,11.001219
2009-02-11,12.28,12.78,11.73,12.26,5059700,11.174395
2009-02-12,12.0,12.0,10.75,11.59,6337800,10.563723
2009-02-13,11.51,11.91,11.13,11.76,5032600,10.718669
2009-02-17,11.25,11.5,10.7,11.28,4008600,10.281172
2009-02-18,11.34,11.68,10.43,10.63,4826200,9.688729
2009-02-19,10.75,11.04,9.13,9.2,7634500,8.385353
2009-02-20,8.84,9.51,8.7,9.29,10363300,8.467384
2009-02-23,9.46,9.7,8.93,9.19,4366800,8.376239
2009-02-24,9.33,10.78,9.2,10.16,6624000,9.260347
2009-02-25,9.98,10.3,9.3,9.83,5859700,8.959568
2009-02-26,10.26,10.4,9.38,9.54,4367500,8.695247
2009-02-27,9.25,9.66,8.8,8.9,6464000,8.111918
2009-03-02,8.68,9.18,8.33,8.53,4444500,7.774681
2009-03-03,8.7,8.88,8.03,8.11,4077300,7.391871
2009-03-04,8.38,8.55,8.03,8.33,3871300,7.592391
2009-03-05,8.13,8.39,7.89,8.14,4411300,7.419215
2009-03-06,8.1,8.43,7.85,8.27,5268200,7.537704
2009-03-09,8.01,8.98,8.0,8.35,5829100,7.61062
2009-03-10,8.8,9.73,8.43,9.65,5084300,8.795506
2009-03-11,9.74,10.09,9.46,9.7,3828100,8.841079
2009-03-12,9.67,10.94,9.42,10.85,4775000,9.889249
2009-03-13,10.99,11.2,10.21,10.85,4524500,9.889249
2009-03-16,10.98,11.19,10.07,10.17,3816200,9.269461
2009-03-17,10.56,11.14,10.16,11.12,4372800,10.13534
2009-03-18,11.02,12.75,10.59,12.28,7764200,11.192624
2009-03-19,12.75,12.77,11.65,11.78,5334500,10.736898
2009-03-20,11.91,12.11,11.17,11.25,4012000,10.253829
2009-03-23,11.74,13.04,11.44,12.98,5464400,11.83064
2009-03-24,12.76,13.37,12.58,12.87,4048400,11.73038
2009-03-25,13.05,14.61,12.68,13.38,9741900,12.195221
2009-03-26,13.46,14.4,13.46,14.16,7079100,12.906153
2009-03-27,14.32,15.86,14.21,15.05,16067600,13.717345
2009-03-30,14.41,14.52,13.22,13.75,9206300,12.532458
2009-03-31,14.11,14.14,12.72,13.18,7022300,12.012931
2009-04-01,12.75,14.17,12.66,13.55,6623600,12.350167
2009-04-02,13.51,15.09,13.51,14.55,7490700,13.261619
