Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,28.9,30.0,27.870001,29.77,1857300,28.312182
2009-01-05,29.5,30.5,29.09,29.809999,1577700,28.350222
2009-01-06,30.51,30.6,29.51,29.92,1741000,28.454836
2009-01-07,29.459999,29.49,28.07,28.200001,1729000,26.819064
2009-01-08,27.9,28.719999,27.83,28.469999,1480000,27.075841
2009-01-09,28.530001,28.6,27.389999,27.5,1462700,26.153342
2009-01-12,27.700001,27.75,26.25,26.559999,1871300,25.259373
2009-01-13,26.34,26.68,25.83,26.32,2964700,25.031125
2009-01-14,25.59,25.870001,24.34,24.559999,2349800,23.357311
2009-01-15,24.5,25.709999,23.620001,24.950001,2717300,23.728214
2009-01-16,25.6,25.99,24.719999,25.09,2784900,23.861358
2009-01-20,24.18,25.530001,23.469999,23.48,3811600,22.330198
2009-01-21,23.98,25.870001,23.5,25.76,3695300,24.498549
2009-01-22,25.18,25.219999,23.84,24.24,3588500,23.052982
2009-01-23,23.43,24.76,23.25,24.530001,3119900,23.328782
2009-01-26,24.9,25.58,24.01,24.469999,2406400,23.271718
2009-01-27,24.860001,25.23,24.33,25.02,2051800,23.794786
2009-01-28,26.950001,26.950001,25.48,26.219999,2842500,24.936022
2009-01-29,25.799999,25.799999,24.459999,24.530001,2284500,23.328782
2009-01-30,24.82,25.01,23.719999,24.4,4018400,23.205147
2009-02-02,23.57,23.860001,22.93,23.16,4751800,22.025869
2009-02-03,23.360001,23.68,23.1,23.389999,2691100,22.244605
2009-02-04,23.65,24.059999,23.139999,23.5,2207200,22.349219
2009-02-05,23.01,24.629999,23.0,24.25,3083100,23.062492
2009-02-06,24.190001,25.07,24.030001,24.98,3952700,23.756744
2009-02-09,23.66,25.83,23.66,25.07,1810100,23.842337
2009-02-10,24.700001,25.190001,22.91,23.059999,3948100,21.930765
2009-02-11,23.379999,23.969999,22.98,23.860001,3322800,22.691591
2009-02-12,22.860001,23.42,22.139999,23.27,4503800,22.130483
2009-02-13,23.23,23.43,22.780001,22.82,2695000,21.702518
2009-02-17,22.0,22.07,21.120001,21.16,4132000,20.123808
2009-02-18,21.360001,21.889999,20.65,21.280001,5860500,20.237932
2009-02-19,21.450001,21.74,20.66,20.709999,3738000,19.695843
2009-02-20,20.15,20.67,19.5,20.15,5776700,19.163266
2009-02-23,21.200001,21.5,19.6,19.639999,4686300,18.678241
2009-02-24,19.799999,21.26,19.559999,21.219999,6169900,20.180869
2009-02-25,21.07,21.370001,19.85,20.5,6048400,19.496128
2009-02-26,21.41,21.620001,20.360001,20.530001,4348900,19.584846
2009-02-27,19.940001,20.450001,19.799999,19.85,5565700,18.936151
2009-03-02,19.34,19.91,18.889999,18.99,5426300,18.115743
2009-03-03,19.43,19.639999,18.73,18.9,6742400,18.029886
2009-03-04,19.4,20.35,18.9,19.82,6189300,18.907532
2009-03-05,19.129999,19.57,17.860001,18.25,5889800,17.409811
2009-03-06,18.440001,18.879999,17.4,18.129999,5905700,17.295335
2009-03-09,17.799999,18.67,17.549999,18.02,4334700,17.1904
2009-03-10,18.5,19.309999,18.290001,19.280001,5234700,18.392393
2009-03-11,19.33,19.33,18.059999,18.370001,5884900,17.524288
2009-03-12,18.280001,19.92,17.879999,19.719999,5868200,18.812135
2009-03-13,19.9,20.360001,19.299999,20.32,4917300,19.384513
2009-03-16,20.629999,21.26,20.02,20.16,5571400,19.231879
2009-03-17,20.139999,21.65,19.969999,21.65,4995900,20.653283
2009-03-18,21.48,22.469999,20.41,22.450001,6354500,21.416454
2009-03-19,22.559999,23.57,22.559999,22.870001,8434800,21.817118
2009-03-20,23.540001,23.540001,22.389999,22.700001,9665500,21.654944
2009-03-23,22.82,23.690001,22.809999,23.51,8531900,22.427653
2009-03-24,22.549999,23.5,22.309999,22.5,6928900,21.464151
2009-03-25,22.719999,23.450001,22.02,23.120001,4821000,22.055608
2009-03-26,23.68,23.85,22.940001,23.18,5131300,22.112846
2009-03-27,22.809999,23.18,22.190001,22.34,4212500,21.311517
2009-03-30,21.809999,22.110001,21.379999,21.540001,5145000,20.548348
2009-03-31,21.780001,22.299999,21.52,22.1,4822100,21.082566
2009-04-01,21.629999,22.75,21.49,22.59,3925900,21.550008
2009-04-02,23.25,23.74,22.700001,23.049999,6400800,21.98883
2009-04-03,22.85,23.5,22.73,23.49,3993000,22.408573
2009-04-06,23.16,23.16,22.52,22.9,3553700,21.845736
