Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,22.32,22.889999,21.870001,22.809999,3752500,18.27316
2009-01-05,22.26,23.15,22.25,22.709999,4731400,18.19305
2009-01-06,22.799999,23.9,22.75,23.76,4597900,19.034209
2009-01-07,23.08,23.610001,22.75,22.98,5757600,18.409348
2009-01-08,22.92,23.280001,22.51,23.26,4413700,18.633657
2009-01-09,23.34,23.35,22.07,22.200001,5777900,17.784488
2009-01-12,21.98,22.209999,21.42,21.690001,5618900,17.375926
2009-01-13,21.73,22.98,21.5,22.6,9683300,18.104929
2009-01-14,21.700001,22.58,21.52,21.67,11721400,17.359903
2009-01-15,21.879999,22.92,21.51,22.74,10397400,18.217083
2009-01-16,22.91,23.950001,22.9,23.940001,10364000,19.178408
2009-01-20,23.620001,23.940001,22.73,22.75,7579400,18.225095
2009-01-21,23.120001,23.4,22.299999,23.370001,5983800,18.721779
2009-01-22,23.08,23.43,22.33,22.77,8980600,18.241117
2009-01-23,22.41,23.41,22.360001,23.16,9579700,18.553547
2009-01-26,23.049999,23.860001,23.0,23.51,5073200,18.833933
2009-01-27,23.76,24.700001,23.42,24.42,5844600,19.562937
2009-01-28,24.709999,24.99,24.280001,24.67,6612400,19.763212
2009-01-29,24.639999,24.65,23.75,23.9,5190100,19.146363
2009-01-30,23.83,24.27,23.309999,23.42,5644700,18.761834
2009-02-02,23.110001,24.040001,22.9,23.84,6558700,19.098297
2009-02-03,23.83,24.459999,23.48,24.41,6661400,19.554925
2009-02-04,24.43,24.92,24.09,24.280001,9323000,19.450783
2009-02-05,24.07,25.52,23.93,25.34,9966100,20.299952
2009-02-06,25.4,25.93,25.129999,25.77,8438100,20.644426
2009-02-09,25.870001,25.950001,25.07,25.34,8778800,20.299952
2009-02-10,25.15,25.49,24.190001,24.27,9737600,19.442772
2009-02-11,24.969999,24.969999,23.5,23.82,6555700,19.256831
2009-02-12,23.549999,24.4,23.450001,24.200001,7680600,19.564036
2009-02-13,24.290001,24.93,24.0,24.450001,7028100,19.766144
2009-02-17,23.58,23.950001,23.17,23.219999,6527000,18.771772
2009-02-18,23.32,23.540001,22.879999,23.1,5001000,18.674761
2009-02-19,23.17,23.33,22.24,22.24,6276600,17.97951
2009-02-20,22.09,22.790001,21.969999,22.360001,7715500,18.076522
2009-02-23,22.52,22.690001,21.57,21.67,6275400,17.518704
2009-02-24,21.76,22.32,21.76,22.219999,6500400,17.963341
2009-02-25,22.01,23.360001,21.83,22.780001,8417400,18.416063
2009-02-26,23.030001,23.5,22.01,22.040001,8809100,17.817825
2009-02-27,21.98,22.43,21.73,21.799999,7694500,17.6238
2009-03-02,21.549999,21.84,21.0,21.09,7254600,17.049814
2009-03-03,21.35,21.719999,20.709999,21.26,7836000,17.187248
2009-03-04,21.5,22.209999,21.450001,21.879999,8059200,17.688474
2009-03-05,21.85,22.450001,21.549999,21.940001,7613600,17.736981
2009-03-06,21.98,22.5,21.09,21.6,9592300,17.462114
2009-03-09,21.42,21.950001,20.92,20.969999,6391800,16.952802
2009-03-10,21.35,22.15,21.139999,22.030001,6605500,17.80974
2009-03-11,22.26,22.540001,21.940001,22.309999,7038600,18.0361
2009-03-12,22.299999,22.969999,22.059999,22.91,6196200,18.521159
2009-03-13,22.959999,23.049999,22.5,22.67,5539400,18.327136
2009-03-16,22.450001,22.67,21.959999,22.059999,4996000,17.833992
2009-03-17,21.85,22.549999,21.780001,22.549999,5392400,18.230123
2009-03-18,22.52,23.200001,22.26,23.07,7304300,18.650508
2009-03-19,23.27,23.299999,22.799999,23.129999,6092600,18.699013
2009-03-20,23.25,23.4,22.33,22.540001,6263000,18.22204
2009-03-23,22.75,23.780001,22.719999,23.709999,4249600,19.167903
2009-03-24,23.49,23.65,23.049999,23.059999,4987300,18.642423
2009-03-25,23.620001,24.08,22.98,23.42,8371500,18.933459
2009-03-26,23.51,24.0,23.389999,24.0,5511000,19.402349
2009-03-27,23.799999,23.860001,23.309999,23.42,4132000,18.933459
