Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,18.790001,20.18,18.33,19.950001,2757200,18.267545
2009-01-05,19.59,22.0,19.59,21.809999,5041900,19.970684
2009-01-06,22.02,25.59,22.02,25.01,7005500,22.900817
2009-01-07,24.24,24.530001,21.059999,21.219999,6387000,19.594972
2009-01-08,21.049999,21.629999,19.9,20.08,6257700,18.542274
2009-01-09,20.870001,21.27,19.799999,20.1,3577800,18.560743
2009-01-12,20.030001,20.040001,17.200001,17.49,5343400,16.150616
2009-01-13,17.219999,20.209999,17.190001,20.049999,7083800,18.514571
2009-01-14,19.219999,19.219999,17.370001,18.0,7160200,16.62156
2009-01-15,17.700001,19.200001,16.16,17.879999,5888400,16.510749
2009-01-16,18.57,19.530001,17.52,18.209999,6144600,16.815478
2009-01-20,17.5,18.0,14.48,14.68,7177600,13.555806
2009-01-21,15.7,16.9,15.17,16.67,8034000,15.393412
2009-01-22,16.18,16.18,14.67,14.98,6566100,13.832831
2009-01-23,14.35,16.76,13.18,16.26,5403800,15.01481
2009-01-26,16.57,17.110001,15.33,15.93,4294000,14.710081
2009-01-27,16.309999,17.0,15.98,16.950001,3947400,15.65197
2009-01-28,18.75,20.879999,18.530001,20.639999,6504600,19.059388
2009-01-29,19.9,19.9,16.540001,16.84,7176400,15.550393
2009-01-30,17.1,17.25,14.9,15.13,5517000,13.971345
2009-02-02,14.71,16.48,14.55,16.18,5197200,14.940936
2009-02-03,16.450001,16.450001,14.81,15.96,4375000,14.737783
2009-02-04,16.15,16.75,15.61,15.81,3223200,14.599271
2009-02-05,15.56,17.860001,15.09,17.15,5020800,15.836653
2009-02-06,16.389999,16.74,15.25,16.52,5809000,15.254899
2009-02-09,18.1,18.889999,17.280001,17.77,5929500,16.409174
2009-02-10,16.719999,17.77,14.22,14.42,8568700,13.315717
2009-02-11,14.7,15.44,14.0,14.79,5850400,13.657382
2009-02-12,14.46,14.97,13.5,14.77,7281800,13.638914
2009-02-13,14.64,14.94,13.85,14.18,4416500,13.094096
2009-02-17,13.06,13.74,12.7,12.78,8817900,11.801308
2009-02-18,13.1,13.69,12.41,13.38,6402400,12.35536
2009-02-19,13.64,13.77,11.56,11.67,7166900,10.776312
2009-02-20,11.4,12.11,10.51,11.44,10193100,10.563925
2009-02-23,11.7,12.21,10.36,10.36,6652400,9.566631
2009-02-24,10.74,13.27,10.2,13.04,10975200,12.041397
2009-02-25,12.85,13.3,10.14,11.21,14032400,10.351538
2009-02-26,11.62,12.54,10.67,10.75,9702700,9.926765
2009-02-27,9.5,9.74,8.41,8.59,13213900,7.932178
2009-03-02,8.28,8.7,7.68,7.71,8935000,7.119568
2009-03-03,8.03,8.19,6.19,6.56,12591300,6.057635
2009-03-04,7.05,7.43,6.29,7.16,11955500,6.611687
2009-03-05,6.61,7.07,5.56,5.85,10656000,5.402007
2009-03-06,5.95,6.23,5.0,5.4,11696700,4.986468
2009-03-09,5.2,6.14,4.9,5.01,10414900,4.626334
2009-03-10,5.68,6.71,5.67,6.38,11193100,5.89142
2009-03-11,6.83,7.59,6.39,7.19,13829300,6.63939
2009-03-12,7.1,8.55,6.8,8.26,12367400,7.62745
2009-03-13,8.61,9.91,8.39,9.03,10571800,8.338482
2009-03-16,8.84,9.58,8.05,8.13,11041400,7.507405
2009-03-17,8.28,8.71,6.93,8.15,16109100,7.525873
2009-03-18,7.71,9.86,7.21,9.45,20927200,8.726319
2009-03-19,9.71,10.05,7.5,8.04,18389300,7.424297
2009-03-20,7.61,8.26,7.13,7.31,10093100,6.7502
2009-03-23,8.15,9.7,8.0,9.7,10847400,8.957174
2009-03-24,9.14,10.21,8.81,9.4,12008300,8.680148
2009-03-25,9.44,10.05,8.41,9.18,10353900,8.476996
2009-03-26,9.4,9.66,8.8,9.57,8309600,8.837129
2009-03-27,9.15,10.92,8.85,10.37,10319700,9.575865
2009-03-30,8.5,8.51,6.21,6.41,32355700,5.919122
2009-03-31,6.56,7.74,6.56,6.69,32028500,6.17768
2009-04-01,6.65,7.13,6.37,7.07,15078300,6.52858
2009-04-02,7.4,7.51,6.3,6.49,22593700,5.992996
2009-04-03,6.3,6.9,5.52,6.9,21121100,6.371598
2009-04-06,6.35,6.85,6.16,6.38,12265500,5.89142
2009-04-07,6.85,7.51,6.35,6.89,24406300,6.372352
2009-04-08,9.03,10.0,8.6,9.15,40302300,8.462557
2009-04-09,9.64,10.43,9.22,10.4,21260100,9.618644
2009-04-13,10.12,10.4,9.25,10.24,14156200,9.470665
2009-04-14,10.22,10.39,9.25,9.28,10022900,8.58279
2009-04-15,9.03,10.08,8.75,10.08,7880100,9.322686
2009-04-16,9.94,10.1,9.26,9.62,11647400,8.897246
2009-04-17,9.39,10.32,9.12,10.07,12177700,9.313437
2009-04-20,9.75,9.75,8.75,8.78,10629700,8.120355
2009-04-21,8.93,10.56,8.66,10.56,16445300,9.766624
2009-04-22,9.91,10.91,9.82,10.37,15080500,9.590898
2009-04-23,10.7,10.7,9.81,10.16,9516400,9.396676
2009-04-24,10.41,10.49,9.65,10.16,14025300,9.396676
2009-04-27,9.73,10.13,9.73,9.9,6407800,9.156209
2009-04-28,9.53,10.24,9.53,9.75,6966600,9.017479
2009-04-29,10.18,11.37,10.17,11.29,11784100,10.441778
2009-04-30,11.6,12.02,11.18,11.24,12333900,10.395535
2009-05-01,10.83,11.71,10.61,11.39,8141200,10.534266
2009-05-04,11.58,12.04,10.87,11.96,13614700,11.061441
2009-05-05,11.95,13.04,11.4,11.71,16979200,10.830224
2009-05-06,13.44,16.200001,13.03,15.57,41634300,14.40022
2009-05-07,16.6,17.4,15.32,15.9,23427800,14.705427
2009-05-08,16.41,18.559999,16.25,18.24,15909000,16.869622
2009-05-11,18.129999,18.139999,16.450001,16.58,15295100,15.334339
2009-05-12,16.870001,17.0,15.23,16.139999,14967500,14.927396
2009-05-13,15.63,16.030001,14.32,14.42,12929900,13.336621
2009-05-14,14.09,16.77,13.83,16.24,15399600,15.019883
2009-05-15,18.190001,18.25,15.44,16.120001,22697300,14.9089
2009-05-18,16.59,17.790001,16.34,17.65,12127700,16.323949
2009-05-19,17.610001,18.33,16.93,17.6,12277900,16.277706
2009-05-20,18.0,18.709999,16.690001,16.84,11829100,15.574805
2009-05-21,17.0,17.66,16.440001,17.08,12026300,15.796774
2009-05-22,17.200001,17.450001,16.75,17.030001,6061600,15.750531
2009-05-26,16.84,17.780001,16.18,17.700001,10855700,16.370194
2009-05-27,17.780001,18.4,16.969999,17.08,8902200,15.796774
2009-05-28,17.389999,18.120001,17.219999,18.01,9249000,16.656903
2009-05-29,18.15,19.0,17.83,18.950001,14994600,17.526281
2009-06-01,19.18,19.99,18.91,19.58,10989000,18.108948
2009-06-02,19.43,19.950001,19.18,19.440001,7708800,17.979467
2009-06-03,19.209999,19.280001,17.950001,18.219999,6721200,16.851125
2009-06-04,18.459999,19.540001,18.219999,19.18,8617700,17.739
2009-06-05,19.73,19.82,18.889999,19.57,7245500,18.099699
2009-06-08,19.299999,19.58,18.860001,19.32,6660400,17.868481
2009-06-09,18.969999,19.25,18.459999,18.639999,5235000,17.23957
2009-06-10,18.809999,19.129999,18.049999,18.379999,6201300,16.999104
2009-06-11,18.32,19.299999,18.26,18.950001,6834400,17.526281
2009-06-12,18.700001,18.77,17.200001,17.75,8808800,16.416436
2009-06-15,16.43,16.51,15.83,15.83,10414100,14.640687
2009-06-16,15.68,15.79,14.88,15.06,11891700,13.928537
2009-06-17,15.46,15.49,14.72,14.9,40169300,13.780558
2009-06-18,15.44,16.15,15.34,15.92,16854100,14.723925
2009-06-19,16.4,17.1,16.200001,16.860001,15815000,15.593303
2009-06-22,16.42,16.719999,15.52,15.7,12783200,14.520453
2009-06-23,16.25,16.379999,15.3,16.290001,12602400,15.066128
2009-06-24,16.639999,17.16,16.219999,16.42,8886200,15.18636
2009-06-25,16.32,16.74,15.95,16.629999,7179900,15.380582
2009-06-26,16.6,16.73,16.02,16.18,7070100,14.964391
2009-06-29,16.280001,17.379999,16.280001,17.08,8986500,15.796774
2009-06-30,17.139999,17.389999,16.530001,17.209999,7218300,15.917006
2009-07-01,17.32,17.450001,16.860001,17.309999,5105700,16.009493
2009-07-02,16.870001,16.98,16.110001,16.110001,6392400,14.899651
2009-07-06,16.120001,16.82,15.97,16.74,6390100,15.482318
2009-07-07,16.469999,16.68,15.88,15.99,7409400,14.788666
2009-07-08,16.1,16.23,14.34,15.04,12242700,13.918744
2009-07-09,15.3,15.9,15.21,15.32,7416100,14.177869
2009-07-10,15.36,15.45,14.58,14.6,10612400,13.511547
2009-07-13,14.94,15.5,14.55,15.45,10307600,14.298178
2009-07-14,15.58,15.9,15.41,15.73,5989300,14.557303
2009-07-15,16.01,16.52,15.88,16.32,7586800,15.103318
2009-07-16,16.18,16.5,15.75,16.32,4791500,15.103318
2009-07-17,16.219999,16.25,15.78,16.16,4356200,14.955246
2009-07-20,16.620001,17.219999,16.59,17.139999,7805700,15.862185
2009-07-21,17.24,17.610001,16.84,17.049999,5065500,15.778895
2009-07-22,16.9,17.200001,16.620001,16.790001,5691300,15.53828
2009-07-23,16.85,18.43,16.709999,18.26,8130900,16.898688
2009-07-24,17.620001,18.709999,17.620001,18.610001,4562700,17.222596
2009-07-27,18.59,19.15,18.43,18.709999,5007000,17.315139
2009-07-28,18.450001,18.639999,17.9,18.370001,4231300,17.000488
2009-07-29,18.030001,18.34,17.809999,18.049999,5353300,16.704343
2009-07-30,19.15,20.709999,18.389999,20.290001,17099000,18.777349
2009-07-31,20.34,21.309999,19.52,21.190001,12266200,19.610252
2009-08-03,21.6,22.66,21.549999,22.66,9329400,20.970661
2009-08-04,22.450001,22.92,22.1,22.719999,6619800,21.026187
2009-08-05,22.82,23.360001,22.17,22.959999,5840000,21.248295
2009-08-06,22.75,23.09,21.469999,21.73,8047700,20.109994
2009-08-07,22.4,23.18,22.35,22.639999,6170200,20.952152
2009-08-10,22.58,23.530001,22.360001,23.08,6394000,21.359349
2009-08-11,22.76,22.91,21.360001,21.799999,7253100,20.174775
2009-08-12,21.950001,23.24,21.48,22.870001,5854700,21.165006
2009-08-13,23.27,24.450001,23.0,24.139999,6937200,22.340324
2009-08-14,23.940001,24.33,23.4,24.25,6613900,22.442124
2009-08-17,23.360001,23.49,22.030001,22.219999,8676900,20.563463
2009-08-18,22.299999,23.1,22.290001,22.889999,5177100,21.183514
