Date,Open,High,Low,Close,Volume,Adj Close
2009-01-01,4.8,4.8,4.8,4.8,0,4.62245
2009-01-02,3.27,3.65,3.22,3.57,3862500,3.43795
2009-01-05,3.52,3.66,3.25,3.27,9891200,3.14904
2009-01-06,3.36,3.93,3.35,3.86,9202200,3.71722
2009-01-07,3.69,3.77,3.56,3.65,7181400,3.51499
2009-01-08,3.63,3.83,3.42,3.78,8232800,3.64018
2009-01-09,3.77,3.77,3.42,3.43,5751900,3.30312
2009-01-12,3.36,3.4999,3.21,3.25,5469900,3.12978
2009-01-13,3.24,3.45,3.19,3.27,6914300,3.14904
2009-01-14,3.21,3.24,3.0,3.05,5906400,2.93718
2009-01-15,3.09,3.28,2.97,3.17,7378700,3.05274
2009-01-16,3.26,3.45,3.07,3.3,7686500,3.17793
2009-01-19,4.5,4.5,4.34,4.48,400,4.31428
2009-01-20,3.2,3.33,2.95,2.98,6625100,2.86977
2009-01-21,3.04,3.27,3.005,3.27,6889200,3.14904
2009-01-22,3.21,3.23,3.01,3.1,5216900,2.98533
2009-01-23,3.03,3.33,3.03,3.27,5799300,3.14904
2009-01-26,3.19,3.4,3.04,3.28,5718200,3.15867
2009-01-27,3.28,3.44,3.18,3.41,4022000,3.28386
2009-01-28,3.32,3.61,3.32,3.61,5657700,3.47647
2009-01-29,3.38,3.42,3.13,3.23,12349100,3.11052
2009-01-30,3.25,3.33,3.16,3.18,4990700,3.06237
2009-02-02,3.12,3.275,3.05,3.2,7483400,3.08163
2009-02-03,3.2,3.26,3.09,3.19,6034900,3.072
2009-02-04,3.18,3.45,3.12,3.36,9530300,3.23571
2009-02-05,3.29,3.65,3.29,3.59,8164900,3.45721
2009-02-06,3.51,3.7,3.48,3.65,8326100,3.51499
2009-02-09,3.61,3.7,3.38,3.53,9472100,3.39942
2009-02-10,3.48,3.53,3.12,3.16,9302100,3.04311
2009-02-11,3.09,3.34,3.09,3.2,7641300,3.08163
2009-02-12,3.27,3.27,3.12,3.21,8573000,3.09126
2009-02-13,3.21,3.29,3.12,3.15,6866100,3.03348
2009-02-16,4.09,4.09,4.06,4.06,0,3.90982
2009-02-17,3.14,3.14,3.02,3.06,10140600,2.94681
2009-02-18,3.08,3.09,2.95,2.97,7444900,2.86014
2009-02-19,3.0,3.0,2.59,2.68,13208000,2.58087
2009-02-20,2.6,2.72,2.51,2.62,11714300,2.52309
2009-02-23,2.66,2.66,2.46,2.51,7199900,2.41715
2009-02-24,2.54,2.82,2.51,2.79,7902000,2.6868
2009-02-25,2.77,2.89,2.62,2.79,6317600,2.6868
2009-02-26,2.84,3.12,2.795,2.85,8413000,2.74458
2009-02-27,2.78,3.01,2.74,2.9,9388700,2.79273
2009-03-02,2.82,2.85,2.5,2.51,6504300,2.41715
2009-03-03,2.61,2.75,2.51,2.61,8682000,2.51346
2009-03-04,2.74,3.0,2.65,2.92,7656600,2.81199
2009-03-05,2.83,2.92,2.71,2.72,5845200,2.61939
2009-03-06,2.75,2.77,2.52,2.64,9335500,2.54235
2009-03-09,2.6,2.71,2.39,2.45,7372900,2.35937
2009-03-10,2.51,2.88,2.41,2.88,9289000,2.77347
2009-03-11,2.91,2.91,2.76,2.88,6946200,2.77347
2009-03-12,2.88,2.98,2.76,2.92,7822200,2.81199
2009-03-13,2.94,3.18,2.85,3.14,10144900,3.02385
2009-03-16,3.12,3.23,2.98,3.04,7655000,2.92755
2009-03-17,3.04,3.05,2.9,3.05,8519800,2.93718
2009-03-18,3.02,3.22,2.96,3.15,7440800,3.03348
2009-03-19,3.21,3.3,3.12,3.24,5550300,3.12015
2009-03-20,3.14,3.34,3.02,3.11,8398900,2.99496
2009-03-23,3.14,3.4,3.14,3.38,6641700,3.25497
2009-03-24,3.32,3.32,3.08,3.2,9867500,3.08163
2009-03-25,3.2,3.3,3.0,3.1,8947000,2.98533
2009-03-26,3.15,3.34,3.08,3.32,6471900,3.19719
2009-03-27,3.27,3.36,3.21,3.28,3542100,3.15867
2009-03-30,3.19,3.26,3.0,3.05,5502300,2.93718
2009-03-31,3.09,3.15,2.92,3.04,8100200,2.92755
2009-04-01,3.06,3.32,3.0,3.29,9542100,3.1683
2009-04-02,3.31,3.74,3.3,3.56,12155900,3.42832
2009-04-03,3.56,3.7,3.37,3.68,6384300,3.54388
2009-04-06,3.62,3.67,3.36,3.47,7743400,3.34164
2009-04-07,3.4,3.49,3.29,3.43,5783300,3.30312
2009-04-08,3.43,3.61,3.39,3.58,6006900,3.44758
2009-04-09,3.64,3.85,3.64,3.81,6843100,3.66907
2009-04-10,4.25,4.25,4.25,4.25,0,4.09279
2009-04-13,3.77,3.79,3.53,3.66,9430700,3.52462
2009-04-14,3.65,3.75,3.54,3.59,9575200,3.45721
2009-04-15,3.55,3.63,3.48,3.59,3831200,3.45721
2009-04-16,3.66,3.91,3.62,3.84,6118300,3.69796
2009-04-17,3.85,3.9,3.72,3.84,5783700,3.69796
2009-04-20,3.76,3.78,3.52,3.67,5549000,3.53425
2009-04-21,3.65,3.78,3.57,3.7,6572900,3.56314
2009-04-22,3.65,3.93,3.6,3.74,6585100,3.60166
2009-04-23,3.79,3.87,3.6,3.85,6822900,3.70759
2009-04-24,3.89,4.0,3.75,3.88,6199400,3.73648
2009-04-27,3.78,3.95,3.7299,3.79,7352500,3.64981
2009-04-28,3.8,3.83,3.65,3.75,5296800,3.61129
2009-04-29,3.79,3.99,3.73,3.98,7338100,3.83278
2009-04-30,4.06,4.1,3.75,3.84,12853400,3.69796
2009-05-01,3.83,4.02,3.75,4.01,7538500,3.86167
2009-05-04,4.19,4.35,3.92,4.3,8034100,4.14094
2009-05-05,4.28,4.37,4.18,4.32,7445200,4.1602
2009-05-06,4.43,4.49,4.18,4.34,7237400,4.17946
2009-05-07,4.36,4.39,4.11,4.22,9529000,4.0639
2009-05-08,4.27,4.3,4.05,4.16,7998300,4.00612
2009-05-11,4.1,4.22,3.96,4.13,5952600,3.97723
2009-05-12,4.16,4.17,3.92,4.08,6838300,3.92908
2009-05-13,4.02,4.14,3.85,3.89,6458800,3.74611
2009-05-14,3.91,4.06,3.87,3.96,6274100,3.81352
2009-05-15,3.97,3.99,3.74,3.79,7109200,3.64981
2009-05-18,3.84,3.92,3.75,3.87,4932400,3.72685
2009-05-19,3.86,4.16,3.84,4.08,8738900,3.92908
2009-05-20,4.06,4.24,4.01,4.03,6808800,3.88093
2009-05-21,3.99,4.13,3.88,4.1,9779100,3.94834
2009-05-22,4.1,4.11,3.99,4.04,5865300,3.89056
2009-05-25,3.36,3.36,3.28,3.34,4100,3.21645
2009-05-26,4.01,4.33,3.97,4.27,9987300,4.11205
2009-05-27,4.25,4.59,4.23,4.38,8282000,4.21798
2009-05-28,4.38,4.48,4.19,4.41,6056800,4.24687
2009-05-29,4.41,4.53,4.32,4.47,5346100,4.30465
2009-06-01,4.49,4.75,4.44,4.49,9529200,4.32391
2009-06-02,4.42,4.4899,4.23,4.24,8827200,4.08316
2009-06-03,4.14,4.28,4.03,4.13,10297300,3.97723
2009-06-04,4.14,4.33,4.13,4.3,4963400,4.14094
2009-06-05,4.4,4.41,4.18,4.19,7357600,4.03501
2009-06-08,4.09,4.26,4.05,4.19,7090800,4.03501
2009-06-09,4.28,4.8,4.24,4.64,16565800,4.46837
2009-06-10,4.7,4.84,4.58,4.81,9083300,4.63208
2009-06-11,4.81,5.2,4.8,4.94,19062300,4.75727
2009-06-12,4.95,5.0,4.75,4.88,6428800,4.69949
2009-06-15,4.83,4.87,4.54,4.63,9723700,4.45874
2009-06-16,4.66,4.7,4.45,4.51,8809300,4.34317
2009-06-17,4.53,4.72,4.37,4.69,8493700,4.51652
2009-06-18,4.69,4.71,4.29,4.5,13027800,4.33354
2009-06-19,4.55,4.63,4.455,4.56,11427400,4.39133
2009-06-22,4.76,4.87,4.44,4.49,19104500,4.32391
2009-06-23,4.55,4.57,4.35,4.54,10481500,4.37206
2009-06-24,4.61,4.75,4.57,4.63,9376800,4.45874
2009-06-25,4.63,4.72,4.5,4.6,14517900,4.42985
2009-06-26,4.62,4.7,4.51,4.66,11031100,4.48763
2009-06-29,4.68,4.68,4.5,4.5,7156600,4.33354
2009-06-30,4.51,4.6,4.33,4.56,18178100,4.39133
2009-07-01,4.61,4.9,4.51,4.72,10304100,4.54541
2009-07-02,4.64,4.86,4.59,4.74,8570200,4.56467
2009-07-03,3.29,3.29,3.18,3.25,1500,3.12978
2009-07-06,4.64,4.8,4.49,4.55,6833700,4.3817
2009-07-07,4.78,4.86,4.6,4.65,19449900,4.478
2009-07-08,4.67,4.7897,4.39,4.46,15920200,4.29502
2009-07-09,4.55,4.71,4.54,4.6,11028500,4.42985
2009-07-10,4.54,4.6387,4.35,4.55,11857700,4.3817
2009-07-13,4.59,4.59,4.36,4.57,6923600,4.40096
2009-07-14,4.63,4.67,4.53,4.67,4023700,4.49726
2009-07-15,4.75,4.99,4.75,4.98,10546200,4.79579
2009-07-16,4.96,5.28,4.9,5.21,11780700,5.01728
2009-07-17,5.15,5.29,5.06,5.26,9098900,5.06543
2009-07-20,5.3,5.46,5.22,5.43,10557800,5.22914
2009-07-21,5.45,5.47,5.19,5.44,10861700,5.23877
2009-07-22,5.37,5.55,5.36,5.4,19497100,5.20025
2009-07-23,5.4,5.6,5.31,5.33,21817600,5.13284
2009-07-24,5.3,5.3,5.08,5.17,16017700,4.97876
2009-07-27,5.24,5.24,5.07,5.18,9691900,4.98839
2009-07-28,5.16,5.22,5.08,5.19,12326700,4.99802
2009-07-29,5.16,5.31,5.06,5.25,13909800,5.0558
2009-07-30,5.39,5.5,5.14,5.23,21190200,5.03654
2009-07-31,5.22,5.26,5.11,5.18,13176300,4.98839
2009-08-03,5.19,5.35,5.18,5.32,7489200,5.12321
2009-08-04,5.29,5.4,5.25,5.4,6287900,5.20025
2009-08-05,5.41,5.46,5.17,5.29,6666300,5.09432
2009-08-06,5.28,5.33,5.07,5.09,6301100,4.90172
2009-08-07,5.22,5.24,5.09,5.16,4867000,4.96913
2009-08-10,5.14,5.21,5.04,5.09,6032700,4.90172
2009-08-11,5.07,5.12,4.85,4.9,8368700,4.71875
2009-08-12,4.91,5.08,4.91,5.02,7627100,4.83431
2009-08-13,5.07,5.17,4.96,5.02,11769600,4.83431
2009-08-14,5.09,5.1,4.9,5.08,9219200,4.89209
2009-08-17,4.94,4.98,4.9,4.94,5776500,4.75727
2009-08-18,4.94,5.04,4.9,5.03,5484900,4.84394
2009-08-19,4.95,5.07,4.9,5.04,6980200,4.85357
2009-08-20,5.03,5.0601,4.92,4.96,9385200,4.77653
2009-08-21,4.94,5.06,4.89,5.05,7703600,4.8632
2009-08-24,5.07,5.2,5.05,5.08,5507800,4.89209
2009-08-25,5.08,5.16,4.99,5.07,6020600,4.88246
2009-08-26,5.05,5.15,5.0,5.08,4228700,4.89209
2009-08-27,5.07,5.22,5.0,5.2,6145100,5.00765
2009-08-28,5.23,5.45,5.23,5.29,6455000,5.09432
2009-08-31,5.2,5.26,5.12,5.21,5172800,5.01728
2009-09-01,5.17,5.38,5.02,5.04,7534400,4.85357
2009-09-02,5.02,5.1,4.91,4.94,8507500,4.75727
2009-09-03,4.97,5.01,4.93,5.01,3257800,4.82468
2009-09-04,5.01,5.16,4.99,5.16,3847600,4.96913
2009-09-07,4.21,4.28,4.06,4.25,3900,4.09279
2009-09-08,5.23,5.4,5.115,5.38,9691500,5.18099
2009-09-09,5.37,5.53,5.3,5.38,10009400,5.18099
2009-09-10,5.38,5.58,5.34,5.53,8444400,5.32544
2009-09-11,5.54,5.56,5.415,5.48,5565200,5.27729
2009-09-14,5.42,5.59,5.38,5.58,5615600,5.3736
2009-09-15,5.6,5.78,5.58,5.69,9091600,5.47953
2009-09-16,5.69,5.75,5.51,5.53,11074300,5.32544
2009-09-17,5.49,5.55,5.41,5.47,7823400,5.26766
2009-09-18,5.51,5.56,5.38,5.45,7115400,5.2484
2009-09-21,5.39,5.45,5.3,5.34,7299600,5.14247
2009-09-22,5.43,5.52,5.32,5.47,5832100,5.26766
2009-09-23,5.58,5.62,5.45,5.46,7841200,5.25803
2009-09-24,5.53,5.53,5.27,5.3,6401100,5.10395
2009-09-25,5.45,5.64,5.3,5.58,12516400,5.3736
2009-09-28,5.61,5.7,5.56,5.65,5080600,5.44101
2009-09-29,5.61,5.72,5.44,5.46,8480800,5.25803
2009-09-30,5.49,5.61,5.35,5.49,8042700,5.28692
2009-10-01,5.45,5.49,5.29,5.31,12249300,5.11358
2009-10-02,5.25,5.36,5.17,5.22,8893300,5.02691
2009-10-05,5.27,5.49,5.23,5.46,9246800,5.25803
2009-10-06,5.51,5.61,5.48,5.54,9644000,5.33507
2009-10-07,5.53,5.62,5.48,5.58,6188900,5.3736
2009-10-08,5.65,5.66,5.37,5.44,14071100,5.23877
2009-10-09,5.55,5.67,5.48,5.67,12662600,5.46027
2009-10-12,5.62,5.84,5.58,5.71,13798100,5.49879
2009-10-13,5.71,5.85,5.65,5.79,13426200,5.57583
2009-10-14,5.98,6.06,5.9,5.96,15674200,5.73954
2009-10-15,5.93,5.96,5.69,5.75,10123100,5.53731
2009-10-16,5.67,5.75,5.52,5.63,10999400,5.42175
2009-10-19,5.72,5.77,5.57,5.73,11059800,5.51805
2009-10-20,5.79,5.83,5.64,5.68,6429900,5.4699
2009-10-21,5.62,5.77,5.5,5.51,8707000,5.30618
2009-10-22,5.57,5.58,5.4,5.46,11248700,5.25803
2009-10-23,5.56,5.63,5.31,5.35,10336400,5.1521
2009-10-26,5.3,5.54,5.26,5.33,7934300,5.13284
2009-10-27,5.33,5.41,5.09,5.12,11503100,4.93061
2009-10-28,5.19,5.21,4.94,4.99,9860200,4.80542
2009-10-29,5.31,5.42,5.18,5.3,23403100,5.10395
2009-10-30,5.27,5.36,5.04,5.12,13764400,4.93061
2009-11-02,5.1,5.24,5.0,5.13,10206800,4.94024
2009-11-03,5.11,5.11,4.88,4.99,12044400,4.80542
2009-11-04,5.09,5.145,5.01,5.09,11197200,4.90172
