Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,31.51,32.740002,31.18,32.610001,5328500,27.892098
2009-01-05,32.619999,32.939999,32.07,32.580002,8281500,27.866439
2009-01-06,32.200001,32.799999,31.110001,31.23,9692400,26.71175
2009-01-07,31.0,31.91,30.690001,31.719999,9387400,27.130859
2009-01-08,31.67,32.279999,31.360001,32.220001,7873200,27.558522
2009-01-09,32.560001,32.990002,31.940001,32.57,8781400,27.857884
2009-01-12,32.57,32.740002,32.150002,32.450001,8030900,27.755246
2009-01-13,32.439999,32.599998,32.02,32.450001,8137900,27.755246
2009-01-14,32.049999,32.48,31.93,32.41,9254900,27.721032
2009-01-15,32.48,32.560001,31.34,32.02,10302400,27.387457
2009-01-16,32.220001,32.849998,32.09,32.720001,9080300,27.986184
2009-01-20,32.700001,33.150002,31.709999,31.85,8787700,27.242052
2009-01-21,32.299999,33.09,31.85,32.950001,8689800,28.182908
2009-01-22,32.259998,33.18,32.080002,33.029999,8054700,28.251332
2009-01-23,32.200001,32.57,31.280001,32.330002,8065000,27.652608
2009-01-26,32.82,33.299999,32.400002,33.02,6107900,28.24278
2009-01-27,33.139999,34.279999,32.889999,34.07,8049100,29.140869
2009-01-28,34.610001,34.650002,33.580002,34.529999,7709900,29.534317
2009-01-29,34.07,34.5,33.34,33.43,7182000,28.593463
2009-01-30,33.389999,33.860001,33.240002,33.490002,7314500,28.644783
2009-02-02,32.93,33.950001,32.93,33.740002,5392000,28.858614
2009-02-03,34.080002,34.09,33.25,33.970001,6300200,29.055338
2009-02-04,34.130001,35.099998,33.68,33.849998,5253900,28.952697
2009-02-05,33.880001,34.299999,33.380001,34.139999,6305100,29.200742
2009-02-06,34.099998,34.48,33.040001,33.389999,9856600,28.559249
2009-02-09,33.41,33.790001,32.869999,33.130001,6829700,28.336866
2009-02-10,32.939999,33.130001,31.969999,32.139999,9490900,27.490095
2009-02-11,32.360001,32.91,32.049999,32.5,7337500,27.798012
2009-02-12,32.099998,32.919998,31.66,32.799999,10027600,28.054608
2009-02-13,31.809999,33.130001,31.809999,32.810001,9325600,28.063163
2009-02-17,33.610001,35.389999,33.529999,34.560001,16077100,29.559979
2009-02-18,34.709999,35.139999,34.099998,34.330002,8711000,29.363255
2009-02-19,34.540001,34.939999,34.009998,34.130001,8695100,29.19219
2009-02-20,32.68,34.369999,32.68,34.0,11692200,29.080997
2009-02-23,34.23,34.970001,33.540001,34.02,9356100,29.098104
2009-02-24,34.150002,34.610001,33.869999,34.52,9376000,29.525765
2009-02-25,34.419998,34.5,33.68,33.860001,9440100,28.961252
2009-02-26,34.09,34.48,31.780001,31.799999,11725400,27.199285
2009-02-27,31.23,31.549999,29.52,29.59,15776700,25.309021
2009-03-02,29.26,29.26,27.15,27.219999,16859100,23.281903
2009-03-03,27.57,27.59,26.68,26.879999,12311000,22.991093
2009-03-04,27.42,27.42,26.389999,26.459999,14382100,22.631857
2009-03-05,26.139999,26.32,25.51,25.76,10961900,22.033132
2009-03-06,25.92,26.030001,24.799999,24.92,14749700,21.31466
2009-03-09,24.459999,24.75,24.059999,24.379999,15649600,20.852785
2009-03-10,24.6,25.17,24.200001,24.93,14841800,21.323213
2009-03-11,25.139999,26.85,25.030001,25.799999,15768700,22.067344
2009-03-12,25.809999,27.27,25.68,27.16,10099600,23.230584
2009-03-13,27.469999,28.639999,27.299999,28.58,11436500,24.445144
2009-03-16,28.0,29.08,27.950001,28.32,8326500,24.222759
2009-03-17,28.389999,28.780001,27.780001,28.469999,11179600,24.351058
2009-03-18,28.379999,29.809999,28.32,29.23,9934500,25.001104
2009-03-19,29.52,29.52,27.51,27.870001,9147100,23.837865
2009-03-20,27.99,28.059999,27.43,27.76,10582500,23.743779
2009-03-23,28.17,29.719999,27.91,29.690001,9509200,25.394553
2009-03-24,29.43,30.23,29.26,29.41,6013100,25.155062
2009-03-25,29.65,29.68,28.0,28.42,10677100,24.308292
2009-03-26,28.68,29.26,28.139999,29.23,10032800,25.001104
2009-03-27,28.889999,29.190001,28.67,28.780001,5736600,24.616209
2009-03-30,28.379999,29.23,28.0,29.030001,6420000,24.83004
2009-03-31,29.24,29.98,28.969999,29.469999,7248200,25.206381
2009-04-01,28.889999,29.690001,28.77,29.58,6821400,25.462904
2009-04-02,29.73,30.309999,29.57,29.76,8242400,25.617851
2009-04-03,29.83,30.09,29.110001,29.83,9276500,25.678107
2009-04-06,29.790001,30.41,29.469999,29.809999,7199300,25.660891
2009-04-07,29.48,29.92,29.26,29.309999,6181000,25.230483
2009-04-08,29.42,30.450001,29.34,30.219999,5896600,26.013825
