Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,0.13755,0.13755,0.13755,0.13755,2200,0.13755
2009-01-05,0.13005,0.13005,0.13005,0.13005,0,0.13005
2009-01-06,0.13338,0.13338,0.13338,0.13338,0,0.13338
2009-01-07,0.13338,0.13338,0.13338,0.13338,0,0.13338
2009-01-08,0.11588,0.11588,0.11588,0.11588,0,0.11588
2009-01-09,0.12088,0.12088,0.12005,0.12005,600,0.12005
2009-01-12,0.12922,0.12922,0.12922,0.12922,0,0.12922
2009-01-13,0.13755,0.13755,0.13755,0.13755,1200,0.13755
2009-01-14,0.13005,0.13005,0.13005,0.13005,0,0.13005
2009-01-15,0.12171,0.12171,0.12171,0.12171,0,0.12171
2009-01-16,0.12088,0.12088,0.12088,0.12088,0,0.12088
2009-01-19,0.13755,0.13755,0.13755,0.13755,0,0.13755
2009-01-20,0.16195,0.16195,0.16195,0.16195,0,0.16195
2009-01-21,0.16989,0.16989,0.16989,0.16989,0,0.16989
2009-01-22,0.16294,0.16294,0.16294,0.16294,0,0.16294
2009-01-23,0.16294,0.16294,0.16294,0.16294,0,0.16294
2009-01-26,0.16294,0.16294,0.16294,0.16294,0,0.16294
2009-01-27,0.16493,0.16493,0.16493,0.16493,0,0.16493
2009-01-28,0.15996,0.15996,0.15996,0.15996,0,0.15996
2009-01-29,0.14804,0.14804,0.14804,0.14804,0,0.14804
2009-01-30,0.14506,0.14506,0.14506,0.14506,0,0.14506
2009-02-02,0.12421,0.13338,0.12421,0.12421,2100,0.12421
2009-02-03,0.13512,0.13512,0.13512,0.13512,0,0.13512
2009-02-04,0.13015,0.13015,0.13015,0.13015,0,0.13015
2009-02-05,0.13214,0.13214,0.13214,0.13214,0,0.13214
2009-02-06,0.13611,0.13611,0.13611,0.13611,0,0.13611
2009-02-09,0.12817,0.12817,0.12817,0.12817,0,0.12817
2009-02-10,0.11671,0.12922,0.11671,0.11671,6900,0.11671
2009-02-11,0.12618,0.12618,0.12618,0.12618,0,0.12618
2009-02-12,0.13611,0.13611,0.13611,0.13611,0,0.13611
2009-02-13,0.13115,0.13115,0.13115,0.13115,0,0.13115
2009-02-16,0.13214,0.13214,0.13214,0.13214,0,0.13214
2009-02-17,0.13115,0.13115,0.13115,0.13115,0,0.13115
2009-02-18,0.12817,0.12817,0.12817,0.12817,0,0.12817
2009-02-19,0.13909,0.13909,0.13909,0.13909,0,0.13909
2009-02-20,0.13313,0.13313,0.13313,0.13313,0,0.13313
2009-03-06,0.09337,0.11171,0.09337,0.09337,15500,0.09337
2009-03-24,0.12755,0.12838,0.12755,0.12755,600,0.12755
2009-03-27,0.16506,0.16756,0.16506,0.16506,25100,0.16506
2009-03-30,0.1809,0.19174,0.1809,0.1809,9100,0.1809
2009-04-02,0.20591,0.22592,0.20591,0.20591,34700,0.20591
2009-04-07,0.1834,0.19841,0.1834,0.1834,1700,0.1834
2009-04-16,0.18841,0.19591,0.18841,0.18841,6500,0.18841
2009-05-26,0.20258,0.20841,0.20258,0.20258,9500,0.20258
2009-06-03,0.24134,0.24593,0.23676,0.24134,0,0.24134
2009-06-10,0.21175,0.21341,0.21175,0.21341,200,0.21341
2009-06-18,0.18674,0.19257,0.18674,0.19257,2900,0.19257
2009-07-24,0.2701,0.2701,0.2701,0.2701,5900,0.2701
2009-07-31,0.29261,0.29261,0.29261,0.29261,13100,0.29261
2009-08-05,0.28177,0.28177,0.28177,0.28177,7100,0.28177
2009-08-06,0.29178,0.29178,0.29178,0.29178,600,0.29178
2009-08-13,0.34096,0.3418,0.34013,0.34096,0,0.34096
2009-08-14,0.31929,0.33763,0.31929,0.33763,4700,0.33763
2009-08-17,0.30428,0.30428,0.30345,0.30345,35900,0.30345
2009-08-18,0.27844,0.28427,0.27844,0.28427,2300,0.28427
2009-08-19,0.2751,0.2751,0.27427,0.27427,3500,0.27427
2009-08-27,0.33346,0.33429,0.33346,0.33429,12900,0.33429
2009-08-31,0.35347,0.35347,0.35263,0.35263,5900,0.35263
2009-09-01,0.35847,0.35847,0.35514,0.35514,4700,0.35514
2009-09-08,0.40682,0.40682,0.40682,0.40682,9500,0.40682
2009-09-10,0.41683,0.41766,0.41683,0.41766,10700,0.41766
2009-09-14,0.40015,0.40015,0.39849,0.39849,21500,0.39849
2009-09-24,0.39182,0.39265,0.39182,0.39265,5000,0.39265
2009-09-25,0.38181,0.38181,0.38014,0.38014,100,0.38014
2009-10-01,0.3518,0.35263,0.3518,0.35263,100,0.35263
2009-10-07,0.3568,0.3568,0.3568,0.3568,35900,0.3568
2009-10-09,0.37514,0.37598,0.37514,0.37598,0,0.37598
2009-10-15,0.3593,0.3593,0.35847,0.3593,11900,0.3593
2009-11-17,0.46,0.46,0.46,0.46,0,0.46
2009-11-18,0.47,0.47,0.47,0.47,0,0.47
2009-11-19,0.3618,0.36347,0.3618,0.36347,15100,0.36347
2009-11-24,0.43,0.43,0.43,0.43,0,0.43
2009-11-25,0.43,0.43,0.43,0.43,0,0.43
2009-11-26,0.43,0.43,0.43,0.43,0,0.43
2009-11-30,0.42,0.42,0.42,0.42,0,0.42
2009-12-01,0.4,0.4,0.4,0.4,0,0.4
2009-12-02,0.35013,0.35013,0.35013,0.35013,20300,0.35013
2009-12-03,0.42,0.42,0.42,0.42,0,0.42
2009-12-04,0.38848,0.38848,0.38848,0.38848,3500,0.38848
2009-12-07,0.38348,0.38431,0.38348,0.38431,14700,0.38431
2009-12-08,0.38681,0.39598,0.38681,0.39598,29900,0.39598
2009-12-09,0.41516,0.41516,0.41516,0.41516,2900,0.41516
2009-12-15,0.48,0.48,0.48,0.48,0,0.48
2009-12-21,0.45,0.45,0.45,0.45,0,0.45
2009-12-22,0.44,0.44,0.44,0.44,0,0.44
2009-12-23,0.44,0.44,0.44,0.44,0,0.44
2009-12-24,0.44,0.44,0.44,0.44,0,0.44
2009-12-28,0.43,0.43,0.43,0.43,0,0.43
2009-12-29,0.44,0.44,0.44,0.44,0,0.44
2009-12-30,0.38848,0.38931,0.38848,0.38931,11900,0.38931
2009-12-31,0.45,0.45,0.45,0.45,0,0.45
2010-01-04,0.467,0.467,0.467,0.467,0,0.467
2010-01-05,0.467,0.467,0.467,0.467,0,0.467
2010-01-06,0.468,0.468,0.468,0.468,0,0.468
2010-01-07,0.477,0.477,0.477,0.477,0,0.477
2010-01-08,0.39182,0.40849,0.39182,0.40849,14700,0.40849
2010-01-11,0.48,0.48,0.48,0.48,0,0.48
2010-01-12,0.39265,0.39265,0.39265,0.39265,0,0.39265
2010-01-13,0.38265,0.38265,0.38265,0.38265,0,0.38265
2010-01-14,0.38181,0.38181,0.38181,0.38181,0,0.38181
2010-01-15,0.37681,0.37681,0.37681,0.37681,0,0.37681
2010-01-18,0.37681,0.37681,0.37681,0.37681,0,0.37681
2010-01-19,0.36764,0.36764,0.36764,0.36764,0,0.36764
2010-01-20,0.36764,0.36931,0.36764,0.36931,11900,0.36931
2010-01-21,0.35847,0.35847,0.35847,0.35847,0,0.35847
2010-01-22,0.36097,0.36097,0.36097,0.36097,0,0.36097
2010-01-25,0.3468,0.3468,0.34597,0.34597,20900,0.34597
2010-01-26,0.3443,0.3443,0.3443,0.3443,0,0.3443
2010-01-27,0.32762,0.32762,0.32679,0.32679,23900,0.32679
2010-01-28,0.34597,0.34597,0.34597,0.34597,0,0.34597
2010-01-29,0.31179,0.31179,0.31179,0.31179,0,0.31179
2010-02-01,0.2751,0.2751,0.2751,0.2751,0,0.2751
2010-02-02,0.30178,0.30178,0.30178,0.30178,0,0.30178
2010-02-03,0.31012,0.31012,0.31012,0.31012,0,0.31012
2010-02-04,0.27761,0.27761,0.27761,0.27761,0,0.27761
2010-02-05,0.25176,0.25176,0.25176,0.25176,0,0.25176
2010-02-08,0.24843,0.24843,0.24843,0.24843,0,0.24843
2010-02-09,0.25093,0.25093,0.25093,0.25093,0,0.25093
2010-02-10,0.25676,0.25676,0.25676,0.25676,0,0.25676
2010-02-11,0.27427,0.27427,0.27427,0.27427,0,0.27427
2010-02-12,0.28511,0.28511,0.28511,0.28511,0,0.28511
2010-02-15,0.28011,0.28011,0.28011,0.28011,0,0.28011
2010-02-16,0.28177,0.28177,0.28177,0.28177,0,0.28177
2010-02-17,0.28344,0.28344,0.28344,0.28344,0,0.28344
2010-02-18,0.28094,0.28094,0.28094,0.28094,0,0.28094
2010-02-19,0.29178,0.29178,0.29178,0.29178,0,0.29178
