Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,4.449971,4.729967,4.349972,4.66997,3669500,17.044882
2009-01-05,4.619969,4.659969,4.39997,4.47997,4884000,16.351402
2009-01-06,4.60997,4.749969,4.47997,4.639969,5692400,16.935381
2009-01-07,4.549968,4.599969,4.389972,4.429969,4797200,16.168904
2009-01-08,4.32997,4.539969,4.319971,4.529971,3318800,16.533901
2009-01-09,4.51997,4.629968,4.349972,4.45997,2959700,16.278405
2009-01-12,4.469968,4.56997,4.409972,4.49997,4282200,16.4244
2009-01-13,4.509968,4.529971,4.309972,4.319971,4607700,15.767424
2009-01-14,4.199972,4.259971,4.029971,4.109971,4915200,15.000947
2009-01-15,4.199972,4.45997,4.039973,4.429969,9008400,16.168904
2009-01-16,4.489971,4.749969,4.369969,4.539969,5987100,16.570394
2009-01-20,4.809966,4.849966,4.269972,4.309972,6779300,15.730929
2009-01-21,4.389972,4.509968,4.199972,4.509968,4703500,16.460894
2009-01-22,4.319971,4.509968,4.239971,4.429969,3822900,16.168904
2009-01-23,4.339971,4.649968,4.219971,4.599969,4053700,16.789387
2009-01-26,4.599969,4.709969,4.39997,4.509968,2999000,16.460894
2009-01-27,4.469968,4.769967,4.449971,4.709969,3388900,17.190876
2009-01-28,4.779968,4.949965,4.709969,4.929968,3347300,17.993846
2009-01-29,4.849966,4.889966,4.56997,4.659969,2799300,17.008379
2009-01-30,4.679968,4.699968,4.409972,4.429969,3955300,16.168904
2009-02-02,4.35997,4.639969,4.319971,4.539969,4783200,16.570394
2009-02-03,4.119972,4.219971,3.869973,4.039973,10722000,14.74546
2009-02-04,3.999973,3.999973,3.709974,3.749976,10268300,13.687004
2009-02-05,3.679975,3.809975,3.439977,3.679975,11556200,13.431509
2009-02-06,3.749976,3.949972,3.659975,3.879974,7667200,14.161483
2009-02-09,4.029971,4.209971,3.999973,4.149973,7687100,15.146951
2009-02-10,4.179972,4.179972,3.869973,3.899974,8888300,14.23448
2009-02-11,3.939973,3.979973,3.849975,3.899974,6524400,14.23448
2009-02-12,3.899974,3.899974,3.659975,3.879974,4952400,14.161483
2009-02-13,3.849975,3.999973,3.799974,3.869973,4623500,14.124979
2009-02-17,3.689974,3.789976,3.619976,3.699975,5828000,13.504506
2009-02-18,3.739975,3.769976,3.549977,3.629974,4797200,13.249011
2009-02-19,3.709974,3.819974,3.529977,3.629974,6868600,13.249011
2009-02-20,3.559976,3.679975,3.499976,3.609974,4815100,13.176014
2009-02-23,3.669974,3.849975,3.609974,3.629974,5025300,13.249011
2009-02-24,3.669974,3.929972,3.439977,3.859974,5890100,14.088485
2009-02-25,3.819974,3.859974,3.619976,3.709974,5062400,13.541001
2009-02-26,3.759974,3.849975,3.579976,3.619976,3764000,13.212517
2009-02-27,3.539976,3.599976,3.399977,3.519976,4637400,12.84753
2009-03-02,3.439977,3.619976,3.379977,3.379977,5899000,12.336549
2009-03-03,3.439977,3.569977,3.289979,3.299978,6616700,12.04456
2009-03-04,3.359977,3.519976,3.329976,3.449975,4862600,12.592035
2009-03-05,3.409976,3.409976,3.119979,3.169977,5758300,11.570073
2009-03-06,3.219978,3.249979,2.97998,3.099979,4883600,11.314586
2009-03-09,3.059979,3.249979,3.01998,3.119979,3982800,11.387584
2009-03-10,3.20998,3.389976,3.149977,3.389976,5055700,12.373043
2009-03-11,3.599976,3.629974,3.459977,3.489978,6983300,12.738039
2009-03-12,3.489978,3.719975,3.449975,3.699975,6618800,13.504506
2009-03-13,3.829975,3.849975,3.529977,3.749976,6371600,13.687004
2009-03-16,3.789976,3.909972,3.649974,3.649974,3997500,13.322009
2009-03-17,3.649974,3.889972,3.609974,3.889972,4144200,14.197976
2009-03-18,3.769976,4.189973,3.759974,4.149973,5070000,15.146951
2009-03-19,4.119972,4.199972,3.999973,4.069971,3533300,14.854953
2009-03-20,4.099972,4.129971,3.899974,3.959973,5172500,14.453472
2009-03-23,4.069971,4.309972,4.009974,4.309972,3802500,15.730929
2009-03-24,4.199972,4.349972,4.099972,4.229972,4117400,15.438939
2009-03-25,4.269972,4.319971,4.059973,4.199972,3978600,15.32944
2009-03-26,4.24997,4.549968,4.229972,4.549968,4763600,16.606888
2009-03-27,4.47997,4.51997,4.209971,4.369969,4901900,15.949912
2009-03-30,4.259971,4.309972,4.099972,4.199972,4288800,15.32944
2009-03-31,4.309972,4.32997,4.149973,4.229972,4807500,15.438939
2009-04-01,4.099972,4.349972,4.059973,4.32997,3627800,15.803918
2009-04-02,4.37997,4.659969,4.369969,4.629968,4808800,16.898878
2009-04-03,4.47997,4.579969,4.129971,4.559969,6769200,16.643391
2009-04-06,4.45997,4.699968,4.24997,4.689967,4563100,17.11787
2009-04-07,4.43997,4.60997,4.39997,4.539969,3259200,16.570394
2009-04-08,4.51997,4.629968,4.47997,4.539969,3367100,16.570394
2009-04-09,4.649968,4.899967,4.619969,4.899967,4009800,17.884347
2009-04-13,4.699968,4.859967,4.66997,4.809966,3317000,17.555854
2009-04-14,4.769967,4.779968,4.589968,4.679968,4288400,17.081375
2009-04-15,4.599969,4.999966,4.599969,4.869968,5275600,17.774854
2009-04-16,4.959967,5.169966,4.839967,5.099966,5145500,18.61432
2009-04-17,5.169966,5.639962,5.049967,5.559962,9919900,20.293258
2009-04-20,5.449962,5.499963,5.169966,5.239964,6576300,19.1253
2009-04-21,5.179965,5.619962,5.149964,5.569963,6498600,20.329761
2009-04-22,5.609963,5.829962,5.399964,5.659962,6011800,20.658245
2009-04-23,5.639962,5.639962,5.259964,5.509962,5429600,20.11076
2009-04-24,5.559962,5.93996,5.409962,5.809959,6954200,21.20572
2009-04-27,5.719961,5.809959,5.599962,5.70996,4459200,20.840734
2009-04-28,5.659962,5.889959,5.499963,5.809959,4359900,21.20572
2009-04-29,5.749963,6.00996,5.739961,5.95996,4725500,21.753205
2009-04-30,5.949961,5.999959,5.399964,5.529964,8974500,20.183767
2009-05-01,5.499963,5.559962,5.119965,5.539963,7529000,20.220261
2009-05-04,5.579962,5.739961,5.509962,5.70996,5689600,20.840734
2009-05-05,5.589961,5.89996,5.589961,5.869962,4211700,21.424722
2009-05-06,5.849959,6.349958,5.849959,6.309959,9207400,23.030663
2009-05-07,6.349958,6.479956,6.109958,6.219958,8290700,22.70217
2009-05-08,6.209959,6.499956,6.069958,6.499956,5555500,23.724134
2009-05-11,6.269959,6.389958,6.159958,6.269959,4292400,22.884667
2009-05-12,6.389958,6.389958,5.929958,6.069958,6101200,22.154685
2009-05-13,5.999959,6.04996,5.599962,5.659962,6868400,20.658245
2009-05-14,5.679961,5.829962,5.609963,5.779961,3735300,21.096229
2009-05-15,5.799961,6.019959,5.749963,5.909961,4719500,21.570716
2009-05-18,5.949961,6.189957,5.93996,6.149957,5884800,22.446675
2009-05-19,6.239958,6.309959,6.00996,6.239958,4748400,22.775168
2009-05-20,6.299958,6.339957,6.059959,6.08996,4668400,22.227692
2009-05-21,5.97996,6.079959,5.789962,5.889959,4229400,21.49771
2009-05-22,5.929958,6.059959,5.839961,5.89996,3275600,21.534213
2009-05-26,5.93996,6.019959,5.719961,5.989958,3284500,21.862696
2009-05-27,6.039959,6.149957,5.89996,5.91996,3461400,21.607211
2009-05-28,6.099959,6.139958,5.89996,6.00996,6030900,21.935702
2009-05-29,6.12996,6.12996,5.95996,6.059959,3970800,22.118191
2009-06-01,6.149957,6.389958,6.109958,6.329956,4285300,23.103651
2009-06-02,6.349958,6.499956,6.199958,6.409956,5278400,23.395641
2009-06-03,6.439957,6.439957,6.069958,6.199958,3552400,22.629172
2009-06-04,6.219958,6.419957,6.189957,6.379957,3511500,23.286148
2009-06-05,6.379957,6.449955,6.16996,6.239958,3132900,22.775168
2009-06-08,6.139958,6.509957,6.08996,6.439957,4345300,23.505142
2009-06-09,6.509957,6.889952,6.449955,6.709953,4904600,24.4906
2009-06-10,6.749953,6.799954,6.409956,6.569957,3507700,23.979629
2009-06-11,6.479956,6.939953,6.479956,6.869955,5170600,25.074588
2009-06-12,6.729956,6.809953,6.549955,6.729956,3477800,24.563607
2009-06-15,6.599955,6.649956,6.449955,6.479956,3694400,23.651136
2009-06-16,6.439957,6.589954,6.269959,6.269959,3925900,22.884667
2009-06-17,6.239958,6.369955,6.08996,6.259958,7469700,22.848164
2009-06-18,6.259958,6.299958,6.159958,6.279958,6427500,22.921162
2009-06-19,6.379957,6.419957,6.079959,6.109958,5881800,22.300681
