Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,58.740002,59.080002,55.599998,57.32,1039500,45.016844
2009-01-05,55.880001,56.119999,53.799999,53.959999,1465100,42.378033
2009-01-06,53.529999,54.41,51.779999,53.34,2000500,41.891111
2009-01-07,52.200001,52.220001,49.240002,49.599998,2581500,38.953863
2009-01-08,50.0,50.25,48.23,49.299999,1738100,38.718255
2009-01-09,48.900002,49.740002,47.439999,48.099998,1922800,37.775822
2009-01-12,48.389999,48.389999,44.919998,45.459999,1864200,35.702472
2009-01-13,44.82,48.27,44.82,47.0,2370100,36.911927
2009-01-14,45.099998,46.130001,44.330002,45.18,1842000,35.482572
2009-01-15,44.73,44.75,40.560001,42.59,3565000,33.448489
2009-01-16,43.48,44.299999,38.5,39.93,3581600,31.359431
2009-01-20,38.299999,39.16,35.290001,35.599998,3585800,27.95882
2009-01-21,37.099998,38.240002,34.880001,37.900002,3869100,29.765151
2009-01-22,39.41,40.599998,33.52,36.240002,5648200,28.461453
2009-01-23,34.810001,38.07,33.98,37.380001,3750400,29.356764
2009-01-26,37.639999,38.73,36.09,36.700001,3019000,28.822718
2009-01-27,37.400002,38.169998,36.5,37.810001,1753200,29.694469
2009-01-28,40.049999,43.0,40.049999,42.130001,3554000,33.087224
2009-01-29,41.080002,42.040001,39.900002,39.98,1561600,31.398699
2009-01-30,40.48,41.310001,38.700001,38.91,2272200,30.558364
2009-02-02,38.349998,39.349998,37.84,38.939999,2028200,30.581923
2009-02-03,39.459999,39.470001,36.599998,37.23,1796500,29.238958
2009-02-04,37.959999,39.43,37.18,38.25,1604300,30.040026
2009-02-05,37.919998,39.529999,35.98,38.27,2766000,30.055734
2009-02-06,38.869999,41.470001,38.689999,41.099998,3301200,32.278301
2009-02-09,40.639999,43.23,40.369999,41.43,1792700,32.537472
2009-02-10,39.84,41.43,37.709999,37.889999,3460800,29.757296
2009-02-11,39.0,39.5,37.080002,38.119999,2518200,29.937928
2009-02-12,37.66,39.439999,36.349998,38.57,3144600,30.291341
2009-02-13,38.040001,38.959999,36.779999,36.91,1976400,28.987643
2009-02-17,36.450001,36.5,34.900002,35.0,2218200,27.487606
2009-02-18,35.93,36.259998,34.299999,36.029999,2212600,28.296526
2009-02-19,36.299999,36.639999,32.889999,33.299999,2357500,26.152493
2009-02-20,32.799999,36.459999,31.9,35.099998,4071500,27.56614
2009-02-23,35.580002,37.130001,34.189999,35.32,2274700,27.738921
2009-02-24,35.349998,38.950001,33.860001,38.950001,3042800,30.589779
2009-02-25,38.09,39.880001,35.77,38.43,2390800,30.73373
