Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,12.01,13.44,11.97,13.27,7035400,12.573082
2009-01-05,13.18,13.62,12.86,12.91,11964300,12.231988
2009-01-06,13.29,14.05,13.22,13.32,8168600,12.620456
2009-01-07,13.0,13.03,12.3,12.79,5434100,12.118291
2009-01-08,12.68,13.1,12.07,13.09,6425200,12.402535
2009-01-09,13.08,13.26,11.96,12.11,6991100,11.474003
2009-01-12,11.91,11.96,11.45,11.58,5249200,10.971838
2009-01-13,11.56,11.99,11.26,11.84,6666700,11.218183
2009-01-14,11.53,11.69,10.62,10.78,7353600,10.213852
2009-01-15,10.71,11.52,10.39,11.25,8228500,10.659169
2009-01-16,11.58,11.65,10.81,11.29,8698600,10.697068
2009-01-20,11.06,11.3,10.5,10.51,6168400,9.958033
2009-01-21,10.83,11.78,10.55,11.74,6773300,11.123435
2009-01-22,11.48,11.58,10.64,10.84,6102000,10.270702
2009-01-23,10.5,11.94,10.44,11.68,6125200,11.066586
2009-01-26,11.76,12.32,11.62,11.99,6289700,11.360305
2009-01-27,12.15,12.35,11.66,11.95,5925600,11.322406
2009-01-28,12.3,12.3,11.82,11.97,7534600,11.341356
2009-01-29,11.49,11.89,11.03,11.13,7380000,10.545471
2009-01-30,11.36,11.51,10.7,10.95,6279500,10.374924
2009-02-02,10.74,10.83,10.27,10.45,6947000,9.901183
2009-02-03,10.49,10.9,10.21,10.8,5377000,10.232802
2009-02-04,11.18,11.32,10.7,10.91,6545500,10.337025
2009-02-05,10.8,11.43,10.27,11.36,6762500,10.763392
2009-02-06,11.15,11.98,11.06,11.83,5338300,11.208708
2009-02-09,11.98,12.7,11.68,11.92,6527700,11.293982
2009-02-10,11.8,12.2,10.77,10.86,8481400,10.289651
2009-02-11,10.94,11.39,10.35,10.83,8111400,10.261227
2009-02-12,10.35,11.05,10.3,11.01,7103300,10.431774
2009-02-13,10.93,11.47,10.93,11.14,5011100,10.554946
2009-02-17,10.56,10.83,10.11,10.15,6802800,9.616939
2009-02-18,10.33,10.41,9.53,9.69,8453600,9.181097
2009-02-19,9.85,10.25,9.74,9.85,7607900,9.332695
2009-02-20,9.44,9.78,9.16,9.52,7157400,9.020026
2009-02-23,9.66,9.96,9.13,9.14,7555200,8.659983
2009-02-24,9.24,9.57,8.92,9.51,9041600,9.010551
2009-02-25,9.74,10.28,9.4,9.87,15076100,9.351644
2009-02-26,9.98,10.46,9.94,10.0,6980200,9.474817
2009-02-27,9.7,10.25,9.41,9.71,9398500,9.200047
2009-03-02,9.24,9.6,8.47,8.5,7902800,8.053594
2009-03-03,8.64,8.9,8.39,8.56,8722100,8.110444
2009-03-04,8.86,9.46,8.86,9.13,7250800,8.650508
2009-03-05,8.86,9.3,8.47,8.65,7638500,8.195716
2009-03-06,8.84,9.08,8.25,8.58,6058800,8.129393
2009-03-09,8.5,9.34,8.41,8.77,7013700,8.309415
2009-03-10,8.91,9.55,8.88,9.18,7433700,8.697882
2009-03-11,9.29,9.47,8.92,9.1,6701900,8.622084
2009-03-12,9.19,9.5,8.79,9.46,6070700,8.963177
2009-03-13,9.36,9.77,8.8,8.88,7296300,8.413638
2009-03-16,8.94,9.57,8.58,9.23,6401900,8.745256
2009-03-17,9.22,9.58,9.03,9.55,5248500,9.04845
2009-03-18,9.47,10.04,9.26,9.97,7913900,9.446393
2009-03-19,10.31,11.4,10.31,11.0,14174700,10.422299
2009-03-20,11.07,11.12,10.17,10.33,9294700,9.787486
2009-03-23,10.66,11.6,10.53,11.49,9878500,10.886564
2009-03-24,11.27,11.27,10.64,11.01,7664900,10.431774
2009-03-25,10.97,11.75,10.53,11.04,8268900,10.460198
2009-03-26,11.21,11.89,10.91,11.05,10219400,10.469673
2009-03-27,10.74,10.86,10.33,10.69,5591600,10.128579
2009-03-30,10.24,10.34,9.79,9.93,6540900,9.408493
2009-03-31,10.09,10.29,9.93,9.99,9132600,9.465342
2009-04-01,9.79,10.33,9.38,10.25,8365800,9.711687
2009-04-02,10.73,11.35,10.72,11.02,7773000,10.441249
2009-04-03,11.06,12.25,10.96,12.04,10698700,11.40768
2009-04-06,11.84,11.84,11.23,11.49,6994900,10.886564
2009-04-07,11.26,11.56,10.9,11.25,6630000,10.659169
2009-04-08,11.29,11.78,10.98,11.62,7093300,11.009737
2009-04-09,12.04,12.45,11.95,12.44,7799900,11.786672
2009-04-13,12.18,12.33,11.5,12.18,8415500,11.540327
2009-04-14,12.54,13.15,12.24,12.67,13998500,12.004593
2009-04-15,12.61,13.48,12.61,13.46,12764900,12.753104
2009-04-16,13.52,14.71,13.22,14.57,15519500,13.804808
2009-04-17,14.5,15.33,14.11,15.21,15143600,14.411197
2009-04-20,14.72,14.76,13.22,13.41,13630500,12.705729
2009-04-21,13.29,14.7,13.03,14.59,14920100,13.823758
2009-04-22,14.0,15.89,13.75,15.35,17092400,14.543844
2009-04-23,15.72,16.08,14.68,15.41,12968200,14.600693
2009-04-24,15.76,16.33,15.51,16.16,12262400,15.311304
2009-04-27,15.55,15.99,15.18,15.35,9877600,14.543844
2009-04-28,15.34,15.53,14.75,15.09,10961500,14.297499
2009-04-29,15.3,16.1,15.26,15.76,9062500,14.932312
2009-04-30,15.98,16.25,14.95,15.21,12630900,14.411197
2009-05-01,15.24,16.33,15.22,16.309999,8921800,15.453426
2009-05-04,16.66,16.99,16.440001,16.940001,9352300,16.05034
2009-05-05,17.08,17.32,16.629999,17.209999,7824700,16.306159
2009-05-06,17.530001,18.049999,17.370001,17.860001,8406500,16.922024
2009-05-07,18.190001,18.459999,16.57,16.959999,9203000,16.069289
2009-05-08,17.139999,18.73,17.139999,18.57,11063600,17.594735
2009-05-11,18.23,18.25,16.969999,17.469999,10216300,16.552505
2009-05-12,17.719999,18.0,16.719999,17.530001,7964800,16.609355
2009-05-13,17.18,17.389999,16.24,16.4,9328400,15.538699
2009-05-14,16.110001,17.200001,15.81,17.049999,10828100,16.154562
2009-05-15,16.940001,17.26,15.94,16.059999,8346700,15.216555
2009-05-18,16.309999,17.360001,16.299999,17.32,8019500,16.410383
2009-05-19,17.41,17.540001,16.85,17.16,6067900,16.258786
2009-05-20,17.43,18.16,17.370001,17.51,7729300,16.590405
2009-05-21,17.24,17.34,16.25,16.620001,6056500,15.747147
2009-05-22,16.940001,17.16,16.49,16.799999,4454200,15.917692
2009-05-26,16.66,17.59,16.190001,17.559999,5871200,16.637778
2009-05-27,17.41,17.809999,17.049999,17.08,6432500,16.182987
2009-05-28,17.25,17.889999,16.73,17.790001,8152000,16.8557
2009-05-29,18.1,18.379999,17.620001,17.879999,7417000,16.940972
2009-06-01,18.370001,19.48,18.27,19.23,8967400,18.220073
2009-06-02,19.27,19.790001,19.030001,19.5,7828800,18.475893
2009-06-03,19.17,19.74,17.549999,17.959999,7000200,17.01677
2009-06-04,18.4,19.02,18.1,18.950001,6467400,17.954779
2009-06-05,19.299999,19.66,18.17,18.33,7647200,17.367339
2009-06-08,18.0,18.33,17.469999,18.129999,6394100,17.177842
2009-06-09,18.639999,18.82,18.09,18.43,5401400,17.462088
2009-06-10,18.719999,18.83,18.17,18.639999,6629300,17.661058
2009-06-11,18.639999,19.25,18.4,18.950001,7842000,17.954779
2009-06-12,18.6,18.66,17.959999,18.290001,5399700,17.329441
2009-06-15,17.93,17.950001,17.07,17.379999,6579200,16.467231
2009-06-16,17.629999,17.93,16.690001,16.709999,8314400,15.832418
2009-06-17,16.540001,16.73,15.89,16.15,9098200,15.301829
2009-06-18,16.09,16.639999,15.82,16.08,5229600,15.235506
2009-06-19,16.35,16.5,15.55,15.88,9674200,15.046009
2009-06-22,15.57,15.57,14.34,14.37,8805200,13.615312
2009-06-23,14.48,14.89,14.16,14.55,6220200,13.785859
2009-06-24,14.51,15.22,14.51,14.71,7040200,13.937456
2009-06-25,14.33,15.27,14.27,15.15,6577300,14.354347
2009-06-26,14.77,15.34,14.77,15.21,5551700,14.411197
2009-06-29,15.35,15.53,15.05,15.27,8708700,14.468046
2009-06-30,15.33,15.86,15.11,15.58,10759300,14.761765
2009-07-01,15.71,16.33,15.71,15.8,8721600,14.970211
2009-07-02,15.49,15.8,14.78,14.8,5535100,14.022729
2009-07-06,14.47,14.5,13.95,14.38,8615700,13.624787
2009-07-07,14.4,14.48,14.03,14.09,5968400,13.350017
2009-07-08,14.07,14.5,13.78,14.47,10220800,13.71006
2009-07-09,14.63,15.26,14.54,14.88,7680300,14.098528
2009-07-10,14.47,14.88,14.34,14.79,5250400,14.013254
2009-07-13,14.69,15.16,14.1,15.15,8497100,14.354347
