Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,26.9,28.4,26.76,28.299999,1651400,23.689519
2009-01-05,28.18,28.73,27.84,28.049999,2046000,23.480247
2009-01-06,28.07,28.77,27.93,28.09,2766500,23.513731
2009-01-07,27.610001,28.120001,27.15,27.549999,2457300,23.061704
2009-01-08,27.610001,27.879999,27.450001,27.83,1893400,23.296089
2009-01-09,27.91,27.959999,27.34,27.49,1873000,23.01148
2009-01-12,27.389999,27.43,27.040001,27.209999,2242300,22.777095
2009-01-13,27.1,27.360001,26.440001,26.690001,2634900,22.341812
2009-01-14,26.15,26.190001,25.309999,25.809999,2920700,21.605176
2009-01-15,25.879999,26.09,24.76,25.84,3009200,21.630289
2009-01-16,26.48,26.870001,25.77,26.620001,3681500,22.283216
2009-01-20,26.25,26.43,24.67,24.75,4685000,20.717866
2009-01-21,25.17,25.93,24.67,25.84,2777800,21.630289
2009-01-22,25.08,25.84,24.99,25.309999,2513700,21.186633
2009-01-23,25.0,25.799999,24.629999,25.57,3478600,21.404276
2009-01-26,25.700001,26.780001,25.49,25.879999,2841900,21.663772
2009-01-27,26.17,27.049999,26.07,26.58,3043700,22.249732
2009-01-28,26.65,27.92,26.65,27.440001,2426900,22.969626
2009-01-29,27.07,27.33,26.709999,26.85,2021500,22.475746
2009-01-30,26.91,27.059999,25.76,25.889999,3024200,21.672143
2009-02-02,25.309999,26.41,25.27,26.139999,2441500,21.881414
2009-02-03,26.16,27.049999,25.92,26.940001,3024000,22.551083
2009-02-04,26.940001,27.360001,26.42,26.59,2505100,22.258103
2009-02-05,26.52,27.43,26.0,27.129999,3121500,22.710129
2009-02-06,27.25,28.059999,27.18,28.0,2628600,23.438394
2009-02-09,28.040001,28.25,27.440001,28.110001,2832900,23.530474
2009-02-10,27.41,28.799999,27.110001,27.49,4058000,23.01148
2009-02-11,27.610001,28.35,27.290001,28.059999,3186400,23.488618
2009-02-12,27.639999,28.530001,26.870001,28.51,4213400,23.865307
2009-02-13,28.200001,28.559999,27.76,28.280001,3086200,23.672778
2009-02-17,27.51,27.629999,26.49,26.5,3858400,22.182765
2009-02-18,26.75,26.75,25.74,26.0,3967600,21.764223
2009-02-19,25.41,25.959999,25.0,25.309999,5403500,21.186633
2009-02-20,25.16,25.209999,24.6,24.969999,4870000,20.902024
2009-02-23,25.190001,25.190001,23.9,23.969999,4056000,20.064939
2009-02-24,24.139999,24.9,23.690001,24.75,4048700,20.717866
2009-02-25,24.57,24.57,23.66,24.02,3119000,20.106794
2009-02-26,24.370001,24.629999,24.049999,24.24,3248300,20.290952
2009-02-27,23.860001,24.559999,23.74,24.030001,4138500,20.115165
2009-03-02,23.540001,23.690001,22.559999,22.620001,4042500,18.934874
2009-03-03,22.73,23.24,22.610001,22.889999,4355600,19.160886
2009-03-04,22.99,24.32,22.66,23.93,4419800,20.163589
2009-03-05,23.34,23.59,22.52,22.799999,4341000,19.211442
2009-03-06,22.98,23.370001,21.860001,22.57,3561200,19.017643
2009-03-09,22.24,22.73,21.809999,22.059999,4194200,18.587913
2009-03-10,21.35,22.389999,20.09,22.33,6827000,18.815417
2009-03-11,22.459999,22.74,21.99,22.27,3559100,18.764861
2009-03-12,22.27,23.25,22.0,23.120001,3942600,19.481078
2009-03-13,23.469999,23.780001,23.1,23.610001,2400300,19.893955
2009-03-16,23.9,24.23,23.42,23.440001,2521900,19.750712
2009-03-17,23.41,24.01,22.860001,24.01,2792700,20.230998
2009-03-18,23.9,24.870001,23.540001,24.65,3356400,20.770266
2009-03-19,24.76,24.98,24.4,24.690001,2942000,20.803971
2009-03-20,24.780001,25.200001,23.68,23.790001,4021200,20.045625
2009-03-23,23.93,24.959999,23.780001,24.959999,3805000,21.031473
2009-03-24,24.66,25.040001,24.379999,24.73,3027500,20.837674
2009-03-25,24.879999,25.309999,24.030001,24.540001,3174200,20.67758
2009-03-26,25.030001,25.07,24.360001,24.959999,3892900,21.031473
2009-03-27,24.549999,24.83,23.75,23.85,3094500,20.096181
2009-03-30,23.4,23.559999,22.719999,23.01,2633400,19.38839
2009-03-31,23.16,23.74,23.0,23.4,2786900,19.717007
2009-04-01,23.040001,24.08,23.01,23.83,3231400,20.079328
2009-04-02,24.08,26.42,24.08,26.07,4252400,21.966768
2009-04-03,26.35,27.120001,26.15,27.1,3888200,22.834654
2009-04-06,26.98,26.98,26.01,26.66,2827100,22.463906
2009-04-07,26.18,26.51,25.950001,26.16,1844700,22.042603
2009-04-08,26.280001,26.780001,26.200001,26.67,1766000,22.472333
2009-04-09,27.299999,27.98,26.99,27.639999,2708600,23.289661
2009-04-13,27.33,27.58,26.870001,27.370001,2008600,23.062158
2009-04-14,26.969999,27.209999,26.700001,27.040001,2541700,22.784098
2009-04-15,26.860001,27.389999,26.700001,27.33,1784400,23.028453
2009-04-16,27.440001,28.43,27.16,28.190001,1572100,23.753096
2009-04-17,28.25,28.85,28.0,28.719999,2119300,24.199676
2009-04-20,28.200001,28.280001,27.84,28.040001,2738700,23.626705
2009-04-21,28.01,28.5,27.74,28.209999,2527800,23.769947
2009-04-22,28.01,28.950001,27.76,28.34,2163500,23.879486
2009-04-23,28.530001,28.629999,27.379999,28.09,3066400,23.668835
2009-04-24,27.99,29.469999,27.74,29.370001,3697500,24.747372
2009-04-27,29.379999,31.379999,29.25,30.549999,5022600,25.741648
2009-04-28,30.26,30.91,29.690001,30.549999,3233800,25.741648
2009-04-29,30.780001,31.280001,30.49,30.969999,3975500,26.095543
2009-04-30,31.15,32.16,31.139999,31.469999,5066300,26.516846
2009-05-01,31.690001,32.25,31.33,31.76,2879100,26.761203
2009-05-04,31.74,32.259998,31.4,32.16,2943800,27.098246
2009-05-05,32.330002,32.830002,32.09,32.549999,2974000,27.426862
