Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,54.93,56.139999,54.720001,55.970001,5182400,44.762931
2009-01-05,55.82,55.900002,55.099998,55.599998,7122000,44.467015
2009-01-06,55.93,56.93,55.0,55.700001,8081600,44.546994
2009-01-07,55.34,55.34,53.68,53.889999,7364600,43.099415
2009-01-08,53.799999,54.07,52.799999,53.25,8210400,42.587565
2009-01-09,53.470001,53.799999,52.400002,52.57,6910700,42.043724
2009-01-12,52.66,52.66,51.07,51.389999,9240700,41.099999
2009-01-13,51.389999,52.459999,51.200001,52.23,9295800,41.771803
2009-01-14,51.900002,51.919998,50.330002,51.099998,8619000,40.868066
2009-01-15,51.049999,51.099998,43.779999,50.529999,8860900,40.412199
2009-01-16,50.810001,51.689999,50.759998,51.369999,8964200,41.084003
2009-01-20,51.580002,52.09,50.330002,50.43,8057700,40.332224
2009-01-21,51.049999,51.049999,49.619999,50.439999,8982200,40.34022
2009-01-22,49.82,50.560001,49.240002,50.349998,8916100,40.268241
2009-01-23,49.400002,50.73,49.099998,50.619999,7818700,40.484178
2009-01-26,50.790001,51.599998,50.0,51.419998,7619600,41.123991
2009-01-27,51.560001,52.279999,51.389999,51.639999,6763800,41.299941
2009-01-28,51.849998,52.25,51.360001,52.040001,5803800,41.619848
2009-01-29,51.849998,52.400002,51.419998,51.68,5372400,41.331932
2009-01-30,51.5,51.880001,49.98,50.23,7582400,40.17227
2009-02-02,49.759998,50.400002,49.040001,50.130001,5659900,40.092295
2009-02-03,50.52,51.740002,49.77,51.52,5319100,41.203969
2009-02-04,51.540001,52.220001,51.0,51.490002,6898600,41.179977
2009-02-05,50.860001,52.669998,50.59,52.349998,9224600,41.867774
2009-02-06,52.279999,53.639999,52.150002,53.529999,6908800,42.811499
2009-02-09,53.259998,53.259998,50.779999,51.43,9006100,41.13199
2009-02-10,50.919998,51.43,49.220001,49.529999,10779800,39.612433
2009-02-11,50.139999,50.919998,49.580002,50.610001,5917500,40.476182
2009-02-12,50.509998,52.169998,50.0,52.0,10423700,41.587857
2009-02-13,52.07,53.459999,51.080002,52.57,11981300,42.043724
2009-02-17,51.450001,52.110001,50.5,51.82,12454400,41.443899
2009-02-18,52.27,52.27,51.130001,51.529999,6145400,41.211966
2009-02-19,51.27,52.549999,51.0,52.200001,6862800,41.747811
2009-02-20,51.529999,52.049999,50.970001,51.450001,9897500,41.147986
2009-02-23,51.459999,51.849998,50.029999,50.16,6899600,40.116287
2009-02-24,50.880001,51.830002,50.110001,51.68,8221100,41.331932
2009-02-25,51.52,51.849998,50.52,50.720001,7180000,40.564157
2009-02-26,51.130001,51.360001,49.330002,49.419998,7448800,39.524458
2009-02-27,49.150002,49.630001,48.139999,48.139999,9237600,38.500758
2009-03-02,47.310001,47.939999,46.759998,46.849998,8637300,37.469058
2009-03-03,47.75,49.049999,47.279999,48.470001,14962400,38.764682
2009-03-04,48.75,48.939999,47.0,47.599998,10631500,38.405637
2009-03-05,46.98,47.110001,45.389999,45.970001,11778600,37.090488
