Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.879999,18.299999,17.700001,18.27,28723000,13.643033
2009-01-05,18.4,18.48,17.879999,18.16,42162400,13.560891
2009-01-06,18.32,18.440001,17.709999,17.799999,51218600,13.292062
2009-01-07,17.68,17.82,17.4,17.49,39266400,13.060572
2009-01-08,17.4,17.690001,17.33,17.65,33265300,13.180051
2009-01-09,17.719999,17.82,17.35,17.440001,36083800,13.023235
2009-01-12,17.67,17.690001,17.219999,17.360001,33860600,12.963496
2009-01-13,17.4,17.610001,17.280001,17.59,43361200,13.135247
2009-01-14,17.290001,17.440001,17.0,17.24,45571600,12.873886
2009-01-15,17.219999,17.389999,16.52,17.389999,80744400,12.985897
2009-01-16,17.77,17.77,17.17,17.5,58757400,13.068039
2009-01-20,17.24,17.83,17.120001,17.200001,52784800,12.844016
2009-01-21,17.309999,17.52,16.9,17.48,43780500,13.053104
2009-01-22,17.27,17.34,17.02,17.209999,46722400,12.851483
2009-01-23,16.76,17.52,16.549999,17.450001,108522000,13.030703
2009-01-26,16.469999,16.530001,15.29,15.65,210411100,11.686561
2009-01-27,15.61,16.02,15.55,15.82,111621400,11.813507
2009-01-28,15.95,16.0,15.01,15.44,108822500,11.529744
2009-01-29,15.29,15.48,15.02,15.12,67661800,11.290786
2009-01-30,15.09,15.12,14.5,14.58,68724200,10.887544
2009-02-02,14.63,15.16,14.52,14.89,69191000,11.119035
2009-02-03,14.4,15.38,14.4,15.2,63391600,11.350526
2009-02-04,15.04,15.17,14.53,14.57,65648300,11.114056
2009-02-05,14.54,14.76,14.33,14.5,77128600,11.06066
2009-02-06,14.54,15.02,14.45,14.84,63818700,11.320014
2009-02-09,15.12,15.12,14.61,14.71,47810700,11.220849
2009-02-10,13.74,14.71,13.74,14.07,75988000,10.732654
2009-02-11,14.18,14.4,14.12,14.38,50432200,10.969124
2009-02-12,14.3,14.68,14.1,14.65,65199700,11.175081
2009-02-13,14.52,14.94,14.5,14.58,58061500,11.121684
2009-02-17,14.28,14.42,14.05,14.25,63395100,10.869959
2009-02-18,14.11,14.4,14.06,14.16,48398100,10.801307
2009-02-19,14.3,14.43,13.98,14.03,41345400,10.702142
2009-02-20,13.83,14.03,13.6,13.71,62644400,10.458045
2009-02-23,13.7,13.75,13.25,13.27,68304000,10.122411
2009-02-24,13.37,13.66,13.13,13.59,65565100,10.366509
2009-02-25,13.43,13.43,12.9,13.08,74715700,9.977478
2009-02-26,13.21,13.37,12.68,12.7,74122700,9.687613
2009-02-27,12.47,12.58,12.28,12.31,100253800,9.390119
2009-03-02,12.08,12.17,11.62,11.66,105982200,8.894296
2009-03-03,11.84,12.22,11.68,11.87,83766000,9.054485
2009-03-04,12.11,12.7,11.93,12.5,90511400,9.535052
2009-03-05,12.37,12.75,12.25,12.67,101753000,9.664729
2009-03-06,12.66,12.75,12.36,12.73,83970600,9.710496
2009-03-09,12.38,12.92,12.38,12.63,70467500,9.634217
2009-03-10,12.7,13.13,12.59,13.09,95924000,9.985106
2009-03-11,13.1,13.19,12.73,12.79,79747200,9.756265
2009-03-12,13.25,14.14,12.94,14.02,112301000,10.694515
2009-03-13,13.96,14.72,13.84,14.54,83151800,11.091172
2009-03-16,14.63,14.99,14.13,14.15,84977900,10.793678
2009-03-17,14.11,14.29,13.88,14.26,53999500,10.877587
2009-03-18,14.21,14.58,13.72,14.25,55577700,10.869959
2009-03-19,14.26,14.26,13.41,13.7,67626100,10.450417
2009-03-20,13.7,13.95,13.5,13.63,71560800,10.397021
2009-03-23,13.95,14.08,13.67,14.02,65999300,10.694515
2009-03-24,13.91,14.16,13.84,13.92,42698000,10.618234
2009-03-25,13.98,14.6,13.89,14.26,68954200,10.877587
2009-03-26,14.28,14.62,14.2,14.38,55371100,10.969124
2009-03-27,14.22,14.36,13.95,14.04,46476000,10.70977
2009-03-30,13.88,14.04,13.55,13.7,59772100,10.450417
2009-03-31,13.8,13.87,13.56,13.62,57290700,10.389392
2009-04-01,13.59,14.04,13.43,13.99,64302200,10.67163
2009-04-02,14.06,14.1,13.72,13.77,60433000,10.503814
2009-04-03,13.59,13.77,13.45,13.55,52919400,10.335996
2009-04-06,13.56,14.19,13.54,13.71,59575800,10.458045
2009-04-07,13.62,13.71,13.46,13.51,50073700,10.305484
2009-04-08,13.54,13.71,13.36,13.48,41968500,10.2826
2009-04-09,13.62,13.72,13.35,13.55,55024300,10.335996
2009-04-13,13.53,13.72,13.42,13.48,41797200,10.2826
2009-04-14,13.52,13.54,13.21,13.34,58021300,10.175807
2009-04-15,13.34,13.94,13.32,13.86,58961000,10.572465
2009-04-16,13.93,13.99,13.56,13.9,52162300,10.602977
2009-04-17,14.01,14.27,13.9,14.16,72734400,10.801307
2009-04-20,13.97,14.02,13.56,13.59,52323000,10.366509
2009-04-21,13.59,13.64,13.1,13.52,66288400,10.313112
2009-04-22,13.43,13.44,13.04,13.04,72229000,9.946966
2009-04-23,13.11,13.31,12.75,13.28,86121700,10.130039
2009-04-24,13.31,13.38,12.99,13.17,65618100,10.046131
2009-04-27,13.36,13.56,13.21,13.49,56918600,10.290228
2009-04-28,13.64,13.65,13.14,13.39,67862900,10.213948
2009-04-29,13.35,13.6,13.15,13.43,78178800,10.24446
2009-04-30,13.58,13.72,13.28,13.36,64667500,10.191063
2009-05-01,13.39,13.58,13.25,13.58,56380700,10.35888
2009-05-04,13.7,13.99,13.62,13.98,62231600,10.664002
2009-05-05,13.99,14.36,13.93,14.28,64277700,10.892843
2009-05-06,14.17,14.25,13.76,13.91,60650700,10.730839
2009-05-07,14.02,14.43,13.85,14.16,74933300,10.923701
2009-05-08,14.33,14.51,14.25,14.4,56555600,11.108849
2009-05-11,14.1,14.42,14.1,14.15,52989600,10.915987
2009-05-12,14.24,15.21,14.2,14.93,116685800,11.517716
2009-05-13,15.09,15.6,14.98,15.27,98259100,11.780009
2009-05-14,15.26,15.5,15.19,15.34,48820100,11.83401
2009-05-15,15.18,15.29,14.89,15.01,50766100,11.579432
2009-05-18,15.02,15.23,14.98,15.19,40222000,11.718292
2009-05-19,15.19,15.29,15.02,15.1,34130000,11.648863
2009-05-20,15.15,15.33,15.02,15.11,36017900,11.656577
2009-05-21,15.03,15.19,14.68,14.83,49320800,11.440571
2009-05-22,14.84,15.09,14.67,14.96,33768600,11.54086
2009-05-26,14.9,15.18,14.73,15.02,49796200,11.587147
2009-05-27,15.0,15.05,14.59,14.66,35392000,11.309425
2009-05-28,14.76,14.86,14.57,14.69,42627000,11.332568
2009-05-29,14.8,15.2,14.65,15.19,68986200,11.718292
2009-06-01,15.36,15.45,14.7,14.76,70504400,11.38657
2009-06-02,14.98,15.1,14.82,14.98,50146300,11.556288
2009-06-03,14.85,14.92,14.65,14.89,52021600,11.486859
2009-06-04,14.94,14.94,14.6,14.64,40474000,11.293997
2009-06-05,14.79,14.83,14.34,14.51,49169800,11.193708
