Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,17.799999,18.360001,17.65,18.25,1027800,12.292286
2009-01-05,18.35,18.469999,18.129999,18.42,1813800,12.406789
2009-01-06,18.51,18.639999,17.790001,17.879999,2062700,12.043071
2009-01-07,17.73,17.93,17.49,17.59,1687400,11.847743
2009-01-08,17.370001,17.700001,17.34,17.700001,1685800,11.921834
2009-01-09,17.74,17.82,17.450001,17.610001,1530400,11.861214
2009-01-12,17.58,17.860001,17.49,17.68,1247700,11.908362
2009-01-13,17.639999,17.870001,17.23,17.379999,2109200,11.706297
2009-01-14,17.25,17.25,16.559999,17.02,2374900,11.463819
2009-01-15,16.969999,17.18,16.58,17.040001,2508600,11.477291
2009-01-16,17.24,17.49,17.08,17.299999,2349600,11.652413
2009-01-20,17.34,17.469999,17.040001,17.07,2483200,11.497496
2009-01-21,17.299999,17.6,17.17,17.549999,4099400,11.8208
2009-01-22,17.41,17.950001,17.26,17.719999,4635800,11.935304
2009-01-23,17.25,17.610001,17.209999,17.540001,2498600,11.814066
2009-01-26,17.68,18.040001,17.51,17.790001,2895200,11.982453
2009-01-27,17.91,18.209999,17.719999,18.120001,2383600,12.204725
2009-01-28,18.33,18.440001,17.9,18.15,3478400,12.22493
2009-01-29,17.9,18.440001,17.9,18.16,1777300,12.231666
2009-01-30,18.24,18.360001,17.68,17.809999,2480900,11.995923
2009-02-02,17.57,17.91,17.440001,17.799999,2210300,11.989188
2009-02-03,17.84,18.02,17.67,17.92,1817700,12.070014
2009-02-04,18.09,18.35,17.92,18.34,2882100,12.352905
2009-02-05,18.360001,18.450001,18.02,18.309999,2367900,12.332698
2009-02-06,18.35,18.709999,18.209999,18.58,2334300,12.514557
2009-02-09,18.559999,18.65,18.200001,18.59,2619800,12.521293
2009-02-10,18.469999,18.59,17.77,17.889999,2656300,12.049807
2009-02-11,17.99,18.18,17.68,18.030001,3770600,12.144105
2009-02-12,17.77,17.870001,17.26,17.610001,4056800,11.861214
2009-02-13,17.66,17.91,17.59,17.639999,2668100,11.88142
2009-02-17,17.379999,17.379999,16.709999,16.709999,2413800,11.255018
2009-02-18,16.790001,16.9,16.299999,16.450001,2687600,11.079896
2009-02-19,16.5,16.75,16.24,16.360001,2385200,11.019277
2009-02-20,16.25,16.73,15.72,15.96,2816400,10.749856
2009-02-23,16.02,16.209999,15.25,15.31,3121100,10.312049
2009-02-24,15.47,15.95,15.31,15.89,2836700,10.702708
2009-02-25,15.8,16.0,15.67,15.81,3033300,10.648824
2009-02-26,16.01,16.01,15.05,15.09,4600800,10.163868
2009-02-27,15.13,15.29,14.6,15.0,4215000,10.103248
2009-03-02,14.76,15.13,14.17,14.26,3531600,9.604822
2009-03-03,14.35,14.51,12.7,12.78,6864300,8.607967
2009-03-04,12.4,12.51,12.05,12.23,5223200,8.237515
2009-03-05,12.0,12.01,11.04,11.14,4704100,7.503346
2009-03-06,10.91,11.14,10.19,10.36,6005900,7.151303
2009-03-09,10.33,10.48,10.07,10.32,3774300,7.123691
2009-03-10,10.53,10.85,10.36,10.73,4582100,7.406706
2009-03-11,10.89,11.25,10.64,11.15,5132000,7.696624
2009-03-12,11.08,11.19,10.83,11.16,3617600,7.703527
2009-03-13,11.11,11.51,11.1,11.34,3515900,7.827778
2009-03-16,11.46,11.91,11.35,11.68,2368500,8.062473
2009-03-17,11.68,11.8,11.47,11.78,1898100,8.131501
2009-03-18,11.73,12.32,11.48,12.21,3239400,8.428321
2009-03-19,12.27,12.46,12.13,12.4,2227600,8.559474
2009-03-20,12.46,12.59,12.05,12.07,4050500,8.331682
2009-03-23,12.29,12.58,12.22,12.58,2858300,8.683725
2009-03-24,12.58,12.68,12.24,12.56,4161800,8.66992
2009-03-25,12.68,12.86,12.35,12.84,4617800,8.863198
2009-03-26,12.99,13.04,12.55,12.99,3470000,8.96674
2009-03-27,12.98,13.18,12.66,13.02,3827100,8.987449
2009-03-30,12.8,12.87,12.11,12.25,3814000,8.455932
2009-03-31,12.39,12.73,12.37,12.48,5001300,8.614697
2009-04-01,12.35,12.77,12.35,12.53,2761300,8.649211
2009-04-02,12.73,12.95,12.55,12.62,3358000,8.711336
2009-04-03,12.66,12.78,12.4,12.54,2729700,8.656114
2009-04-06,12.46,12.69,12.2,12.37,2476100,8.538766
2009-04-07,12.22,12.48,12.12,12.27,2243900,8.469738
2009-04-08,12.35,12.44,12.18,12.27,2903500,8.469738
2009-04-09,12.51,12.61,12.18,12.41,2380200,8.566377
2009-04-13,12.43,12.46,12.21,12.27,1876000,8.469738
2009-04-14,12.23,12.25,12.0,12.0,2328700,8.283362
2009-04-15,12.04,12.2,11.95,12.17,2778500,8.40071
2009-04-16,12.21,12.29,12.06,12.21,2240000,8.428321
2009-04-17,12.26,12.43,12.2,12.26,2255600,8.462835
2009-04-20,12.14,12.25,11.95,11.99,1749100,8.276459
2009-04-21,11.96,12.19,11.76,11.84,3820700,8.172918
2009-04-22,11.89,11.89,11.47,11.53,3201100,7.958931
2009-04-23,11.5,11.66,11.45,11.61,3092200,8.014153
2009-04-24,11.7,11.75,11.5,11.61,2754600,8.014153
2009-04-27,11.51,11.8,11.49,11.68,2540200,8.062473
2009-04-28,11.67,11.86,11.56,11.69,1883200,8.069375
2009-04-29,11.74,12.09,11.72,12.01,2163600,8.290265
2009-04-30,12.1,12.14,11.84,11.95,2515100,8.248848
2009-05-01,11.94,12.25,11.82,12.25,1871900,8.455932
2009-05-04,12.21,12.57,12.01,12.57,2598300,8.676822
2009-05-05,12.58,12.71,12.42,12.62,2292200,8.711336
2009-05-06,12.86,12.86,12.57,12.72,2840800,8.780364
2009-05-07,12.85,13.05,12.73,13.03,3464500,8.994351
2009-05-08,12.98,12.98,12.27,12.66,7617300,8.738947
2009-05-11,12.48,12.68,12.33,12.5,2629100,8.628502
2009-05-12,12.62,12.63,12.37,12.58,2348200,8.683725
2009-05-13,12.45,12.76,12.3,12.35,2813600,8.524961
2009-05-14,12.35,12.44,12.06,12.19,2907900,8.414515
2009-05-15,12.18,12.18,11.71,11.89,2594600,8.207432
2009-05-18,11.99,12.31,11.94,12.15,2779800,8.386904
2009-05-19,12.2,12.52,12.15,12.36,2569600,8.531863
2009-05-20,12.45,12.55,12.17,12.23,2545600,8.442127
2009-05-21,12.11,12.24,12.1,12.22,2548800,8.435224
2009-05-22,12.24,12.48,12.15,12.42,2041800,8.57328
2009-05-26,12.49,12.81,12.26,12.81,2233800,8.84249
2009-05-27,12.85,12.92,12.51,12.52,1799900,8.642308
2009-05-28,12.61,12.84,12.44,12.68,3126800,8.752753
2009-05-29,12.73,13.1,12.64,12.98,3273400,8.959837
2009-06-01,13.14,13.61,13.11,13.53,4069700,9.339491
2009-06-02,13.52,13.61,13.19,13.35,2238200,9.215241
2009-06-03,13.3,13.4,12.88,13.1,2149800,9.042671
2009-06-04,13.09,13.35,13.05,13.29,2165500,9.173824
2009-06-05,13.44,13.64,13.22,13.38,3096700,9.235949
2009-06-08,13.02,13.2,12.72,12.88,2606300,9.073914
2009-06-09,12.9,12.97,12.63,12.67,2956900,8.92597
2009-06-10,12.8,12.98,12.67,12.96,2320300,9.130274
2009-06-11,13.03,13.48,12.93,13.3,3921400,9.369803
2009-06-12,13.26,13.67,13.12,13.53,2622300,9.531837
2009-06-15,13.5,13.57,13.06,13.18,2090700,9.285263
2009-06-16,13.19,13.29,13.04,13.14,1622200,9.257084
2009-06-17,13.14,13.26,12.98,13.09,1976300,9.221859
2009-06-18,13.07,13.41,13.07,13.4,1951900,9.440252
2009-06-19,13.47,13.5,13.2,13.21,2068400,9.306398
2009-06-22,13.05,13.6,13.05,13.44,3587700,9.468432
2009-06-23,13.47,13.52,13.04,13.2,2564300,9.299353
2009-06-24,13.29,13.36,13.07,13.18,2024700,9.285263
2009-06-25,13.19,13.52,13.03,13.42,1887800,9.454342
2009-06-26,13.43,13.56,13.25,13.39,1826800,9.433208
2009-06-29,13.43,13.64,13.35,13.57,1900500,9.560017
2009-06-30,13.6,13.65,13.28,13.44,2143300,9.468432
2009-07-01,13.52,13.85,13.52,13.66,2923600,9.623421
2009-07-02,13.51,13.63,12.89,12.89,2013700,9.080959
2009-07-06,13.0,13.29,12.95,13.27,2045400,9.348668
2009-07-07,13.17,13.26,12.87,12.88,1548000,9.073914
2009-07-08,12.91,13.14,12.85,13.05,3313200,9.193679
2009-07-09,13.12,13.42,13.03,13.33,3633400,9.390938
2009-07-10,13.24,13.42,13.16,13.37,1576100,9.419117
2009-07-13,13.37,13.57,13.27,13.56,1632800,9.552972
2009-07-14,13.6,13.6,13.36,13.54,1742500,9.538882
2009-07-15,13.62,13.85,13.55,13.84,2165600,9.750231
2009-07-16,13.77,13.9,13.6,13.86,1486300,9.76432
2009-07-17,13.83,13.92,13.59,13.71,2160800,9.658646
2009-07-20,13.81,13.81,13.47,13.62,2341300,9.595241
2009-07-21,13.71,13.81,13.4,13.6,2904600,9.581152
2009-07-22,13.58,13.58,13.31,13.36,1988600,9.412072
2009-07-23,13.33,13.82,13.33,13.8,3582300,9.722051
2009-07-24,13.75,14.46,13.75,14.44,2988300,10.172928
2009-07-27,14.43,14.57,14.29,14.55,1936100,10.250423
2009-07-28,14.49,14.6,14.15,14.32,3123300,10.088389
2009-07-29,14.27,14.35,14.0,14.17,2073000,9.982715
2009-07-30,14.3,14.63,14.25,14.5,1698900,10.215198
2009-07-31,14.46,14.63,14.26,14.38,1930200,10.130659
2009-08-03,14.44,14.58,14.37,14.53,1598100,10.236333
2009-08-04,14.48,14.53,14.24,14.25,2907700,10.039074
2009-08-05,14.28,14.39,14.0,14.12,3074700,9.94749
2009-08-06,14.15,14.32,14.04,14.24,1884400,10.032029
2009-08-07,13.8,14.22,13.42,13.91,7619600,9.799545
2009-08-10,13.89,13.9,13.69,13.83,2106100,9.743186
2009-08-11,13.81,14.05,13.7,14.04,2830200,9.89113
2009-08-12,14.0,14.18,13.88,14.08,3643300,9.91931
2009-08-13,14.13,14.16,14.0,14.07,2730300,9.912265
2009-08-14,14.11,14.17,13.94,14.11,1853000,9.940445
2009-08-17,13.96,14.08,13.88,13.96,1864600,9.83477
2009-08-18,14.01,14.06,13.9,13.97,2555400,9.841816
2009-08-19,13.9,14.12,13.87,14.12,2694600,9.94749
2009-08-20,14.14,14.25,14.05,14.24,2709400,10.032029
2009-08-21,14.31,14.67,14.23,14.59,2361800,10.278603
2009-08-24,14.71,14.72,14.43,14.55,1795300,10.250423
2009-08-25,14.56,14.65,14.49,14.52,1871300,10.229289
2009-08-26,14.48,14.63,14.41,14.54,2825100,10.243378
2009-08-27,14.54,14.56,14.4,14.56,2227100,10.257469
2009-08-28,14.52,14.65,14.46,14.57,1903100,10.264513
2009-08-31,14.51,14.58,14.3,14.33,2258700,10.095434
2009-09-01,14.37,14.46,14.14,14.18,3083000,9.98976
2009-09-02,14.11,14.23,14.01,14.02,1668900,9.87704
2009-09-03,14.2,14.2,13.98,14.1,2320000,9.9334
2009-09-04,14.15,14.18,13.98,14.17,1476000,9.982715
2009-09-08,14.03,14.03,13.77,13.93,2346600,10.004261
2009-09-09,13.96,14.05,13.84,13.89,1478400,9.975534
2009-09-10,13.91,14.03,13.84,13.99,1467900,10.047351
2009-09-11,13.98,14.03,13.83,13.89,2047800,9.975534
2009-09-14,13.89,14.11,13.85,14.1,1475400,10.126352
2009-09-15,14.35,14.8,14.32,14.78,6466600,10.614714
2009-09-16,14.84,15.28,14.75,15.2,4192000,10.91635
2009-09-17,15.23,15.37,15.16,15.17,2856800,10.894805
2009-09-18,15.27,15.32,15.06,15.19,3308700,10.909168
2009-09-21,15.17,15.29,15.09,15.25,3022600,10.95226
2009-09-22,15.32,15.32,15.13,15.13,1637300,10.866078
2009-09-23,15.18,15.35,15.06,15.09,1986600,10.837351
2009-09-24,15.08,15.14,14.91,14.97,2410500,10.751169
2009-09-25,14.97,15.09,14.87,14.93,4793500,10.722442
2009-09-28,14.95,15.16,14.95,15.08,1323300,10.830169
2009-09-29,15.19,15.21,14.9,15.03,2648100,10.79426
2009-09-30,15.11,15.13,14.75,14.88,2491400,10.686533
2009-10-01,14.86,14.9,14.49,14.49,2564400,10.406442
2009-10-02,14.43,14.47,14.25,14.34,2647000,10.298715
2009-10-05,14.35,14.55,14.24,14.49,3147200,10.406442
2009-10-06,14.54,14.79,14.49,14.78,3002500,10.614714
2009-10-07,14.78,14.93,14.64,14.89,2665800,10.693715
2009-10-08,14.94,15.12,14.88,14.96,2393100,10.743987
2009-10-09,14.98,15.11,14.95,15.08,1603800,10.830169
2009-10-12,15.09,15.27,15.0,15.13,2288100,10.866078
2009-10-13,15.11,15.12,14.86,14.91,1876800,10.708078
2009-10-14,14.98,15.07,14.79,14.89,2807800,10.693715
2009-10-15,14.91,15.24,14.86,15.2,2538000,10.91635
2009-10-16,15.23,15.35,14.97,15.28,2289700,10.973805
2009-10-19,15.34,15.58,15.17,15.49,1788400,11.124623
2009-10-20,15.49,15.49,15.16,15.23,1880000,10.937896
2009-10-21,15.22,15.4,15.12,15.12,1653800,10.858896
2009-10-22,14.76,15.12,14.71,15.12,3335400,10.858896
2009-10-23,15.18,15.18,14.67,14.75,2974900,10.593169
2009-10-26,14.8,14.99,14.41,14.46,2896100,10.384897
2009-10-27,14.49,14.67,14.41,14.47,2647000,10.392079
2009-10-28,14.51,14.63,14.37,14.38,4060300,10.327442
2009-10-29,14.43,14.59,14.34,14.53,3289700,10.435169
2009-10-30,14.84,15.29,14.6,14.93,9450500,10.722442
2009-11-02,15.03,15.07,14.58,14.71,3288400,10.564442
2009-11-03,14.69,14.93,14.6,14.9,3341700,10.700896
2009-11-04,14.98,15.23,14.89,15.01,3495300,10.779896
2009-11-05,15.12,15.35,15.06,15.35,2529500,11.024078
2009-11-06,15.35,15.45,15.17,15.26,2508100,10.959442
2009-11-09,15.37,15.61,15.3,15.61,2062300,11.210804
2009-11-10,15.57,15.75,15.54,15.72,2687200,11.289805
2009-11-11,15.75,15.84,15.61,15.66,3592400,11.246714
2009-11-12,15.65,15.73,15.33,15.33,3050200,11.009714
2009-11-13,15.39,15.56,15.3,15.49,2827600,11.124623
2009-11-16,15.51,15.82,15.46,15.78,2484700,11.332895
2009-11-17,15.78,15.88,15.66,15.74,1717900,11.304168
2009-11-18,15.73,15.8,15.62,15.65,1845200,11.239532
2009-11-19,15.69,15.69,15.44,15.52,1828600,11.146169
2009-11-20,15.48,15.62,15.41,15.54,2477800,11.160532
2009-11-23,15.62,15.96,15.62,15.85,1902200,11.383168
2009-11-24,15.83,16.110001,15.83,16.049999,3511200,11.526804
2009-11-25,16.110001,16.25,16.049999,16.16,1736800,11.605804
2009-11-27,16.02,16.15,15.92,16.02,1031000,11.505259
2009-11-30,16.09,16.35,16.040001,16.299999,3564600,11.706349
2009-12-01,16.379999,16.790001,16.25,16.75,4698200,12.029531
2009-12-02,16.5,17.219999,16.5,16.93,5028800,12.158804
2009-12-03,17.0,17.18,16.940001,16.969999,2736300,12.18753
2009-12-04,17.17,17.219999,16.700001,16.92,6115900,12.151622
2009-12-07,16.99,17.34,16.98,17.18,2646000,12.338349
2009-12-08,16.83,16.98,16.58,16.870001,3133800,12.309163
2009-12-09,16.98,16.98,16.709999,16.879999,2086800,12.316459
2009-12-10,16.969999,17.129999,16.889999,17.07,1726700,12.455092
2009-12-11,17.09,17.4,17.030001,17.4,1492500,12.695876
2009-12-14,17.51,17.51,17.32,17.379999,1434800,12.681283
