Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.01,17.379999,16.01,17.25,2491700,16.730251
2009-01-05,17.18,17.99,16.879999,17.25,3881700,16.730251
2009-01-06,17.68,18.52,17.58,17.719999,5388800,17.186089
2009-01-07,17.32,17.370001,16.030001,16.35,4755700,15.857369
2009-01-08,16.52,16.73,15.76,16.610001,3616800,16.109535
2009-01-09,16.65,16.65,15.38,15.8,2365600,15.32394
2009-01-12,15.5,15.68,14.74,14.98,2831600,14.528646
2009-01-13,14.97,15.7,14.77,15.43,3467600,14.965088
2009-01-14,15.01,15.08,14.05,14.26,3427000,13.830341
2009-01-15,14.16,14.36,13.24,14.14,5621600,13.713957
2009-01-16,14.69,14.74,13.54,13.81,6327000,13.3939
2009-01-20,13.63,14.02,12.87,12.91,5177400,12.521017
2009-01-21,12.96,14.01,12.93,13.94,6570200,13.519982
2009-01-22,13.47,13.57,12.62,12.97,6505800,12.579209
2009-01-23,12.54,13.95,12.26,13.44,8553600,13.035047
2009-01-26,13.72,14.11,13.0,13.72,6834500,13.306611
2009-01-27,13.75,13.97,13.15,13.36,6160100,12.957458
2009-01-28,13.92,14.13,13.49,13.94,5658300,13.519982
2009-01-29,13.45,13.78,12.9,13.0,6208200,12.608305
2009-01-30,13.4,13.48,12.5,12.66,5598800,12.278549
2009-02-02,12.33,12.67,12.03,12.47,5574100,12.094274
2009-02-03,12.56,12.82,12.23,12.73,5442200,12.34644
2009-02-04,12.96,13.35,12.77,13.0,5306200,12.608305
2009-02-05,12.98,13.62,12.38,13.54,4422300,13.132035
2009-02-06,13.35,14.46,13.21,14.16,4811700,13.733354
2009-02-09,14.25,15.19,13.95,14.11,4663100,13.68486
2009-02-10,14.18,14.41,12.79,12.9,7290700,12.511318
2009-02-11,13.09,13.46,12.44,12.85,4982900,12.462825
2009-02-12,12.52,12.78,12.13,12.69,5059800,12.307645
2009-02-13,12.63,13.18,12.54,12.72,3225400,12.336742
2009-02-17,12.28,12.48,11.47,11.49,5803500,11.143802
2009-02-18,11.78,11.78,10.97,11.21,4792800,10.872238
2009-02-19,11.86,12.24,11.51,11.58,7128200,11.23109
2009-02-20,11.06,11.49,10.76,11.18,6790000,10.843143
2009-02-23,11.48,11.62,10.28,10.33,5961600,10.018753
2009-02-24,10.5,11.31,10.39,11.2,7161900,10.862539
2009-02-25,11.15,11.51,10.66,11.16,6219600,10.823745
2009-02-26,11.34,12.76,11.34,12.22,9740500,11.851807
2009-02-27,12.09,12.77,11.64,12.11,8315500,11.745121
2009-03-02,11.72,11.81,10.76,10.84,9158600,10.513387
2009-03-03,11.12,11.46,10.78,11.01,6739900,10.678265
2009-03-04,11.6,12.38,11.47,11.97,5992300,11.60934
2009-03-05,11.7,12.11,11.18,11.35,4925800,11.00802
2009-03-06,11.57,11.86,11.13,11.57,5561600,11.221391
2009-03-09,11.26,12.58,11.26,11.83,5018900,11.473557
2009-03-10,12.29,12.82,11.39,12.24,5983900,11.871204
2009-03-11,12.31,12.61,11.68,12.13,4987400,11.764519
2009-03-12,12.08,12.88,11.99,12.83,4160200,12.443427
2009-03-13,12.89,13.18,12.37,12.6,3681000,12.220358
2009-03-16,12.71,13.2,12.42,12.79,3499200,12.404632
2009-03-17,12.79,13.34,12.47,13.3,2999300,12.899266
2009-03-18,13.12,13.74,12.8,13.61,6536800,13.199925
2009-03-19,14.01,14.64,13.98,14.28,7651800,13.849738
2009-03-20,14.23,14.26,13.3,13.47,5077200,13.064144
2009-03-23,14.06,14.91,13.74,14.91,5070300,14.460756
2009-03-24,14.38,14.56,13.83,14.32,4435900,13.888533
2009-03-25,14.36,14.77,13.65,14.27,4475800,13.84004
2009-03-26,14.28,14.94,14.06,14.26,6108100,13.830341
2009-03-27,13.85,13.88,13.06,13.2,4941200,12.802279
2009-03-30,12.79,12.99,11.99,12.28,5588300,11.909999
2009-03-31,12.78,12.78,11.92,11.97,5135600,11.60934
2009-04-01,11.72,12.59,11.4,12.39,3321800,12.016685
2009-04-02,12.84,13.57,12.74,13.24,3832500,12.841073
2009-04-03,13.16,13.91,13.04,13.69,3809500,13.277515
2009-04-06,13.18,13.39,12.74,13.03,3964500,12.637401
2009-04-07,12.66,12.72,12.28,12.49,3509600,12.113671
2009-04-08,12.55,13.34,12.3,13.05,4521000,12.656799
2009-04-09,13.61,13.68,13.29,13.65,3524300,13.23872
2009-04-13,13.34,14.08,12.91,13.9,5710800,13.481187
2009-04-14,13.75,14.65,13.54,14.28,6595400,13.849738
2009-04-15,14.92,14.92,14.13,14.73,4901300,14.286179
2009-04-16,14.83,15.36,14.44,15.16,5185900,14.703223
2009-04-17,15.14,16.110001,15.02,15.99,5501900,15.508215
2009-04-20,15.48,15.48,14.13,14.2,5755600,13.772148
2009-04-21,14.12,15.35,13.9,15.29,4840800,14.829306
2009-04-22,15.04,16.120001,14.87,15.48,5265000,15.013581
