Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,46.650002,47.700001,44.830002,47.43,1075000,44.397799
2009-01-05,47.509998,47.689999,45.98,47.52,1557900,44.482045
2009-01-06,48.139999,48.290001,46.040001,47.299999,1272600,44.276109
2009-01-07,46.82,46.82,45.549999,46.060001,1083400,43.115384
2009-01-08,45.720001,45.720001,43.779999,45.330002,1333800,42.432053
2009-01-09,45.25,45.25,41.490002,41.740002,1560300,39.071562
2009-01-12,41.709999,42.18,40.34,40.779999,1541900,38.172932
2009-01-13,40.389999,41.580002,40.16,41.02,1761500,38.39759
2009-01-14,40.200001,40.389999,39.0,39.959999,1976100,37.405355
2009-01-15,39.970001,41.099998,38.5,40.389999,2130100,37.807865
2009-01-16,41.169998,41.790001,40.259998,41.130001,1839000,38.500559
2009-01-20,38.830002,39.360001,36.790001,37.25,3160200,34.868606
2009-01-21,37.439999,38.41,36.290001,38.310001,2176000,35.860842
2009-01-22,37.720001,38.860001,37.169998,38.439999,2678600,35.982528
2009-01-23,37.43,39.23,37.290001,38.060001,1258500,35.626824
2009-01-26,38.439999,40.599998,38.150002,39.98,2235300,37.424077
2009-01-27,40.029999,41.009998,39.669998,40.619999,1949300,38.023161
2009-01-28,41.939999,44.27,41.52,43.209999,2522200,40.447582
2009-01-29,42.75,42.75,40.380001,40.450001,2383900,37.864031
2009-01-30,41.23,41.790001,40.07,41.029999,3535900,38.40695
2009-02-02,39.669998,40.900002,38.130001,38.869999,2997900,36.385039
2009-02-03,39.049999,41.130001,38.57,39.700001,3859200,37.161978
2009-02-04,40.470001,40.52,36.919998,38.630001,4676600,36.160384
2009-02-05,38.540001,40.880001,38.540001,40.369999,2575400,37.789144
2009-02-06,40.900002,43.16,40.5,42.009998,2533800,39.324298
2009-02-09,41.849998,41.950001,39.669998,40.139999,3098000,37.573848
2009-02-10,39.27,40.349998,38.400002,38.91,2606700,36.422482
2009-02-11,39.09,39.599998,37.810001,38.27,2369300,35.823398
2009-02-12,37.59,38.459999,36.880001,38.290001,1848500,35.84212
2009-02-13,38.299999,38.799999,37.009998,37.27,1370300,34.887328
2009-02-17,35.799999,36.630001,35.650002,35.970001,2808500,33.670438
2009-02-18,35.77,36.360001,34.98,36.119999,2072300,33.810846
2009-02-19,36.509998,37.349998,35.639999,35.939999,1536600,33.642353
2009-02-20,35.130001,36.610001,34.98,35.560001,1884600,33.286649
2009-02-23,35.759998,35.919998,33.700001,33.82,2320700,31.657886
2009-02-24,34.259998,36.09,33.880001,35.950001,2230300,33.651716
2009-02-25,35.720001,36.360001,34.59,35.48,2040700,33.211762
2009-02-26,35.880001,35.889999,33.759998,33.880001,2279600,31.714051
2009-02-27,33.389999,35.23,33.209999,34.470001,1522700,32.266333
2009-03-02,33.490002,34.25,32.77,32.849998,1807800,30.749897
2009-03-03,33.360001,33.52,32.0,32.27,2282700,30.206978
2009-03-04,33.009998,34.59,32.48,34.009998,1741300,31.835738
2009-03-05,33.23,33.549999,31.639999,32.389999,2137700,30.319306
2009-03-06,33.369999,33.529999,31.65,32.540001,2367100,30.459718
2009-03-09,32.119999,32.919998,31.77,31.940001,1422300,29.898075
2009-03-10,32.470001,35.080002,32.470001,34.82,1899400,32.593956
2009-03-11,34.900002,36.279999,34.389999,35.549999,1303900,33.277287
2009-03-12,35.509998,36.07,34.68,35.959999,2128600,33.661075
2009-03-13,35.709999,36.810001,35.25,36.73,1318800,34.381849
2009-03-16,36.93,37.290001,35.799999,35.880001,1365300,33.586191
2009-03-17,35.93,37.529999,35.919998,37.52,1238400,35.121346
2009-03-18,37.150002,40.59,37.009998,40.169998,4006900,37.601929
2009-03-19,40.630001,41.029999,38.779999,39.490002,2154700,36.965405
2009-03-20,39.57,39.77,37.27,37.799999,1525800,35.383444
