Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,34.599998,37.43,34.560001,37.080002,2374300,36.260358
2009-01-05,36.799999,39.459999,36.619999,39.060001,3688800,38.19659
2009-01-06,39.580002,41.799999,38.580002,38.720001,4879200,37.864106
2009-01-07,37.650002,37.939999,36.099998,36.84,2366100,36.025662
2009-01-08,36.529999,38.220001,36.110001,37.84,2463000,37.003557
2009-01-09,37.84,37.84,36.049999,36.84,2508000,36.025662
2009-01-12,36.330002,36.330002,34.5,34.790001,2692400,34.020977
2009-01-13,34.889999,36.220001,34.330002,35.830002,3565800,35.037989
2009-01-14,35.25,35.259998,33.09,34.040001,2452100,33.287556
2009-01-15,33.759998,34.189999,31.27,33.259998,3529400,32.524795
2009-01-16,34.32,34.490002,32.0,33.209999,2584400,32.475901
2009-01-20,32.0,33.75,31.190001,31.43,2263600,30.735248
2009-01-21,32.93,35.049999,32.110001,34.939999,3618700,34.167659
2009-01-22,33.400002,34.360001,32.02,33.48,4036900,32.739933
2009-01-23,32.59,35.869999,31.99,35.25,4473500,34.470808
2009-01-26,35.110001,36.709999,34.52,35.52,2416700,34.73484
2009-01-27,35.16,36.459999,34.639999,35.77,2767200,34.979314
2009-01-28,36.139999,37.27,35.52,37.040001,3606700,36.221241
2009-01-29,36.18,37.220001,36.049999,36.43,3034100,35.624725
2009-01-30,37.150002,37.43,35.52,35.84,3061500,35.047766
2009-02-02,35.110001,35.830002,34.41,35.41,3228600,34.627271
2009-02-03,35.68,36.709999,35.040001,36.470001,2896000,35.663841
2009-02-04,37.110001,38.119999,36.869999,37.330002,3355100,36.504832
2009-02-05,37.209999,39.220001,36.5,39.040001,4080800,38.177032
2009-02-06,38.380001,39.98,38.07,39.580002,3037100,38.705096
2009-02-09,39.779999,41.02,39.759998,40.130001,3143600,39.242938
2009-02-10,39.91,40.900002,37.040001,37.669998,4434800,36.837313
2009-02-11,38.700001,38.939999,36.259998,37.34,2268800,36.514609
2009-02-12,36.130001,38.349998,36.029999,38.209999,2756800,37.365377
2009-02-13,38.23,39.349998,38.099998,38.619999,1564800,37.766314
2009-02-17,35.110001,37.029999,35.110001,35.549999,2159900,34.764176
2009-02-18,35.5,35.93,33.720001,34.130001,2262500,33.375566
2009-02-19,34.639999,35.43,33.880001,34.759998,2067900,33.991638
2009-02-20,34.580002,34.580002,32.48,33.169998,3511400,32.436784
2009-02-23,33.73,34.110001,31.02,31.18,2692900,30.490775
2009-02-24,31.51,33.34,30.9,33.029999,3037500,32.299879
2009-02-25,35.880001,36.5,33.740002,35.610001,4903600,34.822851
2009-02-26,36.790001,37.759998,35.470001,35.66,2894900,34.871745
2009-02-27,34.610001,37.0,34.150002,35.57,2801000,34.783734
2009-03-02,34.610001,35.099998,32.220001,32.880001,3571100,32.153197
2009-03-03,33.450001,36.599998,33.060001,35.240002,3782800,34.461031
2009-03-04,36.290001,38.560001,36.200001,37.34,3632400,36.514609
2009-03-05,36.279999,37.810001,35.93,36.52,3256100,35.712735
2009-03-06,37.02,38.02,35.59,36.98,3725600,36.162566
2009-03-09,36.349998,37.720001,35.5,35.900002,3324900,35.106441
2009-03-10,36.830002,38.75,36.330002,38.310001,5110900,37.463169
2009-03-11,38.75,39.380001,36.189999,37.16,2963600,36.338588
2009-03-12,36.990002,38.650002,36.349998,38.470001,3286600,37.619632
2009-03-13,38.830002,39.009998,37.599998,38.810001,3370600,37.991618
2009-03-16,38.75,40.75,38.5,39.919998,2575900,39.078208
2009-03-17,39.900002,41.099998,39.040001,41.02,3271600,40.155015
2009-03-18,40.73,41.860001,38.439999,41.169998,4247500,40.301849
2009-03-19,42.849998,43.790001,41.810001,42.48,3757600,41.584227
2009-03-20,42.810001,43.48,40.91,41.029999,3295600,40.164802
2009-03-23,42.290001,45.860001,41.57,45.849998,4009200,44.883163
2009-03-24,44.060001,45.040001,43.279999,44.380001,2220900,43.444163
2009-03-25,44.27,44.700001,42.560001,43.950001,2470800,43.02323
2009-03-26,44.950001,45.66,44.139999,44.889999,3017800,43.943407
2009-03-27,43.630001,44.130001,42.169998,42.689999,3045700,41.789798
2009-03-30,41.59,41.860001,40.560001,41.639999,3158800,40.76194
2009-03-31,42.119999,42.66,41.07,41.16,2211400,40.292062
2009-04-01,40.310001,42.650002,39.650002,41.09,3736600,40.223538
2009-04-02,42.330002,44.68,42.330002,44.049999,3201300,43.12112
2009-04-03,43.970001,46.029999,43.400002,45.110001,2783000,44.158769
2009-04-06,44.419998,44.419998,42.68,43.849998,3173300,42.925337
2009-04-07,42.66,43.18,41.41,41.700001,2510200,40.820676
2009-04-08,42.009998,42.869999,39.880001,42.060001,3110200,41.173085
2009-04-09,43.130001,44.220001,41.919998,42.720001,2729000,41.819167
2009-04-13,42.099998,42.810001,40.82,42.310001,2265000,41.417813
2009-04-14,41.580002,43.240002,41.580002,41.779999,2238500,40.898987
2009-04-15,41.689999,42.52,40.57,41.330002,2238500,40.458479
2009-04-16,41.810001,42.110001,40.32,40.91,2941600,40.047333
2009-04-17,41.490002,42.75,40.720001,42.580002,3585900,41.68212
2009-04-20,41.490002,41.490002,39.77,39.939999,2473000,39.097787
2009-04-21,39.080002,40.540001,38.75,40.25,2507400,39.401251
2009-04-22,39.700001,41.32,39.439999,39.5,2615900,38.667066
2009-04-23,39.889999,40.5,39.23,40.040001,2763900,39.19568
2009-04-24,41.130001,42.380001,40.799999,41.869999,3365200,40.987089
2009-04-27,40.799999,40.799999,39.43,39.77,2644100,38.931373
