Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,1.83,2.01,1.83,1.95,51282900,1.95
2009-01-05,1.92,2.3,1.88,2.12,52659100,2.12
2009-01-06,2.23,2.4,2.18,2.32,55328100,2.32
2009-01-07,2.25,2.44,2.2,2.38,37284900,2.38
2009-01-08,2.36,2.65,2.26,2.58,47689300,2.58
2009-01-09,2.67,2.94,2.56,2.59,59536400,2.59
2009-01-12,2.68,2.68,2.42,2.45,31938600,2.45
2009-01-13,2.39,2.55,2.35,2.48,45323300,2.48
2009-01-14,2.41,2.42,2.26,2.27,46013000,2.27
2009-01-15,2.26,2.34,2.14,2.29,51532600,2.29
2009-01-16,2.36,2.37,2.17,2.21,41099300,2.21
2009-01-20,2.17,2.29,2.03,2.06,34508100,2.06
2009-01-21,2.14,2.25,2.03,2.24,40945200,2.24
2009-01-22,2.22,2.41,2.15,2.38,46093900,2.38
2009-01-23,2.29,2.64,2.22,2.46,50031100,2.46
2009-01-26,2.44,2.62,2.39,2.49,42044700,2.49
2009-01-27,2.5,2.56,2.39,2.44,41140900,2.44
2009-01-28,2.54,2.72,2.48,2.68,60974800,2.68
2009-01-29,2.58,2.65,2.51,2.57,29107800,2.57
2009-01-30,2.58,2.62,2.39,2.43,31958900,2.43
2009-02-02,2.4,2.46,2.31,2.41,20018600,2.41
2009-02-03,2.42,2.54,2.37,2.53,28898000,2.53
2009-02-04,2.54,2.65,2.35,2.4,29385200,2.4
2009-02-05,2.4,2.45,2.22,2.32,33612500,2.32
2009-02-06,2.32,2.48,2.32,2.47,29680700,2.47
2009-02-09,2.47,2.52,2.4,2.45,30839700,2.45
2009-02-10,2.41,2.5,2.12,2.18,50975200,2.18
2009-02-11,2.3,2.4,2.12,2.35,42324300,2.35
2009-02-12,2.3,2.54,2.3,2.5,51449300,2.5
2009-02-13,2.49,2.84,2.49,2.82,48850400,2.82
2009-02-17,2.55,2.9,2.51,2.76,57427000,2.76
2009-02-18,2.87,2.95,2.51,2.71,57719100,2.71
2009-02-19,3.05,3.49,3.02,3.25,156467000,3.25
2009-02-20,3.09,3.22,2.98,3.22,77501700,3.22
2009-02-23,3.36,3.48,3.24,3.31,64910700,3.31
2009-02-24,3.36,3.6,3.3,3.58,74967000,3.58
2009-02-25,3.48,3.64,3.37,3.59,59341400,3.59
2009-02-26,3.63,3.79,3.45,3.48,49177700,3.48
2009-02-27,3.39,3.48,3.08,3.29,80630000,3.29
2009-03-02,3.17,3.4,3.04,3.14,34224600,3.14
2009-03-03,3.23,3.48,3.2,3.28,81767500,3.28
2009-03-04,3.38,3.59,3.31,3.32,70550400,3.32
2009-03-05,3.25,3.29,2.99,3.07,34454800,3.07
2009-03-06,3.13,3.23,2.82,3.04,32199200,3.04
2009-03-09,2.99,3.23,2.96,3.12,41199000,3.12
2009-03-10,3.26,3.54,3.23,3.54,47158200,3.54
2009-03-11,3.67,3.67,3.5,3.53,29593100,3.53
2009-03-12,3.65,3.88,3.57,3.83,61385400,3.83
2009-03-13,3.95,4.2,3.81,4.14,50275300,4.14
2009-03-16,3.98,4.09,3.55,3.57,61418900,3.57
2009-03-17,3.55,3.62,3.37,3.62,45275000,3.62
2009-03-18,3.63,3.93,3.59,3.75,39000900,3.75
2009-03-19,3.92,3.96,3.59,3.79,37545100,3.79
2009-03-20,3.81,3.88,3.45,3.45,43143600,3.45
2009-03-23,3.59,3.94,3.55,3.7,51504000,3.7
2009-03-24,3.62,3.92,3.57,3.69,29538900,3.69
2009-03-25,3.83,3.83,3.51,3.7,37088200,3.7
