Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,35.650002,36.619999,35.5,36.369999,2270200,25.910649
2009-01-05,36.380001,36.700001,35.860001,36.470001,1643500,25.981893
2009-01-06,36.599998,36.889999,35.77,35.990002,1487200,25.639932
2009-01-07,35.48,35.889999,35.189999,35.560001,1260200,25.333592
2009-01-08,35.080002,35.540001,35.049999,35.509998,1228200,25.297969
2009-01-09,35.509998,35.509998,34.900002,35.07,732300,24.984506
2009-01-12,35.16,35.380001,34.889999,35.150002,640700,25.041501
2009-01-13,35.119999,35.119999,34.0,34.259998,1007100,24.407446
2009-01-14,34.029999,34.130001,33.23,33.91,880400,24.158101
2009-01-15,33.91,34.029999,33.25,34.029999,1121200,24.24359
2009-01-16,34.360001,34.599998,33.849998,34.209999,928600,24.371826
2009-01-20,34.09,34.639999,33.400002,33.459999,1405300,23.837512
2009-01-21,33.720001,33.939999,32.990002,33.82,1353400,24.093983
2009-01-22,33.470001,34.099998,33.240002,33.639999,1479800,23.965748
2009-01-23,32.959999,33.5,32.810001,33.459999,972500,23.837512
2009-01-26,33.57,34.540001,33.48,34.189999,1303600,24.357577
2009-01-27,34.25,35.099998,34.119999,34.849998,979500,24.827773
2009-01-28,35.119999,35.299999,34.509998,34.799999,1181400,24.792153
2009-01-29,34.700001,35.369999,34.349998,34.68,1030600,24.706663
2009-01-30,34.709999,35.119999,34.040001,34.290001,1110400,24.428821
2009-02-02,33.849998,34.509998,33.66,34.34,1177800,24.464441
2009-02-03,34.32,34.68,34.009998,34.5,839300,24.578428
2009-02-04,34.580002,35.0,34.310001,34.720001,979400,24.735161
2009-02-05,34.689999,35.23,34.32,34.919998,782500,24.877642
2009-02-06,35.060001,35.549999,34.779999,35.23,561700,25.098493
2009-02-09,35.099998,35.32,34.27,34.68,893300,24.706663
2009-02-10,34.470001,34.900002,33.990002,34.16,1495200,24.336206
2009-02-11,34.709999,35.419998,33.970001,34.130001,1502900,24.314834
2009-02-12,33.650002,35.5,32.59,34.009998,1325600,24.229342
2009-02-13,33.93,34.099998,33.400002,33.580002,985200,23.923004
2009-02-17,32.790001,32.860001,31.82,31.82,1127100,22.669147
2009-02-18,31.98,31.99,31.389999,31.65,977900,22.548036
2009-02-19,31.66,31.9,31.040001,31.17,1046900,22.206075
2009-02-20,31.190001,31.719999,30.129999,30.98,1583400,22.070715
2009-02-23,31.16,31.26,30.51,30.639999,1924700,21.828493
2009-02-24,30.790001,31.360001,30.68,31.18,1078400,22.2132
2009-02-25,31.0,31.17,30.34,30.74,1714300,21.899735
2009-02-26,30.82,31.040001,30.57,30.629999,1430600,21.821369
2009-02-27,30.35,30.700001,29.65,30.129999,1134300,21.46516
2009-03-02,29.629999,30.02,28.85,28.940001,943900,20.617383
2009-03-03,29.24,29.309999,28.48,28.51,2206700,20.311043
2009-03-04,28.879999,29.34,28.17,28.879999,1241200,20.574637
2009-03-05,28.360001,28.76,27.6,27.879999,1423100,19.862219
2009-03-06,27.889999,28.120001,26.83,27.35,1357000,19.818742
2009-03-09,27.030001,27.200001,26.25,26.440001,1210100,19.159325
2009-03-10,26.620001,27.040001,26.440001,26.6,1544100,19.275266
2009-03-11,26.700001,26.780001,26.01,26.370001,1453700,19.108601
2009-03-12,26.370001,26.82,26.08,26.75,1540200,19.383961
2009-03-13,26.799999,27.51,26.75,27.459999,1452000,19.89845
2009-03-16,27.48,28.57,27.48,28.040001,1083200,20.318739
2009-03-17,28.0,28.68,27.860001,28.68,1179100,20.782505
2009-03-18,28.629999,29.950001,28.450001,29.719999,1424900,21.536124
2009-03-19,29.82,30.110001,29.5,29.99,1000900,21.731775
2009-03-20,30.120001,30.83,30.059999,30.09,2296900,21.804239
2009-03-23,30.59,31.07,30.219999,31.07,961100,22.51438
2009-03-24,30.780001,30.99,30.41,30.48,755300,22.086846
2009-03-25,30.540001,31.0,30.129999,30.540001,1274400,22.130325
2009-03-26,30.68,31.360001,30.309999,31.360001,1335700,22.724524
2009-03-27,31.030001,31.24,30.5,30.92,1206000,22.405685
2009-03-30,30.48,30.77,30.1,30.4,1234700,22.028875
2009-03-31,30.52,31.309999,30.35,30.889999,1325600,22.383945
2009-04-01,30.76,30.950001,30.450001,30.76,837400,22.289744
2009-04-02,31.219999,31.34,30.440001,30.969999,1623600,22.441916
2009-04-03,30.93,31.17,30.24,30.59,1202700,22.166556
2009-04-06,30.379999,30.93,30.17,30.59,850000,22.166556
2009-04-07,30.49,30.709999,30.059999,30.43,657800,22.050614
2009-04-08,30.49,30.77,30.219999,30.67,476800,22.224526
2009-04-09,31.219999,32.700001,30.41,30.879999,885600,22.376699
