Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,14.33,15.76,14.33,15.66,4126700,15.66
2009-01-05,15.45,15.94,15.15,15.76,4848700,15.76
2009-01-06,15.31,17.809999,14.77,17.690001,9751000,17.690001
2009-01-07,17.26,17.26,16.610001,17.1,6741000,17.1
2009-01-08,16.110001,16.67,15.79,16.57,4321800,16.57
2009-01-09,16.549999,16.83,16.01,16.469999,4360000,16.469999
2009-01-12,16.5,16.73,15.68,15.92,3929600,15.92
2009-01-13,15.5,15.56,14.27,14.78,8572100,14.78
2009-01-14,14.48,14.78,13.55,14.3,7292600,14.3
2009-01-15,14.4,14.48,12.87,14.11,8349600,14.11
2009-01-16,14.59,15.15,13.59,14.76,7735900,14.76
2009-01-20,14.43,14.43,13.12,13.43,9256700,13.43
2009-01-21,13.25,13.53,12.04,12.79,11823300,12.79
2009-01-22,12.5,12.81,11.7,12.31,10649900,12.31
2009-01-23,11.54,14.07,11.32,13.64,14974400,13.64
2009-01-26,13.64,14.2,13.25,13.41,7490400,13.41
2009-01-27,13.78,14.49,13.66,14.1,7766700,14.1
2009-01-28,14.73,15.23,14.32,14.96,7199400,14.96
2009-01-29,14.79,14.79,13.83,13.99,4613800,13.99
2009-01-30,14.09,14.45,13.4,13.6,4566100,13.6
2009-02-02,13.2,13.65,12.65,13.04,6147600,13.04
2009-02-03,13.4,13.65,12.67,13.38,4058000,13.38
2009-02-04,13.37,14.54,13.17,14.0,6542300,14.0
2009-02-05,13.71,15.0,13.55,14.58,7414300,14.58
2009-02-06,14.54,15.9,14.54,15.54,8247400,15.54
2009-02-09,15.48,15.9,15.04,15.65,6005200,15.65
2009-02-10,15.21,15.71,14.37,14.57,8171000,14.57
2009-02-11,14.73,14.73,13.86,14.23,6210700,14.23
2009-02-12,14.29,14.9,13.9,14.84,8043200,14.84
2009-02-13,15.51,16.43,15.24,16.110001,11836900,16.110001
2009-02-17,15.56,15.69,14.3,14.41,9598000,14.41
2009-02-18,14.62,14.85,13.98,14.33,9507000,14.33
2009-02-19,14.65,14.87,13.61,13.68,7178800,13.68
2009-02-20,13.1,14.02,13.01,13.75,7874700,13.75
2009-02-23,14.0,14.0,13.03,13.11,6151300,13.11
2009-02-24,13.28,14.23,13.11,14.09,7320700,14.09
2009-02-25,13.45,14.76,13.34,14.35,8732400,14.35
2009-02-26,14.57,15.77,14.47,14.76,9349900,14.76
2009-02-27,14.32,15.5,14.15,15.01,11480300,15.01
2009-03-02,14.53,14.55,13.33,13.42,7822900,13.42
2009-03-03,13.75,14.17,13.5,13.82,6470900,13.82
2009-03-04,14.21,15.4,14.03,14.91,7847700,14.91
2009-03-05,14.41,14.94,14.0,14.16,7162900,14.16
2009-03-06,14.42,14.93,13.3,13.68,6545900,13.68
2009-03-09,13.12,14.25,13.0,13.2,6332400,13.2
2009-03-10,13.87,14.95,13.6,14.77,6612300,14.77
2009-03-11,14.6,15.25,14.59,14.92,7651200,14.92
2009-03-12,14.9,15.67,14.5,15.51,6455800,15.51
2009-03-13,15.5,15.76,15.3,15.43,6260800,15.43
2009-03-16,15.45,15.87,14.65,14.73,6711800,14.73
2009-03-17,14.65,14.76,13.97,14.42,8854900,14.42
2009-03-18,14.25,15.34,14.11,15.02,8266000,15.02
2009-03-19,15.13,15.93,15.13,15.51,8577100,15.51
2009-03-20,15.74,15.88,14.35,14.88,8210400,14.88
2009-03-23,15.34,16.48,15.26,16.48,7301000,16.48
2009-03-24,16.25,16.719999,16.0,16.08,6877400,16.08
2009-03-25,16.4,18.26,16.4,17.219999,12853500,17.219999
2009-03-26,17.76,19.26,17.66,19.030001,17769400,19.030001
2009-03-27,18.5,19.25,18.040001,18.379999,9094600,18.379999
2009-03-30,17.73,17.76,16.059999,16.620001,8511900,16.620001
2009-03-31,16.889999,16.92,16.32,16.49,6576000,16.49
2009-04-01,16.15,17.24,15.9,17.120001,5046100,17.120001
2009-04-02,17.75,18.299999,17.6,17.83,6549300,17.83
2009-04-03,17.309999,18.790001,17.110001,18.690001,6191000,18.690001
2009-04-06,18.4,18.549999,17.51,18.209999,5125000,18.209999
2009-04-07,17.77,17.77,16.690001,16.93,5834600,16.93
2009-04-08,17.129999,17.92,16.959999,17.860001,4092000,17.860001
2009-04-09,18.15,19.549999,17.950001,18.940001,6830500,18.940001
2009-04-13,17.0,17.02,15.6,16.18,15042100,16.18
2009-04-14,16.209999,16.65,15.48,15.63,9243400,15.63
2009-04-15,15.76,15.87,15.43,15.85,5642300,15.85
2009-04-16,16.24,16.24,15.03,15.46,7416800,15.46
2009-04-17,15.53,15.73,15.07,15.61,4802000,15.61
2009-04-20,15.18,15.33,14.13,14.17,9487000,14.17
2009-04-21,13.95,14.45,13.43,14.03,10977800,14.03
2009-04-22,13.76,15.47,13.66,14.9,7297000,14.9
2009-04-23,14.89,14.97,14.26,14.68,7083100,14.68
2009-04-24,14.3,16.08,14.0,15.44,10976800,15.44
2009-04-27,15.25,15.73,15.01,15.19,5535100,15.19
2009-04-28,15.0,15.07,14.65,14.7,4041200,14.7
2009-04-29,15.07,15.48,14.72,15.13,5967100,15.13
2009-04-30,15.61,17.049999,15.56,16.200001,9009900,16.200001
2009-05-01,16.33,16.83,15.9,16.549999,5083600,16.549999
2009-05-04,16.65,18.32,16.620001,18.110001,7790000,18.110001
2009-05-05,18.290001,19.15,17.799999,18.870001,11663300,18.870001
2009-05-06,19.25,19.690001,18.299999,18.709999,7772200,18.709999
2009-05-07,19.0,19.18,17.049999,17.24,8143300,17.24
2009-05-08,17.59,17.790001,16.76,17.49,6372600,17.49
