Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,34.790001,35.650002,33.869999,35.470001,454600,29.347149
2009-01-05,35.040001,35.799999,34.75,35.490002,899900,29.363696
2009-01-06,35.889999,36.68,35.330002,36.380001,765200,30.100064
2009-01-07,35.700001,35.939999,35.119999,35.419998,1031400,29.305777
2009-01-08,35.400002,35.759998,35.09,35.639999,1316800,29.487802
2009-01-09,35.52,35.759998,34.810001,35.040001,744000,28.991375
2009-01-12,34.889999,35.169998,33.82,34.02,1322400,28.147448
2009-01-13,34.0,34.25,33.360001,33.799999,1193100,27.965423
2009-01-14,33.16,33.220001,32.32,32.560001,883500,26.939475
2009-01-15,32.59,33.27,31.73,32.810001,1105000,27.146319
2009-01-16,33.130001,33.580002,32.240002,33.400002,876700,27.634473
2009-01-20,33.220001,33.490002,31.16,31.309999,995800,25.905249
2009-01-21,31.92,32.290001,30.76,32.23,1026000,26.666438
2009-01-22,31.49,31.860001,29.84,30.49,1166000,25.226798
2009-01-23,29.66,30.5,29.379999,30.059999,989900,24.871024
2009-01-26,30.15,31.24,30.07,30.52,1441700,25.25162
2009-01-27,30.82,31.43,30.5,30.959999,980300,25.615666
2009-01-28,32.27,35.02,32.07,34.849998,2314200,28.834171
2009-01-29,33.73,33.73,32.720001,32.900002,1557900,27.220784
2009-01-30,33.060001,33.16,31.02,31.26,1002100,25.86388
2009-02-02,31.030001,31.719999,30.67,31.120001,734200,25.748048
2009-02-03,31.25,32.939999,30.950001,32.720001,1046800,27.071855
2009-02-04,32.639999,33.049999,32.099998,32.290001,911700,26.716082
2009-02-05,32.23,33.549999,31.790001,33.27,964800,27.526913
2009-02-06,33.279999,34.82,33.259998,34.650002,1052200,28.668698
2009-02-09,34.57,34.619999,33.779999,34.48,679600,28.528042
2009-02-10,33.82,34.48,32.59,32.880001,938100,27.204236
2009-02-11,33.130001,33.66,32.84,33.349998,742100,27.593102
2009-02-12,32.759998,33.080002,31.610001,32.860001,1770300,27.187688
2009-02-13,32.84,32.84,31.51,31.540001,1150600,26.095547
2009-02-17,29.129999,31.299999,29.129999,30.709999,1118000,25.408821
2009-02-18,30.879999,30.91,30.049999,30.280001,1049800,25.053049
2009-02-19,30.51,31.110001,29.629999,29.809999,1175500,24.66418
2009-02-20,29.24,29.73,28.23,28.76,1506300,23.795432
2009-02-23,29.17,29.23,27.1,27.389999,1089300,22.661921
2009-02-24,27.549999,28.629999,26.790001,28.280001,1490500,23.39829
2009-02-25,28.129999,28.280001,27.07,27.58,794600,22.819124
2009-02-26,28.02,28.309999,26.68,26.85,998400,22.215137
2009-02-27,26.219999,27.309999,26.0,26.76,1723600,22.140673
2009-03-02,26.08,26.34,24.799999,24.889999,1319200,20.842714
2009-03-03,25.209999,25.610001,24.4,24.459999,1442300,20.482635
2009-03-04,24.6,25.27,24.48,24.870001,1104500,20.825967
