Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,29.4,31.4,29.35,31.09,4313400,31.09
2009-01-05,31.530001,33.849998,30.940001,32.869999,7635300,32.869999
2009-01-06,34.349998,35.400002,33.220001,33.740002,8286100,33.740002
2009-01-07,33.049999,33.5,30.719999,31.799999,5375200,31.799999
2009-01-08,31.190001,31.280001,29.33,31.01,7015800,31.01
2009-01-09,31.0,31.49,29.559999,30.23,5890700,30.23
2009-01-12,29.639999,30.0,27.93,28.34,5811200,28.34
2009-01-13,28.09,29.950001,28.09,29.5,6398300,29.5
2009-01-14,28.73,29.0,27.25,27.68,7272900,27.68
2009-01-15,27.469999,28.07,25.639999,27.709999,6923500,27.709999
2009-01-16,28.389999,29.83,27.42,28.6,7199300,28.6
2009-01-20,28.030001,29.129999,26.620001,26.92,8284200,26.92
2009-01-21,27.450001,30.27,27.25,30.17,8320900,30.17
2009-01-22,29.25,30.02,28.1,29.48,6753500,29.48
2009-01-23,28.48,32.200001,28.34,31.74,7574400,31.74
2009-01-26,32.07,33.299999,31.200001,31.93,6661500,31.93
2009-01-27,32.459999,32.470001,30.389999,31.15,6013200,31.15
2009-01-28,31.690001,32.419998,31.290001,32.290001,6327500,32.290001
2009-01-29,31.120001,33.029999,31.120001,31.860001,5133400,31.860001
2009-01-30,32.880001,33.349998,31.33,31.65,6856600,31.65
2009-02-02,30.83,31.690001,30.049999,30.879999,6260800,30.879999
2009-02-03,31.07,32.490002,30.42,32.25,6021800,32.25
2009-02-04,32.75,33.330002,31.85,32.470001,6913200,32.470001
2009-02-05,32.099998,33.169998,31.77,32.830002,9186600,32.830002
2009-02-06,32.630001,33.029999,31.530001,32.73,6883500,32.73
2009-02-09,33.02,33.759998,32.619999,33.0,6708700,33.0
2009-02-10,32.880001,33.77,31.940001,32.18,6819800,32.18
2009-02-11,32.310001,32.790001,30.290001,31.17,4827200,31.17
2009-02-12,30.42,31.700001,30.030001,31.6,4036600,31.6
2009-02-13,31.459999,32.869999,31.459999,32.330002,3804700,32.330002
2009-02-17,31.24,31.280001,29.620001,29.709999,4301500,29.709999
2009-02-18,29.85,29.9,27.92,28.559999,5715200,28.559999
2009-02-19,29.18,29.52,28.110001,28.59,4739700,28.59
2009-02-20,27.889999,28.25,26.780001,27.629999,5385800,27.629999
2009-02-23,28.32,28.6,25.9,25.99,5412500,25.99
2009-02-24,25.26,27.09,25.26,26.93,7544100,26.93
2009-02-25,26.16,28.030001,26.0,27.42,6049400,27.42
2009-02-26,28.25,28.85,27.299999,27.530001,6501800,27.530001
2009-02-27,26.969999,30.09,26.969999,28.77,13691900,28.77
2009-03-02,27.77,28.99,26.66,27.049999,8088700,27.049999
2009-03-03,27.370001,29.059999,27.110001,28.049999,6775400,28.049999
2009-03-04,29.059999,30.25,28.84,29.16,7563400,29.16
2009-03-05,28.52,29.85,28.0,29.200001,7468800,29.200001
2009-03-06,29.67,30.530001,27.610001,28.719999,6648800,28.719999
2009-03-09,28.549999,30.35,28.02,28.27,6210200,28.27
2009-03-10,29.15,29.299999,27.82,28.43,8346400,28.43
2009-03-11,28.73,29.139999,27.4,28.01,5458000,28.01
2009-03-12,27.959999,28.690001,26.82,28.389999,6618500,28.389999
2009-03-13,28.559999,28.559999,27.040001,27.43,6259700,27.43
2009-03-16,27.15,29.290001,27.08,28.67,5686000,28.67
2009-03-17,28.559999,30.43,28.049999,30.43,5329000,30.43
2009-03-18,30.15,31.379999,29.110001,30.889999,6741800,30.889999
2009-03-19,31.6,33.110001,31.52,32.009998,6720200,32.009998
2009-03-20,32.150002,32.849998,30.559999,30.85,6977300,30.85
2009-03-23,31.73,34.150002,31.700001,34.139999,7551500,34.139999
2009-03-24,33.490002,33.549999,32.470001,33.119999,5296600,33.119999
2009-03-25,33.049999,34.0,32.27,33.900002,6463000,33.900002
2009-03-26,34.490002,35.48,33.349998,33.880001,8280000,33.880001
2009-03-27,32.509998,33.049999,31.08,31.969999,5955000,31.969999
2009-03-30,31.01,31.049999,29.860001,30.370001,4992400,30.370001
2009-03-31,30.879999,30.99,29.52,29.690001,5798400,29.690001
2009-04-01,29.059999,30.35,28.9,30.01,6882500,30.01
2009-04-02,31.120001,32.290001,31.08,31.690001,6277100,31.690001
2009-04-03,31.73,32.529999,31.1,32.32,4514900,32.32
2009-04-06,31.799999,32.18,31.23,31.84,4239800,31.84
2009-04-07,31.030001,31.110001,30.25,30.75,4864500,30.75
2009-04-08,30.68,31.969999,29.82,31.5,3986300,31.5
2009-04-09,32.419998,33.0,30.889999,31.209999,7169900,31.209999
2009-04-13,30.82,31.280001,29.82,30.959999,4291400,30.959999
2009-04-14,30.459999,31.459999,30.15,30.59,4787900,30.59
2009-04-15,30.440001,30.98,29.709999,30.58,3683000,30.58
2009-04-16,30.74,32.560001,30.07,32.240002,5675700,32.240002
2009-04-17,32.27,33.849998,32.27,33.709999,5841400,33.709999
2009-04-20,32.669998,33.349998,32.110001,32.889999,6004400,32.889999
2009-04-21,32.389999,32.959999,31.389999,32.900002,6534000,32.900002
2009-04-22,32.07,33.59,32.07,32.82,6820000,32.82
2009-04-23,33.349998,33.889999,32.860001,33.779999,4346700,33.779999
2009-04-24,34.68,34.68,33.380001,34.43,5129300,34.43
2009-04-27,33.360001,33.889999,32.91,33.470001,4853300,33.470001
2009-04-28,33.950001,37.52,33.419998,36.639999,9781400,36.639999
2009-04-29,37.240002,37.240002,36.009998,36.41,6021200,36.41
2009-04-30,36.93,37.619999,35.259998,35.860001,5393500,35.860001
2009-05-01,36.049999,39.25,35.93,38.490002,7109100,38.490002
2009-05-04,39.110001,41.27,39.0,41.189999,5322500,41.189999
2009-05-05,41.110001,41.150002,38.82,39.630001,5063700,39.630001
2009-05-06,40.650002,42.029999,40.029999,41.759998,5343800,41.759998
2009-05-07,42.380001,43.310001,39.619999,40.259998,7382900,40.259998
2009-05-08,41.0,41.759998,40.369999,41.32,4141200,41.32
2009-05-11,40.330002,41.07,39.450001,40.02,3278900,40.02
2009-05-12,40.48,40.919998,39.299999,40.75,5488900,40.75
2009-05-13,39.790001,40.360001,38.419998,39.169998,5658400,39.169998
