Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,12.35,12.85,12.3,12.71,2014500,8.802812
2009-01-05,12.69,12.82,12.59,12.73,1865800,8.816664
2009-01-06,12.79,12.97,12.49,12.64,2162300,8.754331
2009-01-07,12.56,12.56,12.21,12.26,1705800,8.491147
2009-01-08,11.89,12.19,11.78,12.15,2511000,8.414962
2009-01-09,12.24,12.27,11.9,12.01,2390900,8.318
2009-01-12,12.04,12.13,11.86,12.0,1345600,8.311074
2009-01-13,12.08,12.08,11.83,11.95,1740700,8.276444
2009-01-14,11.85,11.85,11.47,11.69,1902000,8.096371
2009-01-15,11.52,11.83,11.4,11.79,2231300,8.16563
2009-01-16,11.92,12.13,11.85,12.09,1685700,8.373407
2009-01-20,12.13,12.14,11.65,11.66,2054500,8.075593
2009-01-21,11.71,11.9,11.58,11.84,2308700,8.200259
2009-01-22,11.76,12.0,11.69,11.87,1866600,8.221037
2009-01-23,11.69,11.94,11.58,11.89,1695900,8.234889
2009-01-26,11.93,12.31,11.9,12.19,1654400,8.442665
2009-01-27,12.19,12.54,12.13,12.37,2046400,8.567332
2009-01-28,12.59,12.6,12.39,12.55,2314300,8.691998
2009-01-29,12.49,12.76,12.33,12.41,1694600,8.595035
2009-01-30,12.5,12.55,11.95,12.01,2168500,8.318
2009-02-02,11.9,12.14,11.88,12.09,1747800,8.373407
2009-02-03,12.09,12.26,11.95,12.15,1451800,8.414962
2009-02-04,12.17,12.28,12.03,12.18,2170800,8.43574
2009-02-05,12.17,12.37,12.01,12.27,2940500,8.498073
2009-02-06,12.27,12.71,12.04,12.5,2914600,8.657368
2009-02-09,12.49,12.49,11.83,11.88,2877800,8.227963
2009-02-10,11.93,11.94,11.52,11.76,3301000,8.144852
2009-02-11,11.72,11.83,11.5,11.64,2410100,8.061742
2009-02-12,11.41,11.41,11.06,11.33,2766800,7.984225
2009-02-13,11.27,11.41,11.07,11.26,2369100,7.934896
2009-02-17,11.05,11.11,10.54,10.55,2667000,7.434561
2009-02-18,10.6,10.64,10.25,10.27,3061900,7.237245
2009-02-19,10.38,10.4,9.97,9.99,3131800,7.03993
2009-02-20,9.93,9.93,9.3,9.71,3087700,6.842614
2009-02-23,9.94,10.15,9.61,9.65,2638200,6.800332
2009-02-24,9.72,9.96,9.57,9.92,2323700,6.990601
2009-02-25,9.83,9.93,9.69,9.72,2505500,6.849662
2009-02-26,9.83,9.84,9.49,9.49,1390500,6.687581
2009-02-27,9.35,9.79,9.34,9.59,3054400,6.758051
2009-03-02,9.46,9.58,9.15,9.17,3134800,6.462078
2009-03-03,9.21,9.28,8.59,8.6,2820200,6.0604
2009-03-04,8.69,9.05,8.56,8.94,2582600,6.299997
2009-03-05,8.84,8.84,8.41,8.6,2945100,6.0604
2009-03-06,8.55,9.34,8.54,9.27,6485000,6.532548
2009-03-09,9.14,9.32,9.0,9.09,3435700,6.405702
2009-03-10,9.29,9.36,9.17,9.32,2220700,6.567782
2009-03-11,9.46,9.59,9.3,9.53,2749600,6.715769
2009-03-12,9.54,9.87,9.46,9.86,1672200,6.948319
2009-03-13,9.94,10.15,9.9,10.12,3235800,7.13154
2009-03-16,10.3,10.55,10.11,10.31,2318800,7.265433
2009-03-17,10.4,10.82,10.2,10.78,2776000,7.596641
2009-03-18,10.73,11.19,10.39,11.12,4037900,7.836238
2009-03-19,11.2,11.53,11.0,11.38,3633000,8.01946
2009-03-20,11.38,11.5,10.96,11.0,3362800,7.751674
2009-03-23,11.3,11.66,11.11,11.65,2484300,8.209728
2009-03-24,11.56,11.57,11.07,11.14,2481200,7.850332
2009-03-25,11.13,11.28,10.87,10.98,3735700,7.73758
2009-03-26,11.11,11.26,10.97,11.24,1621900,7.920802
2009-03-27,11.1,11.16,10.97,11.05,1242400,7.786909
2009-03-30,10.87,10.91,10.68,10.8,1341200,7.610735
2009-03-31,10.94,11.33,10.88,11.15,2275900,7.857379
2009-04-01,11.04,11.15,10.9,10.98,2025200,7.73758
2009-04-02,11.16,11.19,10.92,11.02,2717400,7.765769
2009-04-03,11.01,11.09,10.9,11.09,1445300,7.815097
2009-04-06,11.05,11.17,10.91,10.99,1479200,7.744627
2009-04-07,10.87,11.07,10.82,10.89,1287500,7.674158
2009-04-08,10.92,11.13,10.86,11.08,1590500,7.80805
2009-04-09,11.29,11.42,11.11,11.33,1343600,7.984225
2009-04-13,11.27,11.32,11.11,11.27,1347600,7.941943
2009-04-14,11.18,11.18,11.02,11.03,1163700,7.772815
2009-04-15,10.75,10.93,10.68,10.75,2487900,7.5755
2009-04-16,10.79,10.83,10.55,10.64,3057100,7.497983
2009-04-17,10.64,10.65,10.46,10.6,2926400,7.469796
2009-04-20,10.54,10.55,10.42,10.43,2245300,7.349997
2009-04-21,10.42,10.65,10.42,10.6,1487000,7.469796
2009-04-22,10.57,10.6,10.4,10.43,3731600,7.349997
2009-04-23,10.47,10.58,10.28,10.55,2034700,7.434561
2009-04-24,10.57,10.62,10.4,10.5,2143800,7.399326
2009-04-27,10.41,10.68,10.35,10.59,2728400,7.462748
2009-04-28,10.52,10.72,10.42,10.61,1827000,7.476842
2009-04-29,10.65,10.85,10.62,10.72,2226600,7.554359
2009-04-30,10.86,10.91,10.36,10.59,3176200,7.462748
2009-05-01,10.8,11.28,10.72,11.27,2741200,7.941943
