Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,16.49,17.309999,16.040001,17.23,2300700,14.933551
2009-01-05,17.030001,17.549999,16.9,16.959999,3216900,14.699536
2009-01-06,17.16,17.74,17.110001,17.549999,3423800,15.2109
2009-01-07,17.209999,17.860001,17.190001,17.5,2437000,15.167565
2009-01-08,17.34,17.34,16.76,17.049999,3111300,14.777541
2009-01-09,16.98,17.09,16.450001,16.92,2862900,14.80379
2009-01-12,16.889999,17.110001,16.809999,16.99,3658800,14.865035
2009-01-13,16.209999,16.280001,15.7,16.02,5124900,14.016355
2009-01-14,15.79,15.79,14.89,15.19,4745100,13.290163
2009-01-15,15.19,16.02,14.6,15.86,5578100,13.876365
2009-01-16,16.280001,16.389999,15.55,15.82,4244400,13.841368
2009-01-20,15.82,16.02,14.92,15.07,4520100,13.185172
2009-01-21,15.41,15.66,15.01,15.58,3809900,13.631386
2009-01-22,15.25,15.66,14.95,15.57,3898700,13.622636
2009-01-23,15.28,16.02,14.9,15.64,3569400,13.683882
2009-01-26,15.6,16.01,15.35,15.45,4061700,13.517645
2009-01-27,15.59,15.9,15.38,15.74,4137800,13.771374
2009-01-28,14.26,15.19,13.8,15.05,10135000,13.167674
2009-01-29,14.87,15.08,14.6,14.76,4087200,12.913944
2009-01-30,14.5,14.93,14.03,14.16,4963500,12.388987
2009-02-02,13.96,14.04,13.45,13.73,4529800,12.012768
2009-02-03,13.95,13.95,13.23,13.78,4822100,12.056514
2009-02-04,13.82,14.34,13.82,13.97,4561000,12.222751
2009-02-05,13.79,14.45,13.71,14.33,3900700,12.537725
2009-02-06,14.17,14.94,14.16,14.77,2506000,12.922694
2009-02-09,14.59,14.82,14.5,14.63,2525400,12.800204
2009-02-10,14.46,14.63,13.58,13.78,7087500,12.056514
2009-02-11,13.84,14.03,13.66,13.9,3373300,12.161505
2009-02-12,13.5,13.71,13.25,13.71,4525600,11.995269
2009-02-13,13.69,14.0,13.58,13.85,3369900,12.11776
2009-02-17,13.33,13.42,12.75,12.8,5885600,11.199085
2009-02-18,12.86,12.9,12.18,12.28,7526500,10.744121
2009-02-19,12.56,12.56,11.55,11.57,4968700,10.122922
2009-02-20,11.31,11.5,10.77,11.01,7413900,9.632963
2009-02-23,11.15,11.15,10.11,10.15,4135600,8.880524
2009-02-24,10.27,10.72,10.09,10.63,4079300,9.30049
2009-02-25,10.61,10.64,10.1,10.34,4739400,9.046761
2009-02-26,10.6,10.6,9.73,9.75,5193600,8.530553
2009-02-27,9.53,9.82,9.38,9.48,3972200,8.294322
2009-03-02,9.27,9.47,8.88,8.95,4673400,7.83061
2009-03-03,9.16,9.21,8.79,8.87,4578100,7.760615
2009-03-04,9.1,9.26,8.93,9.1,6607500,7.961849
2009-03-05,8.84,8.92,7.95,7.99,7264100,6.990678
