Date,Open,High,Low,Close,Volume,Adj Close
2009-01-02,4.22,4.7,4.15,4.67,4406900,4.541804
2009-01-05,4.8,5.43,4.8,5.17,9510000,5.028079
2009-01-06,5.22,5.49,5.21,5.37,5751400,5.222588
2009-01-07,5.19,5.34,5.05,5.24,4159000,5.096157
2009-01-08,5.09,5.47,4.93,5.45,5036900,5.300392
2009-01-09,5.5,5.52,5.16,5.24,4747500,5.096157
2009-01-12,5.23,5.3,4.99,5.06,2956000,4.921098
2009-01-13,5.11,5.39,4.95,5.1,5641600,4.96
2009-01-14,4.91,5.06,4.71,4.99,3779900,4.85302
2009-01-15,5.07,5.07,4.6,4.9,3289300,4.765491
2009-01-16,5.12,5.13,4.81,5.11,4622600,4.969726
2009-01-20,4.64,4.93,4.33,4.53,4838100,4.405648
2009-01-21,4.53,4.72,4.37,4.72,4319000,4.590431
2009-01-22,4.69,4.69,4.39,4.52,3342900,4.395922
2009-01-23,4.43,4.95,4.33,4.84,4445700,4.707138
2009-01-26,4.86,5.14,4.8,5.0,3583600,4.862745
2009-01-27,5.1,5.22,4.95,5.09,3501100,4.950275
2009-01-28,5.22,5.34,5.07,5.25,4486800,5.105883
2009-01-29,4.65,5.15,4.65,4.99,5732500,4.85302
2009-01-30,5.16,5.31,4.8,4.81,5128900,4.677961
2009-02-02,4.73,5.05,4.69,4.82,3859800,4.687687
2009-02-03,4.75,4.87,4.63,4.8,4994800,4.668236
2009-02-04,4.7,5.05,4.7,4.92,4037900,4.784942
2009-02-05,4.75,5.09,4.74,5.0,3984900,4.862745
2009-02-06,5.04,5.37,5.02,5.31,4234800,5.164236
2009-02-09,5.25,5.47,5.19,5.28,3916800,5.135059
2009-02-10,5.15,5.28,4.78,4.85,6716800,4.716863
2009-02-11,4.86,4.9,4.73,4.82,2052900,4.687687
2009-02-12,4.7,4.93,4.62,4.84,4518600,4.707138
2009-02-13,4.85,4.93,4.79,4.84,1919800,4.707138
2009-02-17,4.76,4.76,4.36,4.42,3414800,4.298667
2009-02-18,4.5,4.56,4.28,4.32,3848200,4.201412
2009-02-19,4.34,4.47,4.11,4.15,3005900,4.036079
2009-02-20,4.07,4.18,3.79,4.14,5039300,4.026353
2009-02-23,4.17,4.21,3.9,3.91,2644500,3.802667
2009-02-24,3.97,4.32,3.97,4.28,3973700,4.16251
2009-02-25,4.31,4.46,4.07,4.34,3342800,4.220863
2009-02-26,4.42,4.43,4.19,4.21,2989900,4.094432
2009-02-27,4.1,4.26,3.96,4.13,2266600,4.016628
2009-03-02,4.05,4.13,3.92,3.93,2478300,3.822118
2009-03-03,4.04,4.05,3.78,3.85,3184500,3.744314
2009-03-04,3.92,4.09,3.83,4.03,2882700,3.919373
2009-03-05,3.92,4.02,3.78,3.85,2711400,3.744314
2009-03-06,3.84,3.93,3.24,3.5,7209900,3.403922
2009-03-09,3.45,3.71,3.39,3.44,3095000,3.345569
2009-03-10,3.6,3.83,3.46,3.77,3462900,3.66651
2009-03-11,3.89,3.98,3.72,3.81,2520900,3.705412
2009-03-12,3.81,4.19,3.75,4.18,3917700,4.065255
2009-03-13,4.24,4.35,4.03,4.3,3262700,4.181961
2009-03-16,4.32,4.38,4.07,4.12,2546800,4.006902
2009-03-17,4.09,4.24,4.01,4.24,2500700,4.123608
2009-03-18,4.28,4.55,4.18,4.51,3253400,4.386197
2009-03-19,4.5,4.59,4.41,4.46,2012300,4.337569
2009-03-20,4.49,4.55,4.1,4.1,3873500,3.987451
2009-03-23,4.18,4.49,4.15,4.48,2969400,4.35702
2009-03-24,4.27,4.62,4.2,4.45,5728700,4.327843
2009-03-25,4.59,4.74,4.26,4.46,3636300,4.337569
2009-03-26,4.57,4.97,4.55,4.94,4344100,4.804393
2009-03-27,4.87,4.87,4.7,4.75,2622800,4.619608
2009-03-30,4.72,4.72,4.42,4.54,2201600,4.415373
2009-03-31,4.25,4.57,4.12,4.38,11489300,4.259765
2009-04-01,4.26,4.58,4.26,4.49,19144500,4.366745
2009-04-02,4.68,4.98,4.55,4.86,11085800,4.726589
2009-04-03,4.8,5.2,4.68,5.14,9208800,4.998902
2009-04-06,4.99,5.1,4.9,5.09,4249100,4.950275
2009-04-07,4.94,5.03,4.73,4.78,3844800,4.648785
2009-04-08,4.81,4.94,4.71,4.93,2829400,4.794667
2009-04-09,5.01,5.35,4.98,5.33,5629100,5.183687
2009-04-13,5.2,5.33,5.11,5.28,3022500,5.135059
2009-04-14,5.2,5.42,4.99,5.12,5985800,4.979451
2009-04-15,5.11,5.12,4.9,5.01,3777300,4.872471
2009-04-16,5.1,5.29,4.92,5.23,6439400,5.086432
2009-04-17,5.26,5.47,5.19,5.45,6410000,5.300392
2009-04-20,5.33,5.37,4.87,4.91,4512900,4.775216
2009-04-21,4.9,5.0,4.4,4.89,6677700,4.755765
2009-04-22,4.79,5.35,4.75,5.07,5060300,4.930824
2009-04-23,5.27,5.27,4.78,5.17,9170000,5.028079
2009-04-24,5.21,5.38,5.0,5.31,4981100,5.164236
2009-04-27,5.19,5.3,5.0,5.12,3035300,4.979451
2009-04-28,5.07,5.22,4.91,5.13,2525000,4.989177
2009-04-29,5.17,5.56,5.12,5.4,6673100,5.251765
2009-04-30,5.55,6.33,5.55,5.94,13532000,5.776942
2009-05-01,5.94,6.56,5.93,6.29,10345500,6.117334
2009-05-04,6.34,7.0,6.15,6.91,11991100,6.720314
2009-05-05,6.87,6.93,6.61,6.81,5719200,6.623059
2009-05-06,6.73,6.94,6.66,6.77,6281700,6.584157
2009-05-07,7.32,7.53,6.27,6.51,12192200,6.331295
2009-05-08,6.57,6.59,6.12,6.49,8833400,6.311843
2009-05-11,6.42,6.64,6.25,6.44,5204200,6.263216
2009-05-12,6.49,6.5,5.87,6.01,6009700,5.84502
2009-05-13,5.87,5.94,5.57,5.6,7196800,5.446275
2009-05-14,5.61,6.1,5.57,5.91,6962400,5.747765
2009-05-15,5.91,6.17,5.76,5.85,3835300,5.689412
2009-05-18,6.22,6.5,5.95,6.17,6411200,6.000628
2009-05-19,6.31,6.76,6.22,6.54,7294300,6.360471
2009-05-20,6.66,6.76,6.35,6.44,6160200,6.263216
2009-05-21,6.39,6.53,6.18,6.37,7499600,6.195138
2009-05-22,6.5,6.77,6.37,6.4,6684400,6.224314
2009-05-26,6.44,6.57,6.24,6.54,7340300,6.360471
2009-05-27,6.54,7.13,6.46,6.97,10690400,6.778667
2009-05-28,6.99,7.2,6.74,7.13,9665100,6.934275
2009-05-29,7.19,7.24,6.95,7.15,5430900,6.953726
2009-06-01,7.25,7.56,7.18,7.49,6184800,7.284392
2009-06-02,7.28,7.47,7.08,7.26,6087500,7.060707
2009-06-03,7.23,7.24,6.9,7.05,5189500,6.856471
2009-06-04,7.65,7.65,7.35,7.48,8435300,7.274667
2009-06-05,7.4,7.4,7.0,7.14,10160100,6.944
2009-06-08,7.07,7.1,6.85,7.01,6408600,6.817569
2009-06-09,7.14,7.31,7.05,7.25,5093600,7.050981
2009-06-10,7.25,7.4,7.21,7.35,6046600,7.148236
2009-06-11,7.23,7.45,7.14,7.2,5228600,7.002353
2009-06-12,7.19,7.19,6.85,7.05,4803500,6.856471
2009-06-15,6.91,7.05,6.81,7.0,3815400,6.807844
2009-06-16,7.03,7.09,6.63,6.83,6429400,6.64251
2009-06-17,6.77,6.95,6.5,6.81,5661000,6.623059
2009-06-18,6.84,6.89,6.47,6.65,5247400,6.467451
2009-06-19,6.74,6.74,6.53,6.6,4400100,6.418824
2009-06-22,6.54,6.65,6.18,6.19,7199000,6.020079
2009-06-23,6.16,6.29,5.96,6.22,5107100,6.049255
2009-06-24,6.28,6.71,6.25,6.58,9746600,6.399373
2009-06-25,6.48,6.93,6.48,6.89,8624500,6.700863
2009-06-26,6.87,7.05,6.73,6.84,4113800,6.652236
2009-06-29,6.96,7.11,6.77,6.92,3516000,6.73004
2009-06-30,6.96,6.98,6.75,6.86,5780200,6.671687
2009-07-01,6.86,7.18,6.77,7.03,8751700,6.83702
2009-07-02,6.91,6.96,6.75,6.76,3846400,6.574432
2009-07-06,6.62,6.79,6.38,6.56,6925400,6.379922
2009-07-07,6.57,6.67,6.2,6.22,7745900,6.049255
2009-07-08,6.29,6.3,5.97,6.07,5678400,5.903373
2009-07-09,6.2,6.47,6.14,6.34,9447000,6.165961
2009-07-10,6.32,6.46,6.13,6.33,5079700,6.156236
2009-07-13,6.36,6.64,6.19,6.62,5863400,6.438275
2009-07-14,6.55,7.03,6.52,6.96,8224000,6.768942
2009-07-15,7.2,7.45,7.12,7.4,13079700,7.196863
2009-07-16,7.26,7.56,7.26,7.53,4985800,7.323295
2009-07-17,7.51,7.63,7.37,7.6,4162800,7.391373
2009-07-20,7.68,7.75,7.57,7.75,5478600,7.537255
2009-07-21,7.75,7.77,7.34,7.59,5684900,7.381648
2009-07-22,7.58,7.78,7.42,7.66,4782500,7.449726
2009-07-23,7.63,7.92,7.5,7.88,5904000,7.663687
2009-07-24,7.63,7.99,7.58,7.95,3673700,7.731765
2009-07-27,7.97,8.19,7.88,8.15,4409100,7.926275
2009-07-28,8.07,8.24,7.9,8.18,6155900,7.955452
2009-07-29,8.09,8.14,7.72,7.82,7456400,7.605334
2009-07-30,8.15,8.25,7.52,7.71,12375800,7.498353
2009-07-31,7.66,8.0,7.66,7.88,4747000,7.663687
2009-08-03,7.99,8.29,7.99,8.25,7340800,8.02353
2009-08-04,8.12,8.43,8.12,8.29,6079400,8.062432
2009-08-05,8.29,8.45,8.18,8.2,9168500,7.974902
2009-08-06,8.23,8.4,7.92,8.11,7453500,7.887373
2009-08-07,8.24,8.37,8.11,8.23,4631400,8.004078
2009-08-10,8.2,8.22,7.98,8.02,3697800,7.799844
2009-08-11,8.06,8.06,7.64,7.64,4006600,7.430275
2009-08-12,7.66,7.97,7.62,7.88,4541900,7.663687
2009-08-13,8.01,8.1,7.88,8.08,4079000,7.858196
2009-08-14,7.97,8.08,7.75,7.89,3160500,7.673412
2009-08-17,7.66,7.79,7.58,7.61,5663700,7.401099
2009-08-18,7.67,7.96,7.66,7.9,3339700,7.683138
2009-08-19,7.75,8.08,7.71,7.96,4091200,7.741491
2009-08-20,7.94,8.03,7.88,8.01,4165000,7.790118
2009-08-21,8.09,8.19,7.87,8.18,5159200,7.955452
2009-08-24,8.2,8.36,8.11,8.15,5416100,7.926275
2009-08-25,8.2,8.35,8.11,8.2,2321700,7.974902
2009-08-26,8.15,8.45,8.15,8.36,3766000,8.13051
2009-08-27,8.37,8.4,8.19,8.33,3279900,8.101334
2009-08-28,8.5,8.59,8.17,8.25,4721500,8.02353
2009-08-31,8.13,8.3,8.08,8.25,5002400,8.02353
2009-09-01,8.21,8.42,7.86,7.89,7059200,7.673412
2009-09-02,7.92,7.93,7.57,7.61,11634800,7.401099
2009-09-03,7.77,7.79,7.58,7.79,11949300,7.576157
2009-09-04,7.94,8.14,7.77,8.12,3899300,7.897098
2009-09-08,8.14,8.33,8.08,8.29,3323400,8.062432
2009-09-09,8.28,8.48,8.15,8.41,3641000,8.179138
2009-09-10,8.41,8.64,8.34,8.64,5069600,8.402824
2009-09-11,8.65,8.7,8.32,8.4,5080600,8.169412
2009-09-14,8.34,8.41,8.14,8.27,5394900,8.042981
2009-09-15,8.99,9.48,8.27,9.22,22795600,8.966903
2009-09-16,9.32,9.45,9.15,9.18,7291700,8.928001
2009-09-17,9.15,9.24,8.82,8.89,8851600,8.645962
2009-09-18,9.09,9.22,8.97,9.08,3976200,8.830746
2009-09-21,8.99,9.14,8.8,8.99,5397900,8.743216
2009-09-22,9.14,9.41,8.99,9.36,4794600,9.103059
2009-09-23,9.41,9.57,9.23,9.25,4145200,8.996079
2009-09-24,9.39,9.4,8.78,9.0,5049400,8.752942
2009-09-25,8.91,9.23,8.83,9.15,6819000,8.898824
2009-09-28,9.23,9.45,9.16,9.39,2536400,9.132236
2009-09-29,9.35,9.48,9.1,9.11,5536300,8.859922
2009-09-30,9.21,9.37,8.96,9.25,4474900,8.996079
2009-10-01,9.77,9.9,8.8,8.8,22548100,8.558432
2009-10-02,8.77,9.14,8.53,8.83,9093500,8.587608
2009-10-05,9.08,9.24,8.91,9.23,7900500,8.976628
2009-10-06,9.4,9.7,9.32,9.59,8296400,9.326746
2009-10-07,9.57,9.66,9.46,9.62,5213300,9.355922
2009-10-08,9.72,9.94,9.59,9.87,8420100,9.599059
2009-10-09,9.82,10.37,9.77,10.3,8084600,10.017256
2009-10-12,10.4,10.6,10.16,10.26,6393900,9.978354
2009-10-13,10.2,10.45,10.1,10.28,4448400,9.997804
2009-10-14,10.61,10.67,10.3,10.51,6446000,10.221491
2009-10-15,10.44,10.47,10.14,10.2,6838800,9.92
2009-10-16,9.99,10.18,9.72,9.86,7388300,9.589334
2009-10-19,9.93,10.2,9.78,9.88,5918200,9.608785
2009-10-20,10.1,10.36,10.0,10.17,8201000,9.890824
2009-10-21,10.15,10.27,9.78,9.8,5619300,9.530981
2009-10-22,9.81,10.03,9.66,10.01,7518600,9.735217
2009-10-23,10.12,10.12,9.72,9.75,4755100,9.482354
2009-10-26,9.76,10.05,9.56,9.57,6070500,9.307294
2009-10-27,9.56,9.7,9.1,9.14,6856000,8.889099
2009-10-28,9.19,9.24,8.58,8.66,11312700,8.422275
2009-10-29,9.37,9.69,8.99,9.1,12199100,8.850197
2009-10-30,9.03,9.1,8.34,8.37,12095100,8.140236
2009-11-02,8.48,8.64,8.25,8.42,8245900,8.188863
2009-11-03,8.28,8.33,8.09,8.28,5891300,8.052706
2009-11-04,8.44,8.51,8.14,8.17,5491400,7.945726
2009-11-05,8.3,8.52,8.21,8.5,4198100,8.266667
2009-11-06,8.42,8.63,8.3,8.4,5473900,8.169412
2009-11-09,8.51,8.68,8.47,8.52,3616500,8.286119
2009-11-10,8.56,8.58,8.44,8.52,4328300,8.286119
2009-11-11,8.58,8.86,8.58,8.68,5313900,8.441726
2009-11-12,8.68,8.83,8.59,8.66,4287100,8.422275
2009-11-13,8.66,8.91,8.59,8.84,5091400,8.597334
2009-11-16,8.98,9.18,8.92,9.08,3401900,8.830746
2009-11-17,9.06,9.23,8.95,9.18,5480600,8.928001
2009-11-18,9.19,9.29,8.99,9.06,4700900,8.811295
2009-11-19,9.0,9.0,8.7,8.85,4184600,8.60706
2009-11-20,8.72,8.91,8.66,8.76,2721700,8.51953
2009-11-23,8.83,9.0,8.82,8.85,2701000,8.60706
2009-11-24,8.75,8.95,8.68,8.76,2855000,8.51953
2009-11-25,8.78,9.04,8.71,8.96,1804000,8.71404
